
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Dec-2014 12:00:46
* Seed: 209427.4354
* Subject Number: 51
* Subject Name: CC
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	1	433	11	11	1	0.729
1	2	0.013	1	520	11	11	1	0.804
1	3	0.013	1	184	11	NaN	0	NaN
1	4	0.014	1	319	11	NaN	0	NaN
1	5	0.014	1	499	11	11	1	0.266
1	6	0.014	1	189	11	11	1	0.562
1	7	0.014	1	376	11	11	1	0.506
1	8	0.001	2	69	13	13	1	0.718
1	9	0.001	1	325	11	11	1	0.821
1	10	0.001	1	362	11	11	1	0.671
1	11	0.001	1	514	11	11	1	0.678
1	12	0.002	1	420	11	11	1	0.701
1	13	0.002	1	152	11	11	1	0.679
1	14	0.002	1	66	11	11	1	0.574
1	15	0.002	1	48	11	11	1	0.646
1	16	0.002	1	358	11	11	1	0.572
1	17	0.003	1	52	11	11	1	0.614
1	18	0.003	1	253	11	11	1	0.590
1	19	0.003	1	536	11	11	1	0.566
1	20	0.003	1	264	11	11	1	0.861
1	21	0.003	1	172	11	11	1	0.724
1	22	0.004	1	298	11	11	1	0.716
1	23	0.004	1	87	11	11	1	0.549
1	24	0.004	1	532	11	11	1	0.459
1	25	0.004	1	103	11	11	1	0.483
1	26	0.004	1	284	11	11	1	0.604
1	27	0.005	1	215	11	11	1	0.596
1	28	0.005	1	4	11	11	1	0.523
1	29	0.005	1	214	11	11	1	0.626
1	30	0.005	1	465	11	11	1	0.524
1	31	0.005	1	227	11	11	1	0.499
1	32	0.006	2	77	13	13	1	0.747
1	33	0.006	1	289	11	11	1	0.801
1	34	0.006	1	225	11	11	1	0.713
1	35	0.006	1	90	11	11	1	0.706
1	36	0.006	1	3	11	11	1	0.632
1	37	0.006	1	408	11	11	1	0.594
1	38	0.007	1	430	11	11	1	0.698
1	39	0.007	1	254	11	11	1	0.641
1	40	0.007	1	509	11	11	1	0.649
1	41	0.007	2	508	13	13	1	0.640
1	42	0.007	1	105	11	11	1	0.680
1	43	0.008	1	113	11	11	1	0.783
1	44	0.008	2	194	13	13	1	0.631
1	45	0.008	1	163	11	11	1	0.575
1	46	0.008	2	275	13	13	1	0.552
1	47	0.008	1	231	11	11	1	0.480
1	48	0.009	1	112	11	11	1	0.584
1	49	0.009	1	128	11	11	1	0.560
1	50	0.009	1	508	11	11	1	0.615
1	51	0.009	1	142	11	11	1	0.638
1	52	0.010	1	64	11	11	1	0.487
1	53	0.010	1	143	11	11	1	0.527
1	54	0.010	1	21	11	11	1	0.567
1	55	0.010	2	39	13	11	0	0.588
1	56	0.010	1	28	11	NaN	0	NaN
1	57	0.010	1	122	11	NaN	0	NaN
1	58	0.011	1	478	11	11	1	0.468
1	59	0.011	1	181	11	11	1	0.621
1	60	0.011	1	232	11	11	1	0.565
1	61	0.011	1	518	11	11	1	0.605
1	62	0.011	1	251	11	11	1	0.677
1	63	0.012	1	550	11	11	1	0.715
1	64	0.012	1	219	11	11	1	0.739
1	65	0.012	1	118	11	11	1	0.795
1	66	0.012	1	84	11	11	1	0.819
1	67	0.012	1	526	11	NaN	0	NaN
1	68	0.012	1	119	11	NaN	0	NaN
1	69	0.013	2	369	13	11	0	0.043
1	70	0.013	1	417	11	11	1	0.594
1	71	0.013	1	339	11	11	1	0.570
1	72	0.013	1	197	11	11	1	0.578
1	73	0.013	1	343	11	11	1	0.571
1	74	0.014	1	19	11	11	1	0.755
1	75	0.014	2	395	13	13	1	0.555
1	76	0.001	1	86	11	11	1	0.528
1	77	0.001	1	491	11	11	1	0.549
1	78	0.001	1	481	11	11	1	0.590
1	79	0.001	1	22	11	11	1	0.581
1	80	0.002	1	313	11	11	1	0.638
1	81	0.002	1	242	11	11	1	0.693
1	82	0.002	1	447	11	11	1	0.589
1	83	0.002	1	67	11	11	1	0.758
1	84	0.002	1	124	11	11	1	0.669
1	85	0.002	1	5	11	11	1	0.644
1	86	0.003	1	250	11	11	1	0.462
1	87	0.003	1	486	11	11	1	0.580
1	88	0.003	1	26	11	11	1	0.572
1	89	0.003	1	110	11	11	1	0.484
1	90	0.003	1	169	11	11	1	0.573
1	91	0.004	1	406	11	11	1	0.660
1	92	0.004	1	77	11	11	1	0.651
1	93	0.004	2	460	13	13	1	0.500
1	94	0.004	1	492	11	11	1	0.507
1	95	0.005	2	282	13	13	1	0.628
1	96	0.005	1	274	11	11	1	0.778
1	97	0.005	1	38	11	11	1	0.722
1	98	0.005	1	436	11	11	1	0.570
1	99	0.005	1	445	11	11	1	0.514
1	100	0.005	1	276	11	11	1	0.473
1	101	0.006	1	503	11	11	1	0.497
1	102	0.006	1	166	11	11	1	0.491
1	103	0.006	1	365	11	11	1	0.594
1	104	0.006	1	170	11	11	1	0.506
1	105	0.006	2	525	13	13	1	0.608
1	106	0.007	1	147	11	11	1	0.424
1	107	0.007	2	474	13	13	1	0.674
1	108	0.007	1	519	11	13	0	0.553
1	109	0.007	1	434	11	11	1	0.687
1	110	0.007	1	32	11	11	1	0.649
1	111	0.008	1	285	11	11	1	0.784
1	112	0.008	1	190	11	NaN	0	NaN
1	113	0.008	1	374	11	11	1	0.816
1	114	0.008	1	350	11	11	1	0.776
1	115	0.008	1	545	11	11	1	0.751
1	116	0.009	1	218	11	11	1	0.630
1	117	0.009	1	223	11	11	1	0.703
1	118	0.009	1	236	11	11	1	0.679
1	119	0.009	1	424	11	11	1	0.638
1	120	0.009	1	304	11	11	1	0.678
1	121	0.010	2	159	13	13	1	0.638
1	122	0.010	1	76	11	11	1	0.566
1	123	0.010	1	31	11	11	1	0.510
1	124	0.010	1	33	11	11	1	0.741
1	125	0.010	1	330	11	11	1	0.813
1	126	0.011	1	127	11	11	1	0.820
1	127	0.011	1	117	11	11	1	0.700
1	128	0.011	1	360	11	11	1	0.597
1	129	0.011	1	272	11	11	1	0.571
1	130	0.011	1	354	11	11	1	0.532
1	131	0.012	1	281	11	11	1	0.573
1	132	0.012	1	131	11	11	1	0.515
1	133	0.012	2	51	13	13	1	0.619
1	134	0.012	2	146	13	13	1	0.517
1	135	0.012	1	7	11	11	1	0.603
1	136	0.012	1	435	11	11	1	0.469
1	137	0.013	1	94	11	11	1	0.636
1	138	0.013	1	240	11	11	1	0.596
1	139	0.013	1	81	11	11	1	0.618
1	140	0.013	1	542	11	11	1	0.579
1	141	0.013	1	8	11	11	1	0.553
1	142	0.014	1	229	11	11	1	0.513
1	143	0.014	1	134	11	11	1	0.731
1	144	0.014	1	413	11	11	1	0.642
1	145	0.014	1	230	11	11	1	0.729
1	146	0.001	2	119	13	13	1	0.672
1	147	0.001	1	425	11	11	1	0.631
