
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Dec-2014 13:15:04
* Seed: 212425.5589
* Subject Number: 53
* Subject Name: DI
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.003	1	246	11	11	1	0.733
1	2	0.003	1	98	11	11	1	0.652
1	3	0.003	1	91	11	11	1	0.876
1	4	0.004	1	29	11	11	1	0.699
1	5	0.004	2	538	13	13	1	0.684
1	6	0.004	1	233	11	11	1	0.716
1	7	0.004	2	277	13	13	1	0.667
1	8	0.004	1	376	11	11	1	0.682
1	9	0.005	1	247	11	11	1	0.619
1	10	0.005	1	354	11	11	1	0.635
1	11	0.005	2	391	13	13	1	0.642
1	12	0.005	1	58	11	11	1	0.762
1	13	0.006	1	274	11	11	1	0.818
1	14	0.006	1	468	11	11	1	0.722
1	15	0.006	2	521	13	13	1	0.602
1	16	0.006	1	65	11	11	1	0.602
1	17	0.006	2	198	13	13	1	0.514
1	18	0.007	1	10	11	NaN	0	NaN
1	19	0.007	1	261	11	11	1	0.736
1	20	0.007	1	297	11	11	1	0.776
1	21	0.007	2	411	13	13	1	0.665
1	22	0.007	1	39	11	11	1	0.656
1	23	0.007	1	167	11	11	1	0.744
1	24	0.008	1	51	11	11	1	0.688
1	25	0.008	1	433	11	11	1	0.528
1	26	0.008	1	277	11	11	1	0.735
1	27	0.008	1	403	11	11	1	0.584
1	28	0.008	1	386	11	11	1	0.639
1	29	0.009	1	240	11	11	1	0.591
1	30	0.009	2	116	13	NaN	0	NaN
1	31	0.009	1	181	11	13	0	0.119
1	32	0.009	1	207	11	11	1	0.607
1	33	0.009	1	44	11	11	1	0.550
1	34	0.010	1	198	11	11	1	0.517
1	35	0.010	1	436	11	NaN	0	NaN
1	36	0.010	1	216	11	11	1	0.733
1	37	0.010	1	75	11	11	1	0.733
1	38	0.010	1	175	11	11	1	0.629
1	39	0.010	1	238	11	11	1	0.572
1	40	0.011	2	243	13	13	1	0.668
1	41	0.011	1	330	11	11	1	0.709
1	42	0.011	1	535	11	11	1	0.636
1	43	0.011	1	230	11	11	1	0.509
1	44	0.012	1	431	11	11	1	0.580
1	45	0.012	1	291	11	11	1	0.628
1	46	0.012	1	367	11	11	1	0.588
1	47	0.012	1	17	11	11	1	0.498
1	48	0.012	1	194	11	11	1	0.539
1	49	0.012	1	8	11	11	1	0.546
1	50	0.013	1	94	11	11	1	0.523
1	51	0.013	1	514	11	11	1	0.514
1	52	0.013	1	77	11	11	1	0.490
1	53	0.013	1	1	11	11	1	0.507
1	54	0.013	1	418	11	11	1	0.451
1	55	0.014	2	52	13	NaN	0	NaN
1	56	0.014	1	208	11	11	1	0.770
1	57	0.014	1	377	11	11	1	0.666
1	58	0.001	1	89	11	11	1	0.679
1	59	0.001	1	264	11	11	1	0.694
1	60	0.001	1	515	11	11	1	0.599
1	61	0.001	1	4	11	11	1	0.566
1	62	0.001	1	451	11	11	1	0.502
1	63	0.002	1	319	11	11	1	0.517
1	64	0.002	1	28	11	11	1	0.509
1	65	0.002	1	145	11	11	1	0.454
1	66	0.002	1	49	11	11	1	0.460
1	67	0.002	1	117	11	11	1	0.469
1	68	0.003	1	302	11	11	1	0.516
1	69	0.003	1	122	11	11	1	0.532
1	70	0.003	1	308	11	11	1	0.740
1	71	0.003	2	317	13	13	1	0.836
1	72	0.004	1	85	11	11	1	0.563
1	73	0.004	1	285	11	11	1	0.603
1	74	0.004	1	547	11	11	1	0.515
1	75	0.004	1	549	11	11	1	0.475
1	76	0.004	1	70	11	11	1	0.483
1	77	0.004	1	172	11	11	1	0.483
1	78	0.005	1	539	11	11	1	0.450
1	79	0.005	1	425	11	11	1	0.419
1	80	0.005	1	128	11	11	1	0.417
1	81	0.005	1	485	11	11	1	0.417
1	82	0.005	1	37	11	11	1	0.450
1	83	0.006	2	231	13	13	1	0.729
1	84	0.006	1	328	11	11	1	0.561
1	85	0.006	1	201	11	11	1	0.649
1	86	0.006	1	309	11	11	1	0.601
1	87	0.007	1	114	11	11	1	0.576
1	88	0.007	1	148	11	11	1	0.577
1	89	0.007	1	115	11	11	1	0.520
1	90	0.007	1	293	11	11	1	0.527
1	91	0.007	1	393	11	11	1	0.505
1	92	0.007	1	160	11	11	1	0.416
1	93	0.008	2	238	13	13	1	0.655
1	94	0.008	1	422	11	11	1	0.536
1	95	0.008	1	458	11	11	1	0.431
1	96	0.008	1	192	11	11	1	0.424
1	97	0.008	1	176	11	11	1	0.463
1	98	0.008	1	5	11	11	1	0.575
1	99	0.009	1	102	11	11	1	0.583
1	100	0.009	2	270	13	13	1	0.726
1	101	0.009	1	202	11	11	1	0.591
1	102	0.009	1	345	11	11	1	0.734
1	103	0.009	1	294	11	11	1	0.621
1	104	0.010	1	387	11	11	1	0.566
1	105	0.010	1	130	11	11	1	0.533
1	106	0.010	1	541	11	11	1	0.533
1	107	0.010	1	203	11	11	1	0.565
1	108	0.010	1	146	11	11	1	0.549
1	109	0.011	1	397	11	11	1	0.653
1	110	0.011	1	461	11	11	1	0.540
1	111	0.011	1	476	11	11	1	0.596
1	112	0.011	1	168	11	11	1	0.637
1	113	0.011	1	465	11	11	1	0.652
1	114	0.012	1	398	11	11	1	0.708
1	115	0.012	1	57	11	11	1	0.643
1	116	0.012	1	118	11	11	1	0.556
1	117	0.012	1	197	11	11	1	0.619
1	118	0.012	1	74	11	11	1	0.643
1	119	0.013	1	480	11	11	1	0.666
1	120	0.013	1	200	11	11	1	0.587
1	121	0.013	1	159	11	11	1	0.562
1	122	0.013	1	411	11	11	1	0.562
1	123	0.013	1	523	11	11	1	0.673
1	124	0.014	1	442	11	11	1	0.649
1	125	0.014	1	87	11	11	1	0.657
1	126	0.014	1	391	11	11	1	0.610
1	127	0.001	1	53	11	11	1	0.639
1	128	0.001	1	473	11	11	1	0.686
1	129	0.001	2	433	13	NaN	0	NaN
1	130	0.001	1	271	11	11	1	0.758
1	131	0.001	1	19	11	11	1	0.766
1	132	0.002	1	445	11	11	1	0.654
1	133	0.002	1	375	11	11	1	0.590
1	134	0.002	1	404	11	11	1	0.534
1	135	0.002	1	464	11	11	1	0.677
1	136	0.003	1	188	11	11	1	0.548
1	137	0.003	1	43	11	11	1	0.605
1	138	0.003	1	519	11	11	1	0.540
1	139	0.003	1	343	11	11	1	0.684
1	140	0.003	1	417	11	11	1	0.547
1	141	0.003	1	137	11	11	1	0.531
1	142	0.004	1	206	11	11	1	0.516
1	143	0.004	1	211	11	11	1	0.484
1	144	0.004	1	434	11	11	1	0.523
1	145	0.004	1	526	11	11	1	0.500
1	146	0.004	1	222	11	11	1	0.458
1	147	0.005	1	100	11	11	1	0.410
1	148	0.005	1	242	11	11	1	0.346
1	149	0.005	1	318	11	11	1	0.426
1	150	0.005	1	303	11	11	1	0.402
1	151	0.006	2	201	13	13	1	0.633
1	152	0.006	1	333	11	11	1	0.506
1	153	0.006	2	192	13	13	1	0.801
1	154	0.006	2	147	13	13	1	0.713
1	155	0.006	1	517	11	11	1	0.642
1	156	0.006	2	196	13	13	1	0.857
1	157	0.007	1	454	11	11	1	0.601
1	158	0.007	1	34	11	11	1	0.592
1	159	0.007	1	180	11	11	1	0.528
1	160	0.007	1	69	11	11	1	0.503
1	161	0.007	1	265	11	11	1	0.552
1	162	0.008	1	245	11	11	1	0.736
1	163	0.008	1	380	11	11	1	0.519
1	164	0.008	1	452	11	11	1	0.496
1	165	0.008	1	446	11	11	1	0.423
1	166	0.008	1	428	11	11	1	0.390
1	167	0.008	1	427	11	11	1	0.382
1	168	0.009	1	472	11	11	1	0.407
1	169	0.009	1	349	11	11	1	0.367
1	170	0.009	1	475	11	11	1	0.334
1	171	0.009	1	38	11	11	1	0.334
1	172	0.010	2	30	13	13	1	0.653
1	173	0.010	1	390	11	11	1	0.493
1	174	0.010	1	105	11	11	1	0.421
1	175	0.010	1	490	11	11	1	0.461
1	176	0.010	1	27	11	11	1	0.645
1	177	0.011	1	289	11	11	1	0.484
1	178	0.011	1	12	11	11	1	0.404
1	179	0.011	1	25	11	11	1	0.557
1	180	0.011	1	298	11	11	1	0.501
1	181	0.011	2	141	13	13	1	0.660
1	182	0.011	1	287	11	11	1	0.507
1	183	0.012	1	304	11	11	1	0.484
1	184	0.012	1	190	11	11	1	0.459
1	185	0.012	1	466	11	11	1	0.452
1	186	0.012	1	16	11	11	1	0.387
