
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Dec-2014 13:58:19
* Seed: 213068.011
* Subject Number: 54
* Subject Name: MS
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	472	11	11	1	0.763
1	2	0.012	1	46	13	NaN	0	NaN
1	3	0.012	2	140	11	11	1	0.652
1	4	0.012	2	63	11	NaN	0	NaN
1	5	0.013	2	151	11	13	0	0.587
1	6	0.013	1	111	13	NaN	0	NaN
1	7	0.013	2	186	11	13	0	0.074
1	8	0.013	2	178	11	11	1	0.610
1	9	0.013	2	392	11	11	1	0.762
1	10	0.014	2	118	11	NaN	0	NaN
1	11	0.014	2	391	11	11	1	0.619
1	12	0.014	2	336	11	11	1	0.672
1	13	0.014	2	409	11	11	1	0.633
1	14	0.001	2	127	11	11	1	0.573
1	15	0.001	2	387	11	11	1	0.695
1	16	0.001	2	512	11	11	1	0.669
1	17	0.002	2	204	11	11	1	0.679
1	18	0.002	2	443	11	11	1	0.607
1	19	0.002	1	1	13	13	1	0.455
1	20	0.002	1	520	13	13	1	0.524
1	21	0.002	2	325	11	11	1	0.693
1	22	0.003	2	12	11	11	1	0.748
1	23	0.003	2	367	11	11	1	0.677
1	24	0.003	2	456	11	11	1	0.732
1	25	0.003	2	244	11	11	1	0.659
1	26	0.003	2	492	11	11	1	0.573
1	27	0.004	1	180	13	11	0	0.532
1	28	0.004	2	474	11	11	1	0.844
1	29	0.004	2	238	11	11	1	0.740
1	30	0.004	1	80	13	13	1	0.667
1	31	0.004	2	414	11	11	1	0.723
1	32	0.005	2	528	11	11	1	0.844
1	33	0.005	2	16	11	11	1	0.771
1	34	0.005	1	208	13	13	1	0.650
1	35	0.005	2	55	11	11	1	0.514
1	36	0.005	2	267	11	11	1	0.746
1	37	0.005	1	169	13	13	1	0.625
1	38	0.006	2	111	11	13	0	0.890
1	39	0.006	2	424	11	11	1	0.626
1	40	0.006	2	125	11	11	1	0.713
1	41	0.006	2	460	11	11	1	0.736
1	42	0.006	2	194	11	11	1	0.585
1	43	0.007	2	149	11	11	1	0.672
1	44	0.007	2	508	11	11	1	0.569
1	45	0.007	2	540	11	11	1	0.594
1	46	0.007	2	465	11	11	1	0.570
1	47	0.007	2	360	11	11	1	0.527
1	48	0.008	2	494	11	11	1	0.521
1	49	0.008	2	479	11	11	1	0.542
1	50	0.008	2	78	11	11	1	0.504
1	51	0.008	2	382	11	13	0	0.542
1	52	0.008	2	25	11	11	1	0.793
1	53	0.008	2	280	11	NaN	0	NaN
