
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Dec-2014 14:51:46
* Seed: 215087.9916
* Subject Number: 55
* Subject Name: DK
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	164	11	11	1	0.756
1	2	0.012	1	536	11	11	1	0.763
1	3	0.012	1	203	11	11	1	0.531
1	4	0.013	1	97	11	11	1	0.685
1	5	0.013	1	265	11	11	1	0.660
1	6	0.013	2	447	13	13	1	0.700
1	7	0.013	1	535	11	11	1	0.692
1	8	0.013	1	52	11	11	1	0.778
1	9	0.013	1	92	11	11	1	0.787
1	10	0.014	1	399	11	11	1	0.826
1	11	0.014	1	539	11	11	1	0.867
1	12	0.014	1	388	11	11	1	0.858
1	13	0.014	1	61	11	11	1	0.834
1	14	0.001	1	173	11	11	1	0.760
1	15	0.001	2	255	13	11	0	0.702
1	16	0.001	1	143	11	11	1	0.599
1	17	0.002	1	504	11	11	1	0.526
1	18	0.002	2	108	13	11	0	0.488
1	19	0.002	1	445	11	11	1	0.655
1	20	0.002	1	22	11	11	1	0.823
1	21	0.002	1	228	11	11	1	0.638
1	22	0.003	1	169	11	11	1	0.757
1	23	0.003	1	411	11	11	1	0.700
1	24	0.003	1	199	11	11	1	0.820
1	25	0.003	1	183	11	11	1	0.813
1	26	0.003	1	138	11	11	1	0.726
1	27	0.004	1	36	11	11	1	0.589
1	28	0.004	2	283	13	13	1	0.548
1	29	0.004	1	295	11	11	1	0.621
1	30	0.004	1	179	11	11	1	0.595
1	31	0.004	1	307	11	11	1	0.733
1	32	0.004	1	393	11	11	1	0.693
1	33	0.005	1	395	11	11	1	0.651
1	34	0.005	1	237	11	11	1	0.723
1	35	0.005	1	422	11	11	1	0.540
1	36	0.005	1	128	11	11	1	0.546
1	37	0.006	1	241	11	11	1	0.874
1	38	0.006	1	90	11	11	1	0.755
1	39	0.006	1	544	11	11	1	0.681
1	40	0.006	1	329	11	NaN	0	NaN
1	41	0.006	1	522	11	11	1	0.137
1	42	0.007	2	527	13	11	0	0.464
1	43	0.007	1	136	11	11	1	0.745
1	44	0.007	1	342	11	11	1	0.755
1	45	0.007	1	14	11	11	1	0.762
1	46	0.007	1	320	11	11	1	0.834
1	47	0.007	1	302	11	11	1	0.730
