
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Dec-2014 17:00:55
* Seed: 211230.3633
* Subject Number: 56
* Subject Name: AJ
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	234	11	11	1	0.738
1	2	0.012	2	389	11	11	1	0.697
1	3	0.013	1	484	13	13	1	0.675
1	4	0.013	2	436	11	11	1	0.569
1	5	0.013	2	503	11	11	1	0.546
1	6	0.013	2	119	11	11	1	0.424
1	7	0.013	2	65	11	11	1	0.592
1	8	0.014	2	209	11	11	1	0.520
1	9	0.014	2	89	11	11	1	0.769
1	10	0.014	2	516	11	11	1	0.553
1	11	0.014	2	269	11	11	1	0.496
1	12	0.001	2	338	11	11	1	0.358
1	13	0.001	2	376	11	11	1	0.460
1	14	0.001	2	116	11	11	1	0.437
1	15	0.002	2	489	11	11	1	0.430
1	16	0.002	2	265	11	11	1	0.374
1	17	0.002	2	316	11	11	1	0.398
1	18	0.002	2	464	11	11	1	0.499
1	19	0.002	2	356	11	11	1	0.444
1	20	0.003	2	371	11	11	1	0.355
1	21	0.003	2	221	11	11	1	0.412
1	22	0.003	2	96	11	11	1	0.355
1	23	0.003	2	302	11	11	1	0.364
1	24	0.003	2	379	11	11	1	0.404
1	25	0.004	2	404	11	11	1	0.460
1	26	0.004	2	100	11	11	1	0.387
1	27	0.004	2	35	11	11	1	0.314
1	28	0.004	2	225	11	11	1	0.338
1	29	0.004	1	357	13	13	1	0.506
1	30	0.005	2	501	11	11	1	0.563
1	31	0.005	1	2	13	13	1	0.554
1	32	0.005	2	22	11	11	1	0.673
1	33	0.005	2	90	11	11	1	0.553
1	34	0.005	2	212	11	11	1	0.481
1	35	0.006	2	428	11	11	1	0.409
1	36	0.006	2	523	11	11	1	0.448
1	37	0.006	2	133	11	11	1	0.393
1	38	0.006	2	151	11	11	1	0.335
1	39	0.006	2	184	11	11	1	0.360
1	40	0.007	2	14	11	11	1	0.416
1	41	0.007	1	157	13	11	0	0.328
1	42	0.007	2	98	11	11	1	0.351
1	43	0.007	2	283	11	11	1	0.519
1	44	0.007	2	68	11	11	1	0.529
1	45	0.007	2	109	11	11	1	0.550
1	46	0.008	2	521	11	11	1	0.480
1	47	0.008	2	368	11	11	1	0.486
1	48	0.008	2	276	11	11	1	0.494
1	49	0.008	2	349	11	11	1	0.551
1	50	0.008	1	294	13	13	1	0.575
1	51	0.009	2	366	11	11	1	0.614
1	52	0.009	2	542	11	11	1	0.542
1	53	0.009	2	309	11	11	1	0.533
1	54	0.009	2	416	11	11	1	0.460
1	55	0.009	1	169	13	13	1	0.517
1	56	0.010	2	478	11	11	1	0.461
1	57	0.010	2	339	11	11	1	0.660
1	58	0.010	1	159	13	13	1	0.637
1	59	0.010	2	422	11	11	1	0.694
1	60	0.010	2	403	11	11	1	0.590
1	61	0.011	1	86	13	13	1	0.645
1	62	0.011	2	210	11	11	1	0.509
1	63	0.011	2	348	11	11	1	0.515
1	64	0.011	1	203	13	13	1	0.541
1	65	0.011	2	204	11	11	1	0.482
1	66	0.012	1	322	13	13	1	0.524
1	67	0.012	2	506	11	11	1	0.450
1	68	0.012	2	226	11	11	1	0.412
1	69	0.012	2	327	11	11	1	0.434
1	70	0.012	2	214	11	11	1	0.410
1	71	0.012	2	8	11	11	1	0.498
1	72	0.013	2	113	11	11	1	0.490
1	73	0.013	2	324	11	11	1	0.417
1	74	0.013	2	266	11	11	1	0.506
1	75	0.013	2	469	11	11	1	0.402
1	76	0.013	2	251	11	11	1	0.489
1	77	0.014	2	520	11	11	1	0.498
1	78	0.014	1	70	13	13	1	0.632
1	79	0.014	2	37	11	11	1	0.480
1	80	0.014	2	196	11	11	1	0.569
1	81	0.001	2	535	11	11	1	0.462
1	82	0.001	2	25	11	11	1	0.422
1	83	0.001	2	417	11	11	1	0.366
1	84	0.002	2	461	11	11	1	0.373
1	85	0.002	1	200	13	11	0	0.350
1	86	0.002	2	137	11	11	1	0.453
1	87	0.002	1	404	13	13	1	0.654
1	88	0.002	2	250	11	11	1	0.613
1	89	0.003	2	334	11	11	1	0.604
1	90	0.003	2	85	11	11	1	0.516
1	91	0.003	1	453	13	13	1	0.748
1	92	0.003	2	176	11	11	1	0.597
1	93	0.003	1	138	13	13	1	0.682
1	94	0.004	1	115	13	13	1	0.674
1	95	0.004	1	490	13	13	1	0.668
1	96	0.004	2	482	11	11	1	0.545
1	97	0.004	2	123	11	11	1	0.763
1	98	0.004	2	153	11	11	1	0.643
1	99	0.005	2	183	11	11	1	0.666
1	100	0.005	2	59	11	11	1	0.594
1	101	0.005	2	299	11	11	1	0.521
1	102	0.005	2	507	11	11	1	0.480
1	103	0.005	2	384	11	11	1	0.424
1	104	0.006	2	220	11	11	1	0.449
1	105	0.006	1	401	13	13	1	0.473
1	106	0.006	2	373	11	11	1	0.465
1	107	0.006	2	192	11	11	1	0.505
1	108	0.006	1	375	13	13	1	0.593
1	109	0.007	2	73	11	11	1	0.617
1	110	0.007	2	359	11	11	1	0.512
1	111	0.007	2	271	11	11	1	0.456
1	112	0.007	2	261	11	11	1	0.383
1	113	0.007	2	188	11	11	1	0.392
1	114	0.007	2	336	11	11	1	0.527
1	115	0.008	2	533	11	11	1	0.822
1	116	0.008	2	146	11	11	1	0.623
1	117	0.008	2	540	11	11	1	0.581
1	118	0.008	2	165	11	11	1	0.623
1	119	0.008	2	242	11	11	1	0.487
1	120	0.009	2	343	11	11	1	0.557
1	121	0.009	2	106	11	11	1	0.453
1	122	0.009	1	280	13	13	1	0.655
