
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 02-Jan-2015 10:14:54
* Seed: 208025.6221
* Subject Number: 57
* Subject Name: TW
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	1	20	11	NaN	0	NaN
1	2	0.013	1	255	11	11	1	0.236
1	3	0.013	1	329	11	11	1	0.483
1	4	0.013	1	81	11	11	1	0.315
1	5	0.014	1	353	11	11	1	0.370
1	6	0.014	1	136	11	11	1	0.411
1	7	0.014	1	4	11	11	1	0.386
1	8	0.014	1	124	11	11	1	0.313
1	9	0.001	2	379	13	11	0	0.352
1	10	0.001	1	144	11	11	1	0.854
1	11	0.001	1	464	11	11	1	0.830
1	12	0.002	1	166	11	11	1	0.727
1	13	0.002	1	149	11	11	1	0.703
1	14	0.002	2	425	13	13	1	0.677
1	15	0.002	1	252	11	11	1	0.717
1	16	0.002	1	541	11	11	1	0.646
1	17	0.003	1	51	11	11	1	0.558
1	18	0.003	1	421	11	11	1	0.503
1	19	0.003	2	471	13	13	1	0.653
1	20	0.003	1	342	11	NaN	0	NaN
1	21	0.003	1	131	11	11	1	0.030
1	22	0.004	1	463	11	11	1	0.069
1	23	0.004	1	319	11	11	1	0.301
1	24	0.004	1	125	11	11	1	0.374
1	25	0.004	1	451	11	11	1	0.413
1	26	0.004	1	54	11	11	1	0.388
1	27	0.004	2	535	13	13	1	0.382
1	28	0.005	2	8	13	11	0	0.485
1	29	0.005	1	356	11	11	1	0.587
1	30	0.005	1	370	11	11	1	0.771
1	31	0.005	1	379	11	11	1	0.604
1	32	0.005	1	304	11	11	1	0.482
1	33	0.006	1	344	11	11	1	0.604
1	34	0.006	1	259	11	11	1	0.562
1	35	0.006	1	471	11	NaN	0	NaN
1	36	0.006	1	194	11	11	1	0.564
1	37	0.006	1	426	11	11	1	0.570
1	38	0.007	1	337	11	11	1	0.450
1	39	0.007	1	367	11	11	1	0.442
1	40	0.007	1	79	11	11	1	0.578
1	41	0.007	1	88	11	11	1	0.635
1	42	0.007	1	140	11	11	1	0.499
1	43	0.008	1	249	11	11	1	0.537
1	44	0.008	1	80	11	11	1	0.642
1	45	0.008	1	40	11	11	1	0.617
1	46	0.008	1	257	11	11	1	0.642
1	47	0.008	1	309	11	11	1	0.713
1	48	0.009	1	402	11	11	1	0.623
1	49	0.009	1	130	11	11	1	0.569
1	50	0.009	1	175	11	11	1	0.512
1	51	0.009	1	197	11	11	1	0.457
1	52	0.009	1	403	11	11	1	0.416
1	53	0.010	1	418	11	11	1	0.361
1	54	0.010	1	414	11	11	1	0.398
1	55	0.010	1	231	11	11	1	0.279
1	56	0.010	1	227	11	11	1	0.398
1	57	0.010	1	298	11	11	1	0.375
1	58	0.010	1	434	11	11	1	0.351
1	59	0.011	1	222	11	11	1	0.406
1	60	0.011	1	52	11	11	1	0.366
1	61	0.011	1	537	11	11	1	0.357
1	62	0.011	1	454	11	11	1	0.381
1	63	0.011	1	196	11	11	1	0.341
1	64	0.012	1	357	11	11	1	0.380
1	65	0.012	1	154	11	11	1	0.421
1	66	0.012	1	12	11	11	1	0.349
1	67	0.012	1	322	11	11	1	0.310
1	68	0.012	1	299	11	11	1	0.301
1	69	0.013	1	333	11	11	1	0.323
1	70	0.013	1	209	11	11	1	0.316
1	71	0.013	1	27	11	11	1	0.387
1	72	0.013	1	389	11	11	1	0.332
1	73	0.013	1	520	11	11	1	0.308
1	74	0.014	1	171	11	11	1	0.332
1	75	0.014	1	34	11	11	1	0.292
1	76	0.014	1	375	11	11	1	0.266
1	77	0.014	1	311	11	11	1	0.225
1	78	0.001	1	239	11	11	1	0.231
1	79	0.001	1	527	11	11	1	0.303
1	80	0.001	2	168	13	11	0	0.312
1	81	0.002	1	272	11	11	1	0.704
1	82	0.002	1	173	11	11	1	0.664
1	83	0.002	1	75	11	11	1	0.798
1	84	0.002	1	524	11	11	1	0.742
1	85	0.002	1	364	11	11	1	0.704
1	86	0.003	1	63	11	11	1	0.582
1	87	0.003	1	511	11	11	1	0.510
1	88	0.003	2	481	13	13	1	0.631
1	89	0.003	1	261	11	11	1	0.719
1	90	0.003	1	447	11	11	1	0.615
1	91	0.004	2	153	13	13	1	0.477
1	92	0.004	1	312	11	11	1	0.388
1	93	0.004	1	300	11	11	1	0.540
1	94	0.004	1	546	11	11	1	0.454
1	95	0.004	1	466	11	11	1	0.395
1	96	0.004	1	406	11	11	1	0.403
1	97	0.005	1	347	11	11	1	0.397
1	98	0.005	1	216	11	11	1	0.371
1	99	0.005	1	326	11	11	1	0.346
1	100	0.005	1	23	11	11	1	0.339
1	101	0.005	2	295	13	11	0	0.603
1	102	0.006	1	473	11	11	1	0.564
1	103	0.006	1	517	11	11	1	0.506
1	104	0.006	1	412	11	11	1	0.500
1	105	0.006	1	159	11	11	1	0.489
1	106	0.006	1	483	11	11	1	0.547
1	107	0.007	1	121	11	11	1	0.441
1	108	0.007	1	448	11	11	1	0.385
1	109	0.007	1	424	11	11	1	0.315
1	110	0.007	1	118	11	11	1	0.353
1	111	0.007	1	291	11	11	1	0.553
1	112	0.008	1	69	11	11	1	0.465
1	113	0.008	1	324	11	11	1	0.425
1	114	0.008	1	423	11	11	1	0.401
1	115	0.008	1	348	11	11	1	0.361
1	116	0.008	1	542	11	11	1	0.400
1	117	0.009	1	21	11	11	1	0.343
1	118	0.009	1	547	11	11	1	0.335
1	119	0.009	2	518	13	11	0	0.279
1	120	0.009	1	189	11	11	1	0.367
1	121	0.009	1	531	11	11	1	0.377
1	122	0.010	1	181	11	11	1	0.480
1	123	0.010	2	474	13	13	1	0.681
1	124	0.010	1	42	11	11	1	0.608
1	125	0.010	1	508	11	11	1	0.551
1	126	0.010	1	303	11	11	1	0.495
1	127	0.011	1	305	11	11	1	0.488
1	128	0.011	2	277	13	13	1	0.462
1	129	0.011	1	269	11	11	1	0.375
1	130	0.011	1	391	11	13	0	0.397
1	131	0.011	1	200	11	11	1	0.759
1	132	0.011	2	457	13	13	1	0.621
1	133	0.012	1	123	11	11	1	0.550
1	134	0.012	1	147	11	11	1	0.556
1	135	0.012	2	182	13	13	1	0.581
1	136	0.012	1	19	11	11	1	0.525
1	137	0.012	1	396	11	11	1	0.502
1	138	0.013	1	218	11	11	1	0.428
1	139	0.013	1	376	11	13	0	0.499
1	140	0.013	1	480	11	11	1	0.411
1	141	0.013	1	318	11	11	1	0.420
1	142	0.013	1	152	11	11	1	0.459
1	143	0.014	1	275	11	11	1	0.370
1	144	0.014	1	155	11	11	1	0.380
1	145	0.014	1	474	11	11	1	0.371
