
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 26-Jan-2015 11:13:27
* Seed: 207092.7761
* Subject Number: 58
* Subject Name: JP
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.006	2	16	11	11	1	0.744
1	2	0.006	2	169	11	11	1	0.673
1	3	0.006	2	368	11	11	1	0.551
1	4	0.006	2	15	11	11	1	0.608
1	5	0.006	2	12	11	11	1	0.520
1	6	0.006	2	196	11	11	1	0.607
1	7	0.007	2	377	11	11	1	0.502
1	8	0.007	2	36	11	11	1	0.463
1	9	0.007	2	379	11	11	1	0.471
1	10	0.007	2	512	11	11	1	0.478
1	11	0.007	2	273	11	11	1	0.502
1	12	0.008	2	417	11	11	1	0.510
1	13	0.008	2	232	11	11	1	0.485
1	14	0.008	1	399	13	13	1	0.845
1	15	0.008	2	92	11	11	1	0.614
1	16	0.008	2	360	11	11	1	0.556
1	17	0.009	2	369	11	11	1	0.438
1	18	0.009	2	309	11	11	1	0.557
1	19	0.009	1	438	13	13	1	0.613
1	20	0.009	2	372	11	11	1	0.557
1	21	0.009	2	396	11	11	1	0.565
1	22	0.010	2	543	11	11	1	0.508
1	23	0.010	2	319	11	11	1	0.659
1	24	0.010	2	462	11	11	1	0.717
1	25	0.010	2	210	11	11	1	0.547
1	26	0.010	2	357	11	11	1	0.603
1	27	0.011	2	430	11	11	1	0.722
1	28	0.011	2	464	11	11	1	0.716
1	29	0.011	2	432	11	11	1	0.578
1	30	0.011	2	109	11	11	1	0.747
1	31	0.011	2	254	11	11	1	0.546
1	32	0.012	2	295	11	11	1	0.569
1	33	0.012	1	85	13	13	1	0.738
1	34	0.012	2	342	11	11	1	0.585
1	35	0.012	2	190	11	11	1	0.867
1	36	0.012	2	238	11	11	1	0.648
1	37	0.012	2	521	11	11	1	0.464
1	38	0.013	2	144	11	11	1	0.489
1	39	0.013	2	348	11	11	1	0.497
1	40	0.013	2	475	11	11	1	0.457
1	41	0.013	2	234	11	11	1	0.401
1	42	0.013	2	147	11	11	1	0.488
1	43	0.014	2	114	11	11	1	0.495
1	44	0.014	1	416	13	13	1	0.536
1	45	0.014	2	104	11	11	1	0.480
1	46	0.014	2	400	11	11	1	0.615
1	47	0.001	2	415	11	11	1	0.556
1	48	0.001	2	456	11	11	1	0.501
1	49	0.001	1	240	13	11	0	0.477
1	50	0.002	1	298	13	11	0	0.517
1	51	0.002	1	492	13	11	0	0.555
1	52	0.002	2	95	11	11	1	0.531
1	53	0.002	2	480	11	11	1	0.604
1	54	0.002	2	158	11	11	1	0.548
1	55	0.003	2	106	11	11	1	0.555
1	56	0.003	2	154	11	11	1	0.578
1	57	0.003	2	280	11	11	1	0.538
1	58	0.003	2	124	11	11	1	0.417
1	59	0.003	2	38	11	11	1	0.459
1	60	0.004	2	202	11	11	1	0.578
1	61	0.004	2	88	11	11	1	0.554
1	62	0.004	2	511	11	11	1	0.531
1	63	0.004	2	77	11	11	1	0.602
1	64	0.004	2	343	11	11	1	0.640
1	65	0.005	1	276	13	13	1	0.617
1	66	0.005	2	189	11	11	1	0.578
1	67	0.005	2	27	11	11	1	0.520
1	68	0.005	2	128	11	11	1	0.463
1	69	0.005	2	435	11	11	1	0.425
1	70	0.006	2	544	11	11	1	0.418
1	71	0.006	2	91	11	11	1	0.455
1	72	0.006	2	292	11	11	1	0.432
1	73	0.006	2	414	11	11	1	0.440
1	74	0.006	2	216	11	11	1	0.448
