
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 02-Feb-2015 10:04:13
* Seed: 208870.1934
* Subject Number: 59
* Subject Name: TB
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	226	11	11	1	0.764
1	2	0.012	1	246	11	11	1	0.789
1	3	0.012	1	481	11	11	1	0.765
1	4	0.013	1	513	11	11	1	0.771
1	5	0.013	1	30	11	11	1	0.827
1	6	0.013	1	89	11	11	1	0.801
1	7	0.013	1	63	11	11	1	0.857
1	8	0.013	1	281	11	11	1	0.737
1	9	0.013	1	175	11	11	1	0.747
1	10	0.014	1	260	11	11	1	0.723
1	11	0.014	1	480	11	11	1	0.729
1	12	0.014	1	448	11	11	1	0.817
1	13	0.014	1	179	11	11	1	0.731
1	14	0.001	1	82	11	11	1	0.622
1	15	0.001	1	438	11	11	1	0.759
1	16	0.001	1	532	11	11	1	0.654
1	17	0.002	1	117	11	11	1	0.806
1	18	0.002	1	24	11	11	1	0.735
1	19	0.002	1	433	11	11	1	0.678
1	20	0.002	1	55	11	11	1	0.476
1	21	0.002	2	180	13	11	0	0.102
1	22	0.003	1	367	11	11	1	0.652
1	23	0.003	1	227	11	11	1	0.707
1	24	0.003	1	79	11	11	1	0.731
1	25	0.003	1	449	11	11	1	0.691
1	26	0.003	1	425	11	11	1	0.748
1	27	0.004	1	334	11	11	1	0.756
1	28	0.004	2	212	13	13	1	0.699
1	29	0.004	1	217	11	11	1	0.579
1	30	0.004	1	524	11	11	1	0.733
1	31	0.004	1	143	11	11	1	0.770
1	32	0.005	1	108	11	11	1	0.730
1	33	0.005	1	343	11	11	1	0.786
1	34	0.005	1	51	11	11	1	0.779
1	35	0.005	1	387	11	11	1	0.802
1	36	0.005	1	152	11	11	1	0.746
1	37	0.006	1	476	11	11	1	0.882
1	38	0.006	2	526	13	NaN	0	NaN
1	39	0.006	1	525	11	11	1	0.737
1	40	0.006	1	340	11	11	1	0.649
1	41	0.006	1	502	11	11	1	0.850
