
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 02-Feb-2015 10:34:30
* Seed: 207784.4418
* Subject Number: 60
* Subject Name: ZM
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	475	11	11	1	0.636
1	2	0.013	2	324	11	11	1	0.628
1	3	0.013	2	216	11	11	1	0.459
1	4	0.013	2	234	11	11	1	0.435
1	5	0.013	2	387	11	11	1	0.363
1	6	0.013	2	294	11	11	1	0.404
1	7	0.013	2	474	11	11	1	0.396
1	8	0.014	2	21	11	11	1	0.483
1	9	0.014	2	208	11	11	1	0.508
1	10	0.014	2	525	11	11	1	0.418
1	11	0.014	2	502	11	11	1	0.379
1	12	0.001	2	15	11	11	1	0.559
1	13	0.001	2	116	11	NaN	0	NaN
1	14	0.001	2	80	11	11	1	0.719
1	15	0.002	2	433	11	11	1	0.470
1	16	0.002	2	87	11	11	1	0.431
1	17	0.002	2	78	11	11	1	0.472
1	18	0.002	2	304	11	11	1	0.430
1	19	0.002	2	470	11	11	1	0.342
1	20	0.003	2	4	11	11	1	0.365
1	21	0.003	2	436	11	11	1	0.597
1	22	0.003	2	279	11	11	1	0.607
1	23	0.003	2	27	11	11	1	0.484
1	24	0.003	2	501	11	11	1	0.383
1	25	0.004	2	52	11	11	1	0.357
1	26	0.004	2	100	11	11	1	0.382
1	27	0.004	2	196	11	11	1	0.436
1	28	0.004	2	373	11	11	1	0.363
1	29	0.004	2	311	11	11	1	0.309
1	30	0.004	2	107	11	11	1	0.237
1	31	0.005	2	136	11	11	1	0.260
1	32	0.005	2	61	11	11	1	0.268
1	33	0.005	2	165	11	11	1	0.227
1	34	0.005	2	224	11	11	1	0.186
1	35	0.006	1	522	13	11	0	0.196
1	36	0.006	2	316	11	11	1	0.507
1	37	0.006	2	254	11	11	1	0.466
1	38	0.006	2	220	11	11	1	0.377
1	39	0.006	2	230	11	11	1	0.355
1	40	0.007	1	466	13	11	0	0.473
1	41	0.007	2	543	11	11	1	0.593
1	42	0.007	2	288	11	11	1	0.728
1	43	0.007	2	343	11	11	1	0.752
1	44	0.007	2	182	11	11	1	0.521
1	45	0.008	2	195	11	11	1	0.530
1	46	0.008	2	411	11	11	1	0.522
1	47	0.008	2	112	11	11	1	0.496
1	48	0.008	2	35	11	11	1	0.504
1	49	0.008	2	283	11	11	1	0.513
1	50	0.008	2	494	11	11	1	0.455
1	51	0.009	2	469	11	11	1	0.465
1	52	0.009	2	306	11	11	1	0.391
1	53	0.009	2	74	11	11	1	0.464
1	54	0.009	1	129	13	11	0	0.457
1	55	0.009	1	533	13	11	0	0.527
1	56	0.010	2	459	11	11	1	0.503
1	57	0.010	2	531	11	11	1	0.496
1	58	0.010	2	362	11	11	1	0.552
1	59	0.010	2	370	11	11	1	0.381
1	60	0.010	2	143	11	11	1	0.599
1	61	0.011	2	435	11	11	1	0.445
1	62	0.011	2	113	11	11	1	0.390
1	63	0.011	2	322	11	11	1	0.317
1	64	0.011	2	293	11	11	1	0.261
1	65	0.011	2	22	11	11	1	0.316
1	66	0.012	2	25	11	11	1	0.325
1	67	0.012	2	114	11	11	1	0.381
1	68	0.012	2	485	11	11	1	0.373
1	69	0.012	2	266	11	11	1	0.412
1	70	0.012	2	286	11	11	1	0.419
1	71	0.013	1	113	13	11	0	0.300
1	72	0.013	2	391	11	11	1	0.515
1	73	0.013	2	398	11	11	1	0.475
1	74	0.013	2	386	11	11	1	0.564
1	75	0.013	2	380	11	11	1	0.476
1	76	0.013	2	90	11	11	1	0.420
1	77	0.014	2	55	11	11	1	0.410
1	78	0.014	2	454	11	11	1	0.450
1	79	0.014	2	82	11	11	1	0.411
1	80	0.014	2	23	11	11	1	0.435
1	81	0.001	2	473	11	11	1	0.409
1	82	0.001	1	327	13	13	1	0.591
1	83	0.001	1	454	13	13	1	0.727
1	84	0.002	2	155	11	11	1	0.686
1	85	0.002	2	126	11	11	1	0.726
1	86	0.002	2	517	11	11	1	0.654
1	87	0.002	2	273	11	11	1	0.549
1	88	0.002	2	432	11	11	1	0.558
1	89	0.003	2	443	11	11	1	0.422
1	90	0.003	2	260	11	11	1	0.397
1	91	0.003	2	497	11	11	1	0.342
1	92	0.003	1	244	13	11	0	0.447
1	93	0.003	2	41	11	11	1	0.389
1	94	0.004	2	415	11	11	1	0.412
1	95	0.004	2	89	11	11	1	0.438
1	96	0.004	2	523	11	11	1	0.446
1	97	0.004	1	195	13	11	0	0.388
1	98	0.004	2	427	11	11	1	0.412
1	99	0.005	2	111	11	11	1	0.406
1	100	0.005	2	295	11	11	1	0.413
1	101	0.005	2	326	11	11	1	0.388
1	102	0.005	2	238	11	11	1	0.316
1	103	0.005	2	84	11	11	1	0.274
1	104	0.006	2	476	11	11	1	0.410
1	105	0.006	2	122	11	11	1	0.258
1	106	0.006	1	249	13	11	0	0.107
1	107	0.006	2	239	11	11	1	0.114
1	108	0.006	2	194	11	11	1	0.858
1	109	0.007	2	219	11	11	1	0.721
1	110	0.007	2	521	11	11	1	0.667
1	111	0.007	2	85	11	11	1	0.418
1	112	0.007	2	327	11	11	1	0.457
1	113	0.007	2	530	11	11	1	0.323
1	114	0.008	1	283	13	11	0	0.296
1	115	0.008	2	121	11	11	1	0.546
1	116	0.008	2	92	11	11	1	0.250
1	117	0.008	2	93	11	11	1	0.127
1	118	0.008	2	232	11	11	1	0.601
1	119	0.008	1	182	13	11	0	0.447
1	120	0.009	2	9	11	11	1	0.425
1	121	0.009	2	180	11	11	1	0.224
1	122	0.009	2	507	11	11	1	0.200
1	123	0.009	2	98	11	11	1	0.305
1	124	0.009	1	497	13	13	1	0.472
1	125	0.010	1	2	13	13	1	0.576
1	126	0.010	2	478	11	11	1	0.550
1	127	0.010	2	97	11	11	1	0.462
1	128	0.010	2	406	11	11	1	0.407
1	129	0.010	2	533	11	11	1	0.319
1	130	0.011	2	346	11	11	1	0.341
1	131	0.011	1	442	13	11	0	0.318
1	132	0.011	2	201	11	11	1	0.487
1	133	0.011	2	301	11	11	1	0.303
1	134	0.011	2	258	11	11	1	0.276
1	135	0.012	2	338	11	11	1	0.253
1	136	0.012	2	240	11	11	1	0.308
1	137	0.012	2	352	11	11	1	0.444
1	138	0.012	2	156	11	11	1	0.310
1	139	0.012	2	516	11	11	1	0.828
1	140	0.013	2	401	11	11	1	0.532
1	141	0.013	2	167	11	11	1	0.413
1	142	0.013	2	550	11	11	1	0.388
1	143	0.013	2	270	11	11	1	0.300
1	144	0.013	2	178	11	11	1	0.276
1	145	0.014	2	14	11	11	1	0.282
1	146	0.014	2	506	11	11	1	0.403
1	147	0.014	1	280	13	11	0	0.556
1	148	0.014	2	466	11	11	1	0.563
1	149	0.001	2	164	11	11	1	0.393
1	150	0.001	2	228	11	11	1	0.287
1	151	0.001	2	54	11	11	1	0.134
1	152	0.001	2	130	11	11	1	0.879
1	153	0.002	2	369	11	11	1	0.710
1	154	0.002	2	231	11	11	1	0.543
1	155	0.002	2	214	11	11	1	0.454
1	156	0.002	1	186	13	11	0	0.349
1	157	0.002	1	17	13	11	0	0.262
1	158	0.003	2	272	11	13	0	0.126
1	159	0.003	2	77	11	11	1	0.788
1	160	0.003	2	511	11	11	1	0.655
1	161	0.003	2	419	11	11	1	0.469
1	162	0.003	2	275	11	11	1	0.316
1	163	0.004	2	152	11	11	1	0.230
1	164	0.004	2	56	11	11	1	0.364
1	165	0.004	2	407	11	11	1	0.245
1	166	0.004	2	153	11	11	1	0.126
1	167	0.004	2	328	11	11	1	0.117
1	168	0.005	2	170	11	11	1	0.012
1	169	0.005	2	300	11	11	1	0.036
1	170	0.005	2	101	11	11	1	0.811
1	171	0.005	2	227	11	11	1	0.724
1	172	0.005	2	540	11	11	1	0.554
1	173	0.006	2	60	11	11	1	0.357
1	174	0.006	2	513	11	11	1	0.316
1	175	0.006	2	181	11	11	1	0.260
1	176	0.006	2	482	11	11	1	0.185
1	177	0.006	2	477	11	11	1	0.018
1	178	0.007	2	408	11	11	1	0.041
1	179	0.007	2	221	11	NaN	0	NaN
1	180	0.007	2	484	11	11	1	0.202
1	181	0.007	2	193	11	11	1	0.130
1	182	0.007	2	333	11	11	1	0.056
1	183	0.008	1	26	13	13	1	0.786
1	184	0.008	2	128	11	11	1	0.777
1	185	0.008	2	434	11	11	1	0.641
1	186	0.008	2	377	11	11	1	0.474
1	187	0.008	2	302	11	11	1	0.399
1	188	0.008	2	298	11	11	1	0.343
1	189	0.009	2	291	11	11	1	0.287
1	190	0.009	1	86	13	11	0	0.295
1	191	0.009	2	416	11	11	1	0.399
1	192	0.009	2	6	11	11	1	0.296
1	193	0.009	2	268	11	11	1	0.078
1	194	0.010	2	212	11	11	1	0.503
1	195	0.010	1	391	13	11	0	0.128
1	196	0.010	2	188	11	13	0	0.039
1	197	0.010	2	26	11	11	1	0.352
1	198	0.010	2	350	11	11	1	0.230
1	199	0.011	2	1	11	11	1	0.669
1	200	0.011	2	495	11	11	1	0.423
1	201	0.011	1	80	13	11	0	0.095
1	202	0.011	2	119	11	NaN	0	NaN
1	203	0.011	2	237	11	11	1	0.062
1	204	0.012	2	103	11	11	1	0.628
1	205	0.012	2	186	11	11	1	0.348
1	206	0.012	2	278	11	11	1	0.309
1	207	0.012	2	20	11	11	1	0.173
1	208	0.012	1	518	13	11	0	0.676
1	209	0.013	2	441	11	11	1	0.379
1	210	0.013	2	546	11	11	1	0.244
1	211	0.013	2	399	11	11	1	0.653
1	212	0.013	2	344	11	11	1	0.515
1	213	0.013	2	487	11	11	1	0.237
1	214	0.014	2	68	11	11	1	0.738
1	215	0.014	2	446	11	11	1	0.508
1	216	0.014	2	131	11	11	1	0.292
1	217	0.014	2	463	11	11	1	0.091
1	218	0.001	2	336	11	11	1	0.512
1	219	0.001	2	281	11	11	1	0.199
1	220	0.001	1	143	13	11	0	0.864
1	221	0.002	2	11	11	11	1	0.599
1	222	0.002	2	187	11	11	1	0.094
1	223	0.002	2	351	11	11	1	0.086
1	224	0.002	2	371	11	11	1	0.832
1	225	0.002	2	18	11	11	1	0.581
1	226	0.002	2	259	11	11	1	0.286
1	227	0.003	2	503	11	11	1	0.230
1	228	0.003	1	479	13	11	0	0.030
1	229	0.003	2	190	11	11	1	0.085
1	230	0.003	2	8	11	11	1	0.253
1	231	0.003	2	2	11	11	1	0.068
1	232	0.004	2	168	11	11	1	0.622
1	233	0.004	2	385	11	11	1	0.565
1	234	0.004	2	312	11	11	1	0.445
1	235	0.004	2	129	11	11	1	0.372
1	236	0.004	2	534	11	11	1	0.220
1	237	0.005	2	191	11	11	1	0.021
1	238	0.005	2	297	11	11	1	0.571
1	239	0.005	2	457	11	11	1	0.354
1	240	0.005	2	88	11	11	1	0.203
1	241	0.005	2	358	11	11	1	0.068
1	242	0.006	1	279	13	11	0	0.587
1	243	0.006	2	335	11	11	1	0.322
1	244	0.006	2	404	11	11	1	0.234
1	245	0.006	2	39	11	11	1	0.626
1	246	0.006	2	199	11	11	1	0.444
1	247	0.007	2	197	11	11	1	0.305
1	248	0.007	2	202	11	11	1	0.203
1	249	0.007	2	38	11	11	1	0.787
1	250	0.007	2	289	11	11	1	0.490
1	251	0.007	2	67	11	11	1	0.274
1	252	0.007	1	97	13	11	0	0.330
1	253	0.008	2	389	11	11	1	0.145
1	254	0.008	2	422	11	11	1	0.729
1	255	0.008	2	492	11	11	1	0.369
1	256	0.008	2	488	11	11	1	0.393
1	257	0.008	2	296	11	11	1	0.080
1	258	0.009	1	449	13	11	0	0.711
