
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 02-Feb-2015 11:04:28
* Seed: 204661.128
* Subject Number: 61
* Subject Name: NN
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	375	11	11	1	0.732
1	2	0.013	1	358	11	11	1	0.548
1	3	0.013	1	220	11	11	1	0.539
1	4	0.013	1	417	11	11	1	0.882
1	5	0.013	1	33	11	11	1	0.715
1	6	0.013	1	78	11	11	1	0.660
1	7	0.013	1	324	11	11	1	0.569
1	8	0.014	1	480	11	11	1	0.451
1	9	0.014	1	230	11	11	1	0.442
1	10	0.014	1	53	11	11	1	0.785
1	11	0.014	1	212	11	11	1	0.601
1	12	0.001	1	469	11	13	0	0.688
1	13	0.001	1	167	11	NaN	0	NaN
1	14	0.001	1	241	11	NaN	0	NaN
1	15	0.002	1	499	11	11	1	0.517
1	16	0.002	1	144	11	11	1	0.431
1	17	0.002	1	90	11	11	1	0.501
1	18	0.002	1	529	11	11	1	0.495
1	19	0.002	1	67	11	11	1	0.580
1	20	0.003	1	32	11	11	1	0.510
1	21	0.003	1	118	11	11	1	0.468
1	22	0.003	1	237	11	11	1	0.556
1	23	0.003	1	37	11	11	1	0.483
1	24	0.003	1	459	11	11	1	0.508
1	25	0.004	1	137	11	11	1	0.484
1	26	0.004	2	299	13	11	0	0.493
1	27	0.004	1	77	11	11	1	0.836
1	28	0.004	2	95	13	13	1	0.748
1	29	0.004	1	394	11	11	1	0.581
1	30	0.004	1	233	11	11	1	0.604
1	31	0.005	1	298	11	11	1	0.818
1	32	0.005	1	520	11	11	1	0.891
1	33	0.005	1	141	11	11	1	0.595
1	34	0.005	1	15	11	11	1	0.540
1	35	0.005	1	27	11	11	1	0.499
1	36	0.006	1	21	11	11	1	0.635
1	37	0.006	1	210	11	11	1	0.481
1	38	0.006	1	495	11	11	1	0.441
1	39	0.006	1	433	11	11	1	0.512
1	40	0.007	1	363	11	11	1	0.538
1	41	0.007	1	83	11	11	1	0.434
1	42	0.007	1	415	11	11	1	0.490
1	43	0.007	1	471	11	11	1	0.576
1	44	0.007	1	370	11	11	1	0.520
1	45	0.007	1	452	11	11	1	0.641
1	46	0.008	1	314	11	11	1	0.472
1	47	0.008	1	176	11	11	1	0.415
1	48	0.008	1	421	11	11	1	0.392
1	49	0.008	1	265	11	11	1	0.304
1	50	0.008	1	247	11	11	1	0.297
1	51	0.009	1	200	11	11	1	0.400
1	52	0.009	2	359	13	11	0	0.311
1	53	0.009	1	160	11	11	1	0.255
1	54	0.009	1	256	11	11	1	0.360
1	55	0.009	1	125	11	11	1	0.430
1	56	0.010	1	292	11	11	1	0.421
1	57	0.010	1	143	11	11	1	0.429
1	58	0.010	1	87	11	11	1	0.485
1	59	0.010	1	500	11	11	1	0.397
1	60	0.010	1	353	11	11	1	0.420
1	61	0.011	1	403	11	11	1	0.332
1	62	0.011	1	328	11	11	1	0.375
1	63	0.011	1	269	11	11	1	0.478
1	64	0.011	2	253	13	11	0	0.516
1	65	0.011	1	71	11	11	1	0.493
1	66	0.012	1	527	11	11	1	0.502
1	67	0.012	1	40	11	11	1	0.605
1	68	0.012	1	163	11	11	1	0.644
1	69	0.012	1	439	11	11	1	0.669
1	70	0.012	1	45	11	11	1	0.660
1	71	0.013	1	547	11	11	1	0.667
1	72	0.013	1	512	11	11	1	0.757
1	73	0.013	1	523	11	11	1	0.556
1	74	0.013	1	407	11	11	1	0.516
1	75	0.013	1	342	11	11	1	0.554
1	76	0.013	1	519	11	11	1	0.594
1	77	0.014	1	84	11	13	0	0.603
1	78	0.014	1	484	11	11	1	0.754
1	79	0.014	2	275	13	11	0	0.777
1	80	0.014	1	172	11	11	1	0.609
1	81	0.001	1	221	11	11	1	0.566
1	82	0.001	1	349	11	11	1	0.478
1	83	0.001	1	291	11	11	1	0.439
1	84	0.002	1	46	11	11	1	0.431
1	85	0.002	1	131	11	11	1	0.343
1	86	0.002	1	205	11	11	1	0.398
1	87	0.002	1	225	11	11	1	0.695
1	88	0.002	2	167	13	13	1	0.652
1	89	0.003	1	308	11	11	1	0.517
1	90	0.003	1	357	11	11	1	0.461
1	91	0.003	1	128	11	11	1	0.452
1	92	0.003	1	214	11	11	1	0.396
1	93	0.003	1	383	11	11	1	0.373
1	94	0.004	2	476	13	11	0	0.796
1	95	0.004	1	318	11	11	1	0.500
1	96	0.004	1	201	11	11	1	0.492
1	97	0.004	1	369	11	11	1	0.483
1	98	0.004	1	330	11	11	1	0.699
1	99	0.005	1	138	11	11	1	0.660
1	100	0.005	1	485	11	11	1	0.604
1	101	0.005	1	398	11	11	1	0.611
1	102	0.005	2	280	13	13	1	0.618
1	103	0.005	1	96	11	11	1	0.724
1	104	0.006	1	442	11	11	1	0.587
1	105	0.006	1	293	11	11	1	0.467
1	106	0.006	1	95	11	11	1	0.458
1	107	0.006	1	295	11	11	1	0.546
1	108	0.006	1	17	11	11	1	0.491
1	109	0.007	1	311	11	11	1	0.498
1	110	0.007	1	416	11	11	1	0.474
1	111	0.007	1	388	11	11	1	0.496
1	112	0.007	2	361	13	13	1	0.681
1	113	0.007	1	135	11	11	1	0.624
1	114	0.008	1	343	11	11	1	0.505
1	115	0.008	1	456	11	11	1	0.495
1	116	0.008	1	26	11	11	1	0.457
1	117	0.008	1	280	11	11	1	0.385
1	118	0.008	1	350	11	11	1	0.408
1	119	0.008	1	268	11	11	1	0.336
1	120	0.009	1	546	11	11	1	0.408
1	121	0.009	1	57	11	11	1	0.479
1	122	0.009	2	259	13	11	0	0.472
1	123	0.009	1	86	11	11	1	0.544
1	124	0.009	1	115	11	11	1	0.614
1	125	0.010	1	521	11	11	1	0.494
1	126	0.010	2	506	13	11	0	0.533
1	127	0.010	1	243	11	11	1	0.494
1	128	0.010	1	267	11	11	1	0.549
1	129	0.010	1	549	11	11	1	0.782
1	130	0.011	1	522	11	11	1	0.726
