
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 02-Feb-2015 11:41:28
* Seed: 208305.0343
* Subject Number: 62
* Subject Name: IN
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	157	11	11	1	0.774
1	2	0.013	1	443	13	13	1	0.683
1	3	0.013	2	11	11	11	1	0.644
1	4	0.013	1	467	13	13	1	0.540
1	5	0.013	2	249	11	11	1	0.852
1	6	0.013	1	191	13	13	1	0.684
1	7	0.014	2	4	11	11	1	0.660
1	8	0.014	2	197	11	11	1	0.539
1	9	0.014	2	111	11	13	0	0.548
1	10	0.014	2	183	11	11	1	0.828
1	11	0.001	2	495	11	11	1	0.656
1	12	0.001	2	78	11	11	1	0.855
1	13	0.001	2	512	11	11	1	0.687
1	14	0.002	2	492	11	11	1	0.566
1	15	0.002	2	520	11	11	1	0.608
1	16	0.002	2	442	11	11	1	0.599
1	17	0.002	1	479	13	13	1	0.784
1	18	0.002	2	273	11	11	1	0.727
1	19	0.003	1	60	13	13	1	0.878
1	20	0.003	2	401	11	11	1	0.661
1	21	0.003	2	139	11	NaN	0	NaN
1	22	0.003	2	279	11	11	1	0.149
1	23	0.003	2	16	11	11	1	0.477
1	24	0.003	2	229	11	11	1	0.566
1	25	0.004	2	138	11	11	1	0.542
1	26	0.004	2	534	11	11	1	0.485
1	27	0.004	2	97	11	11	1	0.444
1	28	0.004	2	388	11	11	1	0.533
1	29	0.004	2	194	11	11	1	0.525
1	30	0.005	1	184	13	11	0	0.515
1	31	0.005	2	141	11	11	1	0.539
1	32	0.005	1	54	13	13	1	0.629
1	33	0.005	1	281	13	13	1	0.731
1	34	0.005	2	263	11	11	1	0.610
1	35	0.006	2	244	11	11	1	0.491
1	36	0.006	2	505	11	11	1	0.612
1	37	0.006	2	433	11	11	1	0.539
1	38	0.006	1	133	13	13	1	0.676
1	39	0.006	2	198	11	11	1	0.569
1	40	0.007	2	452	11	11	1	0.481
1	41	0.007	2	8	11	11	1	0.555
