
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 10:34:46
* Seed: 208940.9467
* Subject Number: 63
* Subject Name: AA
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	55	11	11	1	0.628
1	2	0.012	1	158	11	13	0	0.716
1	3	0.013	1	496	11	11	1	0.740
1	4	0.013	1	135	11	11	1	0.650
1	5	0.013	1	326	11	11	1	0.723
1	6	0.013	1	317	11	11	1	0.682
1	7	0.013	1	471	11	NaN	0	NaN
1	8	0.014	1	79	11	11	1	0.744
1	9	0.014	1	306	11	11	1	0.595
1	10	0.014	1	451	11	11	1	0.506
1	11	0.014	1	294	11	11	1	0.466
1	12	0.001	2	500	13	11	0	0.582
1	13	0.001	1	15	11	11	1	0.622
1	14	0.001	1	223	11	13	0	0.535
1	15	0.002	1	259	11	11	1	0.444
1	16	0.002	1	402	11	11	1	0.694
1	17	0.002	1	132	11	11	1	0.429
1	18	0.002	1	298	11	11	1	0.438
1	19	0.002	2	418	13	11	0	0.413
1	20	0.003	2	140	13	13	1	0.629
1	21	0.003	1	174	11	11	1	0.477
1	22	0.003	1	264	11	11	1	0.452
1	23	0.003	1	385	11	11	1	0.524
1	24	0.003	1	44	11	11	1	0.437
1	25	0.004	1	192	11	11	1	0.508
1	26	0.004	1	455	11	11	1	0.548
1	27	0.004	1	476	11	11	1	0.492
1	28	0.004	2	85	13	13	1	0.595
1	29	0.004	1	522	11	11	1	0.508
1	30	0.005	1	1	11	11	1	0.499
1	31	0.005	1	31	11	11	1	0.876
1	32	0.005	1	433	11	11	1	0.659
1	33	0.005	1	363	11	11	1	0.507
1	34	0.005	1	115	11	11	1	0.545
1	35	0.006	1	49	11	11	1	0.410
1	36	0.006	1	417	11	11	1	0.387
1	37	0.006	2	318	13	13	1	0.617
1	38	0.006	1	262	11	11	1	0.578
1	39	0.006	1	468	11	11	1	0.522
1	40	0.007	1	530	11	11	1	0.369
1	41	0.007	2	69	13	13	1	0.520
1	42	0.007	1	183	11	11	1	0.641
1	43	0.007	1	439	11	11	1	0.490
1	44	0.007	1	164	11	11	1	0.416
1	45	0.007	1	347	11	11	1	0.649
1	46	0.008	1	227	11	11	1	0.512
1	47	0.008	1	472	11	11	1	0.392
1	48	0.008	1	222	11	11	1	0.416
1	49	0.008	1	47	11	11	1	0.358
1	50	0.008	1	374	11	11	1	0.479
1	51	0.009	1	322	11	11	1	0.438
1	52	0.009	1	422	11	11	1	0.382
1	53	0.009	1	101	11	11	1	0.359
1	54	0.009	1	414	11	11	1	0.413
1	55	0.009	1	229	11	11	1	0.389
1	56	0.010	1	466	11	11	1	0.397
1	57	0.010	1	333	11	11	1	0.389
1	58	0.010	1	19	11	11	1	0.413
1	59	0.010	1	65	11	11	1	0.404
1	60	0.010	1	415	11	11	1	0.813
1	61	0.011	1	537	11	11	1	0.533
1	62	0.011	1	252	11	11	1	0.461
1	63	0.011	1	72	11	11	1	0.452
1	64	0.011	1	531	11	11	1	0.461
1	65	0.011	1	413	11	11	1	0.420
1	66	0.012	2	297	13	13	1	0.555
1	67	0.012	1	316	11	11	1	0.644
1	68	0.012	1	369	11	11	1	0.652
1	69	0.012	1	148	11	11	1	0.484
1	70	0.012	1	515	11	11	1	0.634
1	71	0.012	1	163	11	11	1	0.563
1	72	0.013	1	453	11	11	1	0.619
