
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 12:01:24
* Seed: 204127.5674
* Subject Number: 64
* Subject Name: AH
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	502	11	11	1	0.687
1	2	0.012	2	325	11	11	1	0.838
1	3	0.012	2	524	11	11	1	0.669
1	4	0.012	2	390	11	11	1	0.565
1	5	0.013	2	317	11	11	1	0.542
1	6	0.013	2	428	11	11	1	0.549
1	7	0.013	2	403	11	11	1	0.540
1	8	0.013	2	383	11	11	1	0.547
1	9	0.013	2	368	11	11	1	0.573
1	10	0.014	2	166	11	11	1	0.565
1	11	0.014	2	411	11	11	1	0.603
1	12	0.014	2	453	11	11	1	0.676
1	13	0.014	2	476	11	11	1	0.604
1	14	0.001	2	505	11	11	1	0.801
1	15	0.001	2	520	11	11	1	0.727
1	16	0.001	2	396	11	11	1	0.528
1	17	0.002	2	352	11	11	1	0.423
1	18	0.002	2	490	11	11	1	0.479
1	19	0.002	2	86	11	11	1	0.408
1	20	0.002	2	493	11	11	1	0.447
1	21	0.002	2	458	11	11	1	0.520
1	22	0.003	2	303	11	11	1	0.494
1	23	0.003	2	20	11	11	1	0.502
1	24	0.003	1	432	13	13	1	0.496
1	25	0.003	2	359	11	11	1	0.517
1	26	0.003	1	312	13	13	1	0.525
1	27	0.004	2	463	11	11	1	0.487
1	28	0.004	2	400	11	11	1	0.414
1	29	0.004	2	362	11	11	1	0.375
1	30	0.004	2	250	11	11	1	0.431
1	31	0.004	2	512	11	11	1	0.455
1	32	0.005	2	465	11	11	1	0.397
1	33	0.005	2	269	11	11	1	0.357
1	34	0.005	2	437	11	11	1	0.381
1	35	0.005	2	102	11	11	1	0.358
1	36	0.005	2	450	11	11	1	0.398
1	37	0.006	2	29	11	11	1	0.389
1	38	0.006	1	499	13	13	1	0.524
1	39	0.006	2	474	11	11	1	0.500
1	40	0.006	2	398	11	11	1	0.555
1	41	0.006	1	333	13	13	1	0.530
1	42	0.007	2	203	11	11	1	0.445
1	43	0.007	2	268	11	11	1	0.435
1	44	0.007	2	279	11	11	1	0.395
1	45	0.007	2	409	11	11	1	0.418
1	46	0.007	2	37	11	11	1	0.361
1	47	0.007	2	310	11	11	1	0.387
1	48	0.008	2	18	11	11	1	0.378
1	49	0.008	1	261	13	13	1	0.497
1	50	0.008	2	125	11	11	1	0.489
1	51	0.008	2	3	11	11	1	0.449
1	52	0.008	2	382	11	11	1	0.440
1	53	0.009	2	237	11	11	1	0.400
1	54	0.009	2	454	11	11	1	0.376
1	55	0.009	2	139	11	11	1	0.368
1	56	0.009	2	91	11	11	1	0.408
1	57	0.009	2	16	11	11	1	0.402
1	58	0.010	2	60	11	11	1	0.393
1	59	0.010	2	147	11	11	1	0.337
1	60	0.010	2	225	11	11	1	0.311
1	61	0.010	2	206	11	11	1	0.304
1	62	0.010	2	99	11	11	1	0.359
1	63	0.011	2	144	11	11	1	0.384
1	64	0.011	1	284	13	13	1	0.566
1	65	0.011	2	56	11	11	1	0.462
1	66	0.011	1	15	13	13	1	0.455
1	67	0.011	2	358	11	11	1	0.432
1	68	0.012	2	61	11	11	1	0.422
1	69	0.012	2	315	11	11	1	0.367
1	70	0.012	2	235	11	11	1	0.358
1	71	0.012	2	101	11	11	1	0.399
1	72	0.012	2	234	11	11	1	0.374
1	73	0.013	2	135	11	11	1	0.382
1	74	0.013	1	243	13	13	1	0.628
1	75	0.013	2	253	11	11	1	0.460
1	76	0.013	2	112	11	11	1	0.837
1	77	0.013	2	514	11	11	1	0.605
1	78	0.013	2	448	11	11	1	0.502
1	79	0.014	1	486	13	13	1	0.557
1	80	0.014	2	161	11	11	1	0.437
1	81	0.014	2	100	11	11	1	0.349
1	82	0.014	2	464	11	11	1	0.355
1	83	0.001	2	89	11	11	1	0.408
1	84	0.001	2	373	11	11	1	0.353
1	85	0.001	2	123	11	11	1	0.408
1	86	0.002	1	129	13	11	0	0.433
1	87	0.002	2	14	11	11	1	0.631
1	88	0.002	2	113	11	NaN	0	NaN
1	89	0.002	2	418	11	11	1	0.009
1	90	0.002	2	164	11	11	1	0.511
1	91	0.003	2	95	11	11	1	0.486
1	92	0.003	2	278	11	11	1	0.479
1	93	0.003	2	326	11	11	1	0.421
1	94	0.003	2	305	11	11	1	0.384
1	95	0.003	2	483	11	11	1	0.407
1	96	0.004	1	152	13	13	1	0.431
1	97	0.004	2	385	11	11	1	0.406
1	98	0.004	2	48	11	11	1	0.382
1	99	0.004	1	92	13	11	0	0.374
1	100	0.004	2	105	11	11	1	0.590
1	101	0.005	2	481	11	11	1	0.468
1	102	0.005	2	160	11	11	1	0.397
1	103	0.005	2	422	11	11	1	0.437
1	104	0.005	2	22	11	11	1	0.428
1	105	0.005	2	432	11	11	1	0.404
1	106	0.006	2	424	11	11	1	0.349
1	107	0.006	2	63	11	11	1	0.373
1	108	0.006	2	312	11	11	1	0.380
1	109	0.006	1	488	13	11	0	0.404
1	110	0.006	2	12	11	11	1	0.475
1	111	0.007	2	327	11	11	1	0.453
1	112	0.007	2	328	11	11	1	0.506
1	113	0.007	2	205	11	11	1	0.484
1	114	0.007	1	154	13	13	1	0.474
1	115	0.007	2	257	11	11	1	0.450
1	116	0.007	2	26	11	11	1	0.427
1	117	0.008	2	294	11	11	1	0.577
1	118	0.008	2	224	11	11	1	0.889
1	119	0.008	2	444	11	NaN	0	NaN
1	120	0.008	2	304	11	11	1	0.056
1	121	0.008	1	416	13	11	0	0.321
1	122	0.009	2	159	11	11	1	0.393
1	123	0.009	2	64	11	11	1	0.481
1	124	0.009	2	220	11	11	1	0.474
1	125	0.009	2	394	11	11	1	0.625
1	126	0.009	2	488	11	11	1	0.535
1	127	0.010	2	406	11	11	1	0.512
1	128	0.010	2	216	11	11	1	0.488
1	129	0.010	1	371	13	13	1	0.447
1	130	0.010	2	410	11	11	1	0.440
1	131	0.010	2	171	11	11	1	0.368
1	132	0.011	2	338	11	11	1	0.345
1	133	0.011	2	211	11	11	1	0.302
1	134	0.011	2	204	11	11	1	0.360
1	135	0.011	2	469	11	11	1	0.383
1	136	0.011	2	114	11	11	1	0.328
1	137	0.012	2	323	11	11	1	0.302
1	138	0.012	2	393	11	11	1	0.421
1	139	0.012	2	356	11	11	1	0.366
1	140	0.012	2	433	11	11	1	0.342
1	141	0.012	2	510	11	11	1	0.397
1	142	0.013	2	380	11	11	1	0.373
1	143	0.013	2	25	11	11	1	0.333
1	144	0.013	2	434	11	11	1	0.326
1	145	0.013	2	540	11	11	1	0.348
1	146	0.013	2	34	11	11	1	0.468
1	147	0.013	2	475	11	11	1	0.430
1	148	0.014	2	244	11	11	1	0.405
1	149	0.014	2	186	11	11	1	0.396
1	150	0.014	1	189	13	13	1	0.467
1	151	0.014	2	456	11	11	1	0.492
1	152	0.001	1	77	13	13	1	0.593
1	153	0.001	2	6	11	11	1	0.505
1	154	0.001	2	515	11	11	1	0.465
1	155	0.002	2	548	11	11	1	0.393
1	156	0.002	2	55	11	11	1	0.336
1	157	0.002	2	350	11	11	1	0.295
1	158	0.002	2	230	11	11	1	0.304
1	159	0.002	2	134	11	11	1	0.328
1	160	0.003	2	198	11	11	1	0.400
1	161	0.003	1	3	13	13	1	0.503
1	162	0.003	2	53	11	11	1	0.463
1	163	0.003	2	1	11	11	1	0.341
1	164	0.003	2	477	11	11	1	0.303
1	165	0.004	2	405	11	11	1	0.262
1	166	0.004	2	148	11	11	1	0.255
1	167	0.004	2	8	11	11	1	0.311
1	168	0.004	2	369	11	11	1	0.319
1	169	0.004	2	87	11	11	1	0.340
1	170	0.005	2	236	11	11	1	0.333
1	171	0.005	2	90	11	11	1	0.292
1	172	0.005	1	131	13	11	0	0.285
1	173	0.005	2	365	11	11	1	0.389
1	174	0.005	2	229	11	11	1	0.397
1	175	0.005	2	179	11	11	1	0.437
1	176	0.006	2	371	11	11	1	0.411
1	177	0.006	2	84	11	11	1	0.291
1	178	0.006	2	183	11	11	1	0.349
1	179	0.006	2	69	11	11	1	0.371
1	180	0.007	2	331	11	11	1	0.396
1	181	0.007	2	504	11	11	1	0.452
1	182	0.007	2	172	11	11	1	0.442
1	183	0.007	2	93	11	11	1	0.436
1	184	0.007	2	274	11	11	1	0.410
1	185	0.007	2	2	11	11	1	0.451
1	186	0.008	2	370	11	11	1	0.521
1	187	0.008	2	332	11	11	1	0.754
1	188	0.008	2	413	11	11	1	0.586
1	189	0.008	2	289	11	11	1	0.449
1	190	0.008	2	387	11	11	1	0.394
1	191	0.009	2	243	11	11	1	0.384
1	192	0.009	2	107	11	11	1	0.330
1	193	0.009	2	466	11	11	1	0.337
1	194	0.009	2	76	11	11	1	0.330
1	195	0.009	2	175	11	11	1	0.369
1	196	0.010	2	10	11	11	1	0.439
1	197	0.010	2	531	11	11	1	0.399
1	198	0.010	1	523	13	13	1	0.552
1	199	0.010	1	283	13	11	0	0.495
1	200	0.010	2	111	11	11	1	0.647
1	201	0.011	2	201	11	11	1	0.592
1	202	0.011	1	88	13	11	0	0.662
1	203	0.011	2	214	11	11	1	0.591
1	204	0.011	2	81	11	11	1	0.534
1	205	0.011	2	282	11	11	1	0.559
1	206	0.012	2	363	11	11	1	0.502
1	207	0.012	2	519	11	11	1	0.477
1	208	0.012	2	66	11	11	1	0.469
1	209	0.012	2	184	11	11	1	0.477
1	210	0.012	1	366	13	13	1	0.533
1	211	0.013	1	297	13	13	1	0.572
1	212	0.013	2	45	11	11	1	0.534
1	213	0.013	2	80	11	11	1	0.508
1	214	0.013	2	427	11	11	1	0.516
1	215	0.013	2	121	11	11	1	0.397
1	216	0.013	2	435	11	11	1	0.325
1	217	0.014	2	461	11	11	1	0.333
1	218	0.014	2	140	11	11	1	0.372
1	219	0.014	2	146	11	11	1	0.364
1	220	0.014	2	17	11	11	1	0.371
1	221	0.001	2	333	11	11	1	0.474
1	222	0.001	2	72	11	11	1	0.431
1	223	0.001	2	199	11	11	1	0.424
1	224	0.002	2	290	11	11	1	0.385
1	225	0.002	2	281	11	11	1	0.376
1	226	0.002	2	231	11	11	1	0.353
1	227	0.002	2	443	11	11	1	0.390
1	228	0.002	2	472	11	11	1	0.415
1	229	0.003	2	541	11	11	1	0.423
1	230	0.003	2	137	11	11	1	0.432
1	231	0.003	2	299	11	11	1	0.375
1	232	0.003	2	414	11	11	1	0.430
1	233	0.003	1	122	13	13	1	0.597
1	234	0.004	2	384	11	11	1	0.541
1	235	0.004	2	221	11	11	1	0.471
1	236	0.004	2	122	11	11	1	0.414
1	237	0.004	2	103	11	11	1	0.454
1	238	0.004	2	197	11	11	1	0.446
1	239	0.005	2	372	11	11	1	0.389
1	240	0.005	2	165	11	11	1	0.397
1	241	0.005	2	431	11	11	1	0.389
1	242	0.005	2	178	11	11	1	0.333
1	243	0.005	1	493	13	11	0	0.339
1	244	0.006	2	152	11	11	1	0.494
1	245	0.006	2	246	11	11	1	0.453
1	246	0.006	2	542	11	11	1	0.443
1	247	0.006	2	252	11	11	1	0.421
1	248	0.006	2	415	11	11	1	0.426
1	249	0.007	2	182	11	11	1	0.387
1	250	0.007	2	70	11	11	1	0.395
1	251	0.007	2	245	11	11	1	0.402
1	252	0.007	2	222	11	11	1	0.363
1	253	0.007	2	217	11	11	1	0.337
1	254	0.008	2	163	11	11	1	0.313
1	255	0.008	2	355	11	11	1	0.307
1	256	0.008	2	522	11	11	1	0.331
1	257	0.008	1	445	13	13	1	0.466
1	258	0.008	2	517	11	11	1	0.410
1	259	0.008	2	219	11	11	1	0.449
1	260	0.009	2	98	11	11	1	0.409
1	261	0.009	2	131	11	11	1	0.370
1	262	0.009	2	170	11	11	1	0.329
1	263	0.009	2	223	11	11	1	0.306
1	264	0.009	2	367	11	11	1	0.279
1	265	0.010	1	271	13	11	0	0.336
1	266	0.010	2	209	11	11	1	0.487
1	267	0.010	2	408	11	11	1	0.463
1	268	0.010	2	397	11	11	1	0.487
1	269	0.010	2	156	11	11	1	0.576
1	270	0.011	2	494	11	11	1	0.519
1	271	0.011	2	188	11	11	1	0.494
1	272	0.011	2	169	11	11	1	0.504
1	273	0.011	2	401	11	11	1	0.429
1	274	0.011	2	342	11	11	1	0.487
1	275	0.012	2	36	11	11	1	0.494
1	276	0.012	2	32	11	11	1	0.501
1	277	0.012	2	275	11	11	1	0.527
1	278	0.012	2	404	11	11	1	0.567
1	279	0.012	2	423	11	11	1	0.639
1	280	0.013	2	130	11	11	1	0.598
1	281	0.013	2	526	11	11	1	0.636
1	282	0.013	2	311	11	11	1	0.644
1	283	0.013	2	195	11	11	1	0.604
1	284	0.013	1	89	13	13	1	0.549
1	285	0.013	1	457	13	13	1	0.557
1	286	0.014	1	308	13	13	1	0.515
1	287	0.014	1	309	13	13	1	0.523
1	288	0.014	2	518	11	11	1	0.563
1	289	0.014	2	68	11	11	1	0.507
1	290	0.001	2	343	11	11	1	0.561
1	291	0.001	2	436	11	11	1	0.489
1	292	0.001	2	539	11	11	1	0.368
1	293	0.002	2	501	11	11	1	0.456
1	294	0.002	2	318	11	11	1	0.655
1	295	0.002	1	42	13	13	1	0.647
1	296	0.002	1	150	13	13	1	0.608
1	297	0.002	1	128	13	13	1	0.569
1	298	0.002	2	263	11	11	1	0.608
1	299	0.003	2	43	11	11	1	0.566
1	300	0.003	1	136	13	13	1	0.527
1	301	0.003	2	314	11	11	1	0.519
1	302	0.003	2	200	11	11	1	0.478
1	303	0.004	2	5	11	11	1	0.518
1	304	0.004	2	497	11	11	1	0.429
1	305	0.004	2	347	11	11	1	0.406
1	306	0.004	2	354	11	11	1	0.348
1	307	0.004	2	316	11	11	1	0.277
1	308	0.005	2	142	11	11	1	0.236
1	309	0.005	2	525	11	11	1	0.260
1	310	0.005	2	296	11	11	1	0.252
1	311	0.005	2	193	11	11	1	0.246
1	312	0.005	2	534	11	11	1	0.364
1	313	0.006	2	335	11	11	1	0.291
1	314	0.006	2	283	11	11	1	0.315
1	315	0.006	2	150	11	11	1	0.357
1	316	0.006	2	83	11	11	1	0.379
1	317	0.006	2	176	11	11	1	0.403
1	318	0.007	2	132	11	11	1	0.413
1	319	0.007	2	174	11	11	1	0.370
1	320	0.007	2	30	11	11	1	0.348
1	321	0.007	2	23	11	11	1	0.275
1	322	0.007	2	259	11	11	1	0.234
1	323	0.007	2	378	11	11	1	0.274
1	324	0.008	2	319	11	11	1	0.220
1	325	0.008	2	351	11	11	1	0.275
1	326	0.008	2	143	11	11	1	0.266
1	327	0.008	2	108	11	11	1	0.290
1	328	0.008	2	547	11	11	1	0.234
1	329	0.009	1	182	13	11	0	0.274
1	330	0.009	2	208	11	11	1	0.456
1	331	0.009	2	141	11	11	1	0.498
1	332	0.009	2	478	11	11	1	0.441
1	333	0.009	2	117	11	11	1	0.449
1	334	0.010	2	11	11	11	1	0.503
1	335	0.010	1	274	13	11	0	0.672
1	336	0.010	2	451	11	NaN	0	NaN
1	337	0.010	2	74	11	11	1	0.815
1	338	0.010	2	284	11	11	1	0.648
1	339	0.011	2	264	11	NaN	0	NaN
1	340	0.011	2	345	11	NaN	0	NaN
1	341	0.011	2	276	11	11	1	0.432
1	342	0.011	2	46	11	11	1	0.312
1	343	0.011	1	531	13	11	0	0.335
1	344	0.012	2	9	11	11	1	0.469
1	345	0.012	2	339	11	11	1	0.461
1	346	0.012	2	425	11	11	1	0.485
1	347	0.012	2	41	11	11	1	0.445
1	348	0.012	2	471	11	11	1	0.405
1	349	0.013	2	177	11	11	1	0.413
1	350	0.013	2	496	11	11	1	0.358
1	351	0.013	2	455	11	11	1	0.381
1	352	0.013	2	187	11	11	1	0.356
1	353	0.013	1	408	13	11	0	0.316
1	354	0.014	2	357	11	11	1	0.390
