
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 12:31:49
* Seed: 209604.2702
* Subject Number: 65
* Subject Name: LM
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	65	11	11	1	0.705
1	2	0.012	2	273	13	13	1	0.730
1	3	0.013	1	418	11	11	1	0.834
1	4	0.013	1	23	11	NaN	0	NaN
1	5	0.013	1	12	11	11	1	0.096
1	6	0.013	1	70	11	11	1	0.857
1	7	0.013	1	366	11	11	1	0.785
1	8	0.014	1	529	11	NaN	0	NaN
1	9	0.014	1	95	11	11	1	0.767
1	10	0.014	1	358	11	11	1	0.809
1	11	0.014	1	144	11	11	1	0.736
1	12	0.001	1	210	11	11	1	0.885
1	13	0.001	1	159	11	11	1	0.876
1	14	0.001	2	431	13	13	1	0.724
1	15	0.002	1	131	11	11	1	0.667
1	16	0.002	1	374	11	11	1	0.693
1	17	0.002	1	224	11	11	1	0.812
1	18	0.002	1	397	11	11	1	0.757
1	19	0.002	2	149	13	NaN	0	NaN
1	20	0.003	1	307	11	13	0	0.227
1	21	0.003	1	425	11	NaN	0	NaN
1	22	0.003	1	192	11	11	1	0.068
1	23	0.003	1	279	11	11	1	0.524
1	24	0.003	1	198	11	NaN	0	NaN
1	25	0.004	1	459	11	11	1	0.761
1	26	0.004	1	99	11	11	1	0.818
1	27	0.004	1	466	11	NaN	0	NaN
1	28	0.004	1	128	11	NaN	0	NaN
1	29	0.004	1	112	11	11	1	0.009
1	30	0.005	1	170	11	11	1	0.624
1	31	0.005	1	110	11	11	1	0.696
1	32	0.005	1	443	11	NaN	0	NaN
1	33	0.005	1	91	11	NaN	0	NaN
1	34	0.005	1	168	11	11	1	0.336
1	35	0.006	1	126	11	11	1	0.472
1	36	0.006	2	227	13	11	0	0.623
1	37	0.006	1	410	11	11	1	0.791
1	38	0.006	1	501	11	11	1	0.753
1	39	0.006	1	310	11	11	1	0.806
1	40	0.006	1	211	11	11	1	0.846
1	41	0.007	1	13	11	11	1	0.727
1	42	0.007	1	28	11	11	1	0.718
1	43	0.007	2	427	13	13	1	0.694
1	44	0.007	1	109	11	11	1	0.734
1	45	0.007	1	433	11	11	1	0.630
1	46	0.008	1	256	11	11	1	0.559
1	47	0.008	1	282	11	11	1	0.725
1	48	0.008	1	218	11	11	1	0.799
1	49	0.008	2	104	13	NaN	0	NaN
1	50	0.008	1	88	11	11	1	0.877
1	51	0.009	1	370	11	11	1	0.709
1	52	0.009	1	344	11	11	1	0.732
1	53	0.009	1	152	11	NaN	0	NaN
1	54	0.009	1	396	11	13	0	0.717
1	55	0.009	1	78	11	NaN	0	NaN
1	56	0.010	1	369	11	11	1	0.603
1	57	0.010	1	304	11	11	1	0.533
1	58	0.010	1	7	11	11	1	0.475
1	59	0.010	1	514	11	11	1	0.581
1	60	0.010	1	37	11	11	1	0.827
1	61	0.011	1	50	11	11	1	0.707
1	62	0.011	1	422	11	11	1	0.636
1	63	0.011	1	136	11	11	1	0.739
1	64	0.011	1	92	11	11	1	0.698
1	65	0.011	1	292	11	NaN	0	NaN
1	66	0.012	1	294	11	11	1	0.745
1	67	0.012	1	544	11	11	1	0.737
1	68	0.012	1	479	11	NaN	0	NaN
1	69	0.012	1	35	11	11	1	0.802
1	70	0.012	1	333	11	11	1	0.682
1	71	0.012	1	367	11	11	1	0.690
1	72	0.013	1	120	11	11	1	0.601
1	73	0.013	1	140	11	11	1	0.833
1	74	0.013	1	171	11	11	1	0.616
1	75	0.013	1	17	11	11	1	0.577
1	76	0.013	1	235	11	11	1	0.647
1	77	0.014	1	255	11	11	1	0.705
1	78	0.014	1	372	11	11	1	0.536
1	79	0.014	1	382	11	11	1	0.592
1	80	0.014	1	158	11	11	1	0.615
1	81	0.001	1	483	11	11	1	0.635
1	82	0.001	1	217	11	11	1	0.643
1	83	0.001	2	274	13	13	1	0.651
1	84	0.002	1	536	11	11	1	0.533
1	85	0.002	1	549	11	11	1	0.668
1	86	0.002	1	182	11	11	1	0.547
1	87	0.002	2	250	13	13	1	0.748
1	88	0.002	1	436	11	11	1	0.612
1	89	0.003	1	74	11	11	1	0.698
1	90	0.003	1	163	11	11	1	0.610
1	91	0.003	1	259	11	11	1	0.570
1	92	0.003	1	413	11	11	1	0.675
1	93	0.003	1	491	11	11	1	0.682
1	94	0.004	1	81	11	11	1	0.578
1	95	0.004	1	515	11	11	1	0.618
1	96	0.004	1	395	11	11	1	0.512
1	97	0.004	1	306	11	11	1	0.491
1	98	0.004	1	325	11	11	1	0.450
1	99	0.005	1	59	11	11	1	0.441
1	100	0.005	1	122	11	11	1	0.482
1	101	0.005	1	538	11	11	1	0.600
1	102	0.005	1	2	11	11	1	0.578
1	103	0.005	1	318	11	11	1	0.553
1	104	0.006	1	412	11	11	1	0.479
1	105	0.006	1	132	11	11	1	0.504
1	106	0.006	1	36	11	11	1	0.462
1	107	0.006	1	303	11	11	1	0.359
1	108	0.006	1	265	11	11	1	0.335
1	109	0.006	1	234	11	11	1	0.391
1	110	0.007	2	524	13	13	1	0.654
1	111	0.007	1	321	11	11	1	0.568
1	112	0.007	1	281	11	11	1	0.590
1	113	0.007	1	460	11	11	1	0.597
1	114	0.007	2	237	13	13	1	0.638
1	115	0.008	1	482	11	11	1	0.726
1	116	0.008	2	453	13	13	1	0.669
1	117	0.008	1	156	11	11	1	0.612
1	118	0.008	1	428	11	11	1	0.748
1	119	0.008	1	264	11	11	1	0.757
1	120	0.009	1	177	11	11	1	0.717
1	121	0.009	1	190	11	11	1	0.598
