
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 14:01:15
* Seed: 205789.5
* Subject Number: 66
* Subject Name: MW
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.010	2	45	72	72	1	0.649
1	2	0.010	2	510	72	72	1	0.569
1	3	0.009	2	382	72	72	1	0.594
1	4	0.009	2	126	72	72	1	0.628
1	5	0.009	2	196	72	72	1	0.680
1	6	0.008	1	133	74	74	1	0.759
1	7	0.008	2	546	72	72	1	0.715
1	8	0.008	2	529	72	72	1	0.690
1	9	0.007	2	415	72	72	1	0.680
1	10	0.007	2	19	72	72	1	0.741
1	11	0.007	1	24	74	74	1	0.671
1	12	0.006	2	268	72	72	1	0.893
1	13	0.006	2	391	72	72	1	0.693
1	14	0.006	2	419	72	72	1	0.632
1	15	0.005	2	173	72	72	1	0.614
1	16	0.005	2	120	72	72	1	0.613
1	17	0.005	2	46	72	72	1	0.604
1	18	0.004	2	305	72	72	1	0.714
1	19	0.004	2	549	72	72	1	0.671
1	20	0.003	2	424	72	72	1	0.776
1	21	0.003	2	508	72	72	1	0.768
1	22	0.016	1	494	74	74	1	0.682
1	23	0.002	2	318	72	72	1	0.857
1	24	0.002	1	401	74	74	1	0.756
1	25	0.002	2	272	72	72	1	0.681
1	26	0.001	2	206	72	72	1	0.647
1	27	0.001	2	389	72	72	1	0.618
1	28	0.001	2	193	72	72	1	0.608
1	29	0.014	2	494	72	72	1	0.545
1	30	0.013	1	284	74	72	0	0.536
1	31	0.013	2	155	72	72	1	0.750
1	32	0.013	2	432	72	72	1	0.742
1	33	0.012	2	459	72	72	1	0.847
1	34	0.012	2	259	72	NaN	0	NaN
1	35	0.012	1	365	74	74	1	0.688
1	36	0.011	2	16	72	72	1	0.640
1	37	0.011	2	115	72	74	0	0.600
1	38	0.011	1	229	74	74	1	0.800
1	39	0.010	2	83	72	72	1	0.840
1	40	0.010	2	162	72	72	1	0.835
1	41	0.010	2	358	72	NaN	0	NaN
1	42	0.009	2	18	72	72	1	0.151
1	43	0.009	1	143	74	72	0	0.330
1	44	0.009	2	386	72	72	1	0.612
1	45	0.008	2	154	72	74	0	0.843
1	46	0.008	2	461	72	72	1	0.663
1	47	0.008	2	371	72	72	1	0.613
1	48	0.007	2	149	72	72	1	0.591
1	49	0.007	2	32	72	72	1	0.562
1	50	0.007	1	292	74	74	1	0.605
1	51	0.006	1	314	74	74	1	0.549
1	52	0.006	2	320	72	72	1	0.565
1	53	0.005	2	539	72	NaN	0	NaN
1	54	0.005	2	237	72	72	1	0.638
1	55	0.005	2	1	72	72	1	0.556
1	56	0.005	2	244	72	72	1	0.587
1	57	0.004	1	204	74	74	1	0.703
1	58	0.004	2	501	72	72	1	0.688
1	59	0.003	2	535	72	72	1	0.698
1	60	0.003	2	458	72	72	1	0.640
1	61	0.003	2	523	72	74	0	0.629
1	62	0.002	2	90	72	NaN	0	NaN
1	63	0.002	2	506	72	72	1	0.529
1	64	0.002	2	252	72	72	1	0.481
1	65	0.001	2	448	72	72	1	0.450
1	66	0.001	2	354	72	72	1	0.538
1	67	0.001	2	435	72	72	1	0.603
1	68	0.014	2	532	72	72	1	0.509
1	69	0.013	2	503	72	72	1	0.710
1	70	0.013	2	249	72	72	1	0.710
1	71	0.013	1	213	74	74	1	0.576
1	72	0.012	2	245	72	72	1	0.610
1	73	0.012	2	412	72	72	1	0.591
1	74	0.012	2	157	72	72	1	0.581
1	75	0.011	2	374	72	72	1	0.576
1	76	0.011	2	164	72	72	1	0.692
1	77	0.011	2	468	72	72	1	0.792
1	78	0.010	2	439	72	72	1	0.782
1	79	0.010	2	73	72	NaN	0	NaN
1	80	0.010	2	161	72	72	1	0.613
1	81	0.009	1	161	74	74	1	0.634
1	82	0.009	1	226	74	72	0	0.604
1	83	0.009	2	146	72	72	1	0.684
1	84	0.008	1	306	74	74	1	0.605
1	85	0.008	2	360	72	72	1	0.615
1	86	0.008	2	218	72	72	1	0.726
1	87	0.007	2	502	72	72	1	0.732
1	88	0.007	2	367	72	72	1	0.716
1	89	0.006	2	276	72	72	1	0.828
1	90	0.006	2	543	72	72	1	0.829
1	91	0.006	2	12	72	72	1	0.814
1	92	0.005	2	177	72	NaN	0	NaN
1	93	0.005	2	317	72	72	1	0.568
1	94	0.005	2	209	72	72	1	0.419
1	95	0.004	2	303	72	72	1	0.569
1	96	0.004	2	452	72	72	1	0.599
1	97	0.004	2	91	72	72	1	0.570
1	98	0.004	2	205	72	72	1	0.590
1	99	0.003	2	398	72	72	1	0.731
1	100	0.003	2	271	72	72	1	0.661
1	101	0.002	2	401	72	72	1	0.634
1	102	0.002	2	359	72	72	1	0.713
1	103	0.002	2	229	72	72	1	0.732
1	104	0.001	2	356	72	72	1	0.523
1	105	0.001	2	426	72	72	1	0.482
1	106	0.001	2	265	72	72	1	0.476
1	107	0.014	2	141	72	72	1	0.530
1	108	0.013	2	473	72	72	1	0.511
1	109	0.013	2	114	72	72	1	0.561
1	110	0.013	2	273	72	72	1	0.583
1	111	0.012	2	232	72	72	1	0.623
1	112	0.012	2	400	72	72	1	0.623
1	113	0.012	2	454	72	72	1	0.673
1	114	0.011	2	231	72	72	1	0.808
1	115	0.011	2	366	72	72	1	0.824
1	116	0.011	2	436	72	72	1	0.884
1	117	0.010	2	346	72	NaN	0	NaN
1	118	0.010	2	369	72	72	1	0.785
1	119	0.010	2	321	72	72	1	0.766
1	120	0.009	2	89	72	72	1	0.696
1	121	0.009	2	362	72	72	1	0.716
1	122	0.008	2	7	72	72	1	0.739
