
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 14:36:34
* Seed: 208701.6
* Subject Number: 67
* Subject Name: MB
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	449	72	72	1	0.754
1	2	0.011	1	496	72	72	1	0.642
1	3	0.011	1	39	72	74	0	0.667
1	4	0.010	1	219	72	72	1	0.619
1	5	0.010	1	123	72	72	1	0.675
1	6	0.010	1	477	72	72	1	0.621
1	7	0.010	1	514	72	72	1	0.707
1	8	0.009	1	76	72	72	1	0.764
1	9	0.008	2	429	74	72	0	0.861
1	10	0.008	1	7	72	NaN	0	NaN
1	11	0.008	1	254	72	72	1	0.197
1	12	0.007	1	72	72	72	1	0.662
1	13	0.007	1	44	72	72	1	0.582
1	14	0.007	2	53	74	74	1	0.550
1	15	0.006	1	441	72	72	1	0.519
1	16	0.006	1	428	72	74	0	0.511
1	17	0.006	1	203	72	72	1	0.575
1	18	0.005	1	426	72	72	1	0.680
1	19	0.005	1	225	72	72	1	0.704
1	20	0.005	1	537	72	74	0	0.672
1	21	0.004	1	180	72	72	1	0.873
1	22	0.004	1	406	72	72	1	0.825
1	23	0.004	2	375	74	74	1	0.690
1	24	0.003	1	364	72	72	1	0.682
1	25	0.003	1	37	72	NaN	0	NaN
1	26	0.003	1	314	72	72	1	0.091
1	27	0.002	1	336	72	72	1	0.067
1	28	0.002	1	245	72	72	1	0.660
1	29	0.002	1	502	72	72	1	0.652
1	30	0.001	1	415	72	72	1	0.644
1	31	0.001	1	427	72	72	1	0.716
1	32	0.001	1	4	72	72	1	0.797
1	33	0.014	1	443	72	72	1	0.672
1	34	0.013	1	85	72	NaN	0	NaN
1	35	0.013	1	436	72	72	1	0.712
1	36	0.013	1	324	72	72	1	0.600
1	37	0.012	1	516	72	72	1	0.649
1	38	0.012	1	285	72	72	1	0.570
1	39	0.012	1	527	72	72	1	0.514
1	40	0.011	1	486	72	72	1	0.522
1	41	0.011	2	57	74	72	0	0.682
1	42	0.010	1	167	72	72	1	0.659
1	43	0.010	1	277	72	72	1	0.579
1	44	0.010	1	128	72	72	1	0.571
1	45	0.009	1	122	72	72	1	0.460
1	46	0.009	1	325	72	72	1	0.436
1	47	0.009	1	268	72	72	1	0.364
1	48	0.008	1	536	72	72	1	0.375
1	49	0.008	1	242	72	72	1	0.509
1	50	0.008	1	545	72	72	1	0.493
1	51	0.007	1	108	72	72	1	0.614
1	52	0.007	1	412	72	72	1	0.446
1	53	0.007	1	15	72	72	1	0.359
1	54	0.006	1	403	72	72	1	0.457
1	55	0.006	1	438	72	72	1	0.431
1	56	0.006	1	50	72	72	1	0.503
1	57	0.006	1	153	72	72	1	0.423
1	58	0.005	1	55	72	72	1	0.600
1	59	0.005	2	55	74	74	1	0.800
1	60	0.004	1	157	72	72	1	0.690
1	61	0.004	1	171	72	72	1	0.561
1	62	0.004	1	111	72	72	1	0.506
1	63	0.003	1	237	72	72	1	0.618
1	64	0.003	1	102	72	72	1	0.546
1	65	0.003	1	450	72	72	1	0.555
