
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 15:06:18
* Seed: 209905.4243
* Subject Number: 68
* Subject Name: SG
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.014	2	142	11	11	1	0.730
1	2	0.014	2	24	11	11	1	0.578
1	3	0.014	1	172	13	11	0	0.394
1	4	0.001	2	257	11	11	1	0.687
1	5	0.001	2	77	11	11	1	0.729
1	6	0.001	2	145	11	11	1	0.799
1	7	0.002	2	368	11	NaN	0	NaN
1	8	0.002	2	353	11	11	1	0.735
1	9	0.002	2	287	11	11	1	0.597
1	10	0.002	2	63	11	11	1	0.510
1	11	0.002	2	496	11	11	1	0.422
1	12	0.003	2	134	11	11	1	0.429
1	13	0.003	2	351	11	11	1	0.388
1	14	0.003	2	271	11	11	1	0.365
1	15	0.003	2	384	11	11	1	0.358
1	16	0.003	2	517	11	11	1	0.317
1	17	0.004	2	38	11	11	1	0.260
1	18	0.004	2	208	11	11	1	0.268
1	19	0.004	2	228	11	11	1	0.245
1	20	0.004	2	436	11	11	1	0.348
1	21	0.004	1	36	13	11	0	0.276
1	22	0.005	2	277	11	11	1	0.715
1	23	0.005	2	346	11	11	1	0.483
1	24	0.005	2	68	11	11	1	0.459
1	25	0.005	2	438	11	11	1	0.452
1	26	0.005	2	536	11	11	1	0.459
1	27	0.005	2	273	11	11	1	0.370
1	28	0.006	2	344	11	11	1	0.379
1	29	0.006	2	495	11	11	1	0.418
1	30	0.006	2	299	11	11	1	0.379
1	31	0.006	2	439	11	11	1	0.369
1	32	0.006	2	171	11	11	1	0.377
1	33	0.007	2	528	11	11	1	0.321
1	34	0.007	2	326	11	11	1	0.329
1	35	0.007	2	190	11	11	1	0.353
1	36	0.007	1	101	13	13	1	0.520
1	37	0.007	2	204	11	11	1	0.626
1	38	0.008	2	465	11	11	1	0.681
1	39	0.008	2	392	11	11	1	0.543
1	40	0.008	2	37	11	11	1	0.456
1	41	0.008	2	453	11	11	1	0.479
1	42	0.008	2	173	11	11	1	0.425
1	43	0.009	1	352	13	13	1	0.478
1	44	0.009	2	333	11	11	1	0.505
1	45	0.009	2	151	11	11	1	0.528
1	46	0.009	2	206	11	11	1	0.472
1	47	0.009	2	308	11	11	1	0.414
1	48	0.010	2	508	11	11	1	0.375
1	49	0.010	2	33	11	11	1	0.416
1	50	0.010	2	410	11	11	1	0.407
1	51	0.010	1	453	13	13	1	0.463
1	52	0.010	2	391	11	11	1	0.487
1	53	0.010	2	318	11	11	1	0.381
1	54	0.011	2	431	11	11	1	0.532
1	55	0.011	2	262	11	11	1	0.541
1	56	0.011	2	504	11	11	1	0.487
1	57	0.011	2	452	11	11	1	0.428
1	58	0.011	2	427	11	11	1	0.534
1	59	0.012	2	386	11	11	1	0.558
1	60	0.012	2	535	11	11	1	0.532
1	61	0.012	1	480	13	13	1	0.571
1	62	0.012	2	415	11	11	1	0.563
1	63	0.012	2	498	11	11	1	0.443
1	64	0.013	2	27	11	11	1	0.403
1	65	0.013	2	279	11	11	1	0.381
1	66	0.013	2	50	11	11	1	0.356
1	67	0.013	2	96	11	11	1	0.380
1	68	0.013	2	429	11	11	1	0.371
1	69	0.014	2	200	11	11	1	0.346
1	70	0.014	2	294	11	11	1	0.258
1	71	0.014	2	550	11	11	1	0.217
1	72	0.014	2	201	11	11	1	0.322
1	73	0.001	2	467	11	11	1	0.439
1	74	0.001	2	521	11	11	1	0.431
1	75	0.001	2	212	11	11	1	0.470
1	76	0.002	2	85	11	11	1	0.560
1	77	0.002	2	425	11	11	1	0.454
1	78	0.002	2	138	11	11	1	0.445
1	79	0.002	2	216	11	11	1	0.390
1	80	0.002	2	45	11	11	1	0.367
1	81	0.003	2	414	11	11	1	0.421
1	82	0.003	2	180	11	11	1	0.334
1	83	0.003	2	302	11	11	1	0.373
1	84	0.003	2	175	11	11	1	0.364
1	85	0.003	2	387	11	11	1	0.436
1	86	0.004	1	422	13	13	1	0.604
1	87	0.004	2	499	11	11	1	0.598
1	88	0.004	2	222	11	11	1	0.573
1	89	0.004	2	445	11	11	1	0.388
1	90	0.004	2	43	11	11	1	0.283
1	91	0.005	2	73	11	11	1	0.323
1	92	0.005	2	469	11	11	1	0.396
1	93	0.005	1	392	13	13	1	0.562
1	94	0.005	2	451	11	11	1	0.507
1	95	0.005	2	529	11	11	1	0.819
1	96	0.005	2	269	11	11	1	0.651
1	97	0.006	2	372	11	11	1	0.610
1	98	0.006	2	541	11	11	1	0.540
1	99	0.006	2	72	11	11	1	0.451
1	100	0.006	2	82	11	11	1	0.395
1	101	0.006	2	514	11	11	1	0.323
1	102	0.007	2	90	11	11	1	0.330
1	103	0.007	1	147	13	11	0	0.257
1	104	0.007	2	231	11	11	1	0.458
1	105	0.007	2	19	11	11	1	0.704
1	106	0.007	2	195	11	11	1	0.696
1	107	0.008	1	312	13	NaN	0	NaN
1	108	0.008	2	185	11	13	0	0.056
1	109	0.008	2	446	11	11	1	0.591
1	110	0.008	2	252	11	11	1	0.441
1	111	0.008	2	376	11	11	1	0.449
1	112	0.009	2	420	11	11	1	0.535
1	113	0.009	2	165	11	11	1	0.415
1	114	0.009	2	168	11	11	1	0.391
1	115	0.009	2	176	11	11	1	0.350
1	116	0.009	2	378	11	11	1	0.376
1	117	0.009	2	329	11	11	1	0.333
1	118	0.010	2	219	11	11	1	0.261
1	119	0.010	1	534	13	11	0	0.286
1	120	0.010	2	364	11	11	1	0.471
1	121	0.010	2	434	11	11	1	0.428
1	122	0.010	2	153	11	11	1	0.422
1	123	0.011	2	540	11	11	1	0.413
1	124	0.011	2	389	11	11	1	0.373
1	125	0.011	2	502	11	11	1	0.430
1	126	0.011	2	119	11	11	1	0.438
1	127	0.011	2	288	11	11	1	0.366
1	128	0.012	1	232	13	11	0	0.437
1	129	0.012	2	188	11	11	1	0.493
1	130	0.012	2	70	11	11	1	0.469
1	131	0.012	2	406	11	11	1	0.507
1	132	0.012	2	360	11	11	1	0.420
1	133	0.013	2	51	11	11	1	0.443
1	134	0.013	2	248	11	11	1	0.532
1	135	0.013	2	533	11	11	1	0.459
1	136	0.013	2	120	11	11	1	0.515
1	137	0.013	2	21	11	11	1	0.572
1	138	0.014	2	328	11	11	1	0.467
1	139	0.014	2	477	11	11	1	0.521
1	140	0.014	1	179	13	13	1	0.562
1	141	0.014	2	76	11	11	1	0.745
1	142	0.001	2	253	11	11	1	0.608
1	143	0.001	2	229	11	11	1	0.583
1	144	0.001	2	241	11	11	1	0.528
1	145	0.002	2	193	11	11	1	0.485
1	146	0.002	2	215	11	11	1	0.496
1	147	0.002	2	14	11	11	1	0.566
1	148	0.002	2	362	11	11	1	0.541
1	149	0.002	2	324	11	11	1	0.534
1	150	0.003	2	489	11	11	1	0.478
1	151	0.003	1	412	13	13	1	0.548
1	152	0.003	2	20	11	13	0	0.636
1	153	0.003	2	160	11	11	1	0.566
1	154	0.003	2	169	11	11	1	0.715
1	155	0.004	2	122	11	11	1	0.725
1	156	0.004	1	9	13	13	1	0.621
1	157	0.004	2	398	11	11	1	0.612
1	158	0.004	2	312	11	11	1	0.493
1	159	0.004	2	516	11	11	1	0.435
1	160	0.005	2	218	11	11	1	0.426
1	161	0.005	2	256	11	11	1	0.467
1	162	0.005	2	418	11	11	1	0.379
1	163	0.005	2	519	11	11	1	0.404
1	164	0.005	2	104	11	11	1	0.412
1	165	0.005	2	40	11	11	1	0.500
1	166	0.006	1	430	13	13	1	0.505
1	167	0.006	2	462	11	11	1	0.627
1	168	0.006	2	433	11	11	1	0.441
1	169	0.006	2	250	11	11	1	0.387
1	170	0.006	2	177	11	11	1	0.361
1	171	0.007	2	314	11	11	1	0.465
1	172	0.007	2	448	11	11	1	0.394
1	173	0.007	2	509	11	11	1	0.482
1	174	0.007	2	348	11	11	1	0.426
1	175	0.007	1	67	13	13	1	0.464
1	176	0.008	2	491	11	11	1	0.408
1	177	0.008	2	34	11	11	1	0.368
1	178	0.008	2	275	11	11	1	0.280
1	179	0.008	2	272	11	11	1	0.384
1	180	0.008	2	22	11	11	1	0.393
1	181	0.009	2	296	11	11	1	0.320
1	182	0.009	2	293	11	11	1	0.329
1	183	0.009	2	280	11	11	1	0.272
1	184	0.009	2	493	11	11	1	0.344
1	185	0.009	2	306	11	11	1	0.254
1	186	0.010	2	125	11	11	1	0.376
1	187	0.010	2	101	11	11	1	0.367
1	188	0.010	2	16	11	11	1	0.389
1	189	0.010	2	84	11	11	1	0.383
1	190	0.010	2	523	11	11	1	0.439
1	191	0.011	2	361	11	11	1	0.446
1	192	0.011	2	538	11	11	1	0.630
1	193	0.011	1	331	13	13	1	0.526
1	194	0.011	2	170	11	11	1	0.454
1	195	0.011	2	205	11	11	1	0.381
1	196	0.011	2	322	11	11	1	0.390
1	197	0.012	1	283	13	11	0	0.302
1	198	0.012	2	58	11	11	1	0.259
1	199	0.012	2	342	11	11	1	0.397
1	200	0.012	2	132	11	11	1	0.372
1	201	0.012	2	4	11	11	1	0.460
1	202	0.013	2	428	11	11	1	0.373
1	203	0.013	1	3	13	13	1	0.445
1	204	0.013	2	159	11	11	1	0.357
1	205	0.013	2	480	11	11	1	0.284
1	206	0.013	2	350	11	11	1	0.226
1	207	0.013	2	305	11	11	1	0.234
1	208	0.014	2	107	11	11	1	0.322
1	209	0.014	2	67	11	11	1	0.346
1	210	0.014	2	79	11	11	1	0.369
1	211	0.001	2	485	11	11	1	0.358
1	212	0.001	2	345	11	11	1	0.318
1	213	0.001	2	357	11	11	1	0.375
1	214	0.002	2	367	11	11	1	0.367
1	215	0.002	2	261	11	11	1	0.424
1	216	0.002	2	416	11	11	1	0.366
1	217	0.002	2	260	11	11	1	0.422
1	218	0.002	2	456	11	11	1	0.398
1	219	0.003	2	422	11	11	1	0.375
1	220	0.003	2	534	11	11	1	0.397
1	221	0.003	2	501	11	11	1	0.308
1	222	0.003	2	320	11	11	1	0.494
1	223	0.003	2	400	11	11	1	0.437
1	224	0.004	2	478	11	11	1	0.493
1	225	0.004	2	74	11	11	1	0.405
1	226	0.004	2	264	11	11	1	0.492
1	227	0.004	2	18	11	11	1	0.485
1	228	0.004	2	435	11	11	1	0.412
1	229	0.005	2	154	11	11	1	0.405
1	230	0.005	2	270	11	11	1	0.380
1	231	0.005	2	319	11	11	1	0.434
1	232	0.005	2	254	11	11	1	0.445
1	233	0.005	1	33	13	11	0	0.451
1	234	0.005	2	301	11	11	1	0.412
1	235	0.006	2	10	11	11	1	0.371
1	236	0.006	2	166	11	11	1	0.314
1	237	0.006	2	291	11	11	1	0.289
1	238	0.006	2	354	11	11	1	0.489
1	239	0.006	2	300	11	11	1	0.290
1	240	0.007	2	310	11	11	1	0.330
1	241	0.007	2	473	11	11	1	0.337
1	242	0.007	2	481	11	11	1	0.266
1	243	0.007	2	203	11	11	1	0.256
1	244	0.007	1	272	13	11	0	0.312
1	245	0.008	2	506	11	11	1	0.369
