
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2015 15:32:52
* Seed: 210295.8036
* Subject Number: 69
* Subject Name: DO
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	226	11	11	1	0.669
1	2	0.011	1	210	11	11	1	0.852
1	3	0.012	1	55	11	11	1	0.636
1	4	0.012	1	42	11	11	1	0.549
1	5	0.012	1	490	11	11	1	0.541
1	6	0.012	2	442	13	13	1	0.550
1	7	0.012	1	518	11	11	1	0.683
1	8	0.013	1	169	11	11	1	0.629
1	9	0.013	1	28	11	11	1	0.589
1	10	0.013	1	290	11	11	1	0.661
1	11	0.013	1	329	11	11	1	0.509
1	12	0.013	1	354	11	11	1	0.435
1	13	0.014	1	230	11	11	1	0.410
1	14	0.014	1	120	11	11	1	0.388
1	15	0.014	1	362	11	11	1	0.410
1	16	0.014	2	308	13	13	1	0.354
1	17	0.001	1	90	11	11	1	0.440
1	18	0.001	1	271	11	11	1	0.462
1	19	0.001	2	425	13	11	0	0.489
1	20	0.002	1	477	11	11	1	0.495
1	21	0.002	1	227	11	11	1	0.423
1	22	0.002	2	133	13	11	0	0.367
1	23	0.002	1	507	11	11	1	0.582
1	24	0.002	1	292	11	11	1	0.495
1	25	0.003	1	385	11	11	1	0.438
1	26	0.003	2	1	13	13	1	0.478
1	27	0.003	1	265	11	11	1	0.389
1	28	0.003	1	251	11	11	1	0.460
1	29	0.003	1	429	11	11	1	0.471
1	30	0.003	1	402	11	11	1	0.430
1	31	0.004	1	148	11	11	1	0.390
1	32	0.004	1	315	11	11	1	0.509
1	33	0.004	1	199	11	11	1	0.631
1	34	0.004	1	350	11	11	1	0.621
1	35	0.005	2	460	13	13	1	0.579
1	36	0.005	1	61	11	11	1	0.427
1	37	0.005	2	387	13	11	0	0.436
1	38	0.005	2	128	13	11	0	0.381
1	39	0.005	1	109	11	11	1	0.483
1	40	0.005	1	303	11	11	1	0.428
1	41	0.006	1	313	11	11	1	0.434
1	42	0.006	2	361	13	11	0	0.428
1	43	0.006	1	185	11	11	1	0.561
1	44	0.006	1	498	11	11	1	0.651
1	45	0.006	1	260	11	11	1	0.578
1	46	0.007	1	320	11	13	0	0.603
1	47	0.007	2	424	13	13	1	0.803
1	48	0.007	1	421	11	11	1	0.761
1	49	0.007	1	220	11	11	1	0.578
1	50	0.007	2	525	13	13	1	0.714
1	51	0.008	1	179	11	11	1	0.560
1	52	0.008	1	34	11	11	1	0.616
1	53	0.008	1	78	11	11	1	0.529
1	54	0.008	1	410	11	11	1	0.472
1	55	0.008	1	178	11	11	1	0.481
1	56	0.009	1	474	11	11	1	0.375
1	57	0.009	1	535	11	11	1	0.544
1	58	0.009	1	15	11	11	1	0.456
1	59	0.009	1	65	11	11	1	0.382
1	60	0.009	1	295	11	11	1	0.438
1	61	0.010	1	311	11	11	1	0.449
1	62	0.010	1	115	11	11	1	0.406
1	63	0.010	1	228	11	11	1	0.528
1	64	0.010	1	347	11	11	1	0.486
1	65	0.010	1	352	11	11	1	0.478
1	66	0.010	1	364	11	11	1	0.438
1	67	0.011	1	143	11	11	1	0.559
1	68	0.011	1	146	11	11	1	0.550
1	69	0.011	1	187	11	11	1	0.655
1	70	0.011	1	263	11	11	1	0.677
1	71	0.011	1	380	11	11	1	0.623
1	72	0.012	1	549	11	11	1	0.677
1	73	0.012	1	456	11	11	1	0.669
1	74	0.012	1	458	11	11	1	0.646
1	75	0.012	1	183	11	11	1	0.555
1	76	0.012	1	24	11	11	1	0.645
1	77	0.013	1	296	11	11	1	0.603
1	78	0.013	1	126	11	11	1	0.595
1	79	0.013	1	520	11	11	1	0.653
1	80	0.013	1	472	11	11	1	0.644
1	81	0.013	1	123	11	11	1	0.636
1	82	0.014	1	424	11	11	1	0.643
1	83	0.014	1	171	11	11	1	0.602
1	84	0.014	1	121	11	11	1	0.610
1	85	0.014	1	394	11	11	1	0.602
1	86	0.001	2	67	13	13	1	0.608
1	87	0.001	1	285	11	11	1	0.535
1	88	0.001	1	383	11	11	1	0.560
1	89	0.002	1	540	11	11	1	0.630
1	90	0.002	1	188	11	11	1	0.718
1	91	0.002	1	239	11	11	1	0.647
1	92	0.002	1	319	11	11	1	0.670
1	93	0.002	1	150	11	11	1	0.534
1	94	0.003	1	280	11	11	1	0.525
1	95	0.003	1	161	11	11	1	0.614
1	96	0.003	1	67	11	11	1	0.605
1	97	0.003	1	339	11	11	1	0.725
