
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 11:55:10
* Seed: 215281.8375
* Subject Number: 72
* Subject Name: JL
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.004	2	463	11	11	1	0.727
1	2	0.004	2	144	11	11	1	0.545
1	3	0.004	2	203	11	11	1	0.455
1	4	0.004	1	236	13	13	1	0.367
1	5	0.005	2	317	11	13	0	0.424
1	6	0.005	2	123	11	13	0	0.544
1	7	0.005	2	382	11	11	1	0.807
1	8	0.005	1	273	13	13	1	0.816
1	9	0.005	2	247	11	11	1	0.646
1	10	0.006	2	19	11	11	1	0.448
1	11	0.006	1	432	13	13	1	0.534
1	12	0.006	2	148	11	11	1	0.464
1	13	0.006	2	537	11	11	1	0.438
1	14	0.006	2	163	11	11	1	0.415
1	15	0.007	2	264	11	11	1	0.421
1	16	0.007	2	444	11	11	1	0.398
1	17	0.007	2	454	11	11	1	0.455
1	18	0.007	2	313	11	11	1	0.399
1	19	0.007	2	192	11	11	1	0.358
1	20	0.008	1	118	13	11	0	0.334
1	21	0.008	2	366	11	11	1	0.517
1	22	0.008	2	523	11	13	0	0.365
1	23	0.008	1	541	13	NaN	0	NaN
1	24	0.008	2	314	11	11	1	0.732
1	25	0.008	2	245	11	11	1	0.580
1	26	0.009	2	42	11	11	1	0.557
1	27	0.009	2	364	11	11	1	0.628
1	28	0.009	2	386	11	11	1	0.442
1	29	0.009	2	324	11	11	1	0.402
1	30	0.010	2	351	11	11	1	0.411
1	31	0.010	2	170	11	11	1	0.386
1	32	0.010	2	271	11	11	1	0.379
1	33	0.010	2	208	11	11	1	0.291
1	34	0.010	2	275	11	11	1	0.313
1	35	0.010	2	236	11	11	1	0.322
1	36	0.011	2	56	11	11	1	0.345
1	37	0.011	2	287	11	11	1	0.353
1	38	0.011	2	460	11	11	1	0.347
1	39	0.011	2	21	11	11	1	0.417
1	40	0.011	2	114	11	11	1	0.378
1	41	0.012	2	139	11	11	1	0.336
1	42	0.012	2	146	11	11	1	0.314
1	43	0.012	2	157	11	11	1	0.303
1	44	0.012	2	277	11	11	1	0.362
1	45	0.012	2	455	11	11	1	0.288
1	46	0.013	2	137	11	11	1	0.279
1	47	0.013	2	197	11	11	1	0.351
1	48	0.013	2	414	11	11	1	0.280
1	49	0.013	2	258	11	11	1	0.319
1	50	0.013	2	75	11	11	1	0.296
1	51	0.014	1	535	13	11	0	0.287
1	52	0.014	2	198	11	11	1	0.263
1	53	0.014	2	120	11	11	1	0.336
1	54	0.014	2	338	11	11	1	0.375
1	55	0.001	2	417	11	11	1	0.316
1	56	0.001	2	85	11	11	1	0.259
1	57	0.001	1	121	13	11	0	0.218
1	58	0.002	2	365	11	11	1	0.626
1	59	0.002	2	344	11	11	1	0.539
1	60	0.002	2	461	11	11	1	0.420
1	61	0.002	2	125	11	11	1	0.347
1	62	0.002	1	25	13	11	0	0.468
1	63	0.002	2	235	11	11	1	0.491
1	64	0.003	2	514	11	11	1	0.467
1	65	0.003	2	32	11	11	1	0.443
1	66	0.003	1	210	13	13	1	0.562
1	67	0.003	2	116	11	11	1	0.568
1	68	0.003	2	448	11	11	1	0.464
1	69	0.004	2	550	11	11	1	0.520
1	70	0.004	2	9	11	11	1	0.386
1	71	0.004	2	52	11	11	1	0.376
1	72	0.004	2	437	11	11	1	0.399
1	73	0.004	2	128	11	11	1	0.376
1	74	0.005	2	127	11	11	1	0.351
1	75	0.005	2	500	11	11	1	0.361
1	76	0.005	2	35	11	11	1	0.270
1	77	0.005	2	368	11	11	1	0.343
1	78	0.005	2	31	11	11	1	0.430
1	79	0.006	2	421	11	11	1	0.488
1	80	0.006	1	110	13	13	1	0.477
1	81	0.006	2	18	11	11	1	0.376
1	82	0.006	2	527	11	11	1	0.382
1	83	0.006	2	489	11	11	1	0.359
1	84	0.007	2	393	11	11	1	0.349
1	85	0.007	2	549	11	11	1	0.262
1	86	0.007	2	100	11	11	1	0.270
1	87	0.007	1	295	13	11	0	0.324
1	88	0.007	2	291	11	11	1	0.380
1	89	0.008	2	255	11	11	1	0.501
1	90	0.008	2	226	11	11	1	0.397
1	91	0.008	2	379	11	11	1	0.453
1	92	0.008	2	234	11	11	1	0.428
1	93	0.008	2	478	11	11	1	0.404
1	94	0.009	2	524	11	11	1	0.379
1	95	0.009	2	425	11	11	1	0.514
1	96	0.009	2	363	11	11	1	0.362
1	97	0.009	2	355	11	11	1	0.373
1	98	0.009	2	477	11	11	1	0.507
1	99	0.010	2	280	11	11	1	0.596
1	100	0.010	2	155	11	11	1	0.602
1	101	0.010	2	323	11	11	1	0.434
1	102	0.010	2	47	11	11	1	0.395
1	103	0.010	2	209	11	11	1	0.483
1	104	0.010	2	427	11	11	1	0.474
1	105	0.011	2	87	11	11	1	0.418
1	106	0.011	2	445	11	11	1	0.378
1	107	0.011	2	184	11	11	1	0.338
1	108	0.011	2	113	11	11	1	0.392
1	109	0.011	2	356	11	11	1	0.337
1	110	0.012	1	366	13	13	1	0.440
1	111	0.012	2	418	11	11	1	0.418
1	112	0.012	1	66	13	13	1	0.601
1	113	0.012	2	249	11	11	1	0.530
1	114	0.012	2	126	11	11	1	0.471
1	115	0.013	2	165	11	11	1	0.367
1	116	0.013	2	295	11	11	1	0.311
1	117	0.013	2	212	11	11	1	0.272
1	118	0.013	2	539	11	11	1	0.329
1	119	0.013	2	416	11	11	1	0.305
1	120	0.014	2	183	11	11	1	0.232
1	121	0.014	2	60	11	11	1	0.271
1	122	0.014	1	447	13	11	0	0.278
1	123	0.014	2	326	11	11	1	0.397
1	124	0.001	2	442	11	11	1	0.402
1	125	0.001	2	333	11	11	1	0.444
1	126	0.001	2	381	11	11	1	0.643
1	127	0.002	1	528	13	13	1	0.571
1	128	0.002	2	487	11	11	1	0.387
1	129	0.002	1	136	13	11	0	0.411
1	130	0.002	2	64	11	11	1	0.403
1	131	0.002	2	46	11	11	1	0.395
1	132	0.003	2	329	11	11	1	0.483
1	133	0.003	2	218	11	11	1	0.377
1	134	0.003	2	447	11	11	1	0.322
1	135	0.003	2	399	11	11	1	0.457
