
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 12:20:14
* Seed: 212260.2753
* Subject Number: 73
* Subject Name: RD
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	172	11	11	1	0.543
1	2	0.012	1	253	11	11	1	0.597
1	3	0.012	1	547	11	11	1	0.527
1	4	0.013	2	222	13	13	1	0.550
1	5	0.013	1	448	11	11	1	0.703
1	6	0.013	1	540	11	13	0	0.791
1	7	0.013	1	472	11	11	1	0.701
1	8	0.013	1	543	11	11	1	0.677
1	9	0.013	1	527	11	11	1	0.686
1	10	0.014	1	436	11	11	1	0.646
1	11	0.014	1	451	11	11	1	0.620
1	12	0.014	2	82	13	13	1	0.549
1	13	0.014	1	531	11	11	1	0.555
1	14	0.001	1	91	11	11	1	0.562
1	15	0.001	1	541	11	11	1	0.586
1	16	0.001	1	390	11	11	1	0.544
1	17	0.002	1	463	11	11	1	0.490
1	18	0.002	1	503	11	11	1	0.466
1	19	0.002	1	420	11	11	1	0.441
1	20	0.002	1	482	11	11	1	0.449
1	21	0.002	1	495	11	11	1	0.471
1	22	0.003	1	19	11	11	1	0.449
1	23	0.003	1	60	11	11	1	0.487
1	24	0.003	2	508	13	11	0	0.479
1	25	0.003	1	173	11	11	1	0.504
1	26	0.003	1	236	11	11	1	0.574
1	27	0.004	1	33	11	11	1	0.536
1	28	0.004	1	427	11	11	1	0.496
1	29	0.004	1	325	11	11	1	0.472
1	30	0.004	1	345	11	11	1	0.480
1	31	0.004	1	519	11	13	0	0.648
1	32	0.005	1	162	11	11	1	0.734
1	33	0.005	2	42	13	13	1	0.661
1	34	0.005	1	507	11	11	1	0.639
1	35	0.005	2	11	13	13	1	0.629
1	36	0.005	1	69	11	11	1	0.573
1	37	0.006	1	167	11	11	1	0.581
1	38	0.006	1	103	11	11	1	0.589
1	39	0.006	1	302	11	11	1	0.549
1	40	0.006	1	40	11	11	1	0.508
1	41	0.006	1	81	11	11	1	0.467
1	42	0.007	1	85	11	11	1	0.476
1	43	0.007	1	48	11	11	1	0.451
1	44	0.007	1	524	11	11	1	0.491
1	45	0.007	1	538	11	11	1	0.484
1	46	0.007	1	412	11	11	1	0.476
1	47	0.007	1	276	11	11	1	0.500
1	48	0.008	1	319	11	11	1	0.492
1	49	0.008	1	449	11	11	1	0.532
1	50	0.008	1	387	11	11	1	0.571
1	51	0.008	1	248	11	11	1	0.547
1	52	0.008	2	22	13	13	1	0.492
1	53	0.009	2	244	13	13	1	0.545
1	54	0.009	1	88	11	11	1	0.489
1	55	0.009	1	229	11	11	1	0.481
1	56	0.009	1	460	11	11	1	0.521
1	57	0.009	1	52	11	11	1	0.499
1	58	0.010	1	175	11	11	1	0.473
1	59	0.010	1	34	11	11	1	0.433
1	60	0.010	1	56	11	11	1	0.410
1	61	0.010	1	145	11	11	1	0.384
1	62	0.010	1	323	11	11	1	0.424
1	63	0.011	1	303	11	11	1	0.432
1	64	0.011	1	497	11	11	1	0.489
1	65	0.011	1	254	11	11	1	0.433
1	66	0.011	1	433	11	11	1	0.472
1	67	0.011	1	179	11	11	1	0.430
1	68	0.012	1	39	11	11	1	0.472
1	69	0.012	1	466	11	11	1	0.448
1	70	0.012	1	275	11	11	1	0.423
1	71	0.012	2	124	13	11	0	0.432
1	72	0.012	1	77	11	11	1	0.518
1	73	0.013	1	57	11	11	1	0.478
1	74	0.013	1	29	11	11	1	0.469
1	75	0.013	1	44	11	11	1	0.447
1	76	0.013	1	349	11	11	1	0.501
1	77	0.013	1	322	11	11	1	0.511
1	78	0.013	1	480	11	11	1	0.502
1	79	0.014	2	543	13	13	1	0.493
1	80	0.014	2	170	13	13	1	0.581
1	81	0.014	1	203	11	11	1	0.525
1	82	0.001	1	158	11	11	1	0.880
1	83	0.001	1	27	11	11	1	0.619
1	84	0.001	2	359	13	13	1	0.610
1	85	0.001	1	95	11	11	1	0.601
1	86	0.002	1	348	11	11	1	0.560
1	87	0.002	1	406	11	11	1	0.520
1	88	0.002	1	159	11	11	1	0.480
1	89	0.002	2	354	13	13	1	0.569
1	90	0.002	1	234	11	11	1	0.561
1	91	0.003	1	68	11	11	1	0.600
1	92	0.003	1	408	11	11	1	0.512
1	93	0.003	1	292	11	11	1	0.486
1	94	0.003	1	190	11	11	1	0.527
1	95	0.003	1	313	11	11	1	0.504
1	96	0.004	2	37	13	13	1	0.512
1	97	0.004	1	318	11	11	1	0.504
1	98	0.004	1	221	11	11	1	0.605
1	99	0.004	1	281	11	11	1	0.518
1	100	0.004	1	82	11	11	1	0.510
1	101	0.005	1	26	11	11	1	0.453
1	102	0.005	1	268	11	11	1	0.511
1	103	0.005	1	384	11	11	1	0.533
1	104	0.005	2	380	13	13	1	0.526
1	105	0.005	1	9	11	11	1	0.468
1	106	0.006	1	324	11	11	1	0.476
1	107	0.006	1	216	11	11	1	0.420
1	108	0.006	1	24	11	11	1	0.524
1	109	0.006	1	317	11	11	1	0.453
1	110	0.006	1	312	11	11	1	0.380
1	111	0.007	1	550	11	11	1	0.373
1	112	0.007	1	403	11	11	1	0.380
1	113	0.007	1	94	11	11	1	0.388
1	114	0.007	1	12	11	11	1	0.412
1	115	0.007	1	121	11	11	1	0.371
1	116	0.007	1	243	11	11	1	0.380
