
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 12:57:22
* Seed: 210862.2334
* Subject Number: 74
* Subject Name: ER
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	2	72	11	11	1	0.676
1	2	0.013	2	60	11	11	1	0.717
1	3	0.013	2	62	11	11	1	0.549
1	4	0.013	2	116	11	11	1	0.444
1	5	0.014	2	295	11	11	1	0.453
1	6	0.014	2	528	11	11	1	0.428
1	7	0.014	2	318	11	11	1	0.724
1	8	0.014	2	410	11	11	1	0.571
1	9	0.001	1	222	13	13	1	0.641
1	10	0.001	2	168	11	11	1	0.569
1	11	0.001	2	292	11	11	1	0.625
1	12	0.002	2	340	11	11	1	0.538
1	13	0.002	2	484	11	11	1	0.546
1	14	0.002	2	496	11	11	1	0.455
1	15	0.002	2	189	11	11	1	0.415
1	16	0.002	1	394	13	11	0	0.440
1	17	0.003	2	218	11	11	1	0.560
1	18	0.003	2	42	11	11	1	0.615
1	19	0.003	2	443	11	11	1	0.734
1	20	0.003	2	199	11	11	1	0.614
1	21	0.003	2	90	11	11	1	0.576
1	22	0.004	2	358	11	11	1	0.598
1	23	0.004	2	458	11	11	1	0.735
1	24	0.004	2	160	11	11	1	0.679
1	25	0.004	2	278	11	11	1	0.845
1	26	0.004	2	389	11	11	1	0.677
1	27	0.004	2	395	11	11	1	0.590
1	28	0.005	2	87	11	11	1	0.535
1	29	0.005	2	133	11	11	1	0.607
1	30	0.005	1	508	13	13	1	0.550
1	31	0.005	2	65	11	11	1	0.494
1	32	0.005	2	196	11	11	1	0.502
1	33	0.006	2	280	11	11	1	0.588
1	34	0.006	1	199	13	13	1	0.612
1	35	0.006	2	61	11	11	1	0.557
1	36	0.006	2	403	11	11	1	0.563
1	37	0.006	2	59	11	11	1	0.573
1	38	0.007	2	302	11	11	1	0.531
1	39	0.007	2	320	11	11	1	0.588
1	40	0.007	2	24	11	11	1	0.627
1	41	0.007	2	538	11	11	1	0.605
1	42	0.007	2	265	11	11	1	0.531
1	43	0.008	2	270	11	11	1	0.570
1	44	0.008	2	446	11	11	1	0.612
1	45	0.008	2	232	11	11	1	0.588
1	46	0.008	2	363	11	11	1	0.579
1	47	0.008	2	328	11	11	1	0.571
1	48	0.009	2	224	11	11	1	0.562
1	49	0.009	2	533	11	11	1	0.570
1	50	0.009	2	29	11	11	1	0.562
1	51	0.009	2	499	11	11	1	0.586
1	52	0.009	1	23	13	13	1	0.496
1	53	0.010	2	501	11	11	1	0.568
1	54	0.010	2	372	11	11	1	0.496
1	55	0.010	2	506	11	11	1	0.471
1	56	0.010	2	122	11	11	1	0.530
1	57	0.010	2	469	11	11	1	0.615
1	58	0.011	2	176	11	11	1	0.512
1	59	0.011	2	344	11	11	1	0.439
1	60	0.011	2	465	11	11	1	0.479
1	61	0.011	2	463	11	11	1	0.440
1	62	0.011	2	221	11	11	1	0.463
1	63	0.012	2	81	11	11	1	0.470
1	64	0.012	2	214	11	11	1	0.463
1	65	0.012	2	284	11	11	1	0.454
1	66	0.012	2	135	11	11	1	0.494
1	67	0.012	2	380	11	11	1	0.486
1	68	0.012	2	19	11	11	1	0.557
1	69	0.013	2	123	11	11	1	0.630
1	70	0.013	2	445	11	11	1	0.575
1	71	0.013	2	78	11	11	1	0.550
1	72	0.013	2	77	11	11	1	0.540
1	73	0.013	2	319	11	11	1	0.565
1	74	0.014	2	34	11	11	1	0.542
1	75	0.014	2	157	11	11	1	0.548
1	76	0.014	2	524	11	11	1	0.492
1	77	0.014	2	184	11	11	1	0.499
1	78	0.001	2	124	11	11	1	0.473
1	79	0.001	1	516	13	13	1	0.657
1	80	0.001	2	449	11	11	1	0.538
1	81	0.002	2	228	11	11	1	0.481
1	82	0.002	2	467	11	11	1	0.473
1	83	0.002	2	519	11	11	1	0.527
1	84	0.002	2	158	11	11	1	0.488
1	85	0.002	2	396	11	11	1	0.432
1	86	0.003	2	101	11	11	1	0.393
1	87	0.003	2	17	11	11	1	0.576
