
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 13:31:55
* Seed: 211632.603
* Subject Number: 75
* Subject Name: TR
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	403	11	11	1	0.586
1	2	0.013	2	194	13	13	1	0.577
1	3	0.013	1	528	11	13	0	0.443
1	4	0.013	1	545	11	13	0	0.466
1	5	0.013	1	201	11	11	1	0.859
1	6	0.013	1	462	11	11	1	0.531
1	7	0.013	1	316	11	11	1	0.490
1	8	0.014	1	511	11	11	1	0.370
1	9	0.014	1	38	11	11	1	0.552
1	10	0.014	1	497	11	11	1	0.434
1	11	0.014	1	251	11	11	1	0.536
1	12	0.001	1	79	11	11	1	0.415
1	13	0.001	1	303	11	11	1	0.358
1	14	0.001	1	174	11	11	1	0.348
1	15	0.002	1	313	11	11	1	0.582
1	16	0.002	1	314	11	11	1	0.511
1	17	0.002	1	447	11	11	1	0.372
1	18	0.002	2	339	13	13	1	0.412
1	19	0.002	1	115	11	11	1	0.515
1	20	0.003	1	4	11	11	1	0.412
1	21	0.003	1	421	11	11	1	0.324
1	22	0.003	2	82	13	13	1	0.396
1	23	0.003	1	182	11	11	1	0.532
1	24	0.003	1	318	11	11	1	0.541
1	25	0.004	1	458	11	11	1	0.418
1	26	0.004	1	489	11	11	1	0.299
1	27	0.004	1	276	11	11	1	0.387
1	28	0.004	1	455	11	11	1	0.394
1	29	0.004	1	476	11	11	1	0.403
1	30	0.005	1	133	11	11	1	0.363
1	31	0.005	1	192	11	11	1	0.338
1	32	0.005	1	319	11	11	1	0.314
1	33	0.005	1	120	11	11	1	0.306
1	34	0.005	1	78	11	11	1	0.377
1	35	0.006	1	433	11	11	1	0.353
1	36	0.006	1	72	11	11	1	0.298
1	37	0.006	1	534	11	11	1	0.338
1	38	0.006	1	348	11	11	1	0.392
1	39	0.006	1	66	11	11	1	0.304
1	40	0.007	1	478	11	11	1	0.346
1	41	0.007	1	117	11	13	0	0.385
1	42	0.007	1	24	11	11	1	0.569
1	43	0.007	1	389	11	11	1	0.527
1	44	0.007	1	199	11	11	1	0.407
1	45	0.007	2	272	13	11	0	0.449
1	46	0.008	1	440	11	11	1	0.455
1	47	0.008	1	446	11	11	1	0.431
1	48	0.008	1	122	11	11	1	0.376
1	49	0.008	1	140	11	11	1	0.400
1	50	0.008	1	369	11	11	1	0.328
1	51	0.009	2	229	13	11	0	0.335
1	52	0.009	1	55	11	11	1	0.582
1	53	0.009	1	410	11	11	1	0.557
1	54	0.009	1	193	11	11	1	0.372
1	55	0.009	2	353	13	13	1	0.462
1	56	0.010	1	385	11	11	1	0.438
1	57	0.010	1	541	11	11	1	0.557
1	58	0.010	1	474	11	11	1	0.628
1	59	0.010	1	467	11	11	1	0.588
1	60	0.010	1	9	11	11	1	0.436
1	61	0.011	1	547	11	11	1	0.397
