
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 14:02:01
* Seed: 209349.4179
* Subject Number: 76
* Subject Name: YS
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	301	11	NaN	0	NaN
1	2	0.012	2	294	11	11	1	0.658
1	3	0.012	2	196	11	11	1	0.556
1	4	0.012	2	26	11	11	1	0.453
1	5	0.013	2	109	11	11	1	0.523
1	6	0.013	2	468	11	11	1	0.498
1	7	0.013	2	387	11	11	1	0.524
1	8	0.013	2	181	11	11	1	0.385
1	9	0.013	2	403	11	11	1	0.410
1	10	0.014	2	214	11	11	1	0.323
1	11	0.014	2	169	11	11	1	0.410
1	12	0.014	2	362	11	11	1	0.369
1	13	0.014	2	142	11	11	1	0.426
1	14	0.001	2	400	11	11	1	0.431
1	15	0.001	2	129	11	11	1	0.438
1	16	0.001	2	234	11	11	1	0.477
1	17	0.002	2	145	11	11	1	0.454
1	18	0.002	2	530	11	11	1	0.575
1	19	0.002	2	182	11	11	1	0.486
1	20	0.002	2	538	11	11	1	0.397
1	21	0.002	2	212	11	11	1	0.406
1	22	0.003	2	394	11	11	1	0.414
1	23	0.003	2	199	11	11	1	0.421
1	24	0.003	2	495	11	11	1	0.381
1	25	0.003	2	531	11	11	1	0.356
1	26	0.003	2	3	11	11	1	0.366
1	27	0.004	2	278	11	11	1	0.357
1	28	0.004	2	157	11	11	1	0.379
1	29	0.004	2	37	11	11	1	0.340
1	30	0.004	2	12	11	11	1	0.426
1	31	0.004	2	96	11	11	1	0.307
1	32	0.005	2	6	11	11	1	0.266
1	33	0.005	2	482	11	11	1	0.323
1	34	0.005	2	328	11	11	1	0.346
1	35	0.005	2	162	11	11	1	0.402
1	36	0.005	2	61	11	11	1	0.362
1	37	0.006	2	116	11	11	1	0.417
1	38	0.006	1	335	13	11	0	0.315
1	39	0.006	2	359	11	11	1	0.481
1	40	0.006	2	35	11	11	1	0.395
1	41	0.006	2	112	11	11	1	0.464
1	42	0.007	2	281	11	11	1	0.442
1	43	0.007	2	208	11	11	1	0.417
1	44	0.007	2	435	11	11	1	0.346
1	45	0.007	2	350	11	11	1	0.432
1	46	0.007	1	267	13	13	1	0.633
1	47	0.007	2	151	11	11	1	0.528
1	48	0.008	2	439	11	11	1	0.393
1	49	0.008	1	24	13	13	1	0.560
1	50	0.008	2	346	11	11	1	0.424
1	51	0.008	1	207	13	13	1	0.431
1	52	0.008	2	475	11	11	1	0.406
1	53	0.009	2	338	11	11	1	0.543
1	54	0.009	2	93	11	11	1	0.470
1	55	0.009	2	470	11	11	1	0.461
1	56	0.009	2	63	11	11	1	0.408
1	57	0.009	2	9	11	11	1	0.398
1	58	0.010	1	494	13	13	1	0.551
1	59	0.010	1	233	13	13	1	0.463
1	60	0.010	2	321	11	11	1	0.390
1	61	0.010	2	548	11	11	1	0.446
1	62	0.010	2	179	11	11	1	0.406
1	63	0.011	2	242	11	11	1	0.413
1	64	0.011	2	372	11	11	1	0.436
1	65	0.011	2	297	11	11	1	0.349
1	66	0.011	2	173	11	11	1	0.388
1	67	0.011	2	92	11	11	1	0.300
1	68	0.012	2	358	11	11	1	0.277
1	69	0.012	2	198	11	11	1	0.203
1	70	0.012	1	138	13	11	0	0.229
1	71	0.012	2	505	11	11	1	0.379
1	72	0.012	2	58	11	11	1	0.453
1	73	0.013	2	114	11	11	1	0.458
1	74	0.013	1	286	13	11	0	0.355
1	75	0.013	2	493	11	11	1	0.442
1	76	0.013	2	130	11	11	1	0.643
1	77	0.013	2	143	11	11	1	0.476
1	78	0.013	1	437	13	13	1	0.723
1	79	0.014	2	536	11	11	1	0.587
1	80	0.014	2	528	11	11	1	0.723
1	81	0.014	2	59	11	11	1	0.522
1	82	0.014	2	98	11	11	1	0.577
1	83	0.001	1	329	13	13	1	0.599
1	84	0.001	2	39	11	11	1	0.447
1	85	0.001	2	230	11	11	1	0.437
1	86	0.002	2	322	11	11	1	0.606
1	87	0.002	1	293	13	13	1	0.551
1	88	0.002	2	282	11	11	1	0.431
1	89	0.002	2	544	11	11	1	0.357
1	90	0.002	2	367	11	11	1	0.446
1	91	0.003	2	540	11	11	1	0.406
1	92	0.003	2	213	11	11	1	0.334
1	93	0.003	2	379	11	11	1	0.406
1	94	0.003	2	395	11	11	1	0.412
1	95	0.003	2	450	11	11	1	0.371
1	96	0.004	2	87	11	11	1	0.332
1	97	0.004	2	185	11	11	1	0.404
1	98	0.004	1	285	13	13	1	0.474
1	99	0.004	2	223	11	11	1	0.371
1	100	0.004	2	237	11	11	1	0.555
1	101	0.005	2	60	11	11	1	0.450
1	102	0.005	2	511	11	11	1	0.443
1	103	0.005	2	124	11	11	1	0.420
1	104	0.005	2	243	11	11	1	0.395
1	105	0.005	2	276	11	11	1	0.403
1	106	0.006	2	382	11	11	1	0.442
1	107	0.006	2	265	11	11	1	0.338
1	108	0.006	2	285	11	11	1	0.297
1	109	0.006	1	98	13	11	0	0.336
1	110	0.006	2	539	11	11	1	0.426
1	111	0.007	2	360	11	11	1	0.512
1	112	0.007	2	491	11	11	1	0.394
1	113	0.007	2	541	11	11	1	0.464
1	114	0.007	2	355	11	11	1	0.487
1	115	0.007	2	417	11	11	1	0.497
1	116	0.008	2	66	11	11	1	0.471
1	117	0.008	2	319	11	11	1	0.449
1	118	0.008	2	284	11	11	1	0.518
1	119	0.008	2	132	11	11	1	0.446
1	120	0.008	2	253	11	11	1	0.472
1	121	0.008	2	396	11	11	1	0.272
1	122	0.009	2	543	11	11	1	0.326
1	123	0.009	2	427	11	11	1	0.464
1	124	0.009	2	509	11	11	1	0.437
1	125	0.009	2	428	11	11	1	0.400
1	126	0.009	2	291	11	11	1	0.422
1	127	0.010	2	364	11	11	1	0.397
1	128	0.010	2	504	11	11	1	0.407
1	129	0.010	2	444	11	11	1	0.478
1	130	0.010	2	510	11	11	1	0.469
1	131	0.010	2	207	11	11	1	0.429
1	132	0.011	2	518	11	11	1	0.374
1	133	0.011	1	413	13	11	0	0.333
1	134	0.011	2	402	11	11	1	0.310
1	135	0.011	2	126	11	11	1	0.491
1	136	0.011	2	107	11	11	1	0.467
1	137	0.012	2	351	11	11	1	0.412
1	138	0.012	2	161	11	11	1	0.467
1	139	0.012	2	258	11	11	1	0.475
1	140	0.012	2	365	11	11	1	0.517
1	141	0.012	2	118	11	11	1	0.459
1	142	0.013	2	95	11	11	1	0.468
1	143	0.013	1	218	13	13	1	0.604
1	144	0.013	2	32	11	11	1	0.484
1	145	0.013	2	293	11	11	1	0.523
1	146	0.013	2	115	11	11	1	0.482
1	147	0.013	2	330	11	11	1	0.459
1	148	0.014	2	106	11	11	1	0.449
1	149	0.014	1	204	13	13	1	0.523
1	150	0.014	2	446	11	11	1	0.465
1	151	0.014	2	340	11	11	1	0.441
1	152	0.001	2	288	11	11	1	0.400
1	153	0.001	2	422	11	11	1	0.487
1	154	0.001	2	410	11	11	1	0.398
1	155	0.002	2	33	11	11	1	0.517
1	156	0.002	2	308	11	11	1	0.460
1	157	0.002	2	195	11	11	1	0.471
1	158	0.002	2	53	11	11	1	0.397
1	159	0.002	2	447	11	11	1	0.389
1	160	0.003	2	172	11	11	1	0.332
1	161	0.003	2	314	11	11	1	0.340
1	162	0.003	2	128	11	11	1	0.349
1	163	0.003	2	375	11	11	1	0.324
1	164	0.003	2	236	11	11	1	0.332
1	165	0.004	2	460	11	11	1	0.307
1	166	0.004	1	466	13	11	0	0.269
1	167	0.004	2	120	11	11	1	0.402
1	168	0.004	2	327	11	11	1	0.508
1	169	0.004	2	146	11	11	1	0.531
1	170	0.005	2	104	11	11	1	0.507
1	171	0.005	2	25	11	11	1	0.468
1	172	0.005	2	481	11	11	1	0.474
1	173	0.005	2	279	11	11	1	0.402
1	174	0.005	2	177	11	11	1	0.538
1	175	0.006	1	177	13	13	1	0.689
1	176	0.006	2	75	11	11	1	0.505
1	177	0.006	2	312	11	11	1	0.451
1	178	0.006	2	423	11	11	1	0.426
1	179	0.006	2	490	11	11	1	0.403
1	180	0.007	2	506	11	11	1	0.442
1	181	0.007	2	268	11	11	1	0.290
1	182	0.007	2	434	11	11	1	0.360
1	183	0.007	2	361	11	11	1	0.528
1	184	0.007	2	465	11	11	1	0.407
1	185	0.007	2	547	11	11	1	0.497
1	186	0.008	2	218	11	11	1	0.393
1	187	0.008	2	501	11	11	1	0.398
1	188	0.008	2	457	11	11	1	0.361
1	189	0.008	2	388	11	11	1	0.382
1	190	0.008	2	239	11	11	1	0.344
1	191	0.009	2	412	11	11	1	0.399
1	192	0.009	2	137	11	11	1	0.550
1	193	0.009	2	13	11	11	1	0.414
1	194	0.009	2	266	11	11	1	0.358
1	195	0.009	2	496	11	11	1	0.368
1	196	0.010	2	432	11	11	1	0.407
1	197	0.010	1	289	13	11	0	0.477
1	198	0.010	2	524	11	11	1	0.551
1	199	0.010	2	197	11	11	1	0.463
1	200	0.010	2	190	11	11	1	0.502
1	201	0.011	2	201	11	11	1	0.399
1	202	0.011	2	342	11	11	1	0.518
1	203	0.011	2	101	11	11	1	0.429
1	204	0.011	2	51	11	11	1	0.549
1	205	0.011	2	80	11	11	1	0.445
1	206	0.012	2	378	11	11	1	0.580
1	207	0.012	1	169	13	13	1	0.572
1	208	0.012	2	376	11	11	1	0.405
1	209	0.012	2	183	11	11	1	0.476
1	210	0.012	2	103	11	11	1	0.708
1	211	0.013	2	311	11	11	1	0.476
1	212	0.013	2	244	11	11	1	0.466
1	213	0.013	2	100	11	11	1	0.380
1	214	0.013	2	269	11	11	1	0.292
1	215	0.013	2	180	11	11	1	0.377
1	216	0.013	2	272	11	11	1	0.417
1	217	0.014	2	440	11	11	1	0.425
1	218	0.014	2	462	11	11	1	0.419
1	219	0.014	2	537	11	11	1	0.363
1	220	0.001	1	514	13	11	0	0.369
1	221	0.001	2	90	11	11	1	0.455
1	222	0.001	2	43	11	11	1	0.558
1	223	0.001	2	469	11	11	1	0.615
1	224	0.002	2	289	11	11	1	0.573
1	225	0.002	2	263	11	11	1	0.629
1	226	0.002	1	355	13	13	1	0.588
1	227	0.002	2	57	11	11	1	0.631
1	228	0.002	2	221	11	11	1	0.573
1	229	0.003	2	46	11	11	1	0.517
1	230	0.003	2	260	11	11	1	0.509
1	231	0.003	2	83	11	11	1	0.485
1	232	0.003	2	89	11	11	1	0.493
1	233	0.003	2	296	11	11	1	0.676
1	234	0.004	2	357	11	11	1	0.716
1	235	0.004	2	97	11	11	1	0.580
1	236	0.004	2	204	11	11	1	0.540
1	237	0.004	2	255	11	11	1	0.580
1	238	0.004	2	494	11	11	1	0.586
1	239	0.005	2	261	11	11	1	0.548
1	240	0.005	1	398	13	13	1	0.636
1	241	0.005	2	391	11	11	1	0.498
1	242	0.005	2	371	11	11	1	0.412
1	243	0.005	2	413	11	11	1	0.450
1	244	0.006	2	191	11	11	1	0.569
1	245	0.006	2	252	11	11	1	0.578
1	246	0.006	2	264	11	11	1	0.459
1	247	0.006	2	313	11	11	1	0.369
1	248	0.006	2	154	11	11	1	0.314
1	249	0.007	2	383	11	11	1	0.402
1	250	0.007	2	216	11	11	1	0.362
1	251	0.007	2	339	11	11	1	0.353
1	252	0.007	2	334	11	11	1	0.378
1	253	0.007	2	374	11	11	1	0.369
1	254	0.008	2	158	11	11	1	0.391
1	255	0.008	2	514	11	11	1	0.528
1	256	0.008	2	546	11	11	1	0.473
1	257	0.008	2	21	11	11	1	0.416
1	258	0.008	2	153	11	11	1	0.585
1	259	0.008	2	521	11	11	1	0.623
1	260	0.009	2	452	11	11	1	0.759
1	261	0.009	2	71	11	11	1	0.592
1	262	0.009	2	22	11	11	1	0.471
1	263	0.009	2	211	11	11	1	0.526
1	264	0.009	2	148	11	11	1	0.455
1	265	0.010	2	232	11	11	1	0.350
1	266	0.010	2	210	11	11	1	0.358
1	267	0.010	2	127	11	11	1	0.350
1	268	0.010	1	452	13	13	1	0.629
1	269	0.010	2	323	11	11	1	0.398
1	270	0.011	2	377	11	11	1	0.373
1	271	0.011	1	461	13	13	1	0.556
1	272	0.011	2	30	11	11	1	0.612
1	273	0.011	2	131	11	11	1	0.461
1	274	0.011	2	529	11	11	1	0.453
1	275	0.012	2	486	11	11	1	0.412
1	276	0.012	1	73	13	11	0	0.293
1	277	0.012	2	72	11	11	1	0.459
1	278	0.012	2	373	11	11	1	0.547
1	279	0.012	2	549	11	11	1	0.458
1	280	0.013	2	24	11	11	1	0.517
