
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 14:32:00
* Seed: 212256.2495
* Subject Number: 77
* Subject Name: GC
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	83	11	11	1	0.700
1	2	0.013	1	54	11	11	1	0.436
1	3	0.013	1	549	11	13	0	0.653
1	4	0.013	1	525	11	NaN	0	NaN
1	5	0.013	1	333	11	13	0	0.109
1	6	0.013	1	125	11	11	1	0.579
1	7	0.013	2	27	13	13	1	0.508
1	8	0.014	1	291	11	11	1	0.643
1	9	0.014	1	503	11	11	1	0.460
1	10	0.014	1	507	11	11	1	0.466
1	11	0.014	1	484	11	11	1	0.523
1	12	0.001	1	222	11	11	1	0.448
1	13	0.001	1	275	11	11	1	0.441
1	14	0.001	1	69	11	11	1	0.401
1	15	0.002	1	471	11	11	1	0.295
1	16	0.002	1	24	11	11	1	0.318
1	17	0.002	1	527	11	11	1	0.360
1	18	0.002	1	112	11	11	1	0.832
1	19	0.002	1	370	11	11	1	0.503
1	20	0.003	1	265	11	11	1	0.526
1	21	0.003	1	218	11	11	1	0.533
1	22	0.003	1	361	11	11	1	0.494
1	23	0.003	1	423	11	11	1	0.437
1	24	0.003	1	480	11	11	1	0.511
1	25	0.004	2	325	13	11	0	0.630
1	26	0.004	1	299	11	11	1	0.510
1	27	0.004	1	34	11	11	1	0.452
1	28	0.004	1	465	11	11	1	0.429
1	29	0.004	1	448	11	11	1	0.452
1	30	0.005	1	159	11	11	1	0.366
1	31	0.005	1	417	11	11	1	0.436
1	32	0.005	2	484	13	11	0	0.364
1	33	0.005	1	499	11	11	1	0.357
1	34	0.005	1	43	11	11	1	0.508
1	35	0.006	1	290	11	11	1	0.388
1	36	0.006	1	75	11	11	1	0.379
1	37	0.006	1	47	11	11	1	0.533
1	38	0.006	1	70	11	11	1	0.460
1	39	0.006	1	81	11	11	1	0.449
1	40	0.007	2	105	13	13	1	0.812
1	41	0.007	1	257	11	11	1	0.674
1	42	0.007	1	431	11	11	1	0.553
1	43	0.007	1	421	11	11	1	0.386
1	44	0.007	1	225	11	11	1	0.378
1	45	0.007	1	308	11	11	1	0.339
1	46	0.008	1	297	11	11	1	0.330
1	47	0.008	2	249	13	11	0	0.353
1	48	0.008	1	121	11	11	1	0.361
1	49	0.008	1	483	11	11	1	0.369
1	50	0.008	1	334	11	11	1	0.455
1	51	0.009	1	360	11	11	1	0.418
1	52	0.009	1	452	11	11	1	0.425
1	53	0.009	1	193	11	11	1	0.353
1	54	0.009	1	456	11	11	1	0.296
1	55	0.009	1	418	11	11	1	0.319
1	56	0.010	1	59	11	11	1	0.328
1	57	0.010	1	224	11	11	1	0.321
1	58	0.010	1	199	11	11	1	0.360
1	59	0.010	1	477	11	11	1	0.496
1	60	0.010	1	435	11	11	1	0.423
1	61	0.011	2	69	13	11	0	0.447
1	62	0.011	1	539	11	13	0	0.488
1	63	0.011	1	476	11	11	1	0.478
1	64	0.011	1	100	11	11	1	0.470
1	65	0.011	1	98	11	11	1	0.604
1	66	0.012	1	351	11	11	1	0.437
1	67	0.012	1	541	11	11	1	0.380
1	68	0.012	1	189	11	11	1	0.517
1	69	0.012	2	16	13	11	0	0.380
1	70	0.012	1	524	11	11	1	0.581
1	71	0.013	1	522	11	11	1	0.461
1	72	0.013	1	264	11	11	1	0.451
1	73	0.013	1	134	11	11	1	0.364
1	74	0.013	1	232	11	11	1	0.452
1	75	0.013	1	415	11	11	1	0.493
1	76	0.013	1	426	11	11	1	0.355
1	77	0.014	1	72	11	11	1	0.316
1	78	0.014	1	287	11	11	1	0.404
1	79	0.014	1	137	11	11	1	0.394
1	80	0.014	2	233	13	11	0	0.356
1	81	0.001	1	15	11	11	1	0.345
1	82	0.001	2	311	13	11	0	0.319
1	83	0.001	1	479	11	11	1	0.281
1	84	0.002	1	95	11	11	1	0.399
1	85	0.002	1	500	11	11	1	0.313
1	86	0.002	1	444	11	11	1	0.335
1	87	0.002	1	28	11	11	1	0.246
1	88	0.002	1	376	11	11	1	0.254
1	89	0.003	1	429	11	11	1	0.247
1	90	0.003	1	397	11	11	1	0.253
1	91	0.003	1	66	11	11	1	0.309
1	92	0.003	1	474	11	11	1	0.333
1	93	0.003	1	543	11	11	1	0.324
1	94	0.004	1	491	11	11	1	0.317
1	95	0.004	1	453	11	11	1	0.278
1	96	0.004	1	139	11	11	1	0.316
1	97	0.004	1	214	11	11	1	0.292
1	98	0.004	1	25	11	11	1	0.365
1	99	0.005	1	142	11	11	1	0.372
1	100	0.005	1	380	11	11	1	0.331
1	101	0.005	1	324	11	11	1	0.325
1	102	0.005	1	302	11	11	1	0.315
1	103	0.005	1	537	11	11	1	0.291
1	104	0.006	1	77	11	11	1	0.347
1	105	0.006	1	332	11	11	1	0.451
1	106	0.006	1	256	11	11	1	0.474
1	107	0.006	1	352	11	11	1	0.418
1	108	0.006	1	7	11	11	1	0.554
1	109	0.007	1	329	11	11	1	0.434
1	110	0.007	1	366	11	11	1	0.425
1	111	0.007	1	508	11	11	1	0.371
1	112	0.007	1	109	11	11	1	0.345
1	113	0.007	1	210	11	11	1	0.337
