
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 16-Feb-2015 14:58:30
* Seed: 211860.7104
* Subject Number: 78
* Subject Name: OT
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	299	11	11	1	0.655
1	2	0.013	2	440	11	NaN	0	NaN
1	3	0.013	2	55	11	11	1	0.591
1	4	0.013	2	363	11	NaN	0	NaN
1	5	0.013	2	280	11	11	1	0.575
1	6	0.013	2	275	11	13	0	0.726
1	7	0.014	2	93	11	11	1	0.576
1	8	0.014	2	485	11	11	1	0.520
1	9	0.014	1	430	13	13	1	0.704
1	10	0.014	2	436	11	11	1	0.597
1	11	0.001	2	92	11	11	1	0.637
1	12	0.001	2	544	11	11	1	0.564
1	13	0.001	2	274	11	11	1	0.507
1	14	0.002	2	173	11	11	1	0.484
1	15	0.002	2	520	11	11	1	0.475
1	16	0.002	1	515	13	13	1	0.546
1	17	0.002	2	185	11	11	1	0.602
1	18	0.002	2	379	11	11	1	0.593
1	19	0.002	2	179	11	11	1	0.539
1	20	0.003	2	137	11	11	1	0.466
1	21	0.003	2	239	11	11	1	0.491
1	22	0.003	2	422	11	11	1	0.483
1	23	0.003	2	515	11	11	1	0.409
1	24	0.003	2	149	11	11	1	0.465
1	25	0.003	2	198	11	11	1	0.443
1	26	0.004	2	204	11	11	1	0.482
1	27	0.004	1	17	13	13	1	0.776
1	28	0.004	2	202	11	11	1	0.592
1	29	0.004	2	263	11	11	1	0.522
1	30	0.005	2	476	11	11	1	0.575
1	31	0.005	2	356	11	11	1	0.487
1	32	0.005	2	115	11	11	1	0.400
1	33	0.005	2	156	11	11	1	0.519
1	34	0.005	2	36	11	11	1	0.481
1	35	0.006	2	88	11	11	1	0.583
1	36	0.006	2	33	11	11	1	0.639
1	37	0.006	2	169	11	11	1	0.503
1	38	0.006	2	218	11	11	1	0.494
1	39	0.006	2	388	11	11	1	0.566
1	40	0.007	1	147	13	11	0	0.527
1	41	0.007	2	80	11	11	1	0.503
1	42	0.007	2	94	11	11	1	0.494
1	43	0.007	2	325	11	11	1	0.453
1	44	0.007	2	243	11	11	1	0.460
1	45	0.008	2	451	11	11	1	0.646
1	46	0.008	2	484	11	11	1	0.638
1	47	0.008	2	336	11	11	1	0.774
1	48	0.008	2	69	11	11	1	0.637
1	49	0.008	2	405	11	11	1	0.566
1	50	0.009	1	199	13	13	1	0.493
1	51	0.009	2	425	11	11	1	0.644
1	52	0.009	2	267	11	11	1	0.523
1	53	0.009	2	400	11	11	1	0.532
1	54	0.009	2	326	11	11	1	0.508
1	55	0.009	2	389	11	11	1	0.501
1	56	0.010	1	473	13	11	0	0.555
1	57	0.010	2	128	11	11	1	0.594
1	58	0.010	2	45	11	11	1	0.555
1	59	0.010	2	248	11	11	1	0.593
1	60	0.010	2	448	11	11	1	0.490
1	61	0.011	2	163	11	11	1	0.564
1	62	0.011	2	49	11	11	1	0.667
1	63	0.011	2	454	11	11	1	0.866
1	64	0.011	2	117	11	11	1	0.616
1	65	0.011	2	260	11	11	1	0.593
1	66	0.012	2	112	11	11	1	0.713
1	67	0.012	2	51	11	11	1	0.674
1	68	0.012	2	523	11	11	1	0.665
1	69	0.012	2	254	11	11	1	0.640
1	70	0.012	2	406	11	11	1	0.569
1	71	0.013	2	91	11	11	1	0.560
1	72	0.013	2	24	11	11	1	0.537
1	73	0.013	2	268	11	11	1	0.512
1	74	0.013	2	310	11	11	1	0.520
1	75	0.013	2	442	11	11	1	0.560
1	76	0.014	2	71	11	11	1	0.536
1	77	0.014	2	18	11	11	1	0.575
1	78	0.014	2	306	11	11	1	0.519
1	79	0.014	2	519	11	11	1	0.559
1	80	0.001	2	334	11	11	1	0.532
1	81	0.001	2	251	11	11	1	0.682
1	82	0.001	2	513	11	11	1	0.771
1	83	0.002	2	529	11	11	1	0.731
1	84	0.002	1	486	13	13	1	0.578
1	85	0.002	2	74	11	11	1	0.571
1	86	0.002	2	507	11	11	1	0.578
1	87	0.002	2	524	11	11	1	0.540
1	88	0.003	2	350	11	11	1	0.561
1	89	0.003	2	320	11	11	1	0.603
1	90	0.003	2	371	11	11	1	0.561
1	91	0.003	2	516	11	11	1	0.778
1	92	0.003	2	127	11	11	1	0.723
1	93	0.004	2	100	11	11	1	0.682
1	94	0.004	2	493	11	11	1	0.754
1	95	0.004	2	458	11	11	1	0.746
1	96	0.004	2	465	11	11	1	0.768
1	97	0.004	2	78	11	11	1	0.856
1	98	0.004	2	265	11	11	1	0.833
1	99	0.005	2	329	11	11	1	0.871
1	100	0.005	2	256	11	11	1	0.863
1	101	0.005	2	346	11	11	1	0.822
1	102	0.005	2	87	11	11	1	0.817
1	103	0.005	1	456	13	13	1	0.615
1	104	0.006	2	242	11	11	1	0.576
1	105	0.006	2	435	11	11	1	0.519
1	106	0.006	2	439	11	11	1	0.447
1	107	0.006	2	311	11	11	1	0.470
1	108	0.006	2	61	11	11	1	0.480
1	109	0.006	2	473	11	11	1	0.485
1	110	0.007	1	381	13	13	1	0.511
1	111	0.007	2	291	11	11	1	0.518
1	112	0.007	2	375	11	11	1	0.526
1	113	0.007	2	469	11	11	1	0.613
1	114	0.008	2	77	11	11	1	0.541
1	115	0.008	2	162	11	11	1	0.518
1	116	0.008	2	189	11	11	1	0.573
1	117	0.008	2	533	11	11	1	0.677
1	118	0.008	2	52	11	11	1	0.685
1	119	0.009	1	378	13	13	1	0.580
1	120	0.009	2	495	11	11	1	0.541
1	121	0.009	2	132	11	11	1	0.531
1	122	0.009	2	278	11	11	1	0.476
1	123	0.009	2	468	11	11	1	0.643
1	124	0.009	2	308	11	11	1	0.604
1	125	0.010	2	338	11	11	1	0.642
1	126	0.010	2	110	11	11	1	0.684
1	127	0.010	2	449	11	11	1	0.676
1	128	0.010	2	131	11	11	1	0.682
1	129	0.010	1	519	13	13	1	0.801
1	130	0.011	2	474	11	11	1	0.682
1	131	0.011	2	216	11	11	1	0.593
1	132	0.011	2	345	11	11	1	0.585
1	133	0.011	2	191	11	11	1	0.515
1	134	0.011	2	122	11	11	1	0.745
1	135	0.012	2	386	11	11	1	0.817
1	136	0.012	2	535	11	11	1	0.618
1	137	0.012	2	7	11	11	1	0.624
1	138	0.012	2	288	11	11	1	0.568
1	139	0.012	2	416	11	11	1	0.640
1	140	0.013	2	223	11	11	1	0.665
1	141	0.013	2	214	11	11	1	0.720
1	142	0.013	2	102	11	11	1	0.681
1	143	0.013	2	67	11	11	1	0.769
1	144	0.013	2	390	11	11	1	0.792
1	145	0.014	2	13	11	11	1	0.847
1	146	0.014	2	292	11	11	1	0.872
1	147	0.014	2	360	11	11	1	0.782
1	148	0.014	2	193	11	11	1	0.791
1	149	0.001	2	412	11	11	1	0.700
1	150	0.001	2	357	11	11	1	0.645
1	151	0.001	2	395	11	11	1	0.522
1	152	0.002	2	313	11	11	1	0.562
1	153	0.002	2	259	11	11	1	0.506
1	154	0.002	2	14	11	11	1	0.564
1	155	0.002	2	394	11	11	1	0.620
1	156	0.002	2	277	11	11	1	0.723
1	157	0.003	2	90	11	11	1	0.811
1	158	0.003	2	303	11	11	1	0.754
1	159	0.003	2	9	11	11	1	0.794
1	160	0.003	2	172	11	11	1	0.850
1	161	0.003	2	54	11	11	1	0.809
1	162	0.003	2	525	11	11	1	0.866
1	163	0.004	2	543	11	11	1	0.873
1	164	0.004	2	443	11	NaN	0	NaN
1	165	0.004	2	221	11	11	1	0.807
1	166	0.004	2	227	11	11	1	0.721
1	167	0.004	2	207	11	11	1	0.568
1	168	0.005	2	528	11	11	1	0.545
1	169	0.005	2	489	11	11	1	0.521
1	170	0.005	2	302	11	11	1	0.559
1	171	0.005	2	300	11	11	1	0.552
1	172	0.005	2	168	11	11	1	0.592
1	173	0.006	2	60	11	11	1	0.520
1	174	0.006	1	151	13	NaN	0	NaN
1	175	0.006	2	258	11	11	1	0.694
1	176	0.006	2	518	11	11	1	0.622
1	177	0.006	2	522	11	11	1	0.582
1	178	0.007	2	135	11	11	1	0.510
1	179	0.007	2	12	11	11	1	0.632
1	180	0.007	2	327	11	11	1	0.589
1	181	0.007	2	542	11	11	1	0.566
1	182	0.007	2	396	11	11	1	0.573
1	183	0.008	2	58	11	11	1	0.503
1	184	0.008	2	415	11	11	1	0.494
1	185	0.008	2	225	11	11	1	0.580
1	186	0.008	1	335	13	13	1	0.653
1	187	0.008	2	428	11	11	1	0.550
1	188	0.009	2	471	11	11	1	0.510
1	189	0.009	2	348	11	11	1	0.533
1	190	0.009	2	538	11	11	1	0.635
1	191	0.009	1	510	13	13	1	0.659
1	192	0.009	2	504	11	11	1	0.571
1	193	0.009	2	301	11	11	1	0.451
1	194	0.010	2	16	11	11	1	0.652
1	195	0.010	2	483	11	11	1	0.577
1	196	0.010	2	457	11	11	1	0.698
1	197	0.010	1	265	13	13	1	0.722
1	198	0.010	2	494	11	11	1	0.634
1	199	0.011	1	495	13	13	1	0.546
1	200	0.011	2	492	11	11	1	0.555
1	201	0.011	2	501	11	11	1	0.611
1	202	0.011	2	240	11	11	1	0.618
1	203	0.011	2	34	11	11	1	0.641
1	204	0.012	2	144	11	11	1	0.665
1	205	0.012	2	330	11	11	1	0.626
1	206	0.012	2	139	11	11	1	0.649
1	207	0.012	2	491	11	11	1	0.559
1	208	0.012	1	508	13	13	1	0.538
1	209	0.013	2	282	11	11	1	0.465
1	210	0.013	2	50	11	11	1	0.504
1	211	0.013	1	175	13	13	1	0.609
