
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 17-Mar-2015 12:33:02
* Seed: 212332.8045
* Subject Number: 79
* Subject Name: EE
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	493	11	11	1	0.593
1	2	0.012	1	659	11	11	1	0.489
1	3	0.012	2	121	13	13	1	0.496
1	4	0.013	1	248	11	11	1	0.649
1	5	0.013	1	716	11	11	1	0.639
1	6	0.013	1	619	11	11	1	0.551
1	7	0.013	1	32	11	11	1	0.495
1	8	0.013	2	160	13	13	1	0.488
1	9	0.013	1	185	11	11	1	0.655
1	10	0.014	1	653	11	11	1	0.584
1	11	0.014	1	270	11	11	1	0.783
1	12	0.014	1	247	11	11	1	0.584
1	13	0.001	1	385	11	11	1	0.843
1	14	0.001	2	54	13	13	1	0.691
1	15	0.001	1	353	11	11	1	0.635
1	16	0.002	1	678	11	11	1	0.548
1	17	0.002	1	3	11	11	1	0.683
1	18	0.002	1	198	11	11	1	0.563
1	19	0.002	1	680	11	11	1	0.490
1	20	0.002	1	681	11	11	1	0.402
1	21	0.002	1	106	11	11	1	0.410
1	22	0.003	1	630	11	11	1	0.467
1	23	0.003	1	321	11	11	1	0.457
1	24	0.003	1	208	11	11	1	0.450
1	25	0.003	2	461	13	11	0	0.729
1	26	0.004	2	135	13	13	1	0.817
1	27	0.004	1	724	11	11	1	0.634
1	28	0.004	1	544	11	11	1	0.546
1	29	0.004	1	316	11	11	1	0.665
1	30	0.004	1	147	11	11	1	0.528
1	31	0.004	1	614	11	11	1	0.473
1	32	0.005	1	375	11	11	1	0.513
1	33	0.005	2	166	13	13	1	0.456
1	34	0.005	2	87	13	13	1	0.559
1	35	0.005	1	215	11	11	1	0.600
1	36	0.005	1	406	11	11	1	0.495
1	37	0.006	1	664	11	11	1	0.470
1	38	0.006	1	326	11	11	1	0.543
1	39	0.006	1	694	11	11	1	0.710
1	40	0.006	2	64	13	13	1	0.607
1	41	0.006	1	594	11	11	1	0.518
1	42	0.007	1	436	11	11	1	0.446
1	43	0.007	1	479	11	11	1	0.454
1	44	0.007	1	24	11	11	1	0.461
1	45	0.007	1	590	11	11	1	0.486
1	46	0.007	1	422	11	11	1	0.430
1	47	0.008	2	549	13	13	1	0.549
1	48	0.008	1	711	11	11	1	0.524
1	49	0.008	1	512	11	11	1	0.469
1	50	0.008	1	413	11	11	1	0.669
1	51	0.008	1	109	11	11	1	0.468
1	52	0.008	1	348	11	11	1	0.476
1	53	0.009	1	260	11	11	1	0.565
1	54	0.009	1	522	11	11	1	0.508
1	55	0.009	1	99	11	11	1	0.468
1	56	0.009	2	234	13	13	1	0.492
1	57	0.009	1	278	11	11	1	0.451
1	58	0.010	1	170	11	11	1	0.508
1	59	0.010	1	299	11	11	1	0.643
1	60	0.010	2	244	13	13	1	0.458
1	61	0.010	1	391	11	11	1	0.547
1	62	0.010	1	368	11	11	1	0.474
1	63	0.011	1	227	11	11	1	0.481
1	64	0.011	2	331	13	13	1	0.553
1	65	0.011	1	462	11	11	1	0.577
1	66	0.011	1	626	11	11	1	0.410
1	67	0.011	1	291	11	11	1	0.593
1	68	0.012	1	408	11	11	1	0.586
1	69	0.012	1	174	11	11	1	0.529
1	70	0.012	1	315	11	11	1	0.489
1	71	0.012	1	293	11	11	1	0.401
1	72	0.012	1	42	11	11	1	0.441
1	73	0.013	1	222	11	11	1	0.481
1	74	0.013	1	169	11	11	1	0.472
1	75	0.013	1	495	11	11	1	0.448
1	76	0.013	1	455	11	11	1	0.711
1	77	0.013	1	683	11	11	1	0.527
1	78	0.014	1	216	11	11	1	0.456
1	79	0.014	1	554	11	11	1	0.431
1	80	0.014	1	445	11	11	1	0.486
1	81	0.001	1	133	11	11	1	0.444
1	82	0.001	1	517	11	11	1	0.436
1	83	0.001	1	645	11	11	1	0.460
1	84	0.001	2	497	13	13	1	0.499
1	85	0.002	1	217	11	11	1	0.427
1	86	0.002	1	283	11	11	1	0.531
1	87	0.002	1	255	11	11	1	0.442
1	88	0.002	1	95	11	11	1	0.403
1	89	0.002	1	701	11	11	1	0.427
1	90	0.002	1	542	11	11	1	0.403
1	91	0.003	1	320	11	11	1	0.394
1	92	0.003	1	110	11	11	1	0.385
1	93	0.003	1	673	11	11	1	0.553
1	94	0.003	1	523	11	11	1	0.481
1	95	0.003	1	62	11	11	1	0.505
1	96	0.004	1	511	11	11	1	0.465
1	97	0.004	1	163	11	11	1	0.521
1	98	0.004	1	13	11	11	1	0.448
1	99	0.004	1	593	11	11	1	0.553
1	100	0.004	1	374	11	11	1	0.528
1	101	0.005	2	460	13	13	1	0.519
1	102	0.005	1	28	11	11	1	0.607
1	103	0.005	1	96	11	11	1	0.536
1	104	0.005	2	523	13	13	1	0.544
1	105	0.006	1	615	11	11	1	0.408
1	106	0.006	1	26	11	11	1	0.511
1	107	0.006	2	138	13	13	1	0.455
1	108	0.006	1	150	11	11	1	0.415
1	109	0.006	1	317	11	11	1	0.438
1	110	0.007	1	705	11	11	1	0.462
1	111	0.007	1	420	11	11	1	0.454
1	112	0.007	1	308	11	11	1	0.430
1	113	0.007	1	508	11	11	1	0.518
1	114	0.007	1	120	11	11	1	0.542
1	115	0.008	1	498	11	11	1	0.533
1	116	0.008	1	190	11	11	1	0.541
1	117	0.008	1	297	11	11	1	0.518
1	118	0.008	1	696	11	11	1	0.493
1	119	0.008	1	697	11	11	1	0.420
1	120	0.008	1	67	11	11	1	0.492
1	121	0.009	1	489	11	11	1	0.469
1	122	0.009	1	631	11	11	1	0.411
1	123	0.009	1	205	11	11	1	0.404
1	124	0.009	1	201	11	11	1	0.443
1	125	0.009	1	632	11	11	1	0.420
1	126	0.010	1	545	11	11	1	0.427
1	127	0.010	1	700	11	11	1	0.403
1	128	0.010	1	301	11	11	1	0.426
1	129	0.010	1	85	11	11	1	0.403
1	130	0.010	1	177	11	11	1	0.427
1	131	0.011	1	566	11	11	1	0.450
1	132	0.011	1	21	11	11	1	0.475
1	133	0.011	1	502	11	11	1	0.499
1	134	0.011	1	558	11	11	1	0.554
1	135	0.011	1	160	11	11	1	0.497
1	136	0.012	1	59	11	11	1	0.505
1	137	0.012	2	380	13	13	1	0.560
1	138	0.012	1	231	11	11	1	0.521
1	139	0.012	1	288	11	11	1	0.481
1	140	0.012	1	107	11	11	1	0.489
1	141	0.012	1	625	11	11	1	0.465
1	142	0.013	1	449	11	11	1	0.439
1	143	0.013	2	284	13	13	1	0.544
1	144	0.013	1	82	11	11	1	0.391
1	145	0.013	1	476	11	11	1	0.464
1	146	0.013	1	654	11	11	1	0.439
1	147	0.014	1	644	11	11	1	0.415
1	148	0.014	1	236	11	11	1	0.423
1	149	0.014	1	578	11	11	1	0.430
1	150	0.001	1	121	11	11	1	0.451
1	151	0.001	1	482	11	11	1	0.396
1	152	0.001	1	77	11	11	1	0.452
1	153	0.001	1	499	11	11	1	0.363
1	154	0.002	1	145	11	11	1	0.452
1	155	0.002	2	79	13	11	0	0.475
1	156	0.002	1	338	11	11	1	0.546
1	157	0.002	1	187	11	11	1	0.491
1	158	0.002	1	280	11	11	1	0.465
1	159	0.003	1	94	11	11	1	0.475
1	160	0.003	1	400	11	11	1	0.515
1	161	0.003	1	602	11	11	1	0.490
1	162	0.003	1	314	11	11	1	0.594
1	163	0.003	1	143	11	11	1	0.538
1	164	0.004	1	272	11	11	1	0.497
1	165	0.004	1	377	11	11	1	0.457
1	166	0.004	1	709	11	11	1	0.401
1	167	0.004	2	208	13	13	1	0.552
1	168	0.004	1	178	11	11	1	0.417
1	169	0.005	1	513	11	11	1	0.440
1	170	0.005	1	439	11	11	1	0.432
1	171	0.005	1	543	11	11	1	0.473
1	172	0.005	2	280	13	13	1	0.640
1	173	0.005	1	47	11	11	1	0.519
1	174	0.006	1	127	11	11	1	0.400
1	175	0.006	1	669	11	11	1	0.471
1	176	0.006	1	627	11	11	1	0.432
1	177	0.006	2	345	13	13	1	0.598
1	178	0.006	1	667	11	11	1	0.399
1	179	0.007	1	671	11	11	1	0.533
1	180	0.007	1	384	11	11	1	0.509
1	181	0.007	1	520	11	11	1	0.517
1	182	0.007	2	15	13	13	1	0.510
1	183	0.007	1	162	11	11	1	0.438
1	184	0.007	1	207	11	11	1	0.510
1	185	0.008	1	8	11	11	1	0.485
1	186	0.008	1	484	11	11	1	0.461
1	187	0.008	1	309	11	11	1	0.453
1	188	0.008	1	180	11	11	1	0.444
1	189	0.008	1	224	11	11	1	0.421
1	190	0.009	1	155	11	11	1	0.395
1	191	0.009	1	29	11	11	1	0.451
1	192	0.009	1	480	11	11	1	0.476
1	193	0.009	1	322	11	11	1	0.500
1	194	0.009	1	257	11	11	1	0.540
1	195	0.010	1	607	11	11	1	0.499
1	196	0.010	1	494	11	11	1	0.651
1	197	0.010	1	361	11	11	1	0.499
1	198	0.010	1	448	11	11	1	0.331
1	199	0.010	1	149	11	11	1	0.275
1	200	0.011	1	684	11	11	1	0.298
1	201	0.011	1	259	11	11	1	0.306
1	202	0.011	1	238	11	11	1	0.410
1	203	0.011	1	380	11	11	1	0.497
1	204	0.011	1	488	11	11	1	0.426
1	205	0.012	1	365	11	11	1	0.433
1	206	0.012	1	265	11	11	1	0.440
1	207	0.012	1	595	11	11	1	0.466
1	208	0.012	1	425	11	11	1	0.441
1	209	0.012	1	412	11	11	1	0.384
1	210	0.012	1	289	11	11	1	0.313
1	211	0.013	1	276	11	11	1	0.288
1	212	0.013	1	364	11	11	1	0.296
1	213	0.013	1	474	11	11	1	0.288
1	214	0.013	1	104	11	11	1	0.343
1	215	0.013	1	637	11	11	1	0.400
1	216	0.014	1	318	11	11	1	0.408
1	217	0.014	1	418	11	11	1	0.351
1	218	0.014	1	465	11	11	1	0.343
1	219	0.001	2	479	13	13	1	0.429
1	220	0.001	2	60	13	13	1	0.451
1	221	0.001	1	337	11	11	1	0.588
1	222	0.002	1	366	11	11	1	0.483
1	223	0.002	1	444	11	11	1	0.410
1	224	0.002	1	662	11	11	1	0.420
1	225	0.002	1	402	11	11	1	0.394
1	226	0.002	1	504	11	11	1	0.403
1	227	0.003	1	243	11	11	1	0.730
1	228	0.003	1	452	11	11	1	0.722
1	229	0.003	1	603	11	11	1	0.602
1	230	0.003	1	621	11	11	1	0.577
1	231	0.003	1	576	11	11	1	0.570
1	232	0.003	1	609	11	11	1	0.625
1	233	0.004	2	212	13	13	1	0.474
1	234	0.004	1	105	11	11	1	0.609
1	235	0.004	1	557	11	11	1	0.505
1	236	0.004	1	196	11	11	1	0.449
1	237	0.004	1	330	11	11	1	0.537
1	238	0.005	1	516	11	11	1	0.416
1	239	0.005	1	282	11	11	1	0.344
1	240	0.005	1	629	11	11	1	0.319
1	241	0.005	1	44	11	11	1	0.263
1	242	0.005	2	419	13	11	0	0.304
1	243	0.006	1	446	11	11	1	0.472
1	244	0.006	1	51	11	11	1	0.447
1	245	0.006	1	698	11	11	1	0.407
1	246	0.006	1	347	11	11	1	0.351
1	247	0.006	1	72	11	11	1	0.295
1	248	0.007	1	641	11	11	1	0.429
1	249	0.007	1	497	11	11	1	0.374
1	250	0.007	1	665	11	11	1	0.365
1	251	0.007	1	140	11	11	1	0.390
1	252	0.007	1	458	11	11	1	0.413
1	253	0.008	2	417	13	13	1	0.549
1	254	0.008	1	267	11	11	1	0.494
1	255	0.008	1	142	11	11	1	0.501
1	256	0.008	1	725	11	11	1	0.477
1	257	0.008	1	43	11	11	1	0.484
1	258	0.008	1	176	11	11	1	0.539
1	259	0.009	1	159	11	11	1	0.452
1	260	0.009	1	537	11	11	1	0.411
1	261	0.009	2	169	13	13	1	0.724
1	262	0.009	2	33	13	13	1	0.556
1	263	0.009	1	186	11	11	1	0.484
1	264	0.009	1	561	11	11	1	0.460
1	265	0.010	1	52	11	11	1	0.452
1	266	0.010	2	103	13	13	1	0.491
1	267	0.010	1	245	11	11	1	0.435
1	268	0.010	1	171	11	11	1	0.459
1	269	0.011	1	358	11	11	1	0.627
1	270	0.011	1	119	11	11	1	0.555
1	271	0.011	1	525	11	11	1	0.530
1	272	0.011	1	36	11	11	1	0.505
1	273	0.011	1	40	11	11	1	0.514
1	274	0.012	1	388	11	11	1	0.490
1	275	0.012	1	229	11	11	1	0.417
1	276	0.012	1	131	11	11	1	0.473
1	277	0.012	2	303	13	13	1	0.480
1	278	0.012	1	467	11	11	1	0.409
1	279	0.013	1	586	11	11	1	0.401
1	280	0.013	1	182	11	11	1	0.375
1	281	0.013	1	49	11	11	1	0.303
1	282	0.013	1	244	11	11	1	0.328
1	283	0.013	1	580	11	11	1	0.368
1	284	0.013	1	689	11	11	1	0.343
1	285	0.014	1	466	11	11	1	0.431
1	286	0.014	1	386	11	11	1	0.374
1	287	0.014	1	303	11	11	1	0.382
1	288	0.001	1	381	11	11	1	0.452
1	289	0.001	1	390	11	11	1	0.428
1	290	0.001	1	650	11	11	1	0.435
1	291	0.002	1	515	11	11	1	0.411
1	292	0.002	1	12	11	11	1	0.658
1	293	0.002	1	63	11	11	1	0.539
1	294	0.002	1	68	11	11	1	0.419
1	295	0.002	1	646	11	11	1	0.379
1	296	0.003	1	158	11	11	1	0.291
1	297	0.003	1	606	11	11	1	0.361
1	298	0.003	1	10	11	11	1	0.305
1	299	0.003	1	468	11	11	1	0.441
1	300	0.003	1	286	11	11	1	0.369
1	301	0.003	1	454	11	11	1	0.377
1	302	0.004	1	22	11	11	1	0.354
1	303	0.004	1	64	11	11	1	0.297
1	304	0.004	1	378	11	11	1	0.320
1	305	0.004	1	660	11	11	1	0.297
1	306	0.004	1	597	11	11	1	0.352
1	307	0.005	1	343	11	11	1	0.296
1	308	0.005	1	269	11	11	1	0.273
1	309	0.005	1	98	11	11	1	0.328
1	310	0.005	1	161	11	11	1	0.272
1	311	0.005	1	100	11	11	1	0.311
1	312	0.005	1	225	11	11	1	0.384
1	313	0.006	1	58	11	11	1	0.327
1	314	0.006	2	227	13	13	1	0.479
1	315	0.006	1	713	11	11	1	0.407
1	316	0.006	1	31	11	11	1	0.399
1	317	0.007	1	572	11	11	1	0.471
1	318	0.007	1	200	11	11	1	0.414
1	319	0.007	1	579	11	11	1	0.341
1	320	0.007	1	620	11	11	1	0.286
1	321	0.007	1	310	11	11	1	0.293
1	322	0.008	1	592	11	11	1	0.302
1	323	0.008	1	708	11	11	1	0.292
1	324	0.008	1	184	11	11	1	0.284
1	325	0.008	1	663	11	11	1	0.293
1	326	0.008	2	249	13	13	1	0.556
1	327	0.009	1	253	11	11	1	0.453
1	328	0.009	2	308	13	13	1	0.507
1	329	0.009	2	483	13	13	1	0.500
1	330	0.009	1	710	11	11	1	0.476
1	331	0.009	2	379	13	11	0	0.420
1	332	0.009	1	647	11	11	1	0.491
1	333	0.010	1	191	11	11	1	0.371
1	334	0.010	1	587	11	11	1	0.299
1	335	0.010	2	270	13	11	0	0.355
1	336	0.010	1	500	11	11	1	0.794
1	337	0.010	1	679	11	11	1	0.530
1	338	0.011	1	613	11	11	1	0.473
1	339	0.011	1	605	11	11	1	0.386
1	340	0.011	1	16	11	11	1	0.521
1	341	0.011	1	311	11	11	1	0.386
1	342	0.011	1	230	11	11	1	0.329
1	343	0.012	1	305	11	11	1	0.321
1	344	0.012	2	171	13	11	0	0.505
1	345	0.012	1	335	11	11	1	0.545
1	346	0.012	1	687	11	11	1	0.361
1	347	0.012	1	332	11	11	1	0.256
1	348	0.012	1	134	11	11	1	0.265
1	349	0.013	1	527	11	11	1	0.288
1	350	0.013	1	432	11	11	1	0.311
1	351	0.013	1	453	11	11	1	0.272
1	352	0.013	1	524	11	11	1	0.295
1	353	0.013	1	582	11	11	1	0.272
1	354	0.014	2	398	13	11	0	0.311
1	355	0.014	2	29	13	13	1	0.464
1	356	0.014	1	409	11	11	1	0.519
1	357	0.001	1	307	11	11	1	0.508
1	358	0.001	1	206	11	11	1	0.419
1	359	0.001	1	510	11	11	1	0.475
1	360	0.002	1	720	11	11	1	0.546
1	361	0.002	1	298	11	11	1	0.412
1	362	0.002	1	124	11	11	1	0.466
1	363	0.002	1	506	11	11	1	0.475
1	364	0.002	1	581	11	11	1	0.434
1	365	0.003	1	534	11	11	1	0.474
1	366	0.003	1	394	11	11	1	0.354
1	367	0.003	1	703	11	11	1	0.282
1	368	0.003	1	652	11	11	1	0.337
1	369	0.003	1	441	11	11	1	0.330
1	370	0.003	1	460	11	11	1	0.274
1	371	0.004	1	473	11	11	1	0.345
1	372	0.004	1	195	11	11	1	0.448
1	373	0.004	1	349	11	11	1	0.409
1	374	0.004	1	108	11	11	1	0.433
1	375	0.004	1	331	11	11	1	0.377
1	376	0.005	1	612	11	11	1	0.417
1	377	0.005	1	46	11	11	1	0.343
1	378	0.005	1	693	11	11	1	0.335
1	379	0.005	1	676	11	11	1	0.263
1	380	0.005	1	249	11	11	1	0.336
1	381	0.006	1	264	11	11	1	0.294
1	382	0.006	1	333	11	11	1	0.304
1	383	0.006	1	14	11	11	1	0.327
1	384	0.006	1	618	11	11	1	0.271
1	385	0.006	1	173	11	11	1	0.311
1	386	0.007	1	258	11	11	1	0.350
1	387	0.007	1	86	11	11	1	0.389
1	388	0.007	1	30	11	11	1	0.318
1	389	0.007	1	144	11	11	1	0.325
1	390	0.007	1	405	11	11	1	0.302
1	391	0.008	1	23	11	11	1	0.262
1	392	0.008	1	146	11	11	1	0.254
1	393	0.008	1	135	11	11	1	0.228
1	394	0.008	1	141	11	11	1	0.349
1	395	0.008	1	179	11	11	1	0.340
1	396	0.009	1	628	11	11	1	0.300
1	397	0.009	1	90	11	11	1	0.307
1	398	0.009	1	469	11	11	1	0.444
1	399	0.009	1	604	11	11	1	0.452
1	400	0.009	2	481	13	13	1	0.523
1	401	0.010	1	130	11	11	1	0.435
1	402	0.010	1	519	11	11	1	0.444
1	403	0.010	1	304	11	11	1	0.387
1	404	0.010	1	702	11	11	1	0.299
1	405	0.010	1	616	11	11	1	0.291
1	406	0.010	1	539	11	11	1	0.266
1	407	0.011	1	357	11	11	1	0.403
1	408	0.011	2	482	13	13	1	0.603
1	409	0.011	1	350	11	11	1	0.514
1	410	0.011	1	404	11	11	1	0.442
1	411	0.011	1	284	11	11	1	0.450
1	412	0.012	1	363	11	11	1	0.457
1	413	0.012	1	573	11	11	1	0.352
1	414	0.012	1	496	11	11	1	0.313
1	415	0.012	1	166	11	11	1	0.321
1	416	0.012	1	319	11	11	1	0.312
1	417	0.012	1	132	11	11	1	0.321
1	418	0.013	1	535	11	11	1	0.375
1	419	0.013	1	547	11	11	1	0.335
1	420	0.013	1	528	11	11	1	0.312
1	421	0.013	1	262	11	11	1	0.304
1	422	0.013	1	556	11	11	1	0.327
1	423	0.014	1	437	11	11	1	0.447
1	424	0.014	1	706	11	11	1	0.312
1	425	0.014	2	35	13	11	0	0.270
1	426	0.001	1	531	11	11	1	0.388
1	427	0.001	1	295	11	11	1	0.315
1	428	0.001	1	577	11	11	1	0.308
1	429	0.002	1	39	11	11	1	0.267
1	430	0.002	1	598	11	11	1	0.275
1	431	0.002	2	186	13	11	0	0.267
1	432	0.002	1	111	11	11	1	0.610
1	433	0.002	1	570	11	11	1	0.571
1	434	0.003	1	376	11	11	1	0.370
1	435	0.003	1	232	11	11	1	0.330
1	436	0.003	1	194	11	11	1	0.290
1	437	0.003	1	116	11	11	1	0.297
1	438	0.003	1	228	11	11	1	0.290
1	439	0.003	1	25	11	11	1	0.329
1	440	0.004	1	70	11	11	1	0.370
1	441	0.004	1	608	11	11	1	0.489
1	442	0.004	1	209	11	11	1	0.385
1	443	0.004	1	387	11	11	1	0.376
1	444	0.004	1	682	11	11	1	0.368
1	445	0.005	1	204	11	11	1	0.391
1	446	0.005	1	505	11	11	1	0.400
1	447	0.005	1	277	11	11	1	0.393
1	448	0.005	1	472	11	11	1	0.432
1	449	0.005	1	157	11	11	1	0.535
1	450	0.006	1	373	11	11	1	0.479
1	451	0.006	1	588	11	11	1	0.470
1	452	0.006	1	447	11	11	1	0.495
1	453	0.006	2	180	13	11	0	0.502
1	454	0.006	1	223	11	11	1	0.703
1	455	0.007	1	213	11	11	1	0.518
1	456	0.007	1	401	11	11	1	0.286
1	457	0.007	1	541	11	11	1	0.309
1	458	0.007	1	501	11	11	1	0.303
1	459	0.007	1	491	11	11	1	0.278
1	460	0.008	1	219	11	11	1	0.220
1	461	0.008	1	250	11	11	1	0.276
1	462	0.008	1	360	11	11	1	0.396
1	463	0.008	1	503	11	11	1	0.532
1	464	0.008	1	240	11	11	1	0.381
1	465	0.009	1	699	11	11	1	0.307
1	466	0.009	1	355	11	11	1	0.428
1	467	0.009	2	111	13	11	0	0.580
1	468	0.209	1	256	11	11	1	0.516
1	469	0.009	1	567	11	11	1	0.451
1	470	0.009	1	156	11	11	1	0.316
1	471	0.010	1	290	11	NaN	0	NaN
1	472	0.010	1	431	11	11	1	0.059
1	473	0.010	1	481	11	11	1	0.402
1	474	0.010	2	455	13	11	0	0.299
1	475	0.010	1	92	11	11	1	0.386
1	476	0.011	1	203	11	11	1	0.426
1	477	0.011	1	426	11	11	1	0.338
1	478	0.011	1	574	11	11	1	0.345
1	479	0.011	1	383	11	11	1	0.466
1	480	0.011	1	126	11	11	1	0.297
1	481	0.011	1	463	11	11	1	0.305
1	482	0.012	1	514	11	11	1	0.425
