
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 24-Mar-2015 16:31:00
* Seed: 213759.3788
* Subject Number: 80
* Subject Name: NS
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.000	2	58	11	11	1	0.711
1	2	0.000	1	436	13	13	1	0.623
1	3	0.000	2	179	11	NaN	0	NaN
1	4	0.001	2	518	11	11	1	0.222
1	5	0.001	2	513	11	13	0	0.631
1	6	0.002	2	422	11	NaN	0	NaN
1	7	0.001	2	547	11	11	1	0.070
1	8	0.001	2	489	11	11	1	0.590
1	9	0.002	1	200	13	13	1	0.598
1	10	0.002	2	231	11	11	1	0.542
1	11	0.002	2	51	11	11	1	0.837
1	12	0.002	2	362	11	11	1	0.701
1	13	0.003	2	181	11	11	1	0.613
1	14	0.003	2	317	11	11	1	0.557
1	15	0.003	2	1	11	11	1	0.788
1	16	0.003	2	202	11	11	1	0.557
1	17	0.003	2	503	11	11	1	0.389
1	18	0.004	2	301	11	11	1	0.461
1	19	0.004	2	203	11	11	1	0.595
1	20	0.004	2	545	11	11	1	0.459
1	21	0.004	2	217	11	11	1	0.451
1	22	0.004	2	363	11	11	1	0.364
1	23	0.005	2	431	11	11	1	0.578
1	24	0.005	2	447	11	11	1	0.506
1	25	0.005	2	169	11	11	1	0.467
1	26	0.005	2	534	11	11	1	0.603
1	27	0.005	1	331	13	13	1	0.579
1	28	0.005	1	24	13	13	1	0.618
1	29	0.006	1	221	13	13	1	0.593
1	30	0.006	2	361	11	11	1	0.601
1	31	0.006	2	303	11	11	1	0.753
1	32	0.006	2	37	11	11	1	0.665
1	33	0.006	2	263	11	11	1	0.608
1	34	0.007	2	112	11	11	1	0.600
1	35	0.007	2	163	11	11	1	0.496
1	36	0.007	1	111	13	11	0	0.600
1	37	0.007	2	507	11	11	1	0.608
1	38	0.007	2	218	11	11	1	0.600
1	39	0.008	2	55	11	11	1	0.640
1	40	0.008	2	344	11	NaN	0	NaN
1	41	0.008	2	374	11	11	1	0.351
1	42	0.008	2	389	11	11	1	0.391
1	43	0.008	2	381	11	11	1	0.415
1	44	0.009	2	475	11	11	1	0.423
1	45	0.009	2	104	11	11	1	0.350
1	46	0.009	2	105	11	11	1	0.455
1	47	0.009	1	181	13	11	0	0.398
1	48	0.009	2	368	11	11	1	0.470
1	49	0.010	2	153	11	11	1	0.445
1	50	0.009	2	386	11	11	1	0.550
1	51	0.010	2	154	11	11	1	0.493
1	52	0.010	1	310	13	11	0	0.501
1	53	0.010	2	166	11	NaN	0	NaN
1	54	0.010	2	288	11	11	1	0.565
1	55	0.011	2	191	11	11	1	0.556
1	56	0.011	2	162	11	11	1	0.501
1	57	0.011	2	86	11	11	1	0.668
1	58	0.011	2	255	11	11	1	0.613
1	59	0.011	2	170	11	11	1	0.555
1	60	0.012	2	537	11	11	1	0.581
1	61	0.012	2	318	11	11	1	0.460
1	62	0.012	1	100	13	13	1	0.628
1	63	-0.001	2	500	11	11	1	0.856
1	64	-0.001	2	213	11	11	1	0.671
1	65	-0.000	2	393	11	11	1	0.648
1	66	-0.000	2	280	11	11	1	0.751
1	67	0.000	1	104	13	13	1	0.679
1	68	0.000	2	188	11	11	1	0.527
1	69	0.000	2	345	11	11	1	0.455
1	70	0.000	2	300	11	11	1	0.494
1	71	0.000	2	497	11	11	1	0.536
1	72	0.000	2	85	11	11	1	0.528
1	73	0.001	2	502	11	11	1	0.502
1	74	0.001	2	27	11	11	1	0.574
1	75	0.002	2	83	11	11	1	0.566
1	76	0.001	1	31	13	11	0	0.606
1	77	0.002	2	171	11	11	1	0.470
1	78	0.002	2	167	11	11	1	0.574
1	79	0.002	2	437	11	11	1	0.500
1	80	0.002	2	132	11	11	1	0.525
1	81	0.002	2	408	11	11	1	0.468
1	82	0.003	1	420	13	13	1	0.541
1	83	0.003	2	366	11	11	1	0.549
1	84	0.003	2	400	11	11	1	0.668
1	85	0.003	2	220	11	11	1	0.597
1	86	0.003	2	365	11	11	1	0.509
1	87	0.004	2	148	11	11	1	0.516
1	88	0.003	2	244	11	11	1	0.428
1	89	0.004	2	541	11	11	1	0.436
1	90	0.004	2	142	11	11	1	0.411
1	91	0.004	2	257	11	11	1	0.482
1	92	0.005	2	416	11	11	1	0.458
1	93	0.005	2	6	11	11	1	0.451
1	94	0.005	2	324	11	11	1	0.426
1	95	0.005	2	78	11	11	1	0.465
1	96	0.005	2	53	11	11	1	0.442
1	97	0.006	2	385	11	11	1	0.435
1	98	0.006	1	469	13	13	1	0.458
1	99	0.006	2	392	11	11	1	0.481
1	100	0.006	2	495	11	11	1	0.553
1	101	0.007	1	531	13	13	1	0.496
1	102	0.006	2	339	11	11	1	0.521
1	103	0.007	1	68	13	13	1	0.496
1	104	0.007	2	409	11	11	1	0.536
1	105	0.007	2	314	11	11	1	0.481
1	106	0.007	2	430	11	11	1	0.504
1	107	0.007	2	175	11	11	1	0.480
1	108	0.008	2	531	11	11	1	0.408
1	109	0.008	2	376	11	11	1	0.400
1	110	0.008	2	472	11	11	1	0.439
1	111	0.008	2	219	11	11	1	0.432
1	112	0.008	2	538	11	11	1	0.391
1	113	0.009	2	284	11	11	1	0.398
1	114	0.009	2	439	11	11	1	0.358
1	115	0.009	2	501	11	11	1	0.350
1	116	0.009	2	292	11	11	1	0.262
1	117	0.009	2	464	11	11	1	0.365
1	118	0.010	1	26	13	13	1	0.485
1	119	0.009	2	529	11	11	1	0.446
1	120	0.009	1	474	13	13	1	0.582
1	121	0.010	2	278	11	11	1	0.542
1	122	0.010	2	499	11	11	1	0.501
1	123	0.010	2	38	11	11	1	0.494
1	124	0.011	2	410	11	11	1	0.502
1	125	0.011	2	526	11	11	1	0.492
1	126	0.011	2	442	11	11	1	0.549
1	127	0.011	2	75	11	11	1	0.509
1	128	0.011	2	423	11	11	1	0.500
1	129	0.012	2	23	11	11	1	0.492
1	130	0.012	2	9	11	11	1	0.531
1	131	0.012	2	186	11	11	1	0.476
1	132	-0.001	2	343	11	11	1	0.481
1	133	-0.001	2	384	11	11	1	0.456
1	134	-0.000	2	28	11	11	1	0.432
1	135	-0.000	2	299	11	11	1	0.407
1	136	-0.000	2	63	11	11	1	0.576
1	137	0.000	2	54	11	11	1	0.567
1	138	0.000	2	293	11	11	1	0.496
1	139	0.013	2	248	11	11	1	0.491
1	140	0.000	2	99	11	11	1	0.528
1	141	0.000	2	49	11	11	1	0.455
1	142	0.001	2	523	11	11	1	0.463
1	143	0.001	2	517	11	11	1	0.503
1	144	0.002	2	453	11	11	1	0.478
1	145	0.001	2	342	11	11	1	0.422
1	146	0.002	1	492	13	11	0	0.382
1	147	0.002	2	443	11	11	1	0.390
1	148	0.002	2	64	11	11	1	0.429
1	149	0.002	2	329	11	11	1	0.437
1	150	0.002	2	315	11	11	1	0.396
1	151	0.003	2	234	11	11	1	0.293
1	152	0.003	2	275	11	11	1	0.460
1	153	0.003	2	463	11	11	1	0.581
1	154	0.003	2	31	11	11	1	0.763
1	155	0.003	2	74	11	11	1	0.708
1	156	0.004	2	511	11	11	1	0.716
1	157	0.004	2	414	11	11	1	0.628
1	158	0.004	2	333	11	11	1	0.604
1	159	0.004	2	469	11	11	1	0.546
1	160	0.004	2	264	11	11	1	0.476
1	161	0.005	1	477	13	11	0	0.499
1	162	0.005	1	465	13	13	1	0.651
1	163	0.005	1	405	13	13	1	0.531
1	164	0.005	2	207	11	11	1	0.586
1	165	0.005	2	151	11	11	1	0.529
1	166	0.006	2	224	11	11	1	0.506
1	167	0.006	2	473	11	11	1	0.530
1	168	0.006	2	56	11	11	1	0.521
1	169	0.006	2	404	11	11	1	0.593
1	170	0.006	2	276	11	11	1	0.633
1	171	0.006	2	81	11	11	1	0.657
1	172	0.007	2	152	11	11	1	0.808
1	173	0.007	2	379	11	11	1	0.800
1	174	0.007	2	468	11	11	1	0.825
1	175	0.007	2	349	11	NaN	0	NaN
1	176	0.007	2	233	11	11	1	0.728
1	177	0.007	2	282	11	11	1	0.607
1	178	0.008	2	143	11	11	1	0.632
1	179	0.008	2	118	11	11	1	0.623
1	180	0.008	1	394	13	13	1	0.615
1	181	0.008	2	340	11	11	1	0.511
1	182	0.009	1	470	13	13	1	0.454
1	183	0.009	2	494	11	11	1	0.542
1	184	0.009	2	357	11	11	1	0.486
1	185	0.009	2	116	11	11	1	0.414
1	186	0.009	2	96	11	11	1	0.406
1	187	0.010	2	516	11	11	1	0.510
1	188	0.009	2	204	11	11	1	0.517
1	189	0.010	2	65	11	11	1	0.621
1	190	0.010	2	221	11	11	1	0.724
1	191	0.010	2	84	11	11	1	0.844
1	192	0.010	2	178	11	11	1	0.822
1	193	0.011	2	228	11	11	1	0.798
1	194	0.011	2	193	11	11	1	0.852
1	195	0.011	2	533	11	NaN	0	NaN
1	196	0.011	1	36	13	13	1	0.532
1	197	0.011	2	87	11	11	1	0.764
1	198	0.012	2	285	11	11	1	0.532
1	199	0.012	2	308	11	11	1	0.699
1	200	0.012	2	39	11	NaN	0	NaN
1	201	-0.001	2	286	11	11	1	0.025
1	202	-0.001	2	11	11	11	1	0.496
1	203	-0.000	2	107	11	11	1	0.472
1	204	-0.000	2	17	11	11	1	0.495
1	205	0.000	2	113	11	11	1	0.487
1	206	0.000	2	57	11	11	1	0.464
1	207	0.000	2	476	11	11	1	0.424
1	208	0.000	2	360	11	11	1	0.448
1	209	0.000	2	434	11	11	1	0.471
1	210	0.000	2	335	11	11	1	0.576
1	211	0.001	2	433	11	11	1	0.598
1	212	0.001	2	351	11	11	1	0.654
1	213	0.001	2	402	11	11	1	0.567
1	214	0.001	2	358	11	11	1	0.638
1	215	0.002	2	331	11	11	1	0.774
1	216	0.002	2	290	11	11	1	0.861
1	217	0.002	1	133	13	13	1	0.645
1	218	0.002	1	445	13	13	1	0.749
1	219	0.002	2	330	11	11	1	0.645
1	220	0.003	2	306	11	11	1	0.557
1	221	0.003	2	348	11	11	1	0.628
1	222	0.003	2	45	11	11	1	0.556
1	223	0.003	2	459	11	11	1	0.709
1	224	0.003	1	518	13	13	1	0.571
1	225	0.004	2	205	11	11	1	0.485
1	226	0.004	2	109	11	11	1	0.491
1	227	0.004	2	549	11	11	1	0.483
1	228	0.004	2	5	11	11	1	0.476
1	229	0.004	2	161	11	11	1	0.546
1	230	0.005	2	268	11	11	1	0.572
1	231	0.005	1	510	13	11	0	0.594
1	232	0.005	2	160	11	11	1	0.555
1	233	0.005	1	549	13	13	1	0.754
1	234	0.005	2	415	11	11	1	0.619
1	235	0.006	2	18	11	11	1	0.577
1	236	0.006	2	322	11	11	1	0.601
1	237	0.006	2	542	11	11	1	0.658
1	238	0.006	2	367	11	11	1	0.602
1	239	0.006	2	82	11	11	1	0.592
1	240	0.006	2	254	11	11	1	0.634
1	241	0.007	2	319	11	11	1	0.592
1	242	0.007	2	302	11	11	1	0.536
1	243	0.007	2	435	11	11	1	0.529
1	244	0.007	2	328	11	11	1	0.584
1	245	0.007	1	398	13	13	1	0.528
1	246	0.008	2	438	11	11	1	0.535
1	247	0.008	2	354	11	11	1	0.399
1	248	0.008	2	21	11	13	0	0.520
1	249	0.008	2	527	11	11	1	0.478
1	250	0.008	2	390	11	11	1	0.472
1	251	0.009	2	298	11	11	1	0.479
1	252	0.009	2	236	11	11	1	0.471
1	253	0.009	2	195	11	11	1	0.446
1	254	0.009	2	192	11	11	1	0.518
1	255	0.009	2	34	11	11	1	0.447
1	256	0.009	2	375	11	11	1	0.454
1	257	0.009	2	269	11	11	1	0.398
1	258	0.010	2	477	11	11	1	0.485
1	259	0.010	1	362	13	13	1	0.654
1	260	0.010	2	189	11	11	1	0.661
1	261	0.010	1	526	13	13	1	0.572
1	262	0.010	2	98	11	11	1	0.565
1	263	0.011	2	548	11	11	1	0.541
1	264	0.011	2	176	11	11	1	0.485
1	265	0.011	2	196	11	11	1	0.477
1	266	0.012	2	36	11	11	1	0.499
1	267	0.012	2	478	11	11	1	0.428
1	268	0.012	2	355	11	11	1	0.579
1	269	0.012	2	126	11	11	1	0.491
1	270	0.012	2	462	11	11	1	0.595
1	271	-0.001	2	479	11	11	1	0.584
1	272	-0.000	1	425	13	13	1	0.591
1	273	-0.000	2	156	11	11	1	0.552
1	274	0.000	2	106	11	11	1	0.510
1	275	0.000	2	480	11	11	1	0.502
1	276	0.000	2	424	11	11	1	0.607
1	277	0.000	1	276	13	11	0	0.504
1	278	0.000	1	325	13	11	0	0.544
1	279	0.000	2	46	11	11	1	0.519
1	280	0.001	2	256	11	11	1	0.542
1	281	0.001	2	172	11	11	1	0.614
1	282	0.002	2	536	11	11	1	0.621
1	283	0.001	2	241	11	11	1	0.550
1	284	0.002	2	279	11	11	1	0.557
1	285	0.002	2	76	11	11	1	0.581
1	286	0.002	2	346	11	11	1	0.558
1	287	0.002	2	128	11	11	1	0.582
1	288	0.002	2	44	11	11	1	0.669
1	289	0.003	2	4	11	11	1	0.708
1	290	0.003	2	391	11	11	1	0.653
1	291	0.003	2	111	11	11	1	0.692
1	292	0.003	2	155	11	11	1	0.892
1	293	0.003	2	347	11	11	1	0.533
1	294	0.004	2	496	11	11	1	0.427
1	295	0.004	2	432	11	11	1	0.372
1	296	0.004	2	200	11	11	1	0.459
1	297	0.004	2	237	11	11	1	0.548
1	298	0.004	2	35	11	11	1	0.619
1	299	0.005	2	68	11	11	1	0.595
1	300	0.005	2	509	11	11	1	0.650
1	301	0.005	2	199	11	11	1	0.578
1	302	0.005	2	187	11	11	1	0.634
1	303	0.006	2	245	11	11	1	0.625
1	304	0.006	2	291	11	11	1	0.665
1	305	0.006	2	412	11	11	1	0.641
1	306	0.006	2	425	11	11	1	0.665
1	307	0.006	2	70	11	11	1	0.626
1	308	0.006	2	388	11	11	1	0.553
1	309	0.006	2	485	11	11	1	0.545
1	310	0.007	2	467	11	11	1	0.537
1	311	0.007	2	336	11	11	1	0.417
1	312	0.007	2	52	11	11	1	0.424
1	313	0.007	2	50	11	11	1	0.463
1	314	0.007	2	550	11	11	1	0.391
1	315	0.008	2	455	11	11	1	0.624
1	316	0.008	2	115	11	11	1	0.504
1	317	0.008	2	272	11	11	1	0.448
1	318	0.008	2	373	11	11	1	0.487
1	319	0.008	2	253	11	11	1	0.463
1	320	0.009	2	215	11	11	1	0.439
1	321	0.009	2	387	11	11	1	0.415
1	322	0.009	2	461	11	11	1	0.310
1	323	0.009	2	7	11	11	1	0.287
1	324	0.009	2	307	11	11	1	0.439
1	325	0.009	1	127	13	11	0	0.494
1	326	0.010	2	323	11	11	1	0.485
1	327	0.010	2	418	11	11	1	0.398
1	328	0.010	2	33	11	11	1	0.500
1	329	0.010	1	467	13	13	1	0.637
1	330	0.010	2	380	11	11	1	0.533
1	331	0.011	2	198	11	11	1	0.541
1	332	0.011	2	136	11	11	1	0.469
1	333	0.011	2	130	11	11	1	0.556
1	334	0.011	2	398	11	11	1	0.468
1	335	0.011	2	458	11	11	1	0.555
1	336	0.012	2	289	11	11	1	0.548
1	337	0.012	2	158	11	11	1	0.604
1	338	0.012	2	448	11	11	1	0.692
1	339	-0.001	2	465	11	11	1	0.568
1	340	0.012	2	341	11	11	1	0.564
1	341	-0.000	1	135	13	13	1	0.728
1	342	-0.000	2	238	11	11	1	0.703
1	343	0.000	2	352	11	11	1	0.599
1	344	0.000	2	100	11	11	1	0.624
1	345	0.000	2	29	11	11	1	0.598
1	346	0.000	2	466	11	11	1	0.782
1	347	0.000	2	440	11	11	1	0.807
1	348	0.000	2	232	11	11	1	0.687
1	349	0.001	2	383	11	11	1	0.535
