
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 01-Apr-2015 16:33:13
* Seed: 211851.6613
* Subject Number: 81
* Subject Name: DK
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.002	1	459	11	11	1	0.750
1	2	0.003	1	424	11	11	1	0.854
1	3	0.003	1	27	11	11	1	0.685
1	4	0.003	2	200	13	13	1	0.598
1	5	0.003	1	91	11	11	1	0.558
1	6	0.003	1	540	11	11	1	0.484
1	7	0.004	2	167	13	13	1	0.541
1	8	0.004	1	101	11	NaN	0	NaN
1	9	0.004	1	498	11	11	1	0.811
1	10	0.004	1	66	11	11	1	0.820
1	11	0.004	1	537	11	11	1	0.572
1	12	0.004	1	225	11	11	1	0.612
1	13	0.005	1	546	11	11	1	0.475
1	14	0.004	1	95	11	11	1	0.467
1	15	0.005	1	169	11	11	1	0.635
1	16	0.005	1	327	11	11	1	0.514
1	17	0.005	1	451	11	11	1	0.458
1	18	0.006	1	137	11	11	1	0.386
1	19	0.006	1	511	11	11	1	0.490
1	20	0.006	1	527	11	11	1	0.401
1	21	0.006	1	87	11	11	1	0.410
1	22	0.006	1	258	11	11	1	0.370
1	23	0.007	1	359	11	11	1	0.410
1	24	0.007	1	367	11	11	1	0.449
1	25	0.007	1	302	11	11	1	0.472
1	26	0.007	1	429	11	11	1	0.433
1	27	0.007	1	92	11	11	1	0.472
1	28	0.007	1	3	11	11	1	0.417
1	29	0.008	2	339	13	13	1	0.649
1	30	0.008	2	332	13	13	1	0.865
1	31	0.008	1	120	11	11	1	0.584
1	32	0.008	1	507	11	11	1	0.672
1	33	0.009	1	389	11	11	1	0.551
1	34	0.009	1	399	11	11	1	0.527
1	35	0.009	1	62	11	11	1	0.422
1	36	0.009	1	176	11	11	1	0.399
1	37	0.009	1	70	11	11	1	0.647
1	38	0.009	1	495	11	11	1	0.479
1	39	0.010	1	321	11	11	1	0.422
1	40	0.010	1	277	11	11	1	0.397
1	41	0.010	1	59	11	11	1	0.375
1	42	0.011	1	223	11	11	1	0.333
1	43	0.010	1	485	11	11	1	0.454
1	44	0.010	2	81	13	13	1	0.542
1	45	0.011	1	183	11	11	1	0.404
1	46	0.011	1	351	11	11	1	0.461
1	47	0.011	1	462	11	11	1	0.630
1	48	0.011	1	280	11	11	1	0.588
1	49	0.012	1	159	11	11	1	0.501
1	50	0.012	1	186	11	11	1	0.509
1	51	0.012	1	398	11	11	1	0.564
1	52	-0.001	2	30	13	13	1	0.585
1	53	-0.001	2	307	13	13	1	0.544
1	54	-0.000	2	536	13	13	1	0.521
1	55	-0.000	1	189	11	11	1	0.623
1	56	-0.000	1	357	11	11	1	0.600
1	57	0.000	1	11	11	11	1	0.671
1	58	0.000	1	32	11	11	1	0.664
1	59	0.000	1	506	11	11	1	0.609
1	60	0.000	1	307	11	11	1	0.472
1	61	0.000	1	161	11	11	1	0.463
1	62	0.001	1	319	11	11	1	0.471
1	63	0.001	2	397	13	11	0	0.415
1	64	0.014	1	276	11	NaN	0	NaN
1	65	0.001	1	215	11	11	1	0.015
1	66	0.002	1	484	11	11	1	0.423
1	67	0.002	1	221	11	11	1	0.639
1	68	0.002	2	489	13	11	0	0.646
1	69	0.002	1	248	11	11	1	0.734
1	70	0.002	1	130	11	11	1	0.614
1	71	0.002	1	377	11	11	1	0.750
1	72	0.003	1	289	11	11	1	0.726
1	73	0.003	2	510	13	13	1	0.748
1	74	0.003	1	414	11	11	1	0.612
1	75	0.003	1	292	11	11	1	0.540
1	76	0.004	1	16	11	11	1	0.612
1	77	0.004	1	209	11	11	1	0.732
1	78	0.004	2	162	13	11	0	0.868
1	79	0.004	1	138	11	NaN	0	NaN
1	80	0.004	1	536	11	11	1	0.116
1	81	0.004	1	68	11	11	1	0.475
1	82	0.004	1	326	11	11	1	0.564
1	83	0.005	1	270	11	11	1	0.539
1	84	0.005	1	397	11	11	1	0.723
1	85	0.005	1	413	11	11	1	0.587
1	86	0.005	1	104	11	11	1	0.562
1	87	0.006	1	475	11	11	1	0.635
1	88	0.006	1	64	11	11	1	0.561
1	89	0.006	1	103	11	11	1	0.571
1	90	0.006	1	362	11	11	1	0.562
1	91	0.006	1	132	11	11	1	0.426
1	92	0.007	1	94	11	11	1	0.433
1	93	0.006	1	472	11	11	1	0.459
1	94	0.007	1	164	11	11	1	0.417
1	95	0.007	1	260	11	11	1	0.424
1	96	0.007	1	38	11	11	1	0.400
1	97	0.008	1	191	11	11	1	0.360
1	98	0.008	1	347	11	11	1	0.449
1	99	0.008	1	469	11	11	1	0.407
1	100	0.008	1	195	11	11	1	0.417
1	101	0.008	1	201	11	11	1	0.424
1	102	0.009	1	365	11	11	1	0.399
1	103	0.009	1	181	11	11	1	0.600
1	104	0.009	1	381	11	11	1	0.559
1	105	0.009	2	138	13	13	1	0.567
1	106	0.009	1	394	11	11	1	0.527
1	107	0.009	1	153	11	11	1	0.551
1	108	0.010	1	311	11	11	1	0.510
1	109	0.010	1	306	11	11	1	0.566
1	110	0.010	1	548	11	11	1	0.637
1	111	0.010	1	448	11	11	1	0.535
1	112	0.010	1	156	11	11	1	0.542
1	113	0.011	1	85	11	11	1	0.612
1	114	0.011	1	320	11	11	1	0.637
1	115	0.011	2	233	13	13	1	0.566
1	116	0.012	1	45	11	11	1	0.493
1	117	0.011	1	188	11	11	1	0.517
1	118	0.012	1	42	11	NaN	0	NaN
1	119	0.012	2	259	13	11	0	0.020
1	120	0.012	2	116	13	13	1	0.620
1	121	-0.001	1	236	11	11	1	0.592
1	122	-0.001	1	487	11	11	1	0.585
1	123	-0.000	1	214	11	11	1	0.689
1	124	-0.000	1	231	11	11	1	0.729
1	125	-0.000	1	7	11	11	1	0.560
1	126	0.000	1	261	11	11	1	0.455
1	127	0.000	1	535	11	11	1	0.464
1	128	0.000	1	379	11	11	1	0.455
1	129	0.000	1	291	11	11	1	0.400
1	130	0.000	1	452	11	11	1	0.409
1	131	0.001	2	514	13	11	0	0.463
1	132	0.001	1	86	11	11	1	0.407
1	133	0.001	1	483	11	11	1	0.286
1	134	0.001	1	412	11	11	1	0.055
1	135	0.002	1	216	11	11	1	0.207
1	136	0.002	1	533	11	11	1	0.294
1	137	0.002	1	242	11	11	1	0.285
1	138	0.002	1	131	11	11	1	0.375
1	139	0.002	2	401	13	13	1	0.477
1	140	0.003	1	534	11	11	1	0.389
1	141	0.003	1	343	11	11	1	0.318
1	142	0.003	1	316	11	11	1	0.341
1	143	0.003	2	291	13	13	1	0.381
1	144	0.003	1	296	11	11	1	0.372
1	145	0.004	2	477	13	11	0	0.492
1	146	0.004	1	453	11	11	1	0.453
1	147	0.003	1	273	11	11	1	0.573
1	148	0.004	1	24	11	11	1	0.532
1	149	0.004	1	246	11	11	1	0.492
1	150	0.004	1	129	11	11	1	0.756
1	151	0.005	1	198	11	11	1	0.444
1	152	0.005	1	524	11	11	1	0.595
1	153	0.005	1	83	11	11	1	0.538
1	154	0.005	1	490	11	11	1	0.339
1	155	0.005	1	61	11	11	1	0.363
1	156	0.006	1	222	11	11	1	0.370
1	157	0.006	1	361	11	11	1	0.377
1	158	0.006	1	279	11	11	1	0.434
1	159	0.006	1	145	11	11	1	0.409
1	160	0.006	1	419	11	11	1	0.450
1	161	0.007	1	543	11	11	1	0.474
1	162	0.006	1	110	11	11	1	0.690
1	163	0.007	1	35	11	11	1	0.601
1	164	0.007	1	229	11	11	1	0.448
1	165	0.007	1	178	11	11	1	0.409
1	166	0.008	1	344	11	11	1	0.753
1	167	0.008	1	79	11	11	1	0.632
1	168	0.008	2	324	13	13	1	0.768
1	169	0.008	1	34	11	11	1	0.616
1	170	0.008	1	322	11	11	1	0.512
1	171	0.009	1	513	11	11	1	0.359
1	172	0.008	1	227	11	11	1	0.480
1	173	0.009	1	168	11	11	1	0.551
1	174	0.009	1	203	11	11	1	0.383
1	175	0.009	1	256	11	11	1	0.359
1	176	0.009	1	523	11	11	1	0.447
1	177	0.010	1	172	11	11	1	0.374
1	178	0.010	1	194	11	11	1	0.430
1	179	0.010	1	252	11	11	1	0.391
1	180	0.010	1	67	11	11	1	0.430
