
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 13-Apr-2015 11:59:10
* Seed: 214891.2273
* Subject Number: 82
* Subject Name: BW
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.005	2	308	11	11	1	0.794
1	2	0.006	2	267	11	11	1	0.624
1	3	0.006	2	400	11	11	1	0.538
1	4	0.006	2	375	11	11	1	0.561
1	5	0.006	2	64	11	11	1	0.505
1	6	0.006	2	106	11	11	1	0.529
1	7	0.007	2	44	11	11	1	0.520
1	8	0.007	2	367	11	11	1	0.640
1	9	0.007	2	512	11	11	1	0.568
1	10	0.007	2	393	11	11	1	0.703
1	11	0.007	2	251	11	11	1	0.647
1	12	0.008	2	412	11	11	1	0.624
1	13	0.008	2	139	11	11	1	0.615
1	14	0.007	2	477	11	11	1	0.591
1	15	0.008	2	332	11	11	1	0.519
1	16	0.008	2	525	11	11	1	0.463
1	17	0.009	2	349	11	11	1	0.502
1	18	0.009	2	67	11	11	1	0.509
1	19	0.009	2	162	11	11	1	0.549
1	20	0.009	1	70	13	11	0	0.525
1	21	0.009	2	436	11	11	1	0.758
1	22	0.009	2	59	11	11	1	0.717
1	23	0.010	2	86	11	11	1	0.581
1	24	0.010	2	347	11	11	1	0.732
1	25	0.010	2	167	11	11	1	0.613
1	26	0.010	2	290	11	11	1	0.476
1	27	0.010	2	380	11	11	1	0.516
1	28	0.011	2	16	11	11	1	0.525
1	29	0.011	2	43	11	11	1	0.564
1	30	0.011	2	376	11	11	1	0.620
1	31	0.011	2	537	11	11	1	0.563
1	32	0.011	2	405	11	11	1	0.603
1	33	0.011	2	194	11	11	1	0.484
1	34	0.012	2	520	11	11	1	0.427
1	35	0.012	2	314	11	11	1	0.451
1	36	-0.001	1	354	13	13	1	0.567
1	37	-0.001	2	79	11	11	1	0.639
1	38	-0.000	2	27	11	11	1	0.775
1	39	-0.000	2	522	11	11	1	0.750
1	40	-0.000	2	284	11	11	1	0.743
1	41	0.000	2	87	11	11	1	0.687
1	42	0.000	1	160	13	13	1	0.870
1	43	0.000	2	534	11	NaN	0	NaN
1	44	0.000	2	227	11	11	1	0.694
1	45	0.000	2	41	11	11	1	0.639
1	46	0.001	2	82	11	11	1	0.517
1	47	0.001	2	186	11	11	1	0.750
1	48	0.002	2	457	11	11	1	0.661
1	49	0.001	2	148	11	11	1	0.637
1	50	0.001	2	264	11	11	1	0.693
1	51	0.001	2	296	11	11	1	0.637
1	52	0.002	1	141	13	13	1	0.548
1	53	0.002	2	409	11	11	1	0.845
1	54	0.002	2	124	11	11	1	0.788
1	55	0.002	1	18	13	13	1	0.829
1	56	0.003	2	415	11	11	1	0.788
1	57	0.003	2	22	11	11	1	0.653
1	58	0.003	2	343	11	11	1	0.659
1	59	0.003	2	169	11	11	1	0.732
1	60	0.003	2	529	11	11	1	0.627
1	61	0.004	2	366	11	11	1	0.636
1	62	0.004	2	54	11	11	1	0.515
1	63	0.004	2	504	11	11	1	0.538
1	64	0.005	2	99	11	11	1	0.515
1	65	0.004	2	312	11	11	1	0.441
1	66	0.005	2	123	11	11	1	0.417
1	67	0.005	2	481	11	11	1	0.441
