
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 13-Apr-2015 12:27:39
* Seed: 209360.5325
* Subject Number: 83
* Subject Name: AH
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	331	11	11	1	0.559
1	2	0.011	1	351	11	11	1	0.599
1	3	0.012	1	228	11	11	1	0.558
1	4	0.012	1	121	11	11	1	0.534
1	5	0.012	1	521	11	11	1	0.477
1	6	-0.001	1	483	11	11	1	0.466
1	7	0.013	1	472	11	11	1	0.430
1	8	-0.000	1	471	11	11	1	0.418
1	9	-0.000	1	340	11	11	1	0.458
1	10	0.000	1	129	11	11	1	0.434
1	11	0.000	1	286	11	11	1	0.426
1	12	0.000	1	398	11	11	1	0.450
1	13	0.000	1	547	11	11	1	0.410
1	14	0.000	1	114	11	11	1	0.403
1	15	0.000	1	491	11	11	1	0.410
1	16	0.001	2	105	13	11	0	0.433
1	17	0.001	1	18	11	11	1	0.441
1	18	0.002	2	271	13	11	0	0.736
1	19	0.001	1	404	11	11	1	0.489
1	20	0.002	1	445	11	11	1	0.881
1	21	0.002	1	64	11	11	1	0.633
1	22	0.002	1	1	11	11	1	0.544
1	23	0.002	1	193	11	11	1	0.552
1	24	0.002	2	8	13	13	1	0.559
1	25	0.003	2	25	13	13	1	0.584
1	26	0.003	1	352	11	11	1	0.607
1	27	0.003	1	362	11	11	1	0.600
1	28	0.003	1	120	11	11	1	0.511
1	29	0.003	1	20	11	11	1	0.470
1	30	0.004	1	409	11	11	1	0.431
1	31	0.004	1	86	11	11	1	0.551
1	32	0.004	1	354	11	11	1	0.510
1	33	0.004	1	550	11	11	1	0.566
1	34	0.004	1	426	11	11	1	0.494
1	35	0.005	1	488	11	11	1	0.468
1	36	0.005	1	122	11	11	1	0.461
1	37	0.005	1	478	11	11	1	0.422
1	38	0.005	1	345	11	11	1	0.413
1	39	0.005	2	367	13	13	1	0.485
1	40	0.006	2	29	13	13	1	0.507
1	41	0.006	1	484	11	11	1	0.629
1	42	0.006	1	98	11	11	1	0.541
1	43	0.006	1	417	11	11	1	0.579
1	44	0.006	1	63	11	11	1	0.523
1	45	0.006	1	403	11	11	1	0.499
1	46	0.006	1	202	11	11	1	0.476
1	47	0.007	1	108	11	11	1	0.435
1	48	0.007	1	528	11	11	1	0.378
1	49	0.007	1	6	11	11	1	0.466
1	50	0.007	1	533	11	11	1	0.410
1	51	0.008	1	21	11	11	1	0.435
1	52	0.008	1	216	11	11	1	0.491
1	53	0.008	1	347	11	11	1	0.626
1	54	0.008	1	505	11	11	1	0.570
1	55	0.008	2	538	13	13	1	0.752
1	56	0.008	1	90	11	11	1	0.650
1	57	0.008	1	95	11	11	1	0.594
1	58	0.009	2	62	13	13	1	0.617
1	59	0.009	1	196	11	11	1	0.512
1	60	0.009	1	152	11	11	1	0.489
1	61	0.009	1	250	11	11	1	0.448
1	62	0.010	1	171	11	11	1	0.456
1	63	0.010	1	312	11	11	1	0.448
1	64	0.010	1	137	11	11	1	0.455
1	65	0.010	1	371	11	11	1	0.416
1	66	0.010	1	332	11	11	1	0.439
1	67	0.010	1	500	11	11	1	0.383
1	68	0.011	1	348	11	11	1	0.407
1	69	0.011	1	154	11	11	1	0.463
1	70	0.011	1	168	11	11	1	0.423
1	71	0.011	1	240	11	11	1	0.382
1	72	0.012	1	498	11	11	1	0.455
1	73	0.012	1	290	11	11	1	0.446
1	74	-0.001	1	479	11	11	1	0.498
1	75	-0.001	1	436	11	11	1	0.522
1	76	-0.001	1	111	11	11	1	0.499
1	77	-0.000	1	251	11	11	1	0.474
1	78	-0.000	1	502	11	11	1	0.483
1	79	0.000	1	96	11	11	1	0.553
1	80	0.000	1	226	11	11	1	0.514
1	81	0.000	1	219	11	11	1	0.570
1	82	0.000	1	43	11	11	1	0.578
1	83	0.000	1	191	11	11	1	0.585
1	84	0.000	1	295	11	11	1	0.593
1	85	0.001	1	543	11	11	1	0.617
1	86	0.001	1	148	11	11	1	0.704
1	87	0.002	1	176	11	11	1	0.713
1	88	0.001	1	402	11	11	1	0.784
1	89	0.002	1	524	11	11	1	0.665
1	90	0.002	1	446	11	11	1	0.560
1	91	0.002	1	474	11	11	1	0.473
1	92	0.002	1	281	11	11	1	0.416
1	93	0.002	1	470	11	11	1	0.487
1	94	0.003	1	5	11	11	1	0.464
1	95	0.003	1	16	11	11	1	0.423
1	96	0.003	1	138	11	11	1	0.447
1	97	0.003	1	314	11	11	1	0.391
1	98	0.003	1	299	11	11	1	0.382
1	99	0.004	1	159	11	11	1	0.342
1	100	0.004	1	36	11	11	1	0.381
1	101	0.004	2	316	13	11	0	0.373
1	102	0.004	1	261	11	11	1	0.414
1	103	0.004	1	322	11	11	1	0.470
1	104	0.005	2	382	13	13	1	0.558
1	105	0.005	1	162	11	11	1	0.517
1	106	0.005	1	321	11	11	1	0.493
1	107	0.005	1	394	11	11	1	0.565
1	108	0.005	1	339	11	11	1	0.557
1	109	0.006	1	38	11	11	1	0.549
1	110	0.006	1	287	11	11	1	0.507
1	111	0.006	1	305	11	11	1	0.547
1	112	0.006	1	520	11	11	1	0.492
1	113	0.006	2	533	13	13	1	0.644
1	114	0.006	1	519	11	11	1	0.508
1	115	0.007	1	99	11	11	1	0.531
1	116	0.007	1	70	11	11	1	0.491
1	117	0.007	1	204	11	11	1	0.498
1	118	0.007	1	149	11	11	1	0.474
1	119	0.007	1	374	11	11	1	0.402
1	120	0.008	1	509	11	11	1	0.410
1	121	0.008	1	74	11	11	1	0.387
1	122	0.008	1	370	11	11	1	0.395
1	123	0.008	1	349	11	11	1	0.434
1	124	0.008	1	30	11	11	1	0.409
1	125	0.009	1	482	11	11	1	0.434
1	126	0.009	1	494	11	11	1	0.441
1	127	0.008	1	104	11	11	1	0.449
1	128	0.009	2	530	13	11	0	0.457
