
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 01-Nov-2015 12:02:20
* Seed: 204573.9154
* Subject Number: 10
* Subject Name: ES
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	2	170	11	NaN	0	NaN
1	2	0.013	2	319	11	NaN	0	NaN
1	3	0.013	2	333	11	NaN	0	NaN
1	4	0.013	2	446	11	NaN	0	NaN
1	5	0.013	2	320	11	11	1	0.716
1	6	0.013	2	48	11	11	1	0.796
1	7	0.014	2	30	11	11	1	0.587
1	8	0.014	2	493	11	11	1	0.683
1	9	0.014	1	285	13	13	1	0.619
1	10	0.001	2	509	11	11	1	0.568
1	11	0.001	2	268	11	11	1	0.600
1	12	0.001	2	143	11	11	1	0.663
1	13	0.001	2	369	11	11	1	0.607
1	14	0.002	2	367	11	11	1	0.639
1	15	0.002	2	323	11	11	1	0.519
1	16	0.002	2	366	11	11	1	0.646
1	17	0.002	2	476	11	11	1	0.607
1	18	0.003	2	332	11	11	1	0.726
1	19	0.003	2	22	11	11	1	0.582
1	20	0.003	2	126	11	11	1	0.558
1	21	0.003	2	241	11	11	1	0.494
1	22	0.003	2	86	11	11	1	0.478
1	23	0.003	2	261	11	11	1	0.550
1	24	0.004	2	42	11	11	1	0.525
1	25	0.004	2	360	11	11	1	0.550
1	26	0.004	1	395	13	13	1	0.717
1	27	0.004	2	426	11	11	1	0.844
1	28	0.004	2	276	11	11	1	0.581
1	29	0.005	2	378	11	11	1	0.485
1	30	0.005	2	62	11	11	1	0.852
1	31	0.005	2	14	11	NaN	0	NaN
1	32	0.005	2	370	11	11	1	0.588
1	33	0.005	2	404	11	11	1	0.515
1	34	0.006	2	463	11	11	1	0.476
1	35	0.006	2	203	11	11	1	0.459
1	36	0.006	2	368	11	11	1	0.523
1	37	0.006	2	253	11	11	1	0.483
1	38	0.006	2	508	11	11	1	0.403
1	39	0.007	2	29	11	11	1	0.395
1	40	0.007	2	549	11	11	1	0.450
1	41	0.007	1	435	13	13	1	0.562
1	42	0.007	2	401	11	11	1	0.665
1	43	0.007	2	60	11	11	1	0.633
1	44	0.008	2	263	11	11	1	0.585
1	45	0.008	2	489	11	11	1	0.665
1	46	0.008	1	288	13	13	1	0.745
1	47	0.008	1	169	13	13	1	0.737
1	48	0.008	2	449	11	NaN	0	NaN
1	49	0.009	2	247	11	11	1	0.025
1	50	0.009	2	502	11	11	1	0.608
1	51	0.009	1	21	13	11	0	0.616
1	52	0.009	2	161	11	11	1	0.623
1	53	0.009	2	292	11	11	1	0.512
1	54	0.009	2	334	11	11	1	0.392
1	55	0.010	2	147	11	11	1	0.407
1	56	0.010	2	501	11	11	1	0.487
1	57	0.010	2	461	11	11	1	0.407
1	58	0.010	2	297	11	11	1	0.367
1	59	0.010	2	114	11	11	1	0.390
1	60	0.011	2	225	11	11	1	0.494
1	61	0.011	2	336	11	11	1	0.694
1	62	0.011	2	164	11	11	1	0.582
1	63	0.011	2	21	11	11	1	0.526
1	64	0.011	2	447	11	11	1	0.518
1	65	0.011	2	150	11	11	1	0.493
1	66	0.012	2	466	11	11	1	0.437
