
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 01-Nov-2015 14:29:33
* Seed: 208703.6827
* Subject Number: 12
* Subject Name: NP
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	358	11	NaN	0	NaN
1	2	0.012	2	159	11	11	1	0.842
1	3	0.012	2	139	11	11	1	0.698
1	4	0.012	2	157	11	11	1	0.506
1	5	0.013	2	183	11	11	1	0.738
1	6	0.013	1	55	13	11	0	0.489
1	7	0.013	2	205	11	NaN	0	NaN
1	8	0.013	2	44	11	11	1	0.008
1	9	0.013	2	457	11	11	1	0.521
1	10	0.013	2	466	11	11	1	0.849
1	11	0.014	2	334	11	11	1	0.504
1	12	0.014	2	512	11	11	1	0.544
1	13	0.014	2	429	11	11	1	0.417
1	14	0.001	2	529	11	11	1	0.589
1	15	0.001	2	493	11	11	1	0.709
1	16	0.001	2	103	11	11	1	0.749
1	17	0.002	2	404	11	11	1	0.493
1	18	0.002	2	190	11	11	1	0.532
1	19	0.002	2	449	11	11	1	0.588
1	20	0.002	2	23	11	11	1	0.548
1	21	0.002	2	162	11	11	1	0.363
1	22	0.003	2	352	11	11	1	0.444
1	23	0.003	2	134	11	11	1	0.347
1	24	0.003	2	460	11	11	1	0.388
1	25	0.003	2	112	11	11	1	0.315
1	26	0.003	2	472	11	11	1	0.395
1	27	0.004	2	47	11	11	1	0.443
1	28	0.004	2	393	11	11	1	0.435
1	29	0.004	2	11	11	11	1	0.442
1	30	0.004	2	311	11	11	1	0.482
1	31	0.004	2	91	11	11	1	0.458
1	32	0.005	2	230	11	11	1	0.442
1	33	0.005	2	387	11	11	1	0.370
1	34	0.005	2	475	11	11	1	0.457
1	35	0.005	2	503	11	11	1	0.489
1	36	0.005	1	512	13	13	1	0.537
1	37	0.006	2	117	11	11	1	0.856
1	38	0.006	2	62	11	11	1	0.680
1	39	0.006	2	469	11	11	1	0.624
1	40	0.006	2	547	11	11	1	0.456
1	41	0.006	1	542	13	13	1	0.679
1	42	0.007	2	333	11	11	1	0.647
1	43	0.007	2	549	11	11	1	0.647
1	44	0.007	2	423	11	11	1	0.568
1	45	0.007	2	250	11	11	1	0.415
1	46	0.007	2	203	11	11	1	0.350
1	47	0.007	1	188	13	13	1	0.550
1	48	0.008	2	462	11	11	1	0.566
1	49	0.008	1	497	13	13	1	0.607
1	50	0.008	2	86	11	11	1	0.670
1	51	0.008	2	359	11	11	1	0.478
1	52	0.008	2	515	11	11	1	0.422
1	53	0.009	2	394	11	11	1	0.405
1	54	0.009	2	483	11	11	1	0.446
1	55	0.009	2	70	11	11	1	0.549
1	56	0.009	2	245	11	11	1	0.373
1	57	0.009	2	291	11	11	1	0.421
1	58	0.010	2	226	11	11	1	0.396
1	59	0.010	2	45	11	11	1	0.396
1	60	0.010	2	486	11	11	1	0.364
1	61	0.010	2	521	11	11	1	0.404
1	62	0.010	2	130	11	11	1	0.404
1	63	0.011	2	492	11	11	1	0.348
1	64	0.011	2	452	11	11	1	0.388
1	65	0.011	2	229	11	11	1	0.636
1	66	0.011	2	453	11	11	1	0.427
1	67	0.011	2	471	11	11	1	0.498
1	68	0.012	2	308	11	11	1	0.483
1	69	0.012	2	289	11	11	1	0.482
1	70	0.012	2	52	11	11	1	0.362
1	71	0.012	2	160	11	11	1	0.322
1	72	0.012	2	54	11	11	1	0.354
1	73	0.012	2	80	11	11	1	0.434
1	74	0.013	2	500	11	11	1	0.321
1	75	0.013	2	433	11	11	1	0.369
1	76	0.013	2	178	11	11	1	0.441
1	77	0.013	2	491	11	11	1	0.417
1	78	0.013	2	290	11	11	1	0.361
1	79	0.014	2	518	11	11	1	0.305
1	80	0.014	2	316	11	11	1	0.313
1	81	0.014	2	95	11	11	1	0.289
1	82	0.014	2	389	11	11	1	0.264
1	83	0.001	2	42	11	11	1	0.285
1	84	0.001	2	209	11	11	1	0.389
1	85	0.001	2	444	11	11	1	0.308
1	86	0.002	2	541	11	11	1	0.293
1	87	0.002	2	51	11	11	1	0.325
1	88	0.002	2	81	11	11	1	0.276
1	89	0.002	2	264	11	11	1	0.268
1	90	0.002	2	265	11	11	1	0.291
1	91	0.003	2	340	11	11	1	0.339
1	92	0.003	2	378	11	11	1	0.268
1	93	0.003	2	339	11	11	1	0.267
1	94	0.003	2	150	11	11	1	0.267
1	95	0.003	2	153	11	11	1	0.283
1	96	0.004	2	516	11	11	1	0.322
1	97	0.004	2	13	11	11	1	0.282
1	98	0.004	2	506	11	11	1	0.306
1	99	0.004	2	507	11	11	1	0.290
1	100	0.004	2	350	11	11	1	0.297
1	101	0.005	2	273	11	11	1	0.345
1	102	0.005	2	40	11	11	1	0.281
1	103	0.005	2	364	11	11	1	0.289
1	104	0.005	2	441	11	11	1	0.353
1	105	0.005	2	484	11	11	1	0.289
1	106	0.006	2	274	11	11	1	0.216
1	107	0.006	2	204	11	11	1	0.368
1	108	0.006	2	527	11	11	1	0.328
1	109	0.006	2	76	11	11	1	0.352
1	110	0.006	2	430	11	11	1	0.392
1	111	0.006	2	88	11	11	1	0.344
1	112	0.007	2	367	11	11	1	0.351
1	113	0.007	2	5	11	11	1	0.311
1	114	0.007	2	271	11	11	1	0.199
1	115	0.007	2	377	11	11	1	0.310
1	116	0.007	2	385	11	11	1	0.487
1	117	0.008	2	248	11	11	1	0.311
1	118	0.008	2	114	11	11	1	0.294
1	119	0.008	2	61	11	11	1	0.238
1	120	0.008	2	280	11	11	1	0.110
1	121	0.008	2	418	11	11	1	0.285
1	122	0.009	2	303	11	11	1	0.253
1	123	0.009	2	256	11	11	1	0.310
1	124	0.009	2	439	11	11	1	0.293
1	125	0.009	2	194	11	11	1	0.341
1	126	0.009	2	175	11	11	1	0.293
1	127	0.010	2	147	11	11	1	0.276
1	128	0.010	2	546	11	11	1	0.229
1	129	0.010	2	155	11	11	1	0.452
1	130	0.010	2	366	11	11	1	0.300
1	131	0.010	2	151	11	11	1	0.348
1	132	0.010	1	231	13	11	0	0.292
1	133	0.011	2	431	11	11	1	0.660
1	134	0.011	2	346	11	11	1	0.419
1	135	0.011	2	351	11	11	1	0.443
1	136	0.011	1	340	13	13	1	0.626
1	137	0.011	2	39	11	11	1	0.578
1	138	0.012	2	107	11	11	1	0.610
1	139	0.012	2	255	11	11	1	0.618
1	140	0.012	1	523	13	13	1	0.690
1	141	0.012	2	330	11	11	1	0.570
1	142	0.012	2	328	11	11	1	0.378
1	143	0.013	2	213	11	13	0	0.506
1	144	0.013	1	448	13	13	1	0.649
1	145	0.013	2	443	11	11	1	0.537
1	146	0.013	2	420	11	11	1	0.601
1	147	0.013	2	409	11	11	1	0.361
1	148	0.013	1	410	13	13	1	0.560
1	149	0.014	2	55	11	11	1	0.417
1	150	0.014	2	38	11	11	1	0.360
1	151	0.014	2	10	11	11	1	0.320
1	152	0.001	2	382	11	11	1	0.349
1	153	0.001	2	132	11	11	1	0.468
1	154	0.001	2	498	11	11	1	0.301
1	155	0.002	2	317	11	11	1	0.469
1	156	0.002	2	243	11	11	1	0.372
1	157	0.002	2	208	11	11	1	0.500
1	158	0.002	2	167	11	11	1	0.564
1	159	0.002	2	64	11	11	1	0.364
1	160	0.003	2	344	11	11	1	0.347
1	161	0.003	2	408	11	11	1	0.379
1	162	0.003	2	371	11	11	1	0.307
1	163	0.003	2	532	11	11	1	0.331
1	164	0.003	2	146	11	11	1	0.387
1	165	0.004	2	110	11	11	1	0.330
1	166	0.004	2	347	11	11	1	0.331
1	167	0.004	2	161	11	11	1	0.274
1	168	0.004	2	7	11	11	1	0.298
1	169	0.004	2	90	11	11	1	0.281
1	170	0.005	2	199	11	11	1	0.322
1	171	0.005	2	220	11	11	1	0.233
1	172	0.005	2	228	11	11	1	0.282
1	173	0.005	2	104	11	11	1	0.241
1	174	0.005	2	177	11	11	1	0.296
1	175	0.006	2	133	11	11	1	0.328
1	176	0.006	2	461	11	11	1	0.280
1	177	0.006	2	170	11	11	1	0.312
1	178	0.006	2	322	11	11	1	0.296
1	179	0.006	2	530	11	11	1	0.280
1	180	0.007	2	219	11	11	1	0.320
1	181	0.007	2	445	11	11	1	0.296
1	182	0.007	2	222	11	11	1	0.288
