
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 01-Nov-2015 16:31:35
* Seed: 209339.9956
* Subject Number: 14
* Subject Name: KK
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	2	303	11	NaN	0	NaN
1	2	0.011	2	445	11	11	1	0.060
1	3	0.012	1	368	13	13	1	0.861
1	4	0.012	2	429	11	11	1	0.508
1	5	0.012	2	406	11	NaN	0	NaN
1	6	0.012	2	433	11	11	1	0.020
1	7	0.012	2	192	11	11	1	0.732
1	8	0.013	2	38	11	11	1	0.716
1	9	0.013	2	301	11	NaN	0	NaN
1	10	0.013	2	387	11	11	1	0.667
1	11	0.013	2	542	11	11	1	0.515
1	12	0.013	2	3	11	11	1	0.538
1	13	0.013	2	182	11	11	1	0.514
1	14	0.014	2	458	11	11	1	0.682
1	15	0.014	2	497	11	11	1	0.466
1	16	0.014	2	130	11	11	1	0.498
1	17	0.001	2	544	11	11	1	0.455
1	18	0.001	2	293	11	11	1	0.582
1	19	0.001	2	385	11	11	1	0.535
1	20	0.002	2	47	11	11	1	0.478
1	21	0.002	2	261	11	11	1	0.470
1	22	0.002	2	4	11	11	1	0.446
1	23	0.002	2	548	11	11	1	0.397
1	24	0.002	2	305	11	11	1	0.414
1	25	0.003	2	193	11	11	1	0.413
1	26	0.003	2	515	11	11	1	0.429
1	27	0.003	1	85	13	13	1	0.677
1	28	0.003	2	279	11	11	1	0.533
1	29	0.003	1	156	13	13	1	0.796
1	30	0.004	2	290	11	11	1	0.532
1	31	0.004	2	338	11	11	1	0.540
1	32	0.004	2	273	11	11	1	0.524
1	33	0.004	2	272	11	11	1	0.468
1	34	0.004	1	140	13	11	0	0.436
1	35	0.005	2	392	11	11	1	0.708
1	36	0.005	2	419	11	11	1	0.603
1	37	0.005	2	139	11	11	1	0.563
1	38	0.005	2	432	11	11	1	0.499
1	39	0.005	2	226	11	11	1	0.435
1	40	0.006	2	8	11	11	1	0.387
1	41	0.006	2	31	11	11	1	0.490
1	42	0.006	2	96	11	11	1	0.538
1	43	0.006	2	462	11	11	1	0.538
1	44	0.006	2	437	11	11	1	0.466
1	45	0.006	2	37	11	11	1	0.466
1	46	0.007	1	38	13	13	1	0.601
1	47	0.007	2	390	11	11	1	0.633
1	48	0.007	2	381	11	11	1	0.577
1	49	0.007	2	82	11	11	1	0.536
1	50	0.007	2	285	11	11	1	0.560
1	51	0.008	2	61	11	11	1	0.497
1	52	0.008	2	253	11	11	1	0.472
1	53	0.008	2	310	11	11	1	0.560
1	54	0.008	2	472	11	11	1	0.552
1	55	0.008	2	436	11	11	1	0.631
1	56	0.009	2	54	11	11	1	0.551
1	57	0.009	2	166	11	11	1	0.575
1	58	0.009	2	223	11	11	1	0.519
1	59	0.009	2	88	11	11	1	0.575
1	60	0.009	2	111	11	11	1	0.518
1	61	0.010	2	202	11	11	1	0.502
1	62	0.010	2	481	11	11	1	0.503
1	63	0.010	2	147	11	11	1	0.542
1	64	0.010	2	441	11	11	1	0.566
1	65	0.010	2	401	11	11	1	0.558
1	66	0.011	2	471	11	11	1	0.541
1	67	0.011	2	475	11	11	1	0.557
1	68	0.011	2	164	11	11	1	0.525
1	69	0.011	2	329	11	11	1	0.517
1	70	0.011	2	319	11	11	1	0.501
1	71	0.011	2	120	11	11	1	0.468
1	72	0.012	2	309	11	11	1	0.508
1	73	0.012	2	112	11	11	1	0.500
1	74	0.012	2	6	11	11	1	0.524
1	75	0.012	2	459	11	11	1	0.563
1	76	0.012	2	491	11	11	1	0.588
1	77	0.013	2	58	11	11	1	0.563
1	78	0.013	2	517	11	11	1	0.563
1	79	0.013	2	168	11	11	1	0.587
1	80	0.013	2	357	11	11	1	0.643
1	81	0.013	2	197	11	11	1	0.659
1	82	0.014	2	41	11	11	1	0.634
1	83	0.014	2	430	11	11	1	0.618
1	84	0.014	2	404	11	11	1	0.602
1	85	0.014	2	519	11	11	1	0.594
1	86	0.001	2	486	11	11	1	0.575
1	87	0.001	2	488	11	11	1	0.607
1	88	0.001	2	194	11	11	1	0.639
1	89	0.002	2	57	11	11	1	0.646
1	90	0.002	2	449	11	11	1	0.606
1	91	0.002	2	498	11	11	1	0.582
1	92	0.002	2	186	11	11	1	0.534
1	93	0.002	2	162	11	11	1	0.605
1	94	0.003	2	89	11	11	1	0.589
1	95	0.003	2	20	11	11	1	0.557
1	96	0.003	2	239	11	11	1	0.453
1	97	0.003	2	145	11	11	1	0.445
1	98	0.003	2	60	11	11	1	0.381
1	99	0.004	1	96	13	11	0	0.428
1	100	0.004	2	281	11	11	1	0.757
1	101	0.004	2	33	11	11	1	0.628
1	102	0.004	2	346	11	11	1	0.524
1	103	0.004	2	378	11	11	1	0.588
1	104	0.005	2	99	11	11	1	0.539
1	105	0.005	2	502	11	11	1	0.619
1	106	0.005	2	247	11	11	1	0.611
1	107	0.005	2	217	11	11	1	0.595
1	108	0.005	2	49	11	11	1	0.587
1	109	0.006	2	411	11	11	1	0.602
1	110	0.006	2	174	11	11	1	0.506
1	111	0.006	2	493	11	11	1	0.522
1	112	0.006	2	219	11	11	1	0.522
1	113	0.006	2	532	11	11	1	0.498
1	114	0.007	2	205	11	11	1	0.521
1	115	0.007	2	536	11	11	1	0.481
1	116	0.007	2	547	11	11	1	0.465
1	117	0.007	2	274	11	11	1	0.465
1	118	0.007	2	361	11	11	1	0.457
1	119	0.007	2	65	11	11	1	0.472
1	120	0.008	2	512	11	11	1	0.464
1	121	0.008	2	259	11	11	1	0.416
1	122	0.008	2	78	11	11	1	0.432
1	123	0.008	1	512	13	13	1	0.527
1	124	0.008	2	69	11	11	1	0.560
1	125	0.009	2	22	11	11	1	0.591
1	126	0.009	2	300	11	11	1	0.575
1	127	0.009	2	384	11	11	1	0.671
1	128	0.009	2	181	11	11	1	0.655
1	129	0.009	2	284	11	11	1	0.671
1	130	0.010	2	549	11	11	1	0.622
1	131	0.010	2	395	11	11	1	0.654
1	132	0.010	2	367	11	11	1	0.590
1	133	0.010	2	422	11	11	1	0.542
1	134	0.010	2	53	11	11	1	0.558
1	135	0.011	2	110	11	11	1	0.565
1	136	0.011	2	289	11	11	1	0.677
1	137	0.011	2	153	11	11	1	0.725
1	138	0.011	2	231	11	11	1	0.733
1	139	0.011	1	336	13	NaN	0	NaN
1	140	0.012	2	495	11	11	1	0.637
1	141	0.012	2	282	11	11	1	0.484
1	142	0.012	2	39	11	11	1	0.397
1	143	0.012	2	260	11	11	1	0.428
1	144	0.012	1	379	13	13	1	0.579
1	145	0.012	2	229	11	11	1	0.436
1	146	0.013	2	94	11	11	1	0.547
1	147	0.013	2	413	11	11	1	0.563
1	148	0.013	2	439	11	11	1	0.539
1	149	0.013	2	382	11	11	1	0.499
1	150	0.013	2	345	11	11	1	0.498
1	151	0.014	2	476	11	11	1	0.522
1	152	0.014	2	451	11	11	1	0.546
1	153	0.014	2	341	11	11	1	0.522
1	154	0.014	2	28	11	11	1	0.562
1	155	0.001	2	408	11	11	1	0.575
1	156	0.001	2	332	11	11	1	0.559
1	157	0.001	2	370	11	11	1	0.558
1	158	0.002	2	189	11	11	1	0.622
1	159	0.002	2	376	11	11	1	0.678
1	160	0.002	2	185	11	11	1	0.598
1	161	0.002	2	435	11	11	1	0.582
1	162	0.002	2	257	11	11	1	0.613
1	163	0.003	2	511	11	11	1	0.677
1	164	0.003	2	278	11	11	1	0.669
1	165	0.003	2	500	11	11	1	0.661
1	166	0.003	2	52	11	11	1	0.669
1	167	0.003	2	545	11	11	1	0.668
1	168	0.004	2	360	11	11	1	0.700
1	169	0.004	2	13	11	11	1	0.764
1	170	0.004	1	547	13	13	1	0.700
1	171	0.004	2	95	11	11	1	0.740
1	172	0.004	2	354	11	11	1	0.628
1	173	0.004	2	84	11	11	1	0.500
1	174	0.005	2	70	11	11	1	0.604
1	175	0.005	2	431	11	11	1	0.555
1	176	0.005	2	316	11	11	1	0.475
1	177	0.005	2	347	11	11	1	0.538
1	178	0.006	2	250	11	11	1	0.475
1	179	0.006	1	281	13	11	0	0.426
1	180	0.006	2	526	11	11	1	0.666
1	181	0.006	2	485	11	11	1	0.602
1	182	0.006	2	201	11	11	1	0.730
1	183	0.007	2	18	11	11	1	0.689
1	184	0.007	2	276	11	11	1	0.697
1	185	0.007	1	87	13	11	0	0.729
1	186	0.007	2	438	11	NaN	0	NaN
1	187	0.007	2	423	11	11	1	0.616
1	188	0.007	2	443	11	11	1	0.833
1	189	0.008	1	447	13	13	1	0.601
1	190	0.008	2	136	11	11	1	0.496
1	191	0.008	2	506	11	11	1	0.536
1	192	0.008	2	151	11	11	1	0.512
1	193	0.008	2	206	11	11	1	0.560
1	194	0.009	2	358	11	11	1	0.575
1	195	0.009	2	296	11	11	1	0.615
1	196	0.009	2	125	11	11	1	0.623
1	197	0.009	2	43	11	11	1	0.663
1	198	0.009	2	137	11	11	1	0.759
1	199	0.010	2	19	11	11	1	0.767
1	200	0.010	1	112	13	13	1	0.687
1	201	0.010	2	546	11	11	1	0.583
1	202	0.010	2	534	11	11	1	0.669
1	203	0.010	2	277	11	11	1	0.605
1	204	0.011	2	349	11	11	1	0.678
1	205	0.011	2	100	11	11	1	0.733
1	206	0.011	2	236	11	NaN	0	NaN
1	207	0.011	2	243	11	11	1	0.012
1	208	0.011	1	499	13	13	1	0.549
1	209	0.011	2	415	11	11	1	0.564
1	210	0.012	2	314	11	11	1	0.628
1	211	0.012	2	504	11	11	1	0.684
1	212	0.012	2	468	11	11	1	0.572
1	213	0.012	2	427	11	11	1	0.580
1	214	0.012	2	221	11	11	1	0.651
1	215	0.013	2	32	11	11	1	0.675
1	216	0.013	2	389	11	11	1	0.731
1	217	0.013	2	325	11	11	1	0.683
1	218	0.013	2	241	11	11	1	0.634
1	219	0.013	2	499	11	11	1	0.618
1	220	0.014	2	550	11	11	1	0.691
1	221	0.014	2	36	11	11	1	0.610
1	222	0.014	2	23	11	11	1	0.554
1	223	0.014	2	328	11	11	1	0.634
1	224	0.001	2	518	11	11	1	0.655
1	225	0.001	2	170	11	11	1	0.631
1	226	0.001	2	216	11	11	1	0.719
1	227	0.002	2	121	11	11	1	0.767
1	228	0.002	2	198	11	11	1	0.814
1	229	0.002	1	98	13	13	1	0.702
1	230	0.002	2	211	11	11	1	0.526
1	231	0.002	2	412	11	11	1	0.550
1	232	0.003	2	237	11	11	1	0.485
1	233	0.003	1	243	13	13	1	0.621
1	234	0.003	2	66	11	11	1	0.413
1	235	0.003	2	479	11	11	1	0.420
1	236	0.003	2	255	11	11	1	0.557
1	237	0.004	1	279	13	13	1	0.732
1	238	0.004	2	368	11	11	1	0.516
1	239	0.004	2	330	11	11	1	0.492
1	240	0.004	2	117	11	11	1	0.484
1	241	0.004	1	400	13	13	1	0.467
1	242	0.005	2	116	11	11	1	0.356
1	243	0.005	2	122	11	11	1	0.331
1	244	0.005	2	335	11	11	1	0.267
1	245	0.005	1	391	13	13	1	0.451
1	246	0.005	2	365	11	11	1	0.323
1	247	0.006	2	380	11	11	1	0.346
1	248	0.006	2	148	11	11	1	0.491
1	249	0.006	1	294	13	13	1	0.538
1	250	0.006	2	494	11	11	1	0.458
1	251	0.006	2	154	11	11	1	0.394
1	252	0.007	2	97	11	11	1	0.425
1	253	0.007	1	440	13	13	1	0.425
1	254	0.007	2	421	11	11	1	0.297
1	255	0.007	2	144	11	11	1	0.217
1	256	0.007	2	535	11	11	1	0.217
1	257	0.007	1	390	13	13	1	0.272
1	258	0.008	2	149	11	11	1	0.296
1	259	0.008	2	64	11	11	1	0.208
1	260	0.008	2	35	11	11	1	0.216
1	261	0.008	1	437	13	13	1	0.248
1	262	0.008	2	350	11	11	1	0.215
1	263	0.009	2	235	11	11	1	0.200
1	264	0.009	2	2	11	11	1	0.119
1	265	0.009	1	71	13	13	1	0.399
1	266	0.009	2	24	11	11	1	0.247
1	267	0.009	2	16	11	11	1	0.191
1	268	0.010	2	311	11	11	1	0.286
1	269	0.010	1	1	13	13	1	0.342
1	270	0.010	2	317	11	11	1	0.326
1	271	0.010	2	393	11	11	1	0.301
1	272	0.010	2	191	11	11	1	0.294
1	273	0.011	1	386	13	13	1	0.318
1	274	0.011	2	505	11	11	1	0.253
1	275	0.011	2	428	11	11	1	0.237
1	276	0.011	2	460	11	11	1	0.133
1	277	0.011	1	151	13	13	1	0.253
1	278	0.011	2	92	11	11	1	0.292
1	279	0.012	2	307	11	11	1	0.220
1	280	0.012	2	490	11	11	1	0.212
1	281	0.012	1	138	13	13	1	0.276
1	282	0.012	2	477	11	11	1	0.220
1	283	0.012	2	528	11	11	1	0.204
1	284	0.013	2	463	11	11	1	0.195
1	285	0.013	1	526	13	13	1	0.227
1	286	0.013	2	50	11	11	1	0.203
1	287	0.013	2	68	11	11	1	0.179
1	288	0.013	2	320	11	11	1	0.147
1	289	0.014	1	8	13	13	1	0.162
1	290	0.014	2	275	11	11	1	0.194
1	291	0.014	2	529	11	11	1	0.202
1	292	0.014	2	324	11	11	1	0.218
1	293	0.001	2	442	11	13	0	0.127
1	294	0.001	2	161	11	11	1	0.534
1	295	0.001	2	450	11	11	1	0.430
1	296	0.002	2	527	11	11	1	0.359
1	297	0.002	2	11	11	11	1	0.446
1	298	0.002	2	73	11	11	1	0.350
1	299	0.002	2	496	11	11	1	0.286
1	300	0.002	2	72	11	11	1	0.221
1	301	0.003	2	362	11	11	1	0.246
1	302	0.003	2	326	11	11	1	0.237
1	303	0.003	2	93	11	11	1	0.133
1	304	0.003	2	188	11	11	1	0.101
1	305	0.003	2	158	11	11	1	0.068
1	306	0.004	2	444	11	11	1	0.076
1	307	0.004	2	333	11	11	1	0.028
1	308	0.004	2	141	11	11	1	0.028
1	309	0.004	2	80	11	11	1	0.172
1	310	0.004	2	134	11	11	1	0.268
1	311	0.005	2	400	11	11	1	0.300
1	312	0.005	2	118	11	11	1	0.332
1	313	0.005	2	108	11	11	1	0.395
1	314	0.005	2	172	11	11	1	0.299
1	315	0.005	2	67	11	11	1	0.307
1	316	0.006	2	140	11	11	1	0.362
1	317	0.006	2	10	11	11	1	0.418
1	318	0.006	2	523	11	11	1	0.378
1	319	0.006	2	409	11	11	1	0.426
1	320	0.006	2	179	11	11	1	0.418
1	321	0.007	2	434	11	11	1	0.433
1	322	0.007	2	318	11	11	1	0.465
1	323	0.007	2	446	11	11	1	0.529
1	324	0.007	2	17	11	11	1	0.480
1	325	0.007	2	102	11	11	1	0.408
1	326	0.008	2	425	11	11	1	0.408
1	327	0.008	2	246	11	11	1	0.321
1	328	0.008	2	256	11	11	1	0.272
1	329	0.008	2	143	11	11	1	0.336
1	330	0.008	2	334	11	11	1	0.360
1	331	0.008	2	26	11	11	1	0.383
1	332	0.009	2	283	11	11	1	0.383
1	333	0.009	2	34	11	11	1	0.439
1	334	0.009	2	98	11	11	1	0.447
1	335	0.009	2	369	11	11	1	0.447
1	336	0.009	2	508	11	11	1	0.375
1	337	0.010	2	543	11	11	1	0.406
1	338	0.010	2	513	11	11	1	0.374
1	339	0.010	2	371	11	11	1	0.358
1	340	0.010	2	126	11	11	1	0.286
1	341	0.010	2	270	11	11	1	0.213
1	342	0.011	2	208	11	11	1	0.293
1	343	0.011	2	537	11	11	1	0.309
1	344	0.011	2	299	11	11	1	0.269
1	345	0.011	2	133	11	11	1	0.333
1	346	0.011	2	321	11	11	1	0.253
1	347	0.012	2	280	11	11	1	0.284
1	348	0.012	2	315	11	11	1	0.356
1	349	0.012	2	207	11	11	1	0.348
1	350	0.012	2	470	11	11	1	0.364
1	351	0.012	2	87	11	11	1	0.364
1	352	0.012	2	372	11	11	1	0.363
1	353	0.013	2	531	11	11	1	0.292
1	354	0.013	2	91	11	11	1	0.259
1	355	0.013	2	448	11	11	1	0.315
1	356	0.013	2	388	11	11	1	0.363
1	357	0.013	2	25	11	11	1	0.403
1	358	0.014	2	228	11	11	1	0.363
1	359	0.014	2	114	11	11	1	0.346
1	360	0.014	2	540	11	11	1	0.242
1	361	0.014	2	262	11	11	1	0.226
1	362	0.001	2	48	11	11	1	0.254
1	363	0.001	2	218	11	11	1	0.311
1	364	0.001	2	407	11	11	1	0.279
1	365	0.002	2	356	11	11	1	0.311
1	366	0.002	2	212	11	11	1	0.358
1	367	0.002	2	456	11	11	1	0.286
1	368	0.002	2	474	11	11	1	0.294
1	369	0.002	2	245	11	11	1	0.342
1	370	0.003	2	165	11	11	1	0.278
1	371	0.003	2	288	11	11	1	0.325
1	372	0.003	2	29	11	11	1	0.365
1	373	0.003	2	156	11	11	1	0.421
1	374	0.003	2	163	11	11	1	0.516
1	375	0.004	2	104	11	11	1	0.508
1	376	0.004	1	152	13	13	1	0.596
1	377	0.004	2	5	11	11	1	0.444
1	378	0.004	2	467	11	11	1	0.460
1	379	0.004	2	271	11	11	1	0.427
1	380	0.005	2	90	11	11	1	0.459
1	381	0.005	2	516	11	11	1	0.387
1	382	0.005	2	210	11	11	1	0.362
1	383	0.005	2	135	11	11	1	0.291
