
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 01-Nov-2015 17:02:36
* Seed: 206651.6748
* Subject Number: 15
* Subject Name: FF
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	188	11	NaN	0	NaN
1	2	0.012	1	530	11	NaN	0	NaN
1	3	0.012	1	205	11	13	0	0.026
1	4	0.013	1	66	11	11	1	0.882
1	5	0.013	2	51	13	13	1	0.769
1	6	0.013	1	495	11	11	1	0.666
1	7	0.013	1	329	11	NaN	0	NaN
1	8	0.013	1	53	11	11	1	0.769
1	9	0.013	1	281	11	11	1	0.690
1	10	0.014	1	274	11	NaN	0	NaN
1	11	0.014	1	210	11	11	1	0.825
1	12	0.014	1	464	11	11	1	0.704
1	13	0.001	1	418	11	11	1	0.590
1	14	0.001	2	254	13	11	0	0.566
1	15	0.001	1	234	11	11	1	0.638
1	16	0.002	1	544	11	11	1	0.621
1	17	0.002	1	509	11	11	1	0.669
1	18	0.002	1	435	11	11	1	0.621
1	19	0.002	1	499	11	11	1	0.541
1	20	0.002	1	372	11	11	1	0.724
1	21	0.002	1	508	11	11	1	0.676
1	22	0.003	1	30	11	11	1	0.676
1	23	0.003	1	458	11	11	1	0.588
1	24	0.003	1	29	11	11	1	0.499
1	25	0.003	1	200	11	11	1	0.379
1	26	0.003	1	466	11	11	1	0.411
1	27	0.004	1	427	11	11	1	0.379
1	28	0.004	1	202	11	11	1	0.418
1	29	0.004	2	516	13	13	1	0.434
1	30	0.004	1	171	11	11	1	0.659
1	31	0.004	1	383	11	NaN	0	NaN
1	32	0.005	1	232	11	11	1	0.370
1	33	0.005	1	147	11	11	1	0.466
1	34	0.005	1	501	11	11	1	0.345
1	35	0.005	1	74	11	11	1	0.377
1	36	0.005	1	59	11	11	1	0.410
1	37	0.006	1	101	11	11	1	0.433
1	38	0.006	1	317	11	11	1	0.377
1	39	0.006	1	283	11	11	1	0.393
1	40	0.006	1	81	11	11	1	0.376
1	41	0.006	1	540	11	11	1	0.352
1	42	0.007	1	7	11	11	1	0.344
1	43	0.007	2	519	13	11	0	0.312
1	44	0.007	1	150	11	11	1	0.304
1	45	0.007	1	167	11	11	1	0.280
1	46	0.007	1	238	11	11	1	0.280
1	47	0.007	1	82	11	11	1	0.311
1	48	0.008	1	414	11	11	1	0.440
1	49	0.008	1	242	11	11	1	0.383
1	50	0.008	2	44	13	11	0	0.375
1	51	0.008	1	183	11	11	1	0.318
1	52	0.008	1	49	11	11	1	0.342
1	53	0.009	1	404	11	11	1	0.422
1	54	0.009	1	484	11	11	1	0.389
1	55	0.009	1	34	11	11	1	0.341
1	56	0.009	1	83	11	11	1	0.325
1	57	0.009	1	250	11	11	1	0.261
1	58	0.010	1	340	11	11	1	0.269
1	59	0.010	1	175	11	11	1	0.317
1	60	0.010	1	481	11	11	1	0.253
1	61	0.010	1	306	11	11	1	0.268
1	62	0.010	1	286	11	11	1	0.260
1	63	0.011	1	216	11	11	1	0.244
1	64	0.011	1	41	11	11	1	0.236
1	65	0.011	1	300	11	11	1	0.220
1	66	0.011	1	311	11	11	1	0.260
1	67	0.011	1	93	11	11	1	0.315
1	68	0.012	1	57	11	11	1	0.363
1	69	0.012	1	17	11	11	1	0.331
1	70	0.012	1	196	11	11	1	0.370
1	71	0.012	2	78	13	13	1	0.619
1	72	0.012	1	241	11	11	1	0.467
1	73	0.012	1	451	11	11	1	0.538
1	74	0.013	1	503	11	11	1	0.570
1	75	0.013	2	267	13	13	1	0.497
1	76	0.013	1	76	11	11	1	0.458
1	77	0.013	1	266	11	11	1	0.681
1	78	0.013	1	471	11	11	1	0.586
1	79	0.014	2	87	13	11	0	0.569
1	80	0.014	1	67	11	11	1	0.585
1	81	0.014	1	122	11	11	1	0.577
1	82	0.001	1	217	11	11	1	0.678
1	83	0.001	2	109	13	11	0	0.733
1	84	0.001	1	143	11	11	1	0.678
1	85	0.002	1	38	11	11	1	0.662
1	86	0.002	1	90	11	11	1	0.701
1	87	0.002	2	5	13	13	1	0.556
1	88	0.002	1	214	11	11	1	0.525
1	89	0.002	1	389	11	11	1	0.580
1	90	0.003	1	338	11	11	1	0.780
1	91	0.003	2	167	13	13	1	0.860
1	92	0.003	1	61	11	11	1	0.644
1	93	0.003	1	44	11	11	1	0.588
1	94	0.003	1	377	11	11	1	0.515
1	95	0.003	1	393	11	11	1	0.492
1	96	0.004	1	335	11	11	1	0.443
1	97	0.004	1	42	11	13	0	0.611
1	98	0.004	1	526	11	11	1	0.346
1	99	0.004	1	129	11	11	1	0.459
1	100	0.004	1	430	11	11	1	0.451
1	101	0.005	1	235	11	11	1	0.827
1	102	0.005	1	89	11	11	1	0.658
1	103	0.005	1	513	11	11	1	0.722
1	104	0.005	2	390	13	NaN	0	NaN
1	105	0.005	1	130	11	11	1	0.593
1	106	0.006	1	70	11	13	0	0.849
1	107	0.006	1	149	11	11	1	0.825
1	108	0.006	2	337	13	13	1	0.753
1	109	0.006	1	344	11	11	1	0.577
1	110	0.006	1	302	11	11	1	0.568
1	111	0.006	1	22	11	11	1	0.465
1	112	0.007	1	336	11	11	1	0.752
1	113	0.007	1	384	11	11	1	0.687
1	114	0.007	1	11	11	11	1	0.688
1	115	0.007	1	186	11	NaN	0	NaN
1	116	0.008	1	251	11	11	1	0.543
1	117	0.008	1	163	11	11	1	0.583
1	118	0.008	1	385	11	11	1	0.639
1	119	0.008	1	264	11	11	1	0.687
1	120	0.008	1	420	11	11	1	0.734
1	121	0.009	1	294	11	11	1	0.758
1	122	0.009	1	14	11	11	1	0.758
1	123	0.009	1	370	11	11	1	0.773
1	124	0.009	1	334	11	11	1	0.694
1	125	0.009	1	428	11	11	1	0.613
1	126	0.009	1	159	11	11	1	0.661
1	127	0.010	1	531	11	11	1	0.549
1	128	0.010	1	37	11	11	1	0.501
1	129	0.010	1	387	11	11	1	0.525
1	130	0.010	1	58	11	11	1	0.453
1	131	0.010	1	293	11	11	1	0.500
1	132	0.011	1	145	11	11	1	0.516
1	133	0.011	1	541	11	11	1	0.404
1	134	0.011	1	405	11	11	1	0.380
1	135	0.011	1	450	11	11	1	0.299
1	136	0.011	2	57	13	11	0	0.387
1	137	0.011	1	255	11	11	1	0.483
1	138	0.012	1	402	11	11	1	0.499
1	139	0.012	1	523	11	NaN	0	NaN
1	140	0.012	1	444	11	11	1	0.699
1	141	0.012	1	365	11	11	1	0.706
1	142	0.013	1	517	11	11	1	0.762
1	143	0.013	1	488	11	11	1	0.786
1	144	0.013	1	125	11	11	1	0.826
1	145	0.013	2	119	13	NaN	0	NaN
1	146	0.013	1	73	11	13	0	0.034
1	147	0.013	1	455	11	11	1	0.649
1	148	0.014	1	514	11	11	1	0.505
1	149	0.014	2	264	13	11	0	0.537
1	150	0.014	1	299	11	11	1	0.545
1	151	0.001	1	268	11	11	1	0.446
1	152	0.001	1	115	11	11	1	0.430
1	153	0.001	1	52	11	11	1	0.565
1	154	0.002	1	358	11	11	1	0.502
1	155	0.002	1	62	11	11	1	0.501
1	156	0.002	1	406	11	11	1	0.445
1	157	0.002	1	333	11	11	1	0.397
1	158	0.002	1	187	11	11	1	0.380
1	159	0.003	1	215	11	11	1	0.340
1	160	0.003	2	487	13	11	0	0.292
1	161	0.003	1	410	11	11	1	0.411
1	162	0.003	1	118	11	11	1	0.635
1	163	0.003	1	394	11	11	1	0.572
1	164	0.003	1	104	11	11	1	0.563
1	165	0.004	1	445	11	11	1	0.675
1	166	0.004	1	112	11	11	1	0.787
1	167	0.004	1	245	11	11	1	0.851
1	168	0.004	2	468	13	13	1	0.770
1	169	0.004	1	106	11	11	1	0.386
1	170	0.005	1	532	11	11	1	0.426
1	171	0.005	1	8	11	11	1	0.402
1	172	0.005	1	43	11	11	1	0.570
1	173	0.005	1	339	11	11	1	0.498
1	174	0.005	1	297	11	11	1	0.513
1	175	0.006	1	239	11	11	1	0.473
1	176	0.006	1	133	11	11	1	0.385
1	177	0.006	1	176	11	11	1	0.337
1	178	0.006	1	68	11	11	1	0.336
1	179	0.006	2	46	13	13	1	0.528
1	180	0.007	1	378	11	11	1	0.312
1	181	0.007	1	86	11	11	1	0.376
1	182	0.007	1	468	11	11	1	0.416
1	183	0.007	2	148	13	13	1	0.472
1	184	0.007	1	229	11	11	1	0.255
1	185	0.008	1	307	11	11	1	0.256
1	186	0.008	1	248	11	11	1	0.263
1	187	0.008	2	145	13	11	0	0.687
