
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Nov-2015 10:54:05
* Seed: 214032.0002
* Subject Number: 16
* Subject Name: AT
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	2	22	11	11	1	0.589
1	2	0.013	2	69	11	11	1	0.628
1	3	0.013	2	193	11	11	1	0.588
1	4	0.013	2	489	11	11	1	0.564
1	5	0.013	2	291	11	11	1	0.540
1	6	0.014	2	210	11	11	1	0.516
1	7	0.014	2	154	11	11	1	0.515
1	8	0.001	2	408	11	11	1	0.552
1	9	0.001	2	195	11	11	1	0.536
1	10	0.001	2	348	11	11	1	0.512
1	11	0.001	2	100	11	11	1	0.488
1	12	0.002	2	71	11	11	1	0.488
1	13	0.002	1	105	13	13	1	0.519
1	14	0.002	2	115	11	11	1	0.487
1	15	0.002	1	464	13	11	0	0.519
1	16	0.002	2	527	11	11	1	0.710
1	17	0.002	2	510	11	11	1	0.751
1	18	0.003	2	70	11	11	1	0.790
1	19	0.003	2	156	11	11	1	0.726
1	20	0.003	2	245	11	11	1	0.766
1	21	0.003	2	529	11	11	1	0.702
1	22	0.003	2	79	11	11	1	0.654
1	23	0.004	2	490	11	11	1	0.589
1	24	0.004	2	362	11	11	1	0.485
1	25	0.004	2	457	11	11	1	0.518
1	26	0.004	2	86	11	11	1	0.509
1	27	0.004	1	98	13	13	1	0.605
1	28	0.005	2	342	11	11	1	0.573
1	29	0.005	2	142	11	11	1	0.604
1	30	0.005	2	30	11	11	1	0.564
1	31	0.005	2	311	11	11	1	0.587
1	32	0.005	2	297	11	11	1	0.588
1	33	0.006	2	185	11	11	1	0.572
1	34	0.006	2	5	11	11	1	0.508
1	35	0.006	2	461	11	11	1	0.491
1	36	0.006	2	330	11	11	1	0.474
1	37	0.007	2	168	11	11	1	0.586
1	38	0.007	2	394	11	11	1	0.506
1	39	0.007	2	516	11	11	1	0.426
1	40	0.007	2	509	11	11	1	0.418
1	41	0.007	2	45	11	11	1	0.362
1	42	0.007	2	19	11	11	1	0.314
1	43	0.008	1	192	13	11	0	0.273
1	44	0.008	2	181	11	11	1	0.562
1	45	0.008	2	353	11	11	1	0.537
1	46	0.008	2	256	11	11	1	0.497
1	47	0.008	1	133	13	13	1	0.593
1	48	0.009	2	532	11	11	1	0.641
1	49	0.009	2	451	11	11	1	0.648
1	50	0.009	2	24	11	11	1	0.608
1	51	0.009	1	195	13	13	1	0.624
1	52	0.009	2	120	11	11	1	0.592
1	53	0.010	2	491	11	11	1	0.600
1	54	0.010	2	37	11	11	1	0.663
1	55	0.010	2	540	11	11	1	0.695
1	56	0.010	1	199	13	13	1	0.735
1	57	0.010	2	16	11	11	1	0.790
1	58	0.011	2	143	11	11	1	0.766
1	59	0.011	2	381	11	11	1	0.767
1	60	0.011	1	528	13	13	1	0.630
1	61	0.011	2	259	11	11	1	0.598
1	62	0.011	2	411	11	11	1	0.542
1	63	0.011	2	445	11	11	1	0.494
1	64	0.012	2	203	11	11	1	0.494
1	65	0.012	2	448	11	11	1	0.574
1	66	0.012	2	325	11	11	1	0.525
1	67	0.012	2	455	11	11	1	0.461
1	68	0.012	2	189	11	11	1	0.789
1	69	0.013	2	307	11	11	1	0.724
1	70	0.013	2	175	11	11	1	0.652
1	71	0.013	1	35	13	13	1	0.676
1	72	0.013	2	549	11	11	1	0.596
1	73	0.013	2	289	11	11	1	0.572
1	74	0.014	2	488	11	11	1	0.411
1	75	0.014	2	428	11	11	1	0.371
1	76	0.014	1	311	13	11	0	0.340
1	77	0.001	2	26	11	11	1	0.296
1	78	0.001	2	345	11	11	1	0.328
1	79	0.001	2	477	11	11	1	0.312
1	80	0.001	1	520	13	11	0	0.352
1	81	0.002	2	346	11	11	1	0.367
1	82	0.002	2	376	11	11	1	0.407
1	83	0.002	2	335	11	11	1	0.551
1	84	0.002	2	392	11	11	1	0.662
1	85	0.002	2	526	11	11	1	0.671
1	86	0.003	2	72	11	11	1	0.663
1	87	0.003	1	485	13	13	1	0.598
1	88	0.003	2	63	11	11	1	0.542
1	89	0.003	2	486	11	11	1	0.678
1	90	0.003	2	1	11	11	1	0.654
1	91	0.004	2	270	11	11	1	0.653
1	92	0.004	2	13	11	11	1	0.654
1	93	0.004	2	6	11	11	1	0.733
1	94	0.004	1	435	13	13	1	0.821
1	95	0.004	2	427	11	11	1	0.869
1	96	0.005	2	214	11	11	1	0.804
1	97	0.005	2	374	11	11	1	0.788
1	98	0.005	1	126	13	13	1	0.749
1	99	0.005	2	57	11	11	1	0.636
1	100	0.005	2	247	11	11	1	0.588
1	101	0.006	2	124	11	11	1	0.588
1	102	0.006	2	495	11	11	1	0.500
1	103	0.006	2	543	11	11	1	0.483
1	104	0.006	2	470	11	11	1	0.491
1	105	0.006	2	160	11	11	1	0.515
1	106	0.006	2	518	11	11	1	0.483
1	107	0.007	2	59	11	11	1	0.426
1	108	0.007	2	94	11	11	1	0.466
1	109	0.007	2	121	11	11	1	0.466
1	110	0.007	2	469	11	11	1	0.585
1	111	0.008	2	221	11	11	1	0.634
1	112	0.008	2	153	11	11	1	0.609
1	113	0.008	2	242	11	11	1	0.602
1	114	0.008	2	44	11	11	1	0.633
1	115	0.008	2	50	11	11	1	0.657
1	116	0.008	2	208	11	11	1	0.624
1	117	0.009	2	49	11	11	1	0.680
1	118	0.009	2	403	11	11	1	0.704
1	119	0.009	2	453	11	11	1	0.688
1	120	0.009	2	500	11	11	1	0.760
1	121	0.009	2	58	11	11	1	0.776
1	122	0.010	1	63	13	13	1	0.791
1	123	0.010	2	67	11	11	1	0.719
1	124	0.010	2	429	11	11	1	0.784
1	125	0.010	2	523	11	11	1	0.711
1	126	0.010	2	268	11	11	1	0.663
1	127	0.010	2	550	11	11	1	0.703
1	128	0.011	2	423	11	11	1	0.702
1	129	0.011	2	74	11	11	1	0.758
1	130	0.011	2	366	11	11	1	0.774
1	131	0.011	2	232	11	11	1	0.814
1	132	0.012	1	36	13	13	1	0.861
1	133	0.012	2	373	11	11	1	0.781
1	134	0.012	2	360	11	11	1	0.813
1	135	0.012	2	263	11	11	1	0.853
1	136	0.012	1	475	13	13	1	0.845
1	137	0.013	2	398	11	11	1	0.804
1	138	0.013	2	334	11	11	1	0.789
1	139	0.013	2	109	11	11	1	0.772
1	140	0.013	2	73	11	11	1	0.732
1	141	0.013	2	89	11	11	1	0.692
1	142	0.013	2	372	11	11	1	0.660
1	143	0.014	2	85	11	11	1	0.700
1	144	0.014	2	413	11	11	1	0.652
1	145	0.014	2	421	11	11	1	0.523
1	146	0.014	2	415	11	11	1	0.563
1	147	0.001	2	205	11	11	1	0.584
1	148	0.001	1	145	13	13	1	0.552
1	149	0.001	2	194	11	11	1	0.511
1	150	0.002	2	310	11	11	1	0.504
1	151	0.002	2	233	11	11	1	0.511
1	152	0.002	1	342	13	13	1	0.583
1	153	0.002	2	220	11	11	1	0.598
1	154	0.002	2	401	11	11	1	0.527
1	155	0.003	2	112	11	11	1	0.502
1	156	0.003	1	428	13	13	1	0.702
1	157	0.003	2	149	11	11	1	0.614
1	158	0.003	2	479	11	11	1	0.869
1	159	0.003	2	200	11	11	1	0.894
1	160	0.004	2	383	11	11	1	0.774
1	161	0.004	1	540	13	13	1	0.757
1	162	0.004	2	438	11	11	1	0.693
1	163	0.004	2	15	11	11	1	0.685
1	164	0.004	2	279	11	11	1	0.645
1	165	0.005	2	351	11	11	1	0.636
1	166	0.005	2	375	11	11	1	0.637
1	167	0.005	2	271	11	NaN	0	NaN
1	168	0.005	2	522	11	11	1	0.756
1	169	0.005	2	320	11	11	1	0.764
1	170	0.006	2	397	11	11	1	0.803
1	171	0.006	2	517	11	11	1	0.779
1	172	0.006	2	217	11	11	1	0.740
1	173	0.006	2	29	11	11	1	0.707
1	174	0.006	2	483	11	11	1	0.683
1	175	0.007	2	306	11	11	1	0.699
1	176	0.007	2	317	11	11	1	0.698
1	177	0.007	2	356	11	11	1	0.746
1	178	0.007	2	129	11	11	1	0.642
1	179	0.007	2	77	11	11	1	0.650
1	180	0.008	2	47	11	11	1	0.666
1	181	0.008	2	465	11	11	1	0.658
1	182	0.008	2	280	11	11	1	0.706
1	183	0.008	2	456	11	11	1	0.801
1	184	0.008	2	316	11	11	1	0.785
1	185	0.008	2	435	11	11	1	0.793
1	186	0.009	2	498	11	11	1	0.809
1	187	0.009	2	91	11	11	1	0.808
1	188	0.009	2	512	11	11	1	0.768
1	189	0.009	2	11	11	11	1	0.824
1	190	0.009	2	171	11	11	1	0.752
1	191	0.010	2	296	11	11	1	0.727
1	192	0.010	2	492	11	11	1	0.655
1	193	0.010	2	249	11	11	1	0.615
1	194	0.010	2	117	11	11	1	0.591
1	195	0.010	2	354	11	11	1	0.534
1	196	0.011	1	514	13	13	1	0.583
1	197	0.011	2	384	11	11	1	0.550
1	198	0.011	2	417	11	11	1	0.526
1	199	0.011	2	254	11	11	1	0.558
1	200	0.011	1	132	13	13	1	0.726
1	201	0.012	2	433	11	11	1	0.574
1	202	0.012	2	441	11	11	1	0.581
1	203	0.012	2	364	11	11	1	0.581
1	204	0.012	1	24	13	13	1	0.845
1	205	0.012	2	387	11	11	1	0.797
1	206	0.012	2	478	11	11	1	0.733
1	207	0.013	2	122	11	11	1	0.741
1	208	0.013	2	218	11	11	1	0.652
1	209	0.013	2	137	11	11	1	0.556
1	210	0.013	2	425	11	11	1	0.524
1	211	0.013	1	493	13	11	0	0.572
1	212	0.014	2	179	11	11	1	0.563
1	213	0.014	2	535	11	11	1	0.539
1	214	0.014	2	260	11	11	1	0.507
