
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Nov-2015 13:01:51
* Seed: 207778.1697
* Subject Number: 17
* Subject Name: CO
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	80	11	11	1	0.727
1	2	0.012	1	498	11	11	1	0.615
1	3	0.012	1	126	11	11	1	0.846
1	4	0.012	1	503	11	11	1	0.734
1	5	0.013	1	490	11	11	1	0.526
1	6	0.013	1	525	11	11	1	0.726
1	7	0.013	2	76	13	13	1	0.597
1	8	0.013	1	461	11	11	1	0.477
1	9	0.013	1	31	11	11	1	0.669
1	10	0.014	1	291	11	11	1	0.669
1	11	0.014	2	505	13	13	1	0.613
1	12	0.014	2	495	13	13	1	0.581
1	13	0.001	1	550	11	11	1	0.585
1	14	0.001	1	158	11	11	1	0.522
1	15	0.001	1	62	11	11	1	0.457
1	16	0.001	1	7	11	11	1	0.768
1	17	0.002	1	243	11	11	1	0.697
1	18	0.002	1	136	11	11	1	0.713
1	19	0.002	1	329	11	11	1	0.472
1	20	0.002	1	150	11	11	1	0.456
1	21	0.002	1	152	11	11	1	0.336
1	22	0.003	1	36	11	11	1	0.384
1	23	0.003	1	517	11	11	1	0.391
1	24	0.003	1	417	11	11	1	0.312
1	25	0.003	1	114	11	11	1	0.479
1	26	0.003	1	170	11	11	1	0.479
1	27	0.003	1	445	11	11	1	0.559
1	28	0.004	1	413	11	11	1	0.703
1	29	0.004	1	338	11	11	1	0.622
1	30	0.004	1	415	11	11	1	0.414
1	31	0.004	1	237	11	11	1	0.326
1	32	0.005	1	456	11	11	1	0.550
1	33	0.005	1	334	11	11	1	0.605
1	34	0.005	1	374	11	11	1	0.445
1	35	0.005	1	82	11	NaN	0	NaN
1	36	0.005	1	288	11	11	1	0.556
1	37	0.006	1	410	11	11	1	0.356
1	38	0.006	2	458	13	11	0	0.308
1	39	0.006	1	151	11	11	1	0.612
1	40	0.006	1	399	11	11	1	0.636
1	41	0.006	1	2	11	11	1	0.756
1	42	0.007	1	379	11	11	1	0.675
1	43	0.007	1	51	11	11	1	0.692
1	44	0.007	1	240	11	11	1	0.467
1	45	0.007	1	260	11	11	1	0.587
1	46	0.007	2	537	13	11	0	0.627
1	47	0.008	1	209	11	NaN	0	NaN
1	48	0.008	1	335	11	11	1	0.562
1	49	0.008	1	129	11	11	1	0.778
1	50	0.008	1	452	11	11	1	0.579
1	51	0.008	1	17	11	11	1	0.666
1	52	0.008	1	219	11	11	1	0.658
1	53	0.009	1	71	11	11	1	0.457
1	54	0.009	1	23	11	11	1	0.562
1	55	0.009	1	211	11	11	1	0.593
1	56	0.009	1	60	11	11	1	0.537
1	57	0.009	1	261	11	11	1	0.713
1	58	0.010	1	436	11	11	1	0.584
1	59	0.010	1	285	11	11	1	0.536
1	60	0.010	1	146	11	11	1	0.368
1	61	0.010	1	349	11	11	1	0.440
1	62	0.010	1	93	11	11	1	0.416
1	63	0.010	1	395	11	11	1	0.463
1	64	0.011	1	39	11	11	1	0.487
1	65	0.011	1	306	11	11	1	0.855
1	66	0.011	1	458	11	11	1	0.647
1	67	0.011	1	414	11	11	1	0.535
1	68	0.012	2	94	13	13	1	0.687
1	69	0.012	1	65	11	11	1	0.719
1	70	0.012	1	225	11	11	1	0.502
1	71	0.012	1	163	11	11	1	0.438
1	72	0.012	1	543	11	11	1	0.526
1	73	0.012	1	327	11	11	1	0.430
1	74	0.013	1	248	11	11	1	0.502
1	75	0.013	1	369	11	11	1	0.582
1	76	0.013	1	168	11	11	1	0.429
1	77	0.013	1	539	11	11	1	0.461
1	78	0.013	1	418	11	11	1	0.557
1	79	0.014	1	37	11	11	1	0.461
1	80	0.014	1	344	11	11	1	0.629
1	81	0.014	1	244	11	11	1	0.484
1	82	0.001	1	308	11	11	1	0.393
1	83	0.001	1	87	11	11	1	0.370
1	84	0.001	1	483	11	11	1	0.360
1	85	0.001	2	339	13	13	1	0.593
1	86	0.002	1	69	11	11	1	0.504
1	87	0.002	1	383	11	11	1	0.400
1	88	0.002	1	470	11	11	1	0.640
1	89	0.002	1	390	11	11	1	0.439
1	90	0.002	1	467	11	11	1	0.416
1	91	0.003	1	473	11	11	1	0.336
1	92	0.003	1	253	11	11	1	0.431
1	93	0.003	1	486	11	11	1	0.375
1	94	0.003	1	238	11	11	1	0.343
1	95	0.003	1	88	11	11	1	0.367
1	96	0.004	1	305	11	11	1	0.431
1	97	0.004	1	510	11	11	1	0.383
1	98	0.004	1	73	11	11	1	0.446
1	99	0.004	1	272	11	11	1	0.590
1	100	0.004	1	532	11	11	1	0.605
1	101	0.005	1	340	11	11	1	0.646
1	102	0.005	2	524	13	13	1	0.622
1	103	0.005	1	208	11	11	1	0.549
1	104	0.005	1	330	11	11	1	0.517
1	105	0.005	1	531	11	11	1	0.589
1	106	0.006	1	277	11	11	1	0.501
1	107	0.006	1	476	11	11	1	0.492
1	108	0.006	1	540	11	11	1	0.364
1	109	0.006	1	144	11	11	1	0.340
1	110	0.006	1	406	11	11	1	0.348
1	111	0.006	1	516	11	11	1	0.356
1	112	0.007	1	108	11	11	1	0.355
1	113	0.007	1	499	11	11	1	0.371
1	114	0.007	1	300	11	11	1	0.691
1	115	0.007	1	258	11	11	1	0.683
1	116	0.008	1	501	11	11	1	0.531
1	117	0.008	2	357	13	11	0	0.698
1	118	0.008	1	352	11	11	1	0.611
1	119	0.008	1	373	11	11	1	0.602
1	120	0.008	1	346	11	11	1	0.522
1	121	0.008	1	270	11	11	1	0.442
1	122	0.009	1	389	11	11	1	0.425
1	123	0.009	1	121	11	11	1	0.361
1	124	0.009	1	471	11	11	1	0.705
1	125	0.009	1	316	11	11	1	0.705
1	126	0.009	1	262	11	11	1	0.785
1	127	0.010	2	217	13	13	1	0.648
1	128	0.010	1	105	11	11	1	0.656
1	129	0.010	1	547	11	11	1	0.608
1	130	0.010	1	210	11	11	1	0.497
1	131	0.010	1	97	11	11	1	0.368
1	132	0.010	1	319	11	11	1	0.376
1	133	0.011	1	453	11	11	1	0.344
1	134	0.011	1	230	11	11	1	0.320
1	135	0.011	2	33	13	11	0	0.607
1	136	0.011	1	495	11	11	1	0.615
1	137	0.012	1	443	11	11	1	0.583
1	138	0.012	1	392	11	11	1	0.590
1	139	0.012	1	426	11	NaN	0	NaN
1	140	0.012	1	492	11	11	1	0.694
1	141	0.012	2	482	13	13	1	0.638
1	142	0.012	1	169	11	11	1	0.606
1	143	0.013	1	125	11	11	1	0.582
1	144	0.013	1	520	11	11	1	0.405
1	145	0.013	1	177	11	11	1	0.302
1	146	0.013	1	477	11	11	1	0.373
1	147	0.013	2	395	13	13	1	0.757
1	148	0.014	1	218	11	NaN	0	NaN
1	149	0.014	1	518	11	11	1	0.005
1	150	0.014	1	123	11	11	1	0.540
1	151	0.001	2	118	13	13	1	0.649
1	152	0.001	1	89	11	11	1	0.569
1	153	0.001	1	325	11	11	1	0.537
1	154	0.002	1	355	11	11	1	0.585
1	155	0.002	1	236	11	11	1	0.624
1	156	0.002	1	420	11	11	1	0.777
1	157	0.002	2	543	13	13	1	0.824
1	158	0.002	1	256	11	11	1	0.520
1	159	0.002	1	437	11	11	1	0.392
1	160	0.003	1	354	11	11	1	0.367
1	161	0.003	1	109	11	11	1	0.367
1	162	0.003	1	246	11	11	1	0.351
1	163	0.003	1	94	11	11	1	0.422
1	164	0.003	1	507	11	11	1	0.551
1	165	0.004	1	359	11	NaN	0	NaN
1	166	0.004	1	493	11	NaN	0	NaN
1	167	0.004	1	496	11	11	1	0.303
1	168	0.004	2	222	13	13	1	0.541
1	169	0.004	1	548	11	11	1	0.318
1	170	0.005	1	463	11	11	1	0.350
