
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 06-Nov-2015 11:56:16
* Seed: 209912.5817
* Subject Number: 18
* Subject Name: SL
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	2	11	11	NaN	0	NaN
1	2	0.013	2	136	11	11	1	0.028
1	3	0.013	2	190	11	11	1	0.596
1	4	0.013	2	148	11	11	1	0.524
1	5	0.013	2	462	11	11	1	0.515
1	6	0.013	2	514	11	11	1	0.508
1	7	0.014	2	33	11	11	1	0.475
1	8	0.014	2	147	11	11	1	0.403
1	9	0.014	2	35	11	11	1	0.411
1	10	0.014	2	280	11	11	1	0.427
1	11	0.001	2	19	11	11	1	0.639
1	12	0.001	2	430	11	11	1	0.496
1	13	0.001	2	201	11	11	1	0.608
1	14	0.002	2	308	11	11	1	0.583
1	15	0.002	2	296	11	11	1	0.591
1	16	0.002	1	542	13	11	0	0.471
1	17	0.002	2	474	11	NaN	0	NaN
1	18	0.002	2	400	11	11	1	0.855
1	19	0.003	2	342	11	11	1	0.414
1	20	0.003	1	405	13	13	1	0.573
1	21	0.003	1	242	13	13	1	0.494
1	22	0.003	2	303	11	11	1	0.709
1	23	0.003	2	339	11	11	1	0.822
1	24	0.004	1	74	13	13	1	0.773
1	25	0.004	2	307	11	11	1	0.509
1	26	0.004	2	373	11	11	1	0.541
1	27	0.004	2	260	11	11	1	0.813
1	28	0.004	2	510	11	NaN	0	NaN
1	29	0.005	2	338	11	11	1	0.804
1	30	0.005	2	347	11	11	1	0.524
1	31	0.005	2	332	11	11	1	0.420
1	32	0.005	2	87	11	11	1	0.468
1	33	0.005	2	216	11	11	1	0.411
1	34	0.005	2	498	11	11	1	0.539
1	35	0.006	2	536	11	11	1	0.555
1	36	0.006	2	521	11	11	1	0.731
1	37	0.006	2	59	11	11	1	0.515
1	38	0.006	2	112	11	11	1	0.403
1	39	0.006	2	425	11	11	1	0.555
1	40	0.007	2	226	11	11	1	0.594
1	41	0.007	2	114	11	11	1	0.402
1	42	0.007	2	171	11	11	1	0.529
1	43	0.007	2	444	11	11	1	0.690
1	44	0.007	2	30	11	11	1	0.497
1	45	0.008	2	34	11	11	1	0.425
1	46	0.008	2	223	11	11	1	0.433
1	47	0.008	2	439	11	11	1	0.432
1	48	0.008	1	544	13	11	0	0.488
1	49	0.008	2	482	11	11	1	0.680
1	50	0.009	2	167	11	11	1	0.641
1	51	0.009	2	381	11	11	1	0.424
1	52	0.009	2	197	11	11	1	0.487
1	53	0.009	2	40	11	11	1	0.640
1	54	0.009	2	465	11	11	1	0.487
1	55	0.010	2	138	11	11	1	0.679
1	56	0.010	2	134	11	11	1	0.551
1	57	0.010	2	473	11	11	1	0.486
1	58	0.010	2	327	11	11	1	0.431
1	59	0.010	2	323	11	11	1	0.406
1	60	0.011	2	82	11	11	1	0.503
1	61	0.011	2	404	11	11	1	0.774
1	62	0.011	2	423	11	11	1	0.685
1	63	0.011	2	315	11	11	1	0.558
1	64	0.011	2	21	11	11	1	0.501
1	65	0.012	2	121	11	11	1	0.405
1	66	0.012	2	97	11	11	1	0.357
1	67	0.012	2	191	11	11	1	0.637
1	68	0.012	2	96	11	11	1	0.389
1	69	0.012	2	364	11	11	1	0.421
1	70	0.012	2	67	11	11	1	0.501
1	71	0.013	2	341	11	11	1	0.388
1	72	0.013	2	268	11	11	1	0.396
1	73	0.013	2	84	11	11	1	0.532
1	74	0.013	2	22	11	11	1	0.340
1	75	0.013	2	86	11	11	1	0.507
1	76	0.014	2	411	11	11	1	0.732
1	77	0.014	2	186	11	11	1	0.483
1	78	0.014	2	515	11	11	1	0.371
1	79	0.001	2	70	11	11	1	0.520
1	80	0.001	2	545	11	11	1	0.384
1	81	0.001	2	370	11	11	1	0.471
1	82	0.001	2	383	11	11	1	0.455
1	83	0.002	2	29	11	11	1	0.424
1	84	0.002	2	242	11	11	1	0.439
1	85	0.002	2	517	11	11	1	0.639
1	86	0.002	2	417	11	11	1	0.519
1	87	0.002	2	331	11	NaN	0	NaN
1	88	0.003	2	293	11	11	1	0.158
1	89	0.003	1	192	13	13	1	0.710
1	90	0.003	2	287	11	11	1	0.518
1	91	0.003	2	205	11	11	1	0.405
1	92	0.003	2	436	11	11	1	0.366
1	93	0.004	2	375	11	11	1	0.405
1	94	0.004	2	294	11	11	1	0.477
1	95	0.004	2	168	11	11	1	0.453
1	96	0.004	2	3	11	11	1	0.348
1	97	0.004	2	407	11	11	1	0.437
1	98	0.005	2	489	11	11	1	0.524
1	99	0.005	2	228	11	11	1	0.572
1	100	0.005	2	222	11	11	1	0.404
1	101	0.005	2	390	11	11	1	0.427
1	102	0.005	2	264	11	11	1	0.411
1	103	0.006	2	399	11	11	1	0.539
1	104	0.006	2	10	11	11	1	0.387
1	105	0.006	2	450	11	11	1	0.410
1	106	0.006	2	291	11	11	1	0.427
1	107	0.006	2	535	11	11	1	0.322
1	108	0.006	2	412	11	11	1	0.354
1	109	0.007	2	509	11	11	1	0.418
1	110	0.007	2	277	11	11	1	0.618
1	111	0.007	2	14	11	11	1	0.610
1	112	0.007	2	73	11	11	1	0.585
1	113	0.008	1	338	13	13	1	0.489
1	114	0.008	2	194	11	11	1	0.497
1	115	0.008	2	397	11	11	1	0.457
1	116	0.008	2	539	11	11	1	0.480
1	117	0.008	2	245	11	11	1	0.521
1	118	0.008	2	249	11	11	1	0.440
1	119	0.009	2	497	11	11	1	0.408
1	120	0.009	2	548	11	NaN	0	NaN
1	121	0.009	2	6	11	11	1	0.688
1	122	0.009	2	506	11	11	1	0.624
1	123	0.009	1	265	13	13	1	0.640
1	124	0.010	2	409	11	11	1	0.423
1	125	0.010	2	518	11	11	1	0.423
1	126	0.010	2	298	11	11	1	0.559
1	127	0.010	2	131	11	NaN	0	NaN
1	128	0.010	2	151	11	11	1	0.703
1	129	0.011	1	452	13	13	1	0.734
1	130	0.011	2	80	11	11	1	0.438
1	131	0.011	2	292	11	11	1	0.446
1	132	0.011	2	480	11	11	1	0.349
1	133	0.011	2	334	11	11	1	0.469
1	134	0.011	2	64	11	11	1	0.437
1	135	0.012	2	187	11	11	1	0.509
1	136	0.012	2	477	11	11	1	0.477
1	137	0.012	2	522	11	11	1	0.437
1	138	0.012	2	85	11	11	1	0.420
1	139	0.012	2	491	11	11	1	0.628
1	140	0.013	2	385	11	11	1	0.516
1	141	0.013	2	432	11	11	1	0.468
1	142	0.013	2	53	11	11	1	0.404
1	143	0.013	2	453	11	11	1	0.324
1	144	0.013	2	158	11	11	1	0.347
1	145	0.014	2	49	11	11	1	0.347
1	146	0.014	2	139	11	11	1	0.371
1	147	0.014	2	120	11	11	1	0.347
1	148	0.001	2	288	11	11	1	0.384
1	149	0.001	2	512	11	11	1	0.424
1	150	0.001	2	237	11	11	1	0.352
1	151	0.002	2	311	11	11	1	0.367
1	152	0.002	2	262	11	11	1	0.263
1	153	0.002	2	52	11	11	1	0.414
1	154	0.002	2	68	11	11	1	0.383
1	155	0.002	2	391	11	11	1	0.462
1	156	0.002	2	475	11	11	1	0.375
1	157	0.003	2	393	11	11	1	0.342
1	158	0.003	2	300	11	11	1	0.406
1	159	0.003	2	377	11	11	1	0.429
1	160	0.003	2	349	11	11	1	0.613
1	161	0.003	2	132	11	11	1	0.565
1	162	0.004	2	499	11	11	1	0.446
1	163	0.004	2	71	11	11	1	0.301
1	164	0.004	2	256	11	11	1	0.493
1	165	0.004	2	127	11	11	1	0.661
1	166	0.004	2	433	11	11	1	0.380
1	167	0.005	2	374	11	11	1	0.452
1	168	0.005	2	180	11	11	1	0.428
1	169	0.005	2	207	11	11	1	0.564
1	170	0.005	2	369	11	11	1	0.411
1	171	0.005	2	8	11	11	1	0.467
1	172	0.005	2	533	11	11	1	0.379
1	173	0.006	2	523	11	11	1	0.403
1	174	0.006	2	88	11	11	1	0.499
1	175	0.006	2	495	11	11	1	0.498
1	176	0.006	2	276	11	11	1	0.386
1	177	0.006	2	367	11	11	1	0.371
1	178	0.007	2	5	11	11	1	0.490
1	179	0.007	2	524	11	11	1	0.522
1	180	0.007	2	528	11	11	1	0.426
1	181	0.007	2	60	11	11	1	0.474
1	182	0.008	2	93	11	11	1	0.417
1	183	0.008	2	26	11	11	1	0.577
1	184	0.008	2	133	11	11	1	0.481
1	185	0.008	2	212	11	11	1	0.545
1	186	0.008	2	28	11	11	1	0.544
1	187	0.008	2	255	11	11	1	0.472
1	188	0.009	2	281	11	11	1	0.544
1	189	0.009	2	118	11	11	1	0.360
1	190	0.009	2	455	11	11	1	0.319
1	191	0.009	2	233	11	11	1	0.359
1	192	0.009	2	252	11	11	1	0.407
1	193	0.010	2	547	11	11	1	0.479
1	194	0.010	2	451	11	11	1	0.527
1	195	0.010	2	153	11	11	1	0.590
1	196	0.010	2	36	11	11	1	0.535
1	197	0.010	1	206	13	13	1	0.790
1	198	0.011	2	241	11	11	1	0.494
1	199	0.011	2	91	11	11	1	0.358
1	200	0.011	2	366	11	11	1	0.366
1	201	0.011	2	313	11	11	1	0.470
1	202	0.011	2	56	11	11	1	0.453
1	203	0.012	2	505	11	11	1	0.445
1	204	0.012	2	333	11	11	1	0.461
1	205	0.012	2	378	11	11	1	0.445
1	206	0.012	2	376	11	11	1	0.444
1	207	0.012	2	144	11	11	1	0.580
1	208	0.012	2	54	11	11	1	0.461
1	209	0.013	2	478	11	11	1	0.564
1	210	0.013	2	208	11	11	1	0.564
1	211	0.013	2	221	11	11	1	0.500
1	212	0.013	2	189	11	11	1	0.484
1	213	0.013	2	95	11	11	1	0.371
1	214	0.014	2	143	11	11	1	0.539
1	215	0.014	2	490	11	11	1	0.659
1	216	0.014	2	111	11	11	1	0.579
1	217	0.001	1	443	13	11	0	0.352
1	218	0.001	2	415	11	11	1	0.647
1	219	0.001	2	155	11	11	1	0.392
1	220	0.002	2	238	11	11	1	0.415
1	221	0.002	2	185	11	11	1	0.567
1	222	0.002	2	361	11	11	1	0.295
1	223	0.002	2	37	11	11	1	0.311
1	224	0.002	2	466	11	11	1	0.439
1	225	0.002	2	175	11	11	1	0.526
1	226	0.003	2	310	11	11	1	0.366
1	227	0.003	2	325	11	11	1	0.397
1	228	0.003	2	464	11	11	1	0.334
1	229	0.003	2	403	11	11	1	0.438
1	230	0.003	2	549	11	11	1	0.469
1	231	0.004	2	467	11	11	1	0.429
1	232	0.004	2	422	11	11	1	0.437
1	233	0.004	2	193	11	11	1	0.357
1	234	0.004	2	461	11	11	1	0.517
1	235	0.004	2	105	11	11	1	0.892
1	236	0.005	1	292	13	13	1	0.684
1	237	0.005	2	83	11	11	1	0.444
1	238	0.005	2	314	11	11	1	0.419
1	239	0.005	2	492	11	11	1	0.324
1	240	0.005	2	46	11	11	1	0.371
1	241	0.006	2	329	11	11	1	0.363
1	242	0.006	2	368	11	11	1	0.571
1	243	0.006	2	273	11	11	1	0.539
1	244	0.006	2	98	11	11	1	0.346
1	245	0.006	2	32	11	11	1	0.371
1	246	0.007	2	351	11	11	1	0.378
1	247	0.007	2	319	11	11	1	0.474
1	248	0.007	2	519	11	11	1	0.570
1	249	0.007	2	157	11	11	1	0.569
1	250	0.007	2	500	11	11	1	0.521
1	251	0.008	2	544	11	11	1	0.521
1	252	0.008	2	454	11	11	1	0.369
1	253	0.008	2	163	11	11	1	0.584
1	254	0.008	2	15	11	11	1	0.512
1	255	0.008	2	51	11	11	1	0.544
1	256	0.009	2	130	11	11	1	0.640
1	257	0.009	2	200	11	11	1	0.496
1	258	0.009	2	89	11	11	1	0.496
1	259	0.009	2	542	11	11	1	0.391
1	260	0.009	2	230	11	11	1	0.432
1	261	0.009	2	324	11	11	1	0.455
1	262	0.010	2	165	11	11	1	0.447
1	263	0.010	2	16	11	11	1	0.431
1	264	0.010	2	24	11	11	1	0.383
1	265	0.010	2	1	11	11	1	0.350
1	266	0.010	2	217	11	11	1	0.447
1	267	0.011	2	126	11	11	1	0.503
1	268	0.011	2	538	11	11	1	0.478
1	269	0.011	2	108	11	11	1	0.710
1	270	0.011	2	335	11	11	1	0.694
1	271	0.011	1	119	13	13	1	0.654
1	272	0.012	2	541	11	11	1	0.477
1	273	0.012	2	526	11	11	1	0.597
1	274	0.012	2	215	11	11	1	0.493
1	275	0.012	2	520	11	11	1	0.356
1	276	0.012	2	317	11	11	1	0.348
1	277	0.013	2	419	11	11	1	0.348
1	278	0.013	2	322	11	11	1	0.444
1	279	0.013	2	74	11	11	1	0.308
1	280	0.013	2	346	11	11	1	0.588
1	281	0.013	2	352	11	11	1	0.388
1	282	0.013	2	140	11	11	1	0.339
1	283	0.014	2	445	11	11	1	0.443
