
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 06-Nov-2015 12:31:55
* Seed: 211402.3167
* Subject Number: 19
* Subject Name: ST
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	1	135	11	11	1	0.764
1	2	0.013	1	104	11	13	0	0.548
1	3	0.013	1	138	11	NaN	0	NaN
1	4	0.013	2	412	13	13	1	0.547
1	5	0.013	1	425	11	11	1	0.611
1	6	0.013	1	92	11	11	1	0.635
1	7	0.014	1	355	11	11	1	0.595
1	8	0.014	1	314	11	11	1	0.474
1	9	0.014	1	128	11	11	1	0.442
1	10	0.001	1	418	11	11	1	0.416
1	11	0.001	1	223	11	NaN	0	NaN
1	12	0.001	1	154	11	11	1	0.103
1	13	0.002	1	97	11	11	1	0.399
1	14	0.002	1	123	11	11	1	0.350
1	15	0.002	1	114	11	11	1	0.407
1	16	0.002	1	216	11	11	1	0.471
1	17	0.002	1	63	11	11	1	0.423
1	18	0.003	1	278	11	11	1	0.502
1	19	0.003	1	181	11	11	1	0.622
1	20	0.003	2	380	13	13	1	0.750
1	21	0.003	1	509	11	11	1	0.574
1	22	0.003	1	430	11	11	1	0.629
1	23	0.003	1	51	11	11	1	0.589
1	24	0.004	1	203	11	11	1	0.781
1	25	0.004	1	522	11	11	1	0.580
1	26	0.004	2	473	13	13	1	0.508
1	27	0.004	1	492	11	11	1	0.628
1	28	0.004	1	273	11	11	1	0.532
1	29	0.005	1	496	11	11	1	0.492
1	30	0.005	1	409	11	11	1	0.475
1	31	0.005	1	531	11	11	1	0.772
1	32	0.005	1	363	11	11	1	0.699
1	33	0.005	2	75	13	11	0	0.603
1	34	0.005	1	34	11	11	1	0.611
1	35	0.006	1	136	11	11	1	0.675
1	36	0.006	1	532	11	11	1	0.627
1	37	0.006	1	71	11	11	1	0.618
1	38	0.006	1	205	11	11	1	0.626
1	39	0.007	1	179	11	11	1	0.794
1	40	0.007	1	427	11	11	1	0.674
1	41	0.007	1	467	11	11	1	0.601
1	42	0.007	1	290	11	11	1	0.737
1	43	0.007	1	542	11	11	1	0.713
1	44	0.008	1	82	11	11	1	0.760
1	45	0.008	1	344	11	11	1	0.889
1	46	0.008	1	25	11	11	1	0.705
1	47	0.008	2	171	13	13	1	0.640
1	48	0.008	1	457	11	11	1	0.616
1	49	0.008	1	130	11	11	1	0.736
1	50	0.009	1	309	11	11	1	0.560
1	51	0.009	1	472	11	11	1	0.528
1	52	0.009	1	451	11	11	1	0.767
1	53	0.009	1	28	11	11	1	0.647
1	54	0.009	1	250	11	11	1	0.543
1	55	0.010	1	76	11	11	1	0.630
1	56	0.010	1	89	11	11	1	0.479
1	57	0.010	2	51	13	13	1	0.638
1	58	0.010	1	56	11	11	1	0.742
1	59	0.010	1	129	11	11	1	0.614
1	60	0.011	1	157	11	11	1	0.566
1	61	0.011	1	37	11	11	1	0.837
1	62	0.011	1	7	11	11	1	0.598
1	63	0.011	1	195	11	11	1	0.597
1	64	0.011	1	2	11	11	1	0.485
1	65	0.011	1	468	11	11	1	0.549
1	66	0.012	2	232	13	13	1	0.732
1	67	0.012	1	476	11	11	1	0.556
1	68	0.012	1	333	11	11	1	0.533
1	69	0.012	1	256	11	11	1	0.396
1	70	0.012	2	238	13	13	1	0.508
1	71	0.013	1	506	11	11	1	0.780
1	72	0.013	1	336	11	11	1	0.507
1	73	0.013	1	32	11	11	1	0.492
1	74	0.013	1	354	11	11	1	0.715
1	75	0.013	1	65	11	11	1	0.467
1	76	0.014	1	242	11	11	1	0.411
1	77	0.014	1	489	11	11	1	0.451
1	78	0.014	2	76	13	13	1	0.658
1	79	0.001	1	550	11	NaN	0	NaN
1	80	0.001	1	414	11	11	1	0.015
1	81	0.001	1	499	11	11	1	0.527
1	82	0.002	2	318	13	13	1	0.527
1	83	0.002	1	38	11	11	1	0.607
1	84	0.002	1	246	11	11	1	0.478
1	85	0.002	1	86	11	11	1	0.446
1	86	0.002	1	334	11	11	1	0.447
1	87	0.003	1	83	11	11	1	0.566
1	88	0.003	1	200	11	11	1	0.485
1	89	0.003	1	346	11	11	1	0.734
1	90	0.003	1	235	11	11	1	0.773
1	91	0.003	1	33	11	11	1	0.685
1	92	0.003	2	52	13	13	1	0.549
1	93	0.004	1	415	11	11	1	0.693
1	94	0.004	1	300	11	11	1	0.644
1	95	0.004	1	350	11	11	1	0.581
1	96	0.004	1	94	11	11	1	0.500
1	97	0.004	1	248	11	11	1	0.580
1	98	0.005	1	170	11	11	1	0.716
1	99	0.005	1	201	11	11	1	0.476
1	100	0.005	1	162	11	11	1	0.459
1	101	0.005	1	88	11	11	1	0.403
1	102	0.005	1	465	11	11	1	0.651
1	103	0.006	1	310	11	11	1	0.387
1	104	0.006	1	371	11	11	1	0.371
1	105	0.006	1	483	11	11	1	0.419
1	106	0.006	2	544	13	13	1	0.386
1	107	0.006	1	384	11	11	1	0.386
