
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 11-Nov-2015 16:57:44
* Seed: 213762.4718
* Subject Number: 20
* Subject Name: JL
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	2	548	11	NaN	0	NaN
1	2	0.011	2	502	11	11	1	0.005
1	3	0.012	1	408	13	13	1	0.709
1	4	0.012	2	301	11	11	1	0.885
1	5	0.012	2	225	11	11	1	0.700
1	6	0.012	2	287	11	11	1	0.669
1	7	0.012	2	128	11	11	1	0.692
1	8	0.013	2	377	11	11	1	0.603
1	9	0.013	1	175	13	11	0	0.548
1	10	0.013	2	547	11	11	1	0.811
1	11	0.013	2	97	11	11	1	0.836
1	12	0.013	2	63	11	11	1	0.667
1	13	0.013	2	468	11	11	1	0.595
1	14	0.014	2	402	11	11	1	0.571
1	15	0.014	2	390	11	11	1	0.547
1	16	0.014	2	540	11	11	1	0.522
1	17	0.001	1	332	13	13	1	0.520
1	18	0.001	2	24	11	11	1	0.751
1	19	0.001	2	10	11	11	1	0.671
1	20	0.002	2	508	11	NaN	0	NaN
1	21	0.002	2	299	11	11	1	0.622
1	22	0.002	2	285	11	11	1	0.566
1	23	0.002	2	403	11	11	1	0.742
1	24	0.002	2	500	11	11	1	0.550
1	25	0.003	2	272	11	11	1	0.478
1	26	0.003	2	348	11	11	1	0.486
1	27	0.003	1	476	13	13	1	0.622
1	28	0.003	2	111	11	11	1	0.581
1	29	0.003	2	526	11	11	1	0.622
1	30	0.004	2	464	11	11	1	0.565
1	31	0.004	2	398	11	11	1	0.516
1	32	0.004	2	49	11	11	1	0.436
1	33	0.004	2	78	11	11	1	0.613
1	34	0.004	2	386	11	11	1	0.477
1	35	0.004	2	416	11	11	1	0.516
1	36	0.005	2	239	11	11	1	0.483
1	37	0.005	1	187	13	11	0	0.523
1	38	0.005	2	254	11	11	1	0.516
1	39	0.005	2	224	11	11	1	0.460
1	40	0.005	2	483	11	11	1	0.531
1	41	0.006	2	237	11	11	1	0.482
1	42	0.006	2	110	11	11	1	0.531
1	43	0.006	2	280	11	11	1	0.579
1	44	0.006	2	164	11	11	1	0.498
1	45	0.006	2	393	11	11	1	0.514
1	46	0.007	2	545	11	11	1	0.538
1	47	0.007	2	67	11	11	1	0.506
1	48	0.007	2	459	11	11	1	0.458
1	49	0.007	2	171	11	11	1	0.498
1	50	0.007	2	52	11	11	1	0.529
1	51	0.008	2	318	11	11	1	0.529
1	52	0.008	2	156	11	11	1	0.713
1	53	0.008	2	441	11	11	1	0.760
1	54	0.008	1	461	13	13	1	0.592
1	55	0.008	2	371	11	11	1	0.584
1	56	0.009	2	454	11	11	1	0.600
1	57	0.009	2	279	11	11	1	0.664
1	58	0.009	2	537	11	11	1	0.648
1	59	0.009	2	337	11	11	1	0.559
1	60	0.009	2	440	11	11	1	0.527
1	61	0.010	2	356	11	11	1	0.551
1	62	0.010	2	449	11	11	1	0.598
1	63	0.010	2	51	11	11	1	0.718
1	64	0.010	2	3	11	11	1	0.670
1	65	0.010	2	213	11	13	0	0.655
1	66	0.011	2	475	11	11	1	0.710
1	67	0.011	2	270	11	11	1	0.670
1	68	0.011	2	391	11	11	1	0.838
1	69	0.011	1	468	13	13	1	0.670
1	70	0.011	2	424	11	11	1	0.621
1	71	0.011	2	306	11	11	1	0.629
1	72	0.012	2	8	11	11	1	0.565
1	73	0.012	2	405	11	11	1	0.636
1	74	0.012	2	124	11	11	1	0.876
1	75	0.012	2	227	11	11	1	0.740
1	76	0.012	1	418	13	13	1	0.668
1	77	0.013	2	176	11	11	1	0.652
1	78	0.013	2	517	11	11	1	0.772
1	79	0.013	2	72	11	11	1	0.812
1	80	0.013	2	140	11	11	1	0.659
1	81	0.013	2	238	11	11	1	0.635
1	82	0.013	2	76	11	11	1	0.795
1	83	0.014	2	297	11	11	1	0.675
1	84	0.014	2	175	11	11	1	0.699
1	85	0.014	2	476	11	11	1	0.538
1	86	0.001	2	17	11	11	1	0.471
1	87	0.001	2	538	11	11	1	0.512
1	88	0.001	1	155	13	13	1	0.623
1	89	0.002	2	137	11	11	1	0.679
1	90	0.002	2	536	11	11	1	0.607
1	91	0.002	2	354	11	11	1	0.622
1	92	0.002	2	295	11	11	1	0.726
1	93	0.002	2	22	11	11	1	0.582
1	94	0.003	2	216	11	11	1	0.598
1	95	0.003	2	278	11	11	1	0.597
1	96	0.003	2	160	11	11	1	0.541
1	97	0.003	2	253	11	11	1	0.541
1	98	0.003	2	288	11	11	1	0.549
1	99	0.003	2	369	11	11	1	0.541
1	100	0.004	2	533	11	11	1	0.517
1	101	0.004	2	418	11	11	1	0.453
1	102	0.004	1	222	13	13	1	0.468
1	103	0.004	2	264	11	11	1	0.452
1	104	0.004	2	37	11	11	1	0.468
1	105	0.005	2	106	11	11	1	0.492
1	106	0.005	1	525	13	13	1	0.563
1	107	0.005	2	125	11	11	1	0.507
1	108	0.005	2	36	11	11	1	0.483
1	109	0.006	2	189	11	11	1	0.523
1	110	0.006	2	528	11	11	1	0.570
1	111	0.006	2	490	11	11	1	0.514
1	112	0.006	2	69	11	11	1	0.506
1	113	0.006	2	358	11	11	1	0.522
