
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 13-Nov-2015 11:57:16
* Seed: 216500.5192
* Subject Number: 21
* Subject Name: AS
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.013	1	347	11	13	0	0.582
1	2	0.013	1	30	11	11	1	0.678
1	3	0.013	1	441	11	11	1	0.598
1	4	0.013	1	394	11	11	1	0.502
1	5	0.013	1	128	11	11	1	0.470
1	6	0.013	1	216	11	11	1	0.389
1	7	0.014	1	199	11	11	1	0.381
1	8	0.014	1	444	11	11	1	0.398
1	9	0.014	1	3	11	11	1	0.413
1	10	0.001	1	333	11	11	1	0.354
1	11	0.001	1	279	11	11	1	0.370
1	12	0.001	1	89	11	11	1	0.410
1	13	0.002	1	208	11	11	1	0.393
1	14	0.002	1	460	11	11	1	0.362
1	15	0.002	1	220	11	11	1	0.473
1	16	0.002	1	498	11	11	1	0.433
1	17	0.002	2	433	13	13	1	0.577
1	18	0.002	1	381	11	11	1	0.497
1	19	0.003	1	499	11	11	1	0.537
1	20	0.003	1	15	11	11	1	0.488
1	21	0.003	1	240	11	11	1	0.552
1	22	0.003	1	458	11	11	1	0.512
1	23	0.003	1	542	11	11	1	0.512
1	24	0.004	1	338	11	11	1	0.376
1	25	0.004	2	378	13	13	1	0.511
1	26	0.004	1	159	11	11	1	0.510
1	27	0.004	1	487	11	11	1	0.494
1	28	0.004	1	433	11	11	1	0.446
1	29	0.004	1	380	11	11	1	0.350
1	30	0.005	1	351	11	11	1	0.382
1	31	0.005	2	515	13	11	0	0.358
1	32	0.005	1	131	11	11	1	0.374
1	33	0.005	1	442	11	11	1	0.358
1	34	0.006	1	486	11	11	1	0.325
1	35	0.006	1	37	11	11	1	0.301
1	36	0.006	1	385	11	11	1	0.277
1	37	0.006	2	270	13	11	0	0.213
1	38	0.006	1	233	11	11	1	0.309
1	39	0.007	1	528	11	11	1	0.340
1	40	0.007	1	54	11	11	1	0.324
1	41	0.007	1	511	11	11	1	0.364
1	42	0.007	1	282	11	11	1	0.364
1	43	0.007	1	255	11	11	1	0.483
1	44	0.008	2	476	13	11	0	0.355
1	45	0.008	1	223	11	11	1	0.540
1	46	0.008	1	237	11	11	1	0.595
1	47	0.008	1	91	11	11	1	0.555
1	48	0.008	1	292	11	11	1	0.555
1	49	0.008	1	323	11	11	1	0.554
1	50	0.009	1	296	11	11	1	0.530
1	51	0.009	2	516	13	13	1	0.482
1	52	0.009	1	476	11	11	1	0.698
1	53	0.009	1	392	11	11	1	0.593
1	54	0.009	1	425	11	11	1	0.545
1	55	0.010	2	239	13	13	1	0.569
1	56	0.010	1	257	11	11	1	0.513
1	57	0.010	1	69	11	11	1	0.513
1	58	0.010	1	414	11	11	1	0.472
1	59	0.010	1	8	11	11	1	0.457
1	60	0.010	1	274	11	11	1	0.472
1	61	0.011	1	34	11	11	1	0.424
1	62	0.011	1	470	11	11	1	0.464
1	63	0.011	1	141	11	11	1	0.520
1	64	0.011	1	411	11	11	1	0.520
1	65	0.011	1	512	11	11	1	0.536
1	66	0.012	1	420	11	11	1	0.583
1	67	0.012	1	170	11	11	1	0.655
1	68	0.012	1	305	11	11	1	0.583
1	69	0.012	2	508	13	13	1	0.615
1	70	0.013	1	445	11	11	1	0.662
1	71	0.013	1	47	11	11	1	0.678
1	72	0.013	1	114	11	11	1	0.654
1	73	0.013	2	221	13	11	0	0.582
1	74	0.013	1	374	11	NaN	0	NaN
1	75	0.013	1	50	11	11	1	0.646
1	76	0.014	1	224	11	11	1	0.526
1	77	0.014	1	82	11	11	1	0.525
1	78	0.014	1	210	11	11	1	0.573
1	79	0.001	1	348	11	11	1	0.586
1	80	0.001	1	66	11	11	1	0.594
1	81	0.001	1	64	11	11	1	0.681
1	82	0.001	1	77	11	11	1	0.769
1	83	0.002	2	61	13	13	1	0.601
1	84	0.002	1	262	11	11	1	0.481
1	85	0.002	1	416	11	11	1	0.529
1	86	0.002	1	519	11	11	1	0.512
1	87	0.002	1	214	11	11	1	0.521
1	88	0.003	1	250	11	11	1	0.528
1	89	0.003	1	25	11	11	1	0.472
1	90	0.003	1	168	11	11	1	0.632
1	91	0.003	1	289	11	11	1	0.496
1	92	0.003	1	321	11	11	1	0.480
1	93	0.004	1	187	11	11	1	0.391
1	94	0.004	2	391	13	11	0	0.375
1	95	0.004	1	340	11	11	1	0.815
1	96	0.004	1	272	11	11	1	0.583
1	97	0.004	1	188	11	11	1	0.551
1	98	0.005	1	549	11	11	1	0.542
1	99	0.005	1	357	11	11	1	0.582
1	100	0.005	1	490	11	11	1	0.558
1	101	0.005	1	302	11	11	1	0.550
1	102	0.005	1	203	11	11	1	0.485
1	103	0.005	1	332	11	11	1	0.469
1	104	0.006	1	358	11	11	1	0.485
1	105	0.006	1	265	11	11	1	0.581
1	106	0.006	1	236	11	11	1	0.557
1	107	0.006	1	4	11	11	1	0.653
1	108	0.007	1	127	11	11	1	0.740
1	109	0.007	1	447	11	11	1	0.812
1	110	0.007	2	384	13	13	1	0.588
1	111	0.007	1	31	11	11	1	0.652
1	112	0.007	1	481	11	11	1	0.644
1	113	0.008	1	450	11	11	1	0.676
1	114	0.008	1	212	11	11	1	0.867
1	115	0.008	2	504	13	13	1	0.739
1	116	0.008	1	58	11	11	1	0.579
1	117	0.008	1	164	11	11	1	0.643
1	118	0.008	1	56	11	11	1	0.650
1	119	0.009	1	191	11	11	1	0.530
1	120	0.009	1	71	11	11	1	0.602
1	121	0.009	1	468	11	11	1	0.618
1	122	0.009	1	320	11	11	1	0.465
1	123	0.009	1	453	11	NaN	0	NaN
1	124	0.010	1	276	11	11	1	0.105
1	125	0.010	2	132	13	11	0	0.385
1	126	0.010	1	435	11	11	1	0.865
1	127	0.010	1	83	11	11	1	0.656
1	128	0.010	1	145	11	11	1	0.424
1	129	0.011	1	432	11	11	1	0.336
1	130	0.011	2	430	13	13	1	0.553
1	131	0.011	1	465	11	11	1	0.720
1	132	0.011	1	190	11	11	1	0.568
1	133	0.011	1	278	11	11	1	0.576
1	134	0.012	1	387	11	11	1	0.567
1	135	0.012	1	531	11	11	1	0.527
1	136	0.012	1	153	11	11	1	0.567
1	137	0.012	1	451	11	11	1	0.454
1	138	0.012	1	275	11	11	1	0.471
1	139	0.013	1	44	11	11	1	0.462
1	140	0.013	2	314	13	13	1	0.686
1	141	0.013	1	396	11	11	1	0.566
1	142	0.013	1	94	11	11	1	0.534
1	143	0.013	1	200	11	11	1	0.469
1	144	0.013	1	52	11	11	1	0.581
1	145	0.014	1	184	11	11	1	0.557
1	146	0.014	1	354	11	11	1	0.477
1	147	0.014	1	110	11	11	1	0.461
1	148	0.001	1	479	11	11	1	0.530
1	149	0.001	1	81	11	11	1	0.498
1	150	0.001	1	337	11	11	1	0.466
1	151	0.001	1	439	11	11	1	0.449
1	152	0.002	2	327	13	11	0	0.553
1	153	0.002	1	540	11	NaN	0	NaN
1	154	0.002	1	516	11	11	1	0.825
1	155	0.002	1	59	11	11	1	0.889
1	156	0.003	2	424	13	13	1	0.840
1	157	0.003	1	421	11	11	1	0.616
1	158	0.003	1	17	11	11	1	0.568
1	159	0.003	1	253	11	11	1	0.584
1	160	0.003	1	534	11	11	1	0.536
1	161	0.003	1	258	11	11	1	0.559
1	162	0.004	1	346	11	11	1	0.671
1	163	0.004	1	383	11	11	1	0.631
1	164	0.004	1	271	11	13	0	0.815
1	165	0.004	1	449	11	NaN	0	NaN
1	166	0.004	1	359	11	11	1	0.230
1	167	0.005	1	122	11	11	1	0.558
1	168	0.005	2	526	13	13	1	0.678
1	169	0.005	1	88	11	11	1	0.558
1	170	0.005	1	431	11	11	1	0.510
1	171	0.005	1	162	11	11	1	0.598
1	172	0.006	1	267	11	11	1	0.525
1	173	0.006	1	368	11	11	1	0.525
1	174	0.006	1	467	11	11	1	0.485
1	175	0.006	1	471	11	11	1	0.525
1	176	0.006	1	364	11	11	1	0.532
1	177	0.007	1	456	11	11	1	0.477
1	178	0.007	1	130	11	11	1	0.453
1	179	0.007	1	24	11	11	1	0.484
1	180	0.007	2	227	13	13	1	0.572
1	181	0.007	1	532	11	11	1	0.580
1	182	0.008	1	515	11	11	1	0.524
1	183	0.008	1	283	11	11	1	0.539
1	184	0.008	1	57	11	11	1	0.499
1	185	0.008	1	448	11	11	1	0.690
1	186	0.008	1	256	11	11	1	0.618
1	187	0.009	1	192	11	11	1	0.603
1	188	0.009	1	507	11	11	1	0.594
1	189	0.009	1	399	11	11	1	0.561
1	190	0.009	1	316	11	11	1	0.521
1	191	0.009	1	249	11	11	1	0.457
1	192	0.009	1	418	11	11	1	0.577
1	193	0.010	1	218	11	11	1	0.561
1	194	0.010	1	466	11	11	1	0.577
1	195	0.010	1	48	11	11	1	0.585
1	196	0.010	1	413	11	11	1	0.560
1	197	0.010	1	402	11	11	1	0.544
1	198	0.010	1	260	11	11	1	0.552
1	199	0.011	1	412	11	11	1	0.576
1	200	0.011	1	151	11	11	1	0.600
1	201	0.011	1	363	11	11	1	0.600
1	202	0.011	1	217	11	11	1	0.680
1	203	0.012	1	480	11	11	1	0.648
1	204	0.012	1	523	11	11	1	0.799
1	205	0.012	1	32	11	11	1	0.791
1	206	0.012	2	502	13	NaN	0	NaN
1	207	0.012	1	390	11	11	1	0.726
1	208	0.012	1	45	11	11	1	0.607
1	209	0.013	1	307	11	11	1	0.718
1	210	0.013	1	109	11	11	1	0.870
1	211	0.013	1	318	11	11	1	0.670
1	212	0.013	2	68	13	13	1	0.638
1	213	0.013	1	353	11	11	1	0.622
1	214	0.014	1	324	11	11	1	0.549
1	215	0.014	1	496	11	11	1	0.462
1	216	0.014	1	134	11	11	1	0.557
1	217	0.001	1	55	11	11	1	0.618
1	218	0.001	1	294	11	11	1	0.618
1	219	0.001	1	382	11	11	1	0.633
1	220	0.002	1	328	11	11	1	0.658
1	221	0.002	1	398	11	11	1	0.617
1	222	0.002	1	22	11	11	1	0.537
1	223	0.002	1	369	11	11	1	0.417
1	224	0.002	1	173	11	11	1	0.408
1	225	0.003	2	398	13	11	0	0.344
1	226	0.003	1	311	11	11	1	0.665
1	227	0.003	1	372	11	11	1	0.808
1	228	0.003	1	288	11	11	1	0.888
1	229	0.003	2	230	13	13	1	0.823
1	230	0.003	1	46	11	11	1	0.720
1	231	0.004	1	522	11	11	1	0.656
1	232	0.004	1	535	11	11	1	0.703
1	233	0.004	1	400	11	11	1	0.711
1	234	0.004	1	189	11	11	1	0.783
