
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 13-Nov-2015 12:58:19
* Seed: 211172.9176
* Subject Number: 22
* Subject Name: WL
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	137	11	11	1	0.791
1	2	0.013	2	196	11	11	1	0.790
1	3	0.013	2	281	11	11	1	0.806
1	4	0.013	2	545	11	11	1	0.782
1	5	0.013	2	298	11	NaN	0	NaN
1	6	0.013	2	509	11	NaN	0	NaN
1	7	0.013	2	205	11	NaN	0	NaN
1	8	0.014	2	383	11	NaN	0	NaN
1	9	0.014	1	320	13	NaN	0	NaN
1	10	0.014	2	217	11	NaN	0	NaN
1	11	0.001	2	275	11	11	1	0.874
1	12	0.001	2	36	11	11	1	0.882
1	13	0.001	2	430	11	11	1	0.857
1	14	0.002	1	479	13	13	1	0.785
1	15	0.002	2	351	11	11	1	0.737
1	16	0.002	2	122	11	11	1	0.521
1	17	0.002	2	156	11	11	1	0.585
1	18	0.002	2	326	11	11	1	0.457
1	19	0.003	2	486	11	11	1	0.513
1	20	0.003	1	132	13	13	1	0.664
1	21	0.003	2	127	11	11	1	0.672
1	22	0.003	2	76	11	11	1	0.600
1	23	0.003	2	495	11	11	1	0.631
1	24	0.004	2	216	11	11	1	0.607
1	25	0.004	2	505	11	11	1	0.712
1	26	0.004	2	437	11	11	1	0.663
1	27	0.004	2	496	11	11	1	0.783
1	28	0.004	2	314	11	11	1	0.591
1	29	0.004	2	18	11	NaN	0	NaN
1	30	0.005	2	416	11	11	1	0.670
1	31	0.005	2	253	11	11	1	0.638
1	32	0.005	2	143	11	11	1	0.510
1	33	0.005	2	43	11	11	1	0.478
1	34	0.005	2	42	11	11	1	0.470
1	35	0.006	2	290	11	11	1	0.381
1	36	0.006	2	81	11	11	1	0.333
1	37	0.006	2	269	11	11	1	0.525
1	38	0.006	2	69	11	11	1	0.388
1	39	0.006	2	349	11	11	1	0.365
1	40	0.007	2	301	11	11	1	0.293
1	41	0.007	1	472	13	13	1	0.452
1	42	0.007	2	213	11	11	1	0.484
1	43	0.007	2	452	11	11	1	0.563
1	44	0.007	2	189	11	11	1	0.476
1	45	0.008	2	199	11	11	1	0.387
1	46	0.008	2	267	11	11	1	0.412
1	47	0.008	2	41	11	11	1	0.507
1	48	0.008	2	511	11	11	1	0.483
