
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 13-Nov-2015 13:31:06
* Seed: 213292.0516
* Subject Number: 23
* Subject Name: SR
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	532	11	NaN	0	NaN
1	2	0.012	1	31	11	11	1	0.738
1	3	0.012	1	417	11	11	1	0.602
1	4	0.012	1	375	11	11	1	0.609
1	5	0.013	2	239	13	13	1	0.601
1	6	0.013	1	306	11	11	1	0.817
1	7	0.013	1	168	11	11	1	0.672
1	8	0.013	1	32	11	11	1	0.648
1	9	0.013	1	20	11	11	1	0.768
1	10	0.014	1	522	11	11	1	0.504
1	11	0.014	1	218	11	11	1	0.616
1	12	0.014	1	335	11	11	1	0.503
1	13	0.014	1	86	11	11	1	0.687
1	14	0.001	1	151	11	11	1	0.492
1	15	0.001	1	55	11	11	1	0.677
1	16	0.001	1	197	11	11	1	0.637
1	17	0.002	1	347	11	11	1	0.676
1	18	0.002	1	325	11	11	1	0.548
1	19	0.002	1	106	11	11	1	0.572
1	20	0.002	1	362	11	11	1	0.475
1	21	0.002	1	342	11	11	1	0.531
1	22	0.003	1	395	11	11	1	0.507
1	23	0.003	2	228	13	13	1	0.787
1	24	0.003	1	81	11	NaN	0	NaN
1	25	0.003	1	492	11	11	1	0.795
1	26	0.003	1	293	11	11	1	0.675
1	27	0.004	1	211	11	11	1	0.570
1	28	0.004	1	392	11	11	1	0.538
1	29	0.004	1	102	11	11	1	0.586
1	30	0.004	1	383	11	11	1	0.466
1	31	0.004	1	5	11	11	1	0.641
1	32	0.005	1	254	11	11	1	0.745
1	33	0.005	1	281	11	11	1	0.561
1	34	0.005	1	210	11	11	1	0.465
1	35	0.005	1	338	11	11	1	0.536
1	36	0.005	1	158	11	11	1	0.561
1	37	0.006	1	40	11	11	1	0.600
1	38	0.006	1	95	11	11	1	0.512
1	39	0.006	1	303	11	11	1	0.488
1	40	0.006	1	229	11	11	1	0.496
1	41	0.006	1	209	11	11	1	0.535
1	42	0.007	1	180	11	11	1	0.456
1	43	0.007	1	451	11	11	1	0.431
1	44	0.007	2	478	13	13	1	0.751
1	45	0.007	2	206	13	13	1	0.615
1	46	0.007	1	423	11	11	1	0.495
1	47	0.007	1	284	11	11	1	0.630
1	48	0.008	1	297	11	11	1	0.558
1	49	0.008	2	170	13	11	0	0.534
1	50	0.008	1	380	11	11	1	0.797
1	51	0.008	1	402	11	11	1	0.877
1	52	0.008	1	123	11	11	1	0.629
1	53	0.009	2	165	13	13	1	0.637
1	54	0.009	1	144	11	11	1	0.653
1	55	0.009	1	6	11	11	1	0.676
1	56	0.009	1	337	11	11	1	0.621
1	57	0.009	1	112	11	11	1	0.532
1	58	0.010	1	388	11	11	1	0.564
1	59	0.010	1	166	11	11	1	0.468
1	60	0.010	1	523	11	11	1	0.683
1	61	0.010	1	169	11	11	1	0.651
1	62	0.010	1	387	11	11	1	0.555
1	63	0.011	1	262	11	11	1	0.548
1	64	0.011	1	148	11	11	1	0.595
1	65	0.011	1	215	11	11	1	0.707
1	66	0.011	1	340	11	11	1	0.523
1	67	0.011	1	189	11	11	1	0.451
1	68	0.011	1	448	11	11	1	0.443
1	69	0.012	1	396	11	11	1	0.522
1	70	0.012	1	471	11	11	1	0.482
1	71	0.012	1	135	11	11	1	0.410
1	72	0.012	1	511	11	11	1	0.474
1	73	0.012	1	115	11	11	1	0.497
1	74	0.013	1	368	11	11	1	0.401
1	75	0.013	1	233	11	11	1	0.489
1	76	0.013	1	67	11	11	1	0.392
1	77	0.013	1	111	11	11	1	0.441
1	78	0.013	1	66	11	11	1	0.449
1	79	0.014	1	199	11	11	1	0.480
1	80	0.014	1	129	11	11	1	0.448
1	81	0.014	1	384	11	11	1	0.456
1	82	0.014	1	474	11	11	1	0.407
1	83	0.001	1	390	11	11	1	0.421
1	84	0.001	1	455	11	11	1	0.565
1	85	0.001	1	450	11	11	1	0.565
1	86	0.002	1	203	11	11	1	0.461
1	87	0.002	1	238	11	11	1	0.516
1	88	0.002	1	498	11	11	1	0.428
1	89	0.002	1	288	11	11	1	0.531
1	90	0.002	1	482	11	11	1	0.460
1	91	0.003	1	331	11	11	1	0.395
1	92	0.003	1	142	11	11	1	0.491
1	93	0.003	1	376	11	11	1	0.499
1	94	0.003	1	283	11	11	1	0.459
1	95	0.003	1	147	11	11	1	0.411
1	96	0.004	1	372	11	11	1	0.474
1	97	0.004	1	51	11	11	1	0.450
1	98	0.004	1	216	11	11	1	0.522
1	99	0.004	1	73	11	11	1	0.490
1	100	0.004	1	314	11	11	1	0.442
1	101	0.005	1	136	11	11	1	0.385
1	102	0.005	1	494	11	11	1	0.441
1	103	0.005	1	493	11	11	1	0.441
1	104	0.005	1	72	11	11	1	0.488
1	105	0.005	1	22	11	11	1	0.465
1	106	0.006	1	322	11	11	1	0.496
1	107	0.006	1	184	11	11	1	0.480
1	108	0.006	1	208	11	11	1	0.440
1	109	0.006	1	47	11	11	1	0.423
1	110	0.006	1	512	11	11	1	0.431
1	111	0.006	1	393	11	11	1	0.432
1	112	0.007	1	15	11	11	1	0.536
1	113	0.007	1	370	11	11	1	0.487
1	114	0.007	1	509	11	11	1	0.423
1	115	0.007	1	27	11	11	1	0.495
1	116	0.007	1	264	11	11	1	0.486
1	117	0.008	1	506	11	11	1	0.543
1	118	0.008	1	253	11	11	1	0.590
1	119	0.008	2	455	13	NaN	0	NaN
1	120	0.008	1	458	11	11	1	0.765
1	121	0.008	1	540	11	NaN	0	NaN
1	122	0.009	1	547	11	11	1	0.629
1	123	0.009	2	76	13	13	1	0.661
1	124	0.009	1	462	11	11	1	0.757
1	125	0.009	1	260	11	11	1	0.741
1	126	0.009	1	317	11	11	1	0.820
1	127	0.010	2	294	13	13	1	0.540
1	128	0.010	1	360	11	11	1	0.724
1	129	0.010	1	420	11	11	1	0.540
1	130	0.010	1	449	11	NaN	0	NaN
1	131	0.010	2	93	13	13	1	0.692
1	132	0.011	1	12	11	11	1	0.547
1	133	0.011	1	154	11	11	1	0.611
1	134	0.011	1	500	11	11	1	0.627
1	135	0.011	1	440	11	11	1	0.627
1	136	0.011	2	465	13	13	1	0.707
1	137	0.012	1	104	11	11	1	0.547
1	138	0.012	1	58	11	11	1	0.875
1	139	0.012	1	457	11	11	1	0.682
1	140	0.012	2	533	13	13	1	0.593
1	141	0.012	1	207	11	11	1	0.794
1	142	0.012	1	164	11	NaN	0	NaN
1	143	0.013	1	489	11	11	1	0.049
1	144	0.013	1	232	11	11	1	0.561
1	145	0.013	2	211	13	13	1	0.641
1	146	0.013	1	134	11	11	1	0.616
1	147	0.013	1	190	11	11	1	0.560
1	148	0.014	1	429	11	11	1	0.504
1	149	0.014	1	286	11	11	1	0.664
1	150	0.014	1	422	11	11	1	0.584
1	151	0.001	1	255	11	11	1	0.685
1	152	0.001	1	357	11	11	1	0.557
1	153	0.001	1	307	11	11	1	0.564
1	154	0.001	1	367	11	11	1	0.581
1	155	0.002	1	356	11	11	1	0.628
1	156	0.002	1	502	11	11	1	0.564
1	157	0.002	1	13	11	11	1	0.564
1	158	0.002	1	406	11	11	1	0.476
1	159	0.002	1	344	11	11	1	0.579
1	160	0.003	1	103	11	11	1	0.548
1	161	0.003	1	4	11	11	1	0.467
1	162	0.003	1	258	11	11	1	0.427
1	163	0.003	1	382	11	11	1	0.499
1	164	0.003	1	26	11	11	1	0.410
1	165	0.004	1	517	11	11	1	0.522
1	166	0.004	1	88	11	11	1	0.514
1	167	0.004	1	437	11	11	1	0.465
1	168	0.004	1	525	11	11	1	0.465
1	169	0.004	1	63	11	11	1	0.521
1	170	0.005	1	330	11	11	1	0.441
1	171	0.005	1	37	11	11	1	0.433
1	172	0.005	1	90	11	11	1	0.409
1	173	0.005	1	353	11	11	1	0.369
1	174	0.005	1	295	11	11	1	0.369
1	175	0.006	2	310	13	11	0	0.337
1	176	0.006	1	266	11	11	1	0.473
1	177	0.006	1	139	11	11	1	0.568
1	178	0.006	1	33	11	11	1	0.567
1	179	0.006	1	226	11	11	1	0.623
1	180	0.006	1	263	11	11	1	0.543
1	181	0.007	1	315	11	11	1	0.439
1	182	0.007	1	64	11	11	1	0.511
1	183	0.007	1	304	11	11	1	0.455
1	184	0.007	1	1	11	11	1	0.518
1	185	0.008	1	316	11	11	1	0.614
1	186	0.008	1	100	11	11	1	0.598
1	187	0.008	1	309	11	11	1	0.598
1	188	0.008	1	398	11	11	1	0.614
1	189	0.008	1	48	11	11	1	0.645
1	190	0.008	1	442	11	11	1	0.621
1	191	0.009	2	348	13	13	1	0.677
1	192	0.009	1	505	11	11	1	0.685
1	193	0.009	1	16	11	11	1	0.605
1	194	0.009	1	172	11	11	1	0.509
1	195	0.009	1	491	11	11	1	0.580
1	196	0.010	1	544	11	11	1	0.540
1	197	0.010	1	508	11	11	1	0.500
1	198	0.010	1	294	11	11	1	0.828
1	199	0.010	1	239	11	11	1	0.540
1	200	0.010	1	170	11	11	1	0.580
1	201	0.011	2	217	13	13	1	0.603
1	202	0.011	1	519	11	11	1	0.628
1	203	0.011	1	399	11	11	1	0.675
1	204	0.011	1	257	11	11	1	0.659
1	205	0.011	2	308	13	13	1	0.618
1	206	0.012	1	428	11	11	1	0.618
1	207	0.012	1	192	11	11	1	0.722
1	208	0.012	1	467	11	11	1	0.618
1	209	0.012	1	80	11	11	1	0.529
1	210	0.012	1	82	11	11	1	0.642
1	211	0.012	1	194	11	11	1	0.554
