
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 17-Nov-2015 13:29:59
* Seed: 212701.8283
* Subject Number: 24
* Subject Name: WB
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.006	2	468	11	11	1	0.830
1	2	0.006	2	411	11	NaN	0	NaN
1	3	0.006	2	225	11	11	1	0.094
1	4	0.006	2	21	11	11	1	0.462
1	5	0.006	2	37	11	11	1	0.454
1	6	0.007	2	454	11	11	1	0.413
1	7	0.007	2	480	11	11	1	0.573
1	8	0.007	2	231	11	11	1	0.469
1	9	0.007	2	19	11	11	1	0.508
1	10	0.007	2	34	11	11	1	0.453
1	11	0.008	2	49	11	11	1	0.460
1	12	0.008	2	54	11	11	1	0.436
1	13	0.008	1	380	13	11	0	0.404
1	14	0.008	2	250	11	11	1	0.748
1	15	0.008	2	519	11	11	1	0.612
1	16	0.009	2	297	11	11	1	0.787
1	17	0.009	2	452	11	11	1	0.747
1	18	0.009	2	291	11	11	1	0.563
1	19	0.009	2	488	11	11	1	0.514
1	20	0.009	2	48	11	11	1	0.587
1	21	0.010	2	331	11	11	1	0.691
1	22	0.010	2	321	11	NaN	0	NaN
1	23	0.009	2	494	11	11	1	0.707
1	24	0.010	2	307	11	11	1	0.531
1	25	0.011	2	158	11	11	1	0.553
1	26	0.011	2	178	11	11	1	0.561
1	27	0.011	2	372	11	11	1	0.633
1	28	0.011	2	369	11	11	1	0.857
1	29	0.011	2	236	11	11	1	0.696
1	30	0.011	2	343	11	11	1	0.521
1	31	0.011	2	167	11	11	1	0.649
1	32	0.012	2	215	11	11	1	0.753
1	33	0.012	2	135	11	11	1	0.688
1	34	-0.001	2	124	11	11	1	0.564
1	35	-0.001	2	44	11	11	1	0.541
1	36	-0.001	2	136	11	11	1	0.556
1	37	-0.000	2	303	11	11	1	0.692
1	38	-0.000	2	333	11	11	1	0.572
1	39	-0.000	1	486	13	NaN	0	NaN
1	40	0.000	2	89	11	11	1	0.692
1	41	0.000	2	522	11	NaN	0	NaN
1	42	0.000	1	299	13	13	1	0.628
1	43	0.000	1	75	13	13	1	0.588
1	44	0.000	2	429	11	11	1	0.660
1	45	0.001	1	286	13	13	1	0.811
1	46	0.001	2	65	11	NaN	0	NaN
1	47	0.002	2	371	11	NaN	0	NaN
1	48	0.001	2	493	11	11	1	0.019
1	49	0.002	2	148	11	11	1	0.682
1	50	0.002	2	200	11	11	1	0.594
1	51	0.215	1	511	13	NaN	0	NaN
1	52	0.002	2	470	11	11	1	0.282
1	53	0.002	2	373	11	NaN	0	NaN
1	54	0.003	2	458	11	11	1	0.841
1	55	0.003	2	77	11	11	1	0.649
1	56	0.003	2	272	11	11	1	0.681
1	57	0.003	2	400	11	11	1	0.545
1	58	0.003	2	397	11	11	1	0.552
1	59	0.004	2	498	11	11	1	0.473
1	60	0.004	2	477	11	11	1	0.441
1	61	0.004	2	546	11	11	1	0.648
1	62	0.004	2	198	11	11	1	0.448
1	63	0.004	2	166	11	11	1	0.496
1	64	0.005	2	183	11	11	1	0.439
1	65	0.005	2	129	11	11	1	0.559
1	66	0.005	2	255	11	11	1	0.511
1	67	0.005	2	50	11	11	1	0.430
1	68	0.005	2	520	11	11	1	0.471
1	69	0.005	2	370	11	11	1	0.414
1	70	0.006	2	137	11	11	1	0.566
1	71	0.006	2	363	11	11	1	0.566
1	72	0.006	2	504	11	11	1	0.477
1	73	0.006	2	230	11	11	1	0.405
1	74	0.006	2	256	11	11	1	0.429
1	75	0.007	2	144	11	11	1	0.437
1	76	0.007	2	487	11	11	1	0.372
1	77	0.007	2	218	11	11	1	0.421
1	78	0.007	2	430	11	11	1	0.492
1	79	0.007	2	497	11	11	1	0.620
1	80	0.008	2	176	11	11	1	0.508
1	81	0.008	2	506	11	11	1	0.428
1	82	0.008	2	22	11	11	1	0.396
1	83	0.008	2	128	11	11	1	0.420
1	84	0.008	2	56	11	11	1	0.411
1	85	0.009	2	196	11	11	1	0.371
1	86	0.009	2	73	11	11	1	0.451
1	87	0.009	2	417	11	11	1	0.434
1	88	0.009	2	141	11	11	1	0.651
1	89	0.009	2	543	11	11	1	0.418
1	90	0.010	2	315	11	11	1	0.483
1	91	0.009	2	548	11	11	1	0.459
1	92	0.009	2	414	11	11	1	0.426
1	93	0.010	2	253	11	11	1	0.434
1	94	0.010	2	502	11	11	1	0.426
1	95	0.010	2	26	11	11	1	0.442
1	96	0.011	2	23	11	11	1	0.441
1	97	0.011	2	153	11	11	1	0.425
1	98	0.011	2	213	11	11	1	0.441
1	99	0.012	2	311	11	11	1	0.352
1	100	0.012	2	163	11	11	1	0.336
1	101	0.012	2	541	11	11	1	0.416
1	102	0.012	2	508	11	11	1	0.433
1	103	0.012	2	63	11	11	1	0.456
1	104	-0.001	2	476	11	11	1	0.501
1	105	-0.001	2	162	11	11	1	0.452
1	106	-0.000	2	509	11	11	1	0.492
1	107	-0.000	2	207	11	11	1	0.460
1	108	0.000	2	229	11	11	1	0.372
1	109	0.000	2	416	11	11	1	0.484
1	110	0.000	2	536	11	11	1	0.388
1	111	0.000	2	446	11	11	1	0.612
1	112	0.000	2	300	11	11	1	0.587
