
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 17-Nov-2015 13:58:24
* Seed: 212149.4997
* Subject Number: 25
* Subject Name: DH
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	61	11	11	1	0.689
1	2	0.012	1	127	11	11	1	0.625
1	3	0.012	1	69	11	11	1	0.537
1	4	0.012	1	228	11	11	1	0.553
1	5	0.012	1	334	11	11	1	0.617
1	6	-0.001	1	472	11	11	1	0.558
1	7	-0.000	1	417	11	11	1	0.766
1	8	-0.000	2	241	13	13	1	0.725
1	9	-0.000	1	362	11	11	1	0.668
1	10	0.000	1	284	11	11	1	0.708
1	11	0.000	1	442	11	11	1	0.653
1	12	0.000	1	174	11	11	1	0.765
1	13	0.000	1	249	11	11	1	0.573
1	14	0.000	1	247	11	11	1	0.565
1	15	0.001	1	253	11	11	1	0.659
1	16	0.001	1	48	11	11	1	0.636
1	17	0.001	1	85	11	11	1	0.587
1	18	0.001	1	227	11	11	1	0.548
1	19	0.002	1	68	11	11	1	0.555
1	20	0.002	1	187	11	11	1	0.531
1	21	0.002	1	549	11	11	1	0.483
1	22	0.002	1	78	11	11	1	0.618
1	23	0.003	1	16	11	11	1	0.506
1	24	0.003	1	226	11	11	1	0.474
1	25	0.003	1	487	11	11	1	0.553
1	26	0.003	1	70	11	11	1	0.546
1	27	0.003	1	299	11	11	1	0.458
1	28	0.003	1	460	11	11	1	0.394
1	29	0.004	1	294	11	11	1	0.529
1	30	0.004	1	429	11	11	1	0.465
1	31	0.004	1	305	11	11	1	0.497
1	32	0.004	1	382	11	11	1	0.472
1	33	0.004	1	216	11	11	1	0.576
1	34	0.004	1	135	11	11	1	0.473
1	35	0.005	1	395	11	11	1	0.400
1	36	0.005	2	512	13	13	1	0.632
1	37	0.005	1	459	11	11	1	0.688
1	38	0.005	1	464	11	11	1	0.655
1	39	0.005	1	79	11	11	1	0.607
1	40	0.006	1	408	11	11	1	0.648
1	41	0.006	1	416	11	11	1	0.559
1	42	0.006	1	352	11	11	1	0.670
1	43	0.006	1	222	11	11	1	0.510
1	44	0.006	1	113	11	11	1	0.486
1	45	0.007	1	161	11	11	1	0.543
1	46	0.007	2	286	13	13	1	0.646
1	47	0.007	2	457	13	13	1	0.701
1	48	0.007	1	276	11	11	1	0.637
1	49	0.007	1	2	11	11	1	0.661
1	50	0.008	2	17	13	13	1	0.621
1	51	0.008	1	229	11	11	1	0.557
1	52	0.007	1	170	11	11	1	0.670
1	53	0.008	1	159	11	11	1	0.540
1	54	0.008	1	479	11	11	1	0.469
1	55	0.009	1	515	11	11	1	0.460
1	56	0.009	1	364	11	11	1	0.492
1	57	0.009	1	198	11	11	1	0.403
1	58	0.009	1	104	11	11	1	0.388
1	59	0.009	2	5	13	13	1	0.476
1	60	0.009	1	532	11	11	1	0.627
1	61	0.010	1	434	11	11	1	0.547
1	62	0.009	1	348	11	11	1	0.547
1	63	0.010	1	397	11	11	1	0.443
1	64	0.011	1	136	11	11	1	0.450
1	65	0.010	1	39	11	11	1	0.434
1	66	0.011	1	234	11	11	1	0.442
1	67	0.010	1	351	11	11	1	0.426
1	68	0.011	1	308	11	11	1	0.394
1	69	0.011	1	143	11	11	1	0.433
1	70	0.012	1	377	11	11	1	0.449
1	71	0.012	1	107	11	11	1	0.432
1	72	0.012	1	538	11	11	1	0.393
1	73	0.012	1	409	11	11	1	0.401
1	74	-0.001	1	163	11	11	1	0.430
1	75	-0.001	1	23	11	11	1	0.469
1	76	-0.000	1	184	11	11	1	0.621
1	77	-0.001	1	353	11	11	1	0.621
1	78	-0.000	2	116	13	13	1	0.620
1	79	0.000	1	81	11	11	1	0.781
1	80	0.000	1	106	11	11	1	0.628
1	81	0.000	1	444	11	11	1	0.556
1	82	0.000	2	45	13	13	1	0.685
1	83	0.000	1	504	11	11	1	0.613
1	84	0.001	1	140	11	11	1	0.636
1	85	0.001	1	94	11	11	1	0.604
1	86	0.002	2	237	13	13	1	0.683
1	87	0.001	1	497	11	11	1	0.516
1	88	0.002	1	265	11	11	1	0.539
1	89	0.001	1	337	11	11	1	0.492
1	90	0.002	1	374	11	11	1	0.531
1	91	0.002	1	176	11	11	1	0.499
1	92	0.002	1	267	11	11	1	0.499
1	93	0.003	1	523	11	11	1	0.515
1	94	0.003	1	212	11	11	1	0.506
1	95	0.003	1	164	11	11	1	0.506
1	96	0.003	1	35	11	11	1	0.505
1	97	0.003	1	101	11	11	1	0.498
1	98	0.004	1	482	11	11	1	0.489
1	99	0.004	1	298	11	11	1	0.569
1	100	0.004	1	438	11	11	1	0.561
1	101	0.004	1	495	11	11	1	0.552
