
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 17-Nov-2015 14:33:55
* Seed: 212853.4152
* Subject Number: 26
* Subject Name: ES
* Run Number: 1
* debug: 0
*********************************************


*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 17-Nov-2015 14:38:06
* Seed: 214462.1132
* Subject Number: 26
* Subject Name: ES
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	309	11	NaN	0	NaN
1	2	-0.001	2	342	11	13	0	0.419
1	3	-0.001	2	398	11	13	0	0.331
1	4	-0.000	2	320	11	13	0	0.491
1	5	-0.000	2	433	11	13	0	0.491
1	6	-0.000	1	548	13	NaN	0	NaN
1	7	0.000	2	120	11	13	0	0.499
1	8	0.000	2	322	11	13	0	0.595
1	9	0.000	2	527	11	13	0	0.770
1	10	0.000	2	540	11	13	0	0.562
1	11	0.000	2	72	11	13	0	0.635
1	12	0.001	2	250	11	13	0	0.521
1	13	0.001	2	382	11	13	0	0.442
1	14	0.002	2	43	11	13	0	0.457
1	15	0.001	2	42	11	13	0	0.537
1	16	0.001	2	267	11	13	0	0.425
1	17	0.002	2	352	11	13	0	0.401
1	18	0.002	1	415	13	NaN	0	NaN
1	19	0.002	2	70	11	NaN	0	NaN
1	20	0.002	2	91	11	13	0	0.048
1	21	0.002	2	252	11	13	0	0.816
1	22	0.003	2	188	11	13	0	0.696
1	23	0.003	2	531	11	13	0	0.479
1	24	0.003	2	369	11	13	0	0.799
1	25	0.003	2	293	11	13	0	0.775
1	26	0.003	2	298	11	13	0	0.615
1	27	0.004	2	111	11	13	0	0.543
1	28	0.004	2	400	11	13	0	0.487
1	29	0.004	1	274	13	13	1	0.526
1	30	0.004	2	12	11	13	0	0.542
1	31	0.004	2	333	11	13	0	0.550
1	32	0.005	2	243	11	13	0	0.494
1	33	0.005	2	522	11	13	0	0.494
1	34	0.005	2	451	11	13	0	0.502
1	35	0.005	2	134	11	13	0	0.541
1	36	0.005	2	235	11	NaN	0	NaN
1	37	0.005	1	70	13	NaN	0	NaN
1	38	0.006	2	178	11	NaN	0	NaN
1	39	0.006	2	262	11	13	0	0.629
1	40	0.006	2	405	11	13	0	0.556
1	41	0.006	2	121	11	13	0	0.564
1	42	0.007	2	8	11	13	0	0.492
1	43	0.007	2	26	11	13	0	0.484
1	44	0.007	2	362	11	13	0	0.411
1	45	0.007	2	442	11	13	0	0.451
1	46	0.007	2	332	11	13	0	0.499
1	47	0.008	2	436	11	13	0	0.427
1	48	0.007	2	455	11	13	0	0.468
1	49	0.008	1	57	13	13	1	0.442
1	50	0.008	2	475	11	13	0	0.675
1	51	0.008	2	508	11	13	0	0.706
1	52	0.008	2	171	11	13	0	0.690
1	53	0.009	1	221	13	NaN	0	NaN
1	54	0.009	2	489	11	13	0	0.625
1	55	0.009	2	486	11	NaN	0	NaN
1	56	0.009	2	50	11	13	0	0.593
1	57	0.009	2	299	11	13	0	0.521
1	58	0.010	2	45	11	13	0	0.592
1	59	0.010	2	365	11	13	0	0.521
1	60	0.010	2	375	11	13	0	0.544
1	61	0.010	2	429	11	13	0	0.528
1	62	0.010	2	402	11	13	0	0.488
1	63	0.011	2	52	11	13	0	0.496
1	64	0.011	2	507	11	13	0	0.503
1	65	0.011	2	126	11	13	0	0.696
1	66	0.011	2	414	11	13	0	0.552
1	67	0.011	2	294	11	13	0	0.567
1	68	0.012	2	251	11	13	0	0.503
1	69	0.012	2	537	11	13	0	0.439
1	70	0.012	2	209	11	13	0	0.423
1	71	0.012	2	47	11	13	0	0.575
1	72	-0.001	2	289	11	13	0	0.572
1	73	-0.000	2	281	11	13	0	0.515
1	74	-0.000	2	98	11	13	0	0.794
1	75	-0.000	2	443	11	13	0	0.634
1	76	0.000	2	524	11	13	0	0.394
1	77	0.000	2	542	11	13	0	0.499
1	78	0.000	2	354	11	13	0	0.467
1	79	0.000	2	51	11	13	0	0.579
1	80	0.000	2	226	11	13	0	0.730
1	81	0.001	2	22	11	13	0	0.673
1	82	0.001	2	325	11	13	0	0.649
1	83	0.001	2	431	11	13	0	0.713
1	84	0.001	2	165	11	NaN	0	NaN
1	85	0.001	2	423	11	13	0	0.714
1	86	0.002	1	459	13	13	1	0.649
1	87	0.002	2	509	11	13	0	0.601
1	88	0.002	2	73	11	13	0	0.648
1	89	0.002	2	420	11	13	0	0.624
1	90	0.003	2	380	11	13	0	0.633
1	91	0.002	2	144	11	13	0	0.632
1	92	0.003	2	428	11	13	0	0.672
1	93	0.003	2	66	11	13	0	0.751
1	94	0.003	2	110	11	13	0	0.719
1	95	0.003	2	87	11	13	0	0.647
1	96	0.003	2	172	11	13	0	0.559
1	97	0.003	2	434	11	13	0	0.511
1	98	0.004	2	231	11	13	0	0.455
1	99	0.004	2	470	11	13	0	0.534
1	100	0.004	2	241	11	13	0	0.550
1	101	0.005	2	18	11	13	0	0.558
1	102	0.005	2	15	11	13	0	0.486
1	103	0.005	2	156	11	13	0	0.525
1	104	0.005	2	424	11	13	0	0.533
1	105	0.005	2	291	11	13	0	0.573
1	106	0.006	2	200	11	13	0	0.525
1	107	0.006	2	32	11	13	0	0.556
1	108	0.006	2	396	11	13	0	0.452
1	109	0.006	2	504	11	13	0	0.389
1	110	0.006	1	94	13	NaN	0	NaN
1	111	0.007	2	161	11	NaN	0	NaN
1	112	0.007	2	151	11	13	0	0.508
1	113	0.007	2	368	11	13	0	0.500
1	114	0.007	2	249	11	13	0	0.436
1	115	0.007	2	222	11	13	0	0.451
1	116	0.007	2	525	11	13	0	0.419
1	117	0.008	1	416	13	NaN	0	NaN
1	118	0.008	2	513	11	13	0	0.515
1	119	0.008	2	196	11	13	0	0.451
1	120	0.008	2	478	11	13	0	0.594
1	121	0.008	2	346	11	13	0	0.634
1	122	0.009	2	314	11	13	0	0.634
1	123	0.009	2	344	11	13	0	0.602
1	124	0.009	2	324	11	13	0	0.434
1	125	0.009	2	28	11	13	0	0.401
1	126	0.009	2	378	11	13	0	0.369
1	127	0.010	1	45	13	NaN	0	NaN
1	128	0.010	2	218	11	13	0	0.681
1	129	0.010	2	340	11	13	0	0.752
1	130	0.010	2	305	11	13	0	0.537
1	131	0.010	2	539	11	13	0	0.600
1	132	0.010	2	379	11	13	0	0.600
1	133	0.011	2	277	11	13	0	0.528
1	134	0.011	2	187	11	13	0	0.559
1	135	0.011	2	40	11	13	0	0.480
1	136	0.011	2	490	11	13	0	0.519
1	137	0.012	2	79	11	13	0	0.503
1	138	0.012	2	276	11	13	0	0.790
