
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 03-Feb-2016 17:58:04
* Seed: 214032.1537
* Subject Number: 27
* Subject Name: NB
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.006	1	105	11	NaN	0	NaN
1	2	0.007	1	464	11	NaN	0	NaN
1	3	0.007	1	98	11	NaN	0	NaN
1	4	0.007	1	192	11	11	1	0.138
1	5	0.007	1	133	11	11	1	0.794
1	6	0.007	1	314	11	11	1	0.722
1	7	0.008	1	235	11	11	1	0.649
1	8	0.008	1	30	11	11	1	0.618
1	9	0.008	1	471	11	13	0	0.593
1	10	0.008	1	80	11	NaN	0	NaN
1	11	0.008	1	50	11	11	1	0.616
1	12	0.008	1	287	11	13	0	0.633
1	13	0.009	2	22	13	13	1	0.872
1	14	0.009	1	195	11	NaN	0	NaN
1	15	0.009	2	69	13	13	1	0.736
1	16	0.009	1	199	11	11	1	0.656
1	17	0.009	1	528	11	11	1	0.784
1	18	0.010	1	35	11	11	1	0.743
1	19	0.010	1	311	11	11	1	0.887
1	20	0.010	1	520	11	11	1	0.623
1	21	0.010	1	485	11	11	1	0.598
1	22	0.011	1	435	11	11	1	0.758
1	23	0.011	1	126	11	11	1	0.750
1	24	0.011	1	63	11	11	1	0.654
1	25	0.011	1	36	11	11	1	0.637
1	26	0.011	1	475	11	11	1	0.702
1	27	0.011	2	193	13	13	1	0.582
1	28	0.011	1	145	11	11	1	0.725
1	29	0.012	1	342	11	11	1	0.621
1	30	0.012	1	428	11	11	1	0.700
1	31	-0.001	1	540	11	11	1	0.634
1	32	-0.001	1	514	11	11	1	0.698
1	33	-0.000	1	132	11	11	1	0.761
1	34	-0.000	1	24	11	11	1	0.809
1	35	0.000	1	493	11	11	1	0.809
1	36	0.000	1	280	11	11	1	0.713
1	37	0.000	1	148	11	11	1	0.824
1	38	0.000	1	25	11	11	1	0.705
1	39	0.000	1	327	11	11	1	0.649
1	40	0.000	1	522	11	11	1	0.721
1	41	0.001	1	507	11	11	1	0.648
1	42	0.001	1	343	11	11	1	0.568
1	43	0.002	2	489	13	13	1	0.519
1	44	0.001	1	425	11	11	1	0.591
1	45	0.002	1	462	11	11	1	0.599
1	46	0.002	1	379	11	11	1	0.703
1	47	0.002	2	291	13	13	1	0.663
1	48	0.002	1	71	11	11	1	0.623
1	49	0.002	1	79	11	11	1	0.582
1	50	0.003	1	7	11	11	1	0.742
1	51	0.616	1	254	11	NaN	0	NaN
1	52	0.003	1	524	11	11	1	0.222
1	53	0.003	2	115	13	11	0	0.341
1	54	0.003	1	116	11	11	1	0.565
1	55	0.004	1	168	11	11	1	0.677
1	56	0.004	1	45	11	11	1	0.598
1	57	0.004	1	78	11	11	1	0.828
