
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 29-Oct-2015 16:46:40
* Seed: 213953.3102
* Subject Number: 3
* Subject Name: BC
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	439	11	11	1	0.709
1	2	0.011	2	242	13	11	0	0.549
1	3	0.012	1	45	11	NaN	0	NaN
1	4	0.012	1	339	11	11	1	0.173
1	5	0.012	2	102	13	13	1	0.581
1	6	0.012	1	41	11	11	1	0.596
1	7	0.012	1	133	11	11	1	0.692
1	8	0.013	1	131	11	11	1	0.604
1	9	0.013	1	219	11	11	1	0.644
1	10	0.013	1	107	11	11	1	0.571
1	11	0.013	1	59	11	13	0	0.507
1	12	0.013	1	508	11	11	1	0.571
1	13	0.013	1	334	11	11	1	0.491
1	14	0.014	1	158	11	11	1	0.555
1	15	0.014	1	223	11	11	1	0.411
1	16	0.014	1	338	11	11	1	0.547
1	17	0.001	1	209	11	11	1	0.608
1	18	0.001	1	305	11	11	1	0.599
1	19	0.001	1	197	11	11	1	0.455
1	20	0.002	1	316	11	11	1	0.391
1	21	0.002	1	503	11	11	1	0.350
1	22	0.002	2	60	13	13	1	0.743
1	23	0.002	1	499	11	11	1	0.566
1	24	0.002	1	366	11	11	1	0.542
1	25	0.003	1	80	11	11	1	0.870
1	26	0.003	1	34	11	11	1	0.518
1	27	0.003	1	67	11	11	1	0.397
1	28	0.003	1	404	11	11	1	0.413
1	29	0.003	1	282	11	11	1	0.341
1	30	0.004	1	276	11	11	1	0.381
1	31	0.004	1	159	11	11	1	0.484
1	32	0.004	1	211	11	11	1	0.396
1	33	0.004	1	362	11	11	1	0.437
1	34	0.004	1	405	11	11	1	0.460
1	35	0.005	1	468	11	11	1	0.372
1	36	0.005	2	546	13	11	0	0.380
1	37	0.005	1	354	11	11	1	0.500
1	38	0.005	1	456	11	11	1	0.531
1	39	0.005	1	524	11	11	1	0.531
1	40	0.005	1	462	11	11	1	0.579
1	41	0.006	1	400	11	11	1	0.451
1	42	0.006	1	226	11	11	1	0.371
1	43	0.006	1	81	11	11	1	0.706
1	44	0.006	1	263	11	11	1	0.419
1	45	0.006	1	395	11	11	1	0.394
1	46	0.007	2	459	13	13	1	0.449
1	47	0.007	1	457	11	11	1	0.417
1	48	0.007	1	39	11	11	1	0.505
1	49	0.007	1	149	11	11	1	0.425
1	50	0.007	1	473	11	11	1	0.457
1	51	0.008	1	488	11	11	1	0.465
1	52	0.008	1	384	11	11	1	0.320
1	53	0.008	1	396	11	11	1	0.336
1	54	0.008	1	28	11	11	1	0.441
1	55	0.008	1	426	11	11	1	0.408
1	56	0.009	1	323	11	11	1	0.416
1	57	0.009	1	331	11	11	1	0.407
1	58	0.009	1	274	11	11	1	0.344
1	59	0.009	1	482	11	11	1	0.359
1	60	0.009	1	243	11	11	1	0.391
1	61	0.010	1	359	11	11	1	0.454
1	62	0.010	1	326	11	11	1	0.583
1	63	0.010	1	460	11	11	1	0.398
1	64	0.010	1	394	11	11	1	0.343
1	65	0.010	1	475	11	11	1	0.374
1	66	0.011	1	347	11	11	1	0.406
1	67	0.011	1	49	11	11	1	0.342
1	68	0.011	1	100	11	11	1	0.317
1	69	0.011	1	536	11	11	1	0.278
1	70	0.011	1	448	11	11	1	0.237
1	71	0.011	1	350	11	11	1	0.261
1	72	0.012	1	270	11	11	1	0.181
1	73	0.012	2	16	13	11	0	0.205
