
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 10:34:19
* Seed: 210173.4997
* Subject Number: 4
* Subject Name: SS
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	426	11	11	1	0.604
1	2	0.012	2	518	11	11	1	0.636
1	3	0.012	2	324	11	11	1	0.716
1	4	0.012	2	339	11	11	1	0.515
1	5	0.013	2	522	11	11	1	0.475
1	6	0.013	2	247	11	11	1	0.835
1	7	0.013	2	198	11	11	1	0.563
1	8	0.013	2	1	11	11	1	0.466
1	9	0.013	1	101	13	13	1	0.731
1	10	0.013	2	409	11	11	1	0.626
1	11	0.014	2	475	11	11	1	0.577
1	12	0.014	2	390	11	11	1	0.465
1	13	0.014	2	358	11	11	1	0.529
1	14	0.001	1	133	13	11	0	0.518
1	15	0.001	2	550	11	11	1	0.767
1	16	0.001	2	211	11	11	1	0.558
1	17	0.002	2	60	11	11	1	0.662
1	18	0.002	2	389	11	11	1	0.518
1	19	0.002	2	286	11	11	1	0.454
1	20	0.002	1	423	13	11	0	0.349
1	21	0.002	2	15	11	11	1	0.525
1	22	0.003	2	357	11	11	1	0.445
1	23	0.003	2	161	11	11	1	0.437
1	24	0.003	2	438	11	11	1	0.525
1	25	0.003	2	486	11	11	1	0.381
1	26	0.003	2	42	11	11	1	0.389
1	27	0.004	2	304	11	11	1	0.356
1	28	0.004	2	48	11	11	1	0.380
1	29	0.004	2	364	11	11	1	0.444
1	30	0.004	2	305	11	11	1	0.379
1	31	0.004	2	264	11	11	1	0.331
1	32	0.005	2	127	11	11	1	0.395
1	33	0.005	2	319	11	11	1	0.314
1	34	0.005	2	40	11	11	1	0.363
1	35	0.005	2	277	11	11	1	0.387
1	36	0.005	2	39	11	11	1	0.418
1	37	0.006	1	441	13	11	0	0.434
1	38	0.006	2	259	11	11	1	0.530
1	39	0.006	2	192	11	11	1	0.642
1	40	0.006	2	335	11	11	1	0.490
1	41	0.006	2	512	11	11	1	0.585
1	42	0.007	2	72	11	11	1	0.425
1	43	0.007	2	473	11	11	1	0.417
1	44	0.007	2	422	11	11	1	0.577
1	45	0.007	2	27	11	11	1	0.496
1	46	0.007	1	59	13	13	1	0.641
1	47	0.007	2	340	11	11	1	0.528
1	48	0.008	2	437	11	11	1	0.504
1	49	0.008	2	155	11	11	1	0.455
1	50	0.008	2	49	11	11	1	0.384
1	51	0.008	2	334	11	11	1	0.455
1	52	0.008	2	515	11	11	1	0.328
1	53	0.009	2	43	11	11	1	0.455
1	54	0.009	2	537	11	11	1	0.327
1	55	0.009	2	276	11	11	1	0.399
1	56	0.009	2	82	11	11	1	0.447
1	57	0.009	2	308	11	11	1	0.366
1	58	0.010	2	54	11	11	1	0.318
1	59	0.010	2	164	11	11	1	0.286
1	60	0.010	2	35	11	11	1	0.349
1	61	0.010	2	209	11	11	1	0.262
1	62	0.010	2	525	11	11	1	0.349
1	63	0.011	2	316	11	11	1	0.349
1	64	0.011	2	123	11	11	1	0.413
1	65	0.011	2	11	11	11	1	0.372
1	66	0.011	2	294	11	11	1	0.365
1	67	0.011	2	444	11	11	1	0.556
1	68	0.012	2	195	11	11	1	0.404
1	69	0.012	2	543	11	11	1	0.364
1	70	0.012	2	129	11	11	1	0.291
1	71	0.012	2	28	11	11	1	0.411
1	72	0.012	2	449	11	11	1	0.539
1	73	0.012	2	436	11	11	1	0.331
1	74	0.013	2	17	11	11	1	0.379
1	75	0.013	2	361	11	11	1	0.331
1	76	0.013	2	355	11	11	1	0.314
1	77	0.013	2	13	11	11	1	0.314
1	78	0.013	2	273	11	11	1	0.322
1	79	0.014	2	84	11	11	1	0.234
1	80	0.014	2	323	11	11	1	0.242
1	81	0.014	2	180	11	11	1	0.282
1	82	0.014	2	298	11	11	1	0.218
1	83	0.001	2	139	11	11	1	0.335
1	84	0.001	2	510	11	11	1	0.366
1	85	0.001	2	463	11	11	1	0.470
1	86	0.002	2	347	11	11	1	0.397
1	87	0.002	1	490	13	13	1	0.558
1	88	0.002	2	344	11	11	1	0.533
1	89	0.002	2	352	11	11	1	0.477
1	90	0.002	2	229	11	11	1	0.533
1	91	0.003	1	342	13	13	1	0.589
1	92	0.003	2	428	11	11	1	0.453
1	93	0.003	2	529	11	11	1	0.741
1	94	0.003	2	143	11	11	1	0.524
1	95	0.003	1	202	13	13	1	0.468
1	96	0.004	2	146	11	11	1	0.372
1	97	0.004	2	411	11	11	1	0.508
1	98	0.004	2	398	11	11	1	0.443
1	99	0.004	2	480	11	11	1	0.356
1	100	0.004	2	130	11	11	1	0.491
1	101	0.005	2	472	11	11	1	0.603
1	102	0.005	2	514	11	11	1	0.451
1	103	0.005	1	229	13	13	1	0.635
1	104	0.005	2	474	11	11	1	0.443
1	105	0.005	2	313	11	11	1	0.475
1	106	0.006	2	181	11	11	1	0.394
1	107	0.006	2	126	11	11	1	0.306
1	108	0.006	2	97	11	11	1	0.249
1	109	0.006	2	375	11	11	1	0.290
1	110	0.006	2	176	11	11	1	0.289
1	111	0.007	2	128	11	11	1	0.321
1	112	0.007	2	414	11	11	1	0.361
1	113	0.007	2	379	11	11	1	0.377
1	114	0.007	2	10	11	11	1	0.337
1	115	0.007	2	397	11	11	1	0.312
1	116	0.007	2	99	11	11	1	0.224
1	117	0.008	2	119	11	11	1	0.120
1	118	0.008	1	537	13	11	0	0.056
1	119	0.008	2	383	11	11	1	0.336
1	120	0.008	2	179	11	11	1	0.391
1	121	0.008	2	131	11	11	1	0.335
1	122	0.009	2	203	11	11	1	0.399
1	123	0.009	2	220	11	11	1	0.335
1	124	0.009	2	540	11	11	1	0.375
