
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 11:00:10
* Seed: 217740.928
* Subject Number: 5
* Subject Name: NW
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.011	1	428	11	11	1	0.802
1	2	0.011	1	226	11	NaN	0	NaN
1	3	0.012	1	483	11	11	1	0.722
1	4	0.012	1	152	11	11	1	0.618
1	5	0.012	1	392	11	11	1	0.522
1	6	0.012	2	147	13	13	1	0.666
1	7	0.012	1	340	11	11	1	0.762
1	8	0.013	1	138	11	11	1	0.458
1	9	0.013	1	278	11	13	0	0.554
1	10	0.013	1	251	11	11	1	0.569
1	11	0.013	1	241	11	11	1	0.705
1	12	0.013	1	103	11	11	1	0.536
1	13	0.013	2	468	13	11	0	0.593
1	14	0.014	2	236	13	13	1	0.624
1	15	0.014	1	3	11	11	1	0.600
1	16	0.014	1	409	11	11	1	0.624
1	17	0.001	1	102	11	11	1	0.478
1	18	0.001	1	359	11	11	1	0.685
1	19	0.001	1	32	11	11	1	0.893
1	20	0.002	1	207	11	11	1	0.613
1	21	0.002	1	410	11	11	1	0.540
1	22	0.002	1	373	11	11	1	0.548
1	23	0.002	1	148	11	11	1	0.732
1	24	0.002	1	265	11	11	1	0.564
1	25	0.003	1	446	11	11	1	0.756
1	26	0.003	1	37	11	11	1	0.548
1	27	0.003	1	346	11	11	1	0.571
1	28	0.003	2	42	13	13	1	0.579
1	29	0.003	1	255	11	11	1	0.627
1	30	0.003	1	24	11	11	1	0.499
1	31	0.004	1	6	11	11	1	0.498
1	32	0.004	1	533	11	11	1	0.459
1	33	0.004	2	465	13	11	0	0.506
1	34	0.004	1	125	11	11	1	0.642
1	35	0.005	1	264	11	11	1	0.809
1	36	0.005	1	248	11	11	1	0.490
1	37	0.005	1	526	11	11	1	0.489
1	38	0.005	1	367	11	11	1	0.441
1	39	0.005	1	400	11	11	1	0.568
1	40	0.005	1	437	11	11	1	0.577
1	41	0.006	1	49	11	11	1	0.472
1	42	0.006	1	328	11	11	1	0.536
1	43	0.006	1	318	11	11	1	0.520
1	44	0.006	1	467	11	11	1	0.480
1	45	0.006	1	453	11	11	1	0.472
1	46	0.007	1	128	11	11	1	0.416
1	47	0.007	1	71	11	11	1	0.407
1	48	0.007	1	185	11	11	1	0.431
1	49	0.007	1	419	11	11	1	0.543
1	50	0.007	1	345	11	11	1	0.551
1	51	0.008	1	549	11	11	1	0.543
1	52	0.008	1	293	11	11	1	0.462
1	53	0.008	1	543	11	11	1	0.374
1	54	0.008	1	424	11	11	1	0.358
1	55	0.008	1	178	11	11	1	0.389
1	56	0.009	1	143	11	11	1	0.301
1	57	0.009	1	11	11	11	1	0.342
1	58	0.009	1	522	11	11	1	0.285
1	59	0.009	2	104	13	11	0	0.229
1	60	0.009	1	402	11	11	1	0.357
1	61	0.010	1	165	11	11	1	0.436
1	62	0.010	1	548	11	11	1	0.413
1	63	0.010	1	350	11	11	1	0.428
1	64	0.010	1	261	11	11	1	0.476
1	65	0.010	1	75	11	11	1	0.516
1	66	0.011	1	422	11	11	1	0.475
1	67	0.011	2	204	13	11	0	0.604
1	68	0.224	1	171	11	NaN	0	NaN
1	69	0.011	1	286	11	11	1	0.643
1	70	0.011	1	129	11	11	1	0.571
1	71	0.012	2	105	13	13	1	0.602
1	72	0.012	1	276	11	11	1	0.571
1	73	0.012	1	239	11	11	1	0.522
1	74	0.012	1	388	11	11	1	0.466
