
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 11:57:17
* Seed: 212380.6304
* Subject Number: 6
* Subject Name: AH
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	348	11	11	1	0.603
1	2	0.012	2	437	11	13	0	0.395
1	3	0.012	2	490	11	11	1	0.547
1	4	0.012	1	390	13	11	0	0.482
1	5	0.013	2	272	11	11	1	0.818
1	6	0.013	2	41	11	11	1	0.858
1	7	0.013	1	28	13	13	1	0.833
1	8	0.013	2	308	11	11	1	0.745
1	9	0.013	2	341	11	13	0	0.722
1	10	0.013	2	415	11	NaN	0	NaN
1	11	0.014	2	363	11	11	1	0.489
1	12	0.014	2	396	11	11	1	0.649
1	13	0.014	1	523	13	13	1	0.840
1	14	0.001	2	117	11	11	1	0.742
1	15	0.001	2	9	11	11	1	0.741
1	16	0.001	2	365	11	11	1	0.613
1	17	0.002	2	466	11	11	1	0.565
1	18	0.002	1	462	13	13	1	0.701
1	19	0.002	2	360	11	11	1	0.613
1	20	0.002	2	194	11	11	1	0.629
1	21	0.002	2	28	11	11	1	0.628
1	22	0.003	2	150	11	11	1	0.604
1	23	0.003	2	356	11	11	1	0.419
1	24	0.003	2	405	11	11	1	0.579
1	25	0.003	2	286	11	11	1	0.475
1	26	0.003	2	381	11	11	1	0.363
1	27	0.004	2	110	11	11	1	0.379
1	28	0.004	2	509	11	11	1	0.387
1	29	0.004	2	443	11	11	1	0.331
1	30	0.004	2	540	11	11	1	0.435
1	31	0.004	2	138	11	11	1	0.522
1	32	0.005	2	167	11	11	1	0.442
1	33	0.005	2	39	11	11	1	0.538
1	34	0.005	2	35	11	11	1	0.441
1	35	0.005	2	36	11	11	1	0.426
1	36	0.005	2	3	11	11	1	0.433
1	37	0.006	2	282	11	11	1	0.378
1	38	0.006	2	51	11	11	1	0.377
1	39	0.006	2	364	11	11	1	0.433
1	40	0.006	2	258	11	11	1	0.360
1	41	0.006	2	529	11	11	1	0.465
1	42	0.007	2	55	11	11	1	0.552
1	43	0.007	2	40	11	11	1	0.448
1	44	0.007	2	45	11	11	1	0.464
1	45	0.007	2	201	11	11	1	0.496
1	46	0.007	2	141	11	11	1	0.408
1	47	0.007	2	338	11	11	1	0.480
1	48	0.008	1	111	13	13	1	0.415
1	49	0.008	2	435	11	11	1	0.479
1	50	0.008	2	17	11	11	1	0.454
1	51	0.008	2	500	11	11	1	0.567
1	52	0.008	2	250	11	11	1	0.422
1	53	0.009	2	526	11	11	1	0.390
1	54	0.009	2	383	11	11	1	0.526
1	55	0.009	2	374	11	11	1	0.446
1	56	0.009	2	86	11	11	1	0.654
1	57	0.009	1	376	13	11	0	0.581
1	58	0.010	2	216	11	11	1	0.741
1	59	0.010	2	445	11	NaN	0	NaN
1	60	0.010	2	335	11	11	1	0.052
1	61	0.010	2	357	11	11	1	0.453
1	62	0.010	1	425	13	11	0	0.564
1	63	0.011	2	83	11	11	1	0.700
1	64	0.011	2	257	11	11	1	0.875
1	65	0.011	2	423	11	NaN	0	NaN
1	66	0.011	1	530	13	13	1	0.740
1	67	0.011	2	137	11	11	1	0.451
1	68	0.011	2	302	11	11	1	0.539
1	69	0.012	2	512	11	11	1	0.483
1	70	0.012	2	305	11	11	1	0.555
1	71	0.012	2	291	11	11	1	0.467
1	72	0.012	2	518	11	11	1	0.363
1	73	0.012	2	222	11	11	1	0.330
1	74	0.013	2	135	11	11	1	0.266
1	75	0.013	2	416	11	11	1	0.170
1	76	0.013	1	532	13	11	0	0.257
1	77	0.013	2	337	11	11	1	0.409
1	78	0.013	2	430	11	11	1	0.617
1	79	0.014	2	310	11	11	1	0.481
1	80	0.014	2	181	11	11	1	0.521
1	81	0.014	2	173	11	NaN	0	NaN
1	82	0.014	2	247	11	11	1	0.024
1	83	0.001	2	347	11	11	1	0.334
1	84	0.001	1	388	13	11	0	0.317
1	85	0.001	2	98	11	11	1	0.461
1	86	0.002	2	321	11	11	1	0.629
1	87	0.002	2	403	11	11	1	0.476
1	88	0.002	2	116	11	11	1	0.749
