
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 12:22:49
* Seed: 212199.2183
* Subject Number: 7
* Subject Name: AR
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	51	11	13	0	0.760
1	2	0.012	1	281	11	NaN	0	NaN
1	3	0.012	1	73	11	11	1	0.040
1	4	0.012	1	302	11	11	1	0.728
1	5	0.013	1	140	11	11	1	0.736
1	6	0.013	1	411	11	11	1	0.680
1	7	0.013	2	35	13	13	1	0.679
1	8	0.013	2	481	13	13	1	0.655
1	9	0.013	1	418	11	11	1	0.583
1	10	0.014	1	389	11	13	0	0.606
1	11	0.014	1	477	11	11	1	0.879
1	12	0.014	2	81	13	13	1	0.886
1	13	0.001	1	146	11	11	1	0.644
1	14	0.001	1	366	11	11	1	0.532
1	15	0.001	1	68	11	13	0	0.571
1	16	0.001	1	346	11	NaN	0	NaN
1	17	0.002	1	433	11	11	1	0.002
1	18	0.002	1	20	11	11	1	0.699
1	19	0.002	1	405	11	11	1	0.818
1	20	0.002	1	123	11	11	1	0.673
1	21	0.002	1	362	11	11	1	0.498
1	22	0.003	1	314	11	11	1	0.442
1	23	0.003	1	545	11	11	1	0.513
1	24	0.003	1	484	11	11	1	0.569
1	25	0.003	1	114	11	11	1	0.577
1	26	0.003	2	402	13	13	1	0.529
1	27	0.004	1	288	11	11	1	0.584
1	28	0.004	1	322	11	11	1	0.545
1	29	0.004	1	402	11	11	1	0.736
1	30	0.004	2	511	13	13	1	0.800
1	31	0.004	1	6	11	11	1	0.512
1	32	0.005	1	299	11	11	1	0.576
1	33	0.005	1	472	11	11	1	0.535
1	34	0.005	1	29	11	11	1	0.504
1	35	0.005	1	431	11	11	1	0.503
1	36	0.005	1	49	11	11	1	0.503
1	37	0.006	1	390	11	11	1	0.543
1	38	0.006	1	103	11	11	1	0.591
1	39	0.006	1	318	11	11	1	0.567
1	40	0.006	1	162	11	11	1	0.622
1	41	0.006	1	153	11	11	1	0.558
1	42	0.007	1	7	11	11	1	0.550
1	43	0.007	1	107	11	11	1	0.461
1	44	0.007	1	270	11	11	1	0.550
1	45	0.007	1	456	11	11	1	0.509
1	46	0.007	1	481	11	11	1	0.581
1	47	0.007	1	437	11	11	1	0.573
1	48	0.008	1	159	11	11	1	0.669
1	49	0.008	1	46	11	11	1	0.652
1	50	0.008	1	240	11	11	1	0.596
1	51	0.008	1	263	11	11	1	0.532
1	52	0.008	1	111	11	11	1	0.643
1	53	0.009	1	116	11	11	1	0.676
1	54	0.009	1	247	11	11	1	0.739
1	55	0.009	1	376	11	11	1	0.699
1	56	0.009	1	368	11	11	1	0.627
1	57	0.009	1	524	11	11	1	0.539
1	58	0.010	1	182	11	11	1	0.483
1	59	0.010	1	471	11	11	1	0.506
1	60	0.010	1	43	11	11	1	0.451
1	61	0.010	1	90	11	11	1	0.538
1	62	0.010	1	279	11	11	1	0.498
1	63	0.011	1	531	11	11	1	0.457
1	64	0.011	1	246	11	11	1	0.481
1	65	0.011	1	511	11	11	1	0.409
1	66	0.011	1	130	11	11	1	0.409
1	67	0.011	1	187	11	11	1	0.441
1	68	0.011	1	222	11	11	1	0.400
1	69	0.012	1	515	11	11	1	0.409
1	70	0.012	1	108	11	11	1	0.424
1	71	0.012	1	234	11	11	1	0.400
1	72	0.012	1	397	11	11	1	0.368
1	73	0.012	1	265	11	11	1	0.328
1	74	0.013	1	375	11	11	1	0.343
1	75	0.013	1	541	11	11	1	0.383
1	76	0.013	1	129	11	11	1	0.384
1	77	0.013	1	126	11	11	1	0.399
1	78	0.013	1	358	11	11	1	0.335
1	79	0.014	1	351	11	11	1	0.343
1	80	0.014	1	72	11	11	1	0.390
1	81	0.014	1	154	11	11	1	0.398
1	82	0.014	1	342	11	11	1	0.390
1	83	0.001	1	235	11	11	1	0.363
1	84	0.001	1	156	11	11	1	0.283
1	85	0.001	1	513	11	11	1	0.306
1	86	0.002	1	179	11	11	1	0.290
1	87	0.002	1	475	11	11	1	0.411
1	88	0.002	1	34	11	11	1	0.498
1	89	0.002	1	353	11	11	1	0.578
1	90	0.002	1	341	11	11	1	0.650
1	91	0.003	2	238	13	11	0	0.649
1	92	0.003	1	297	11	11	1	0.641
1	93	0.003	1	227	11	11	1	0.601
1	94	0.003	1	395	11	11	1	0.569
1	95	0.003	2	12	13	13	1	0.529
1	96	0.004	1	445	11	11	1	0.705
1	97	0.004	1	301	11	11	1	0.736
1	98	0.004	1	343	11	11	1	0.624
1	99	0.004	2	38	13	13	1	0.560
1	100	0.004	1	225	11	11	1	0.448
1	101	0.005	1	213	11	11	1	0.543
1	102	0.005	1	382	11	11	1	0.584
1	103	0.005	1	324	11	11	1	0.591
1	104	0.005	1	496	11	11	1	0.624
1	105	0.005	1	89	11	11	1	0.711
1	106	0.006	2	27	13	11	0	0.822
1	107	0.006	1	379	11	11	1	0.878
1	108	0.006	1	412	11	NaN	0	NaN
1	109	0.006	1	52	11	11	1	0.646
1	110	0.006	2	128	13	NaN	0	NaN
1	111	0.006	1	2	11	11	1	0.662
1	112	0.007	1	248	11	11	1	0.773
1	113	0.007	1	134	11	11	1	0.765
1	114	0.007	2	194	13	13	1	0.637
1	115	0.007	1	339	11	11	1	0.701
1	116	0.008	1	150	11	11	1	0.676
1	117	0.008	1	164	11	11	1	0.573
1	118	0.008	1	87	11	11	1	0.540
1	119	0.008	1	356	11	11	1	0.548
1	120	0.008	1	218	11	11	1	0.500
1	121	0.008	1	180	11	11	1	0.452
1	122	0.009	1	325	11	11	1	0.436
1	123	0.009	1	152	11	11	1	0.403
1	124	0.009	1	455	11	11	1	0.371
