
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 13:01:52
* Seed: 210517.8612
* Subject Number: 8
* Subject Name: JB
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	2	483	11	11	1	0.528
1	2	0.012	2	5	11	11	1	0.488
1	3	0.012	2	450	11	11	1	0.488
1	4	0.012	2	477	11	11	1	0.384
1	5	0.013	2	221	11	11	1	0.391
1	6	0.013	2	121	11	11	1	0.496
1	7	0.013	2	337	11	11	1	0.447
1	8	0.013	2	117	11	11	1	0.456
1	9	0.013	1	267	13	13	1	0.815
1	10	0.013	1	175	13	11	0	0.871
1	11	0.014	2	205	11	NaN	0	NaN
1	12	0.014	1	156	13	NaN	0	NaN
1	13	0.014	2	413	11	NaN	0	NaN
1	14	0.001	2	280	11	NaN	0	NaN
1	15	0.001	2	185	11	11	1	0.707
1	16	0.001	2	386	11	11	1	0.707
1	17	0.002	1	138	13	13	1	0.635
1	18	0.002	2	433	11	11	1	0.626
1	19	0.002	2	199	11	13	0	0.571
1	20	0.002	2	183	11	11	1	0.738
1	21	0.002	2	391	11	11	1	0.746
1	22	0.003	2	171	11	NaN	0	NaN
1	23	0.003	2	149	11	11	1	0.105
1	24	0.003	2	317	11	11	1	0.081
1	25	0.003	2	50	11	NaN	0	NaN
1	26	0.003	2	326	11	11	1	0.488
1	27	0.004	2	361	11	11	1	0.433
1	28	0.004	2	122	11	11	1	0.481
1	29	0.004	2	373	11	11	1	0.440
1	30	0.004	2	354	11	11	1	0.440
1	31	0.004	2	331	11	11	1	0.496
1	32	0.005	2	190	11	11	1	0.424
1	33	0.005	2	215	11	11	1	0.407
1	34	0.005	2	442	11	11	1	0.375
1	35	0.005	2	161	11	11	1	0.367
1	36	0.005	2	2	11	11	1	0.423
1	37	0.006	2	53	11	11	1	0.527
1	38	0.006	2	402	11	11	1	0.374
1	39	0.006	2	533	11	11	1	0.390
1	40	0.006	2	440	11	11	1	0.318
1	41	0.006	2	475	11	11	1	0.262
1	42	0.006	2	309	11	11	1	0.270
1	43	0.007	2	253	11	11	1	0.342
1	44	0.007	2	203	11	11	1	0.445
1	45	0.007	1	337	13	13	1	0.742
1	46	0.007	2	47	11	11	1	0.765
1	47	0.007	2	471	11	11	1	0.765
1	48	0.008	2	85	11	11	1	0.708
1	49	0.008	2	26	11	11	1	0.669
1	50	0.008	2	465	11	11	1	0.572
1	51	0.008	2	548	11	11	1	0.492
1	52	0.008	2	543	11	11	1	0.380
1	53	0.009	2	46	11	11	1	0.380
1	54	0.009	2	84	11	11	1	0.379
1	55	0.009	2	228	11	11	1	0.380
1	56	0.009	2	294	11	11	1	0.355
1	57	0.009	2	449	11	11	1	0.331
1	58	0.010	2	519	11	11	1	0.403
1	59	0.010	2	296	11	11	1	0.370
1	60	0.010	2	95	11	11	1	0.354
1	61	0.010	2	224	11	11	1	0.395
1	62	0.010	2	523	11	11	1	0.321
1	63	0.010	2	506	11	11	1	0.322
1	64	0.011	2	231	11	11	1	0.377
1	65	0.011	2	92	11	11	1	0.345
1	66	0.011	2	96	11	11	1	0.281
1	67	0.011	2	416	11	11	1	0.257
1	68	0.012	2	452	11	11	1	0.264
1	69	0.012	2	101	11	11	1	0.273
1	70	0.012	2	512	11	11	1	0.320
1	71	0.012	2	244	11	11	1	0.336
1	72	0.012	2	305	11	11	1	0.328
1	73	0.012	2	34	11	11	1	0.384
1	74	0.013	2	439	11	11	1	0.368
1	75	0.013	2	66	11	11	1	0.367
1	76	0.013	2	371	11	11	1	0.480
1	77	0.013	2	13	11	11	1	0.399
1	78	0.013	2	6	11	11	1	0.447
1	79	0.014	2	54	11	11	1	0.382
1	80	0.014	2	12	11	11	1	0.311
1	81	0.014	2	11	11	11	1	0.375
1	82	0.014	2	27	11	11	1	0.270
1	83	0.001	2	112	11	11	1	0.371
1	84	0.001	2	264	11	11	1	0.763
1	85	0.001	2	493	11	11	1	0.459
1	86	0.002	1	379	13	11	0	0.355
1	87	0.002	2	283	11	11	1	0.395
1	88	0.002	2	180	11	11	1	0.450
1	89	0.002	2	146	11	11	1	0.410
1	90	0.002	2	39	11	11	1	0.490
1	91	0.003	2	387	11	11	1	0.386
1	92	0.003	2	525	11	11	1	0.353
1	93	0.003	2	169	11	11	1	0.370
1	94	0.003	2	325	11	11	1	0.281
1	95	0.003	2	22	11	11	1	0.249
1	96	0.004	2	75	11	11	1	0.345
1	97	0.004	2	152	11	11	1	0.312
1	98	0.004	2	464	11	11	1	0.352
1	99	0.004	2	261	11	11	1	0.320
1	100	0.004	2	476	11	11	1	0.272
1	101	0.005	2	130	11	11	1	0.224
1	102	0.005	2	155	11	11	1	0.263
1	103	0.005	2	398	11	11	1	0.280
1	104	0.005	2	107	11	11	1	0.319
1	105	0.005	2	174	11	11	1	0.263
1	106	0.006	2	469	11	11	1	0.319
1	107	0.006	2	88	11	11	1	0.303
1	108	0.006	2	417	11	11	1	0.278
1	109	0.006	2	532	11	11	1	0.327
1	110	0.006	2	473	11	11	1	0.318
1	111	0.006	2	327	11	11	1	0.310
1	112	0.007	2	64	11	11	1	0.349
1	113	0.007	2	79	11	11	1	0.462
1	114	0.007	2	429	11	11	1	0.437
1	115	0.007	2	304	11	11	1	0.373
1	116	0.007	2	522	11	11	1	0.357
1	117	0.008	2	286	11	11	1	0.340
1	118	0.008	2	255	11	11	1	0.412
1	119	0.008	2	291	11	11	1	0.356
1	120	0.008	2	17	11	11	1	0.372
1	121	0.008	2	90	11	11	1	0.308
1	122	0.009	2	381	11	11	1	0.388
1	123	0.009	2	193	11	11	1	0.267
1	124	0.009	2	133	11	11	1	0.236
1	125	0.009	2	245	11	11	1	0.251
1	126	0.009	2	549	11	11	1	0.323
1	127	0.010	2	40	11	11	1	0.251
1	128	0.010	2	364	11	11	1	0.347
1	129	0.010	2	167	11	11	1	0.330
1	130	0.010	2	74	11	11	1	0.355
1	131	0.010	2	165	11	11	1	0.386
1	132	0.011	2	48	11	11	1	0.377
1	133	0.011	2	111	11	11	1	0.345
1	134	0.011	2	474	11	11	1	0.354
1	135	0.011	2	52	11	11	1	0.361
1	136	0.011	2	268	11	11	1	0.265
1	137	0.011	2	482	11	11	1	0.241
1	138	0.012	2	378	11	11	1	0.161
1	139	0.012	2	333	11	11	1	0.224
1	140	0.012	2	248	11	11	1	0.256
1	141	0.012	2	545	11	11	1	0.376
1	142	0.012	2	448	11	11	1	0.360
1	143	0.013	2	339	11	11	1	0.336
