
*********************************************
* Sustained Attention and Recognition Memory Experiment - Sustained Attention Task v.1.0
* Date/Time: 30-Oct-2015 13:30:11
* Seed: 215245.5852
* Subject Number: 9
* Subject Name: KP
* Run Number: 1
* debug: 0
*********************************************

run	trl	tdf	sct	simg	crsp	rsp	acc	rt
1	1	0.012	1	443	11	NaN	0	NaN
1	2	0.012	1	190	11	11	1	0.016
1	3	0.012	1	238	11	11	1	0.488
1	4	0.012	1	410	11	NaN	0	NaN
1	5	0.013	1	173	11	11	1	0.536
1	6	0.013	1	37	11	11	1	0.856
1	7	0.013	1	531	11	11	1	0.743
1	8	0.013	1	518	11	13	0	0.647
1	9	0.013	1	6	11	11	1	0.671
1	10	0.014	1	353	11	NaN	0	NaN
1	11	0.014	1	506	11	11	1	0.062
1	12	0.014	2	270	13	11	0	0.462
1	13	0.001	2	546	13	13	1	0.700
1	14	0.001	1	182	11	11	1	0.859
1	15	0.001	1	95	11	11	1	0.859
1	16	0.001	1	41	11	11	1	0.579
1	17	0.002	1	87	11	11	1	0.539
1	18	0.002	1	415	11	11	1	0.418
1	19	0.002	1	108	11	11	1	0.410
1	20	0.002	1	339	11	11	1	0.450
1	21	0.002	1	340	11	11	1	0.474
1	22	0.003	1	251	11	11	1	0.393
1	23	0.003	1	174	11	11	1	0.418
1	24	0.003	1	468	11	11	1	0.481
1	25	0.003	1	214	11	11	1	0.457
1	26	0.003	1	252	11	11	1	0.537
1	27	0.004	1	57	11	11	1	0.472
1	28	0.004	1	461	11	11	1	0.384
1	29	0.004	1	299	11	11	1	0.536
1	30	0.004	1	260	11	11	1	0.728
1	31	0.004	1	199	11	11	1	0.520
1	32	0.005	1	63	11	11	1	0.376
1	33	0.005	1	321	11	11	1	0.551
1	34	0.005	1	120	11	11	1	0.391
1	35	0.005	1	368	11	11	1	0.487
1	36	0.005	1	318	11	11	1	0.430
1	37	0.006	1	24	11	11	1	0.431
1	38	0.006	1	132	11	11	1	0.623
1	39	0.006	1	314	11	11	1	0.734
1	40	0.006	2	386	13	13	1	0.646
1	41	0.006	1	503	11	11	1	0.750
1	42	0.007	1	427	11	11	1	0.549
1	43	0.007	1	78	11	11	1	0.549
1	44	0.007	1	140	11	11	1	0.597
1	45	0.007	2	368	13	13	1	0.677
1	46	0.007	1	11	11	11	1	0.557
1	47	0.007	1	125	11	11	1	0.604
1	48	0.008	1	431	11	11	1	0.428
1	49	0.008	1	500	11	11	1	0.413
1	50	0.008	2	318	13	13	1	0.596
1	51	0.008	1	525	11	11	1	0.507
1	52	0.008	1	264	11	NaN	0	NaN
1	53	0.009	1	66	11	11	1	0.035
1	54	0.009	2	86	13	11	0	0.083
1	55	0.009	1	279	11	11	1	0.715
1	56	0.009	1	385	11	11	1	0.699
1	57	0.009	1	446	11	11	1	0.547
1	58	0.010	1	122	11	11	1	0.530
1	59	0.010	1	292	11	11	1	0.482
1	60	0.010	1	246	11	11	1	0.507
1	61	0.010	1	533	11	11	1	0.418
1	62	0.010	1	388	11	11	1	0.393
1	63	0.011	1	67	11	11	1	0.426
1	64	0.011	1	494	11	11	1	0.385
1	65	0.011	1	89	11	11	1	0.441
1	66	0.011	1	188	11	11	1	0.361
1	67	0.011	1	253	11	11	1	0.321
1	68	0.012	1	521	11	11	1	0.305
1	69	0.012	1	396	11	11	1	0.272
1	70	0.012	1	476	11	11	1	0.264
1	71	0.012	1	515	11	11	1	0.311
1	72	0.012	1	13	11	11	1	0.447
1	73	0.012	1	121	11	11	1	0.384
1	74	0.013	1	207	11	11	1	0.400
1	75	0.013	1	59	11	11	1	0.359
1	76	0.013	1	9	11	11	1	0.383
1	77	0.013	1	397	11	11	1	0.463
1	78	0.013	1	416	11	11	1	0.391
1	79	0.014	1	287	11	11	1	0.383
1	80	0.014	1	215	11	11	1	0.374
1	81	0.014	1	166	11	11	1	0.374
1	82	0.001	1	36	11	11	1	0.403
1	83	0.001	1	10	11	11	1	0.435
1	84	0.001	1	82	11	11	1	0.587
1	85	0.001	1	532	11	11	1	0.594
1	86	0.002	1	155	11	11	1	0.498
1	87	0.002	1	151	11	11	1	0.594
1	88	0.002	1	180	11	11	1	0.738
1	89	0.002	2	464	13	13	1	0.722
1	90	0.002	1	240	11	11	1	0.593
1	91	0.003	1	269	11	11	1	0.665
1	92	0.003	1	142	11	11	1	0.497
1	93	0.003	1	475	11	11	1	0.561
1	94	0.003	1	361	11	11	1	0.577
1	95	0.003	1	91	11	11	1	0.561
1	96	0.004	1	102	11	11	1	0.545
1	97	0.004	1	375	11	11	1	0.609
1	98	0.004	1	266	11	11	1	0.536
1	99	0.004	1	201	11	11	1	0.400
1	100	0.004	1	135	11	11	1	0.360
1	101	0.005	1	35	11	11	1	0.311
1	102	0.005	1	423	11	11	1	0.319
1	103	0.005	1	502	11	11	1	0.327
1	104	0.005	1	273	11	11	1	0.343
1	105	0.005	1	191	11	11	1	0.319
1	106	0.006	1	124	11	11	1	0.375
1	107	0.006	1	97	11	11	1	0.326
1	108	0.006	1	296	11	11	1	0.262
1	109	0.006	1	61	11	11	1	0.294
1	110	0.006	1	412	11	11	1	0.350
1	111	0.007	1	175	11	11	1	0.325
1	112	0.007	1	391	11	11	1	0.341
1	113	0.007	1	517	11	11	1	0.365
1	114	0.007	1	21	11	11	1	0.301
1	115	0.007	1	232	11	11	1	0.389
1	116	0.007	1	374	11	11	1	0.420
1	117	0.008	1	49	11	11	1	0.429
1	118	0.008	1	541	11	11	1	0.516
1	119	0.008	1	26	11	11	1	0.468
1	120	0.008	1	100	11	11	1	0.492
1	121	0.008	1	46	11	11	1	0.563
1	122	0.009	1	450	11	11	1	0.571
1	123	0.009	1	257	11	11	1	0.667
1	124	0.009	2	72	13	NaN	0	NaN
1	125	0.009	1	1	11	11	1	0.787
1	126	0.009	1	18	11	11	1	0.539
1	127	0.010	1	523	11	11	1	0.410
1	128	0.010	1	45	11	11	1	0.362
1	129	0.010	1	426	11	11	1	0.354
1	130	0.010	1	417	11	11	1	0.370
1	131	0.010	1	93	11	11	1	0.313
1	132	0.011	1	186	11	11	1	0.378
1	133	0.011	1	390	11	11	1	0.425
1	134	0.011	1	263	11	11	1	0.505
1	135	0.011	1	285	11	11	1	0.393
1	136	0.011	1	496	11	11	1	0.400
1	137	0.012	1	129	11	11	1	0.561
1	138	0.012	1	228	11	11	1	0.512
1	139	0.012	1	88	11	11	1	0.552
1	140	0.012	1	302	11	11	1	0.552
1	141	0.012	1	221	11	11	1	0.631
1	142	0.012	1	198	11	11	1	0.695
1	143	0.013	2	503	13	13	1	0.567
1	144	0.013	1	15	11	11	1	0.503
1	145	0.013	1	123	11	11	1	0.559
1	146	0.013	1	51	11	11	1	0.527
1	147	0.013	1	176	11	11	1	0.527
1	148	0.014	1	195	11	11	1	0.423
1	149	0.014	1	187	11	11	1	0.526
1	150	0.014	1	8	11	11	1	0.542
1	151	0.001	1	354	11	11	1	0.523
1	152	0.001	1	84	11	11	1	0.491
1	153	0.001	1	386	11	11	1	0.691
1	154	0.002	1	92	11	11	1	0.618
1	155	0.002	1	239	11	11	1	0.523
1	156	0.002	1	248	11	11	1	0.690
1	157	0.002	1	495	11	11	1	0.666
1	158	0.002	2	415	13	13	1	0.633
1	159	0.002	1	332	11	11	1	0.642
1	160	0.003	1	405	11	11	1	0.618
1	161	0.003	1	81	11	NaN	0	NaN
1	162	0.003	1	181	11	11	1	0.833
1	163	0.003	2	390	13	13	1	0.705
1	164	0.003	1	211	11	11	1	0.600
1	165	0.004	1	206	11	11	1	0.736
1	166	0.004	1	398	11	11	1	0.504
1	167	0.004	1	505	11	11	1	0.504
1	168	0.004	1	247	11	11	1	0.463
1	169	0.004	1	241	11	11	1	0.631
1	170	0.005	1	484	11	11	1	0.831
1	171	0.005	1	352	11	11	1	0.504
1	172	0.005	1	164	11	11	1	0.630
1	173	0.005	1	365	11	11	1	0.807
1	174	0.005	1	406	11	11	1	0.599
1	175	0.006	1	137	11	11	1	0.535
1	176	0.006	1	327	11	NaN	0	NaN
1	177	0.006	1	331	11	11	1	0.742
1	178	0.006	1	474	11	11	1	0.510
1	179	0.006	1	70	11	11	1	0.510
1	180	0.007	1	288	11	11	1	0.558
1	181	0.007	1	382	11	11	1	0.525
1	182	0.007	1	110	11	11	1	0.517
1	183	0.007	1	138	11	11	1	0.492
1	184	0.007	1	44	11	11	1	0.628
1	185	0.008	1	342	11	11	1	0.525
1	186	0.008	1	477	11	11	1	0.396
1	187	0.008	1	171	11	NaN	0	NaN
1	188	0.008	1	376	11	11	1	0.612
1	189	0.008	1	407	11	11	1	0.476
1	190	0.008	1	454	11	11	1	0.819
1	191	0.009	1	307	11	11	1	0.459
1	192	0.009	1	32	11	11	1	0.443
1	193	0.009	1	345	11	11	1	0.307
1	194	0.009	1	309	11	11	1	0.323
1	195	0.009	2	209	13	11	0	0.314
1	196	0.010	1	528	11	13	0	0.115
1	197	0.010	1	328	11	11	1	0.650
1	198	0.010	1	112	11	11	1	0.466
1	199	0.010	1	378	11	11	1	0.529
1	200	0.010	1	510	11	11	1	0.418
1	201	0.011	1	117	11	11	1	0.345
1	202	0.011	1	179	11	11	1	0.441
1	203	0.011	1	7	11	11	1	0.433
1	204	0.011	1	316	11	11	1	0.729
1	205	0.011	1	508	11	NaN	0	NaN
1	206	0.012	1	229	11	11	1	0.888
1	207	0.012	2	523	13	13	1	0.680
1	208	0.012	1	290	11	11	1	0.472
1	209	0.012	1	281	11	11	1	0.423
1	210	0.012	1	79	11	11	1	0.416
1	211	0.012	1	52	11	11	1	0.367
1	212	0.013	1	400	11	11	1	0.423
1	213	0.013	1	196	11	11	1	0.647
1	214	0.013	1	38	11	11	1	0.623
1	215	0.013	1	62	11	11	1	0.575
1	216	0.013	1	284	11	11	1	0.855
1	217	0.014	1	489	11	11	1	0.647
1	218	0.014	2	136	13	13	1	0.694
1	219	0.014	1	315	11	11	1	0.590
1	220	0.001	1	472	11	11	1	0.619
1	221	0.001	1	537	11	11	1	0.475
1	222	0.001	1	227	11	11	1	0.771
1	223	0.002	1	411	11	11	1	0.586
1	224	0.002	1	512	11	11	1	0.482
1	225	0.002	1	144	11	11	1	0.418
1	226	0.002	1	86	11	11	1	0.426
1	227	0.002	1	439	11	11	1	0.458
1	228	0.003	1	29	11	11	1	0.409
1	229	0.003	1	355	11	11	1	0.889
1	230	0.003	1	384	11	11	1	0.545
1	231	0.003	1	497	11	11	1	0.369
1	232	0.003	1	482	11	11	1	0.409
1	233	0.003	1	156	11	11	1	0.337
1	234	0.004	2	131	13	11	0	0.384
1	235	0.004	1	130	11	11	1	0.536
1	236	0.004	1	107	11	11	1	0.520
1	237	0.004	1	330	11	11	1	0.440
1	238	0.004	1	401	11	11	1	0.375
1	239	0.005	1	113	11	11	1	0.415
1	240	0.005	1	148	11	11	1	0.535
1	241	0.005	1	16	11	11	1	0.415
1	242	0.005	1	277	11	11	1	0.375
1	243	0.005	1	432	11	11	1	0.326
1	244	0.006	1	419	11	11	1	0.430
1	245	0.006	1	320	11	11	1	0.462
1	246	0.006	1	184	11	11	1	0.518
1	247	0.006	1	301	11	11	1	0.678
1	248	0.006	1	71	11	11	1	0.462
1	249	0.007	1	72	11	11	1	0.414
1	250	0.007	1	94	11	11	1	0.533
1	251	0.007	1	2	11	11	1	0.461
1	252	0.007	1	300	11	11	1	0.589
1	253	0.007	1	329	11	11	1	0.493
1	254	0.008	1	437	11	11	1	0.460
1	255	0.008	1	404	11	11	1	0.477
1	256	0.008	1	356	11	11	1	0.525
1	257	0.008	1	204	11	11	1	0.460
1	258	0.008	1	20	11	11	1	0.740
1	259	0.008	1	146	11	11	1	0.572
1	260	0.009	1	452	11	11	1	0.475
1	261	0.009	1	17	11	11	1	0.443
1	262	0.009	1	534	11	11	1	0.715
1	263	0.009	1	27	11	11	1	0.499
1	264	0.009	1	133	11	11	1	0.491
1	265	0.010	1	522	11	11	1	0.418
1	266	0.010	1	109	11	13	0	0.578
1	267	0.010	1	420	11	11	1	0.594
1	268	0.010	1	294	11	11	1	0.562
1	269	0.010	1	520	11	11	1	0.385
1	270	0.010	1	231	11	11	1	0.298
1	271	0.011	1	445	11	11	1	0.193
1	272	0.011	2	286	13	11	0	0.345
1	273	0.011	1	380	11	NaN	0	NaN
1	274	0.011	1	516	11	11	1	0.232
1	275	0.011	1	467	11	11	1	0.369
1	276	0.012	2	312	13	13	1	0.841
1	277	0.012	1	544	11	11	1	0.696
1	278	0.012	1	77	11	11	1	0.712
1	279	0.012	1	48	11	11	1	0.712
1	280	0.013	2	510	13	13	1	0.808
1	281	0.013	1	193	11	11	1	0.751
1	282	0.013	1	275	11	11	1	0.624
1	283	0.013	1	159	11	11	1	0.799
1	284	0.013	2	310	13	NaN	0	NaN
1	285	0.013	1	550	11	13	0	0.079
1	286	0.014	1	73	11	11	1	0.022
1	287	0.014	1	499	11	11	1	0.190
1	288	0.014	2	365	13	11	0	0.294
1	289	0.001	1	99	11	11	1	0.756
1	290	0.001	1	270	11	11	1	0.771
1	291	0.001	1	343	11	11	1	0.723
1	292	0.001	2	531	13	13	1	0.586
